Date,Symbol,Price,Unlocked Supply,Community & Other (TBD),Founder / Team,Private Investors,Insiders,insider_supply_growth,insider_supply_growth_percentage,insider_unlock_type,tokens_unlocked,unlock_usd_value,insider_owned_float_percentage,daily_supply_increase_percentage
2023-12-07,JTO,2,90000000,0,0,0,0,0.0,0.0,no unlock,0.0,0.0,0.0,
2023-12-08,JTO,2,90066146,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.07349555555555556
2023-12-09,JTO,3,90264584,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.2203247377766114
2023-12-10,JTO,4,90463022,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.21984037504676254
2023-12-11,JTO,4,90661460,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.21935813729503756
2023-12-12,JTO,3,90859898,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.21887801056810688
2023-12-13,JTO,3,91058336,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.21839998103453737
2023-12-14,JTO,3,91256774,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.2179240349834638
2023-12-15,JTO,3,91455213,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.21745125463234105
2023-12-16,JTO,3,91653651,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.2169783367078266
2023-12-17,JTO,3,91852089,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.21650856003543165
2023-12-18,JTO,3,92050527,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.21604081318172308
2023-12-19,JTO,2,92248965,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.21557508301935085
2023-12-20,JTO,2,92447403,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.21511135653391883
2023-12-21,JTO,3,92645841,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.21464962082277206
2023-12-22,JTO,3,92844279,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.2141898630938004
2023-12-23,JTO,3,93042717,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.21373207066425706
2023-12-24,JTO,3,93241155,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.21327623095959247
2023-12-25,JTO,2,93439593,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.21282233151230268
2023-12-26,JTO,3,93638031,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.2123703599607931
2023-12-27,JTO,3,93836470,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.21192137199040423
2023-12-28,JTO,2,94034908,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.21147214936793765
2023-12-29,JTO,2,94233346,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.2110258883860449
2023-12-30,JTO,2,94431784,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.2105815068903528
2023-12-31,JTO,2,94630222,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.21013899303226127
2024-01-01,JTO,2,94828660,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.2096983350625554
2024-01-02,JTO,2,95027098,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.20925952133036574
2024-01-03,JTO,2,95225536,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.20882254028214142
2024-01-04,JTO,2,95423974,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.20838738046063612
2024-01-05,JTO,2,95622412,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.20795403050390668
2024-01-06,JTO,2,95820850,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.20752247914432442
2024-01-07,JTO,2,96019288,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.20709271520759834
2024-01-08,JTO,2,96217726,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.20666472761181068
2024-01-09,JTO,2,96416165,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.2062395446759987
2024-01-10,JTO,2,96614603,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.20581403543690002
2024-01-11,JTO,2,96813041,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.20539131129069585
2024-01-12,JTO,2,97011479,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.20497032006256263
2024-01-13,JTO,2,97209917,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.20455105111839395
2024-01-14,JTO,2,97408355,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.20413349391091448
2024-01-15,JTO,3,97606793,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.20371763797879558
2024-01-16,JTO,2,97805231,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.20330347294578152
2024-01-17,JTO,3,98003669,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.20289098851982673
2024-01-18,JTO,3,98202107,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.20248017449224273
2024-01-19,JTO,2,98400545,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.20207102073685648
2024-01-20,JTO,2,98598983,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.20166351720917805
2024-01-21,JTO,2,98797421,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.2012576539455787
2024-01-22,JTO,2,98995860,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.2008544332346489
2024-01-23,JTO,2,99194298,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.2004508067307057
2024-01-24,JTO,2,99392736,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.20004980528215444
2024-01-25,JTO,2,99591174,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.19965040503563558
2024-01-26,JTO,2,99789612,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.19925259641983936
2024-01-27,JTO,2,99988050,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.1988563699395885
2024-01-28,JTO,2,100186488,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.1984617161750829
2024-01-29,JTO,2,100384926,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.19806862578115322
2024-01-30,JTO,2,100583364,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.1976770894865231
2024-01-31,JTO,2,100781802,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.1972870980930803
2024-02-01,JTO,2,100980240,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.19689864247515637
2024-02-02,JTO,2,101178678,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.19651171357881503
2024-02-03,JTO,2,101377116,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.19612630242114842
2024-02-04,JTO,2,101575555,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.19574338650549103
2024-02-05,JTO,2,101773993,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.1953599958178914
2024-02-06,JTO,2,101972431,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.1949790846862027
2024-02-07,JTO,2,102170869,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.19459965605801827
2024-02-08,JTO,2,102369307,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.19422170129530758
2024-02-09,JTO,2,102567745,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.19384521182701764
2024-02-10,JTO,2,102766183,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.19347017914842526
2024-02-11,JTO,2,102964621,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.19309659482049654
2024-02-12,JTO,2,103163059,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.19272445046925388
2024-02-13,JTO,2,103361497,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.19235373778515039
2024-02-14,JTO,2,103559935,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.19198444852245128
2024-02-15,JTO,2,103758373,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.19161657449862246
2024-02-16,JTO,2,103956812,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.1912510713713678
2024-02-17,JTO,2,104155250,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.19088503791362899
2024-02-18,JTO,2,104353688,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.19052136114118107
2024-02-19,JTO,2,104552126,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.19015906749745157
2024-02-20,JTO,2,104750564,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.1897981491069823
2024-02-21,JTO,2,104949002,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.1894385981539918
2024-02-22,JTO,2,105147440,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.18908040688181105
2024-02-23,JTO,2,105345878,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.1887235675923256
2024-02-24,JTO,2,105544316,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.18836807264542424
2024-02-25,JTO,2,105742754,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.18801391445845364
2024-02-26,JTO,2,105941192,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.18766108550567917
2024-02-27,JTO,2,106139630,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.18730957831775197
2024-02-28,JTO,2,106338068,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.1869593854811817
2024-02-29,JTO,2,106536507,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.18661144003481425
2024-03-01,JTO,2,106734945,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.1862629117359742
2024-03-02,JTO,3,106933383,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.1859166180298308
2024-03-03,JTO,3,107131821,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.18557160956929605
2024-03-04,JTO,3,107330259,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.18522787921247041
2024-03-05,JTO,3,107528697,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.18488541987027163
2024-03-06,JTO,3,107727135,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.18454422450594749
2024-03-07,JTO,3,107925573,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.18420428613459366
2024-03-08,JTO,3,108124011,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.1838655978226773
2024-03-09,JTO,3,108322449,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.1835281526875654
2024-03-10,JTO,3,108520887,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.18319194389705867
2024-03-11,JTO,3,108719325,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.1828569646689305
2024-03-12,JTO,3,108917763,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.18252320827047078
2024-03-13,JTO,3,109116202,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.18219158614192252
2024-03-14,JTO,3,109314640,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.18185933560993994
2024-03-15,JTO,3,109513078,0,0,0,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.18152920779869924
