Date,Symbol,Price,Unlocked Supply,Founder / Team,Private Investors,Date_diff,Insiders,insider_supply_growth,insider_supply_growth_percentage,insider_unlock_type,insider_owned_float_percentage
2021-07-03,JOE,0.0,0,0,0,0,0,0.0,0.0,no unlock,
2021-07-04,JOE,0.0,1814400,0,0,1,0,0.0,0.0,no unlock,0.0
2021-07-05,JOE,0.0,3628800,0,0,1,0,0.0,0.0,no unlock,0.0
2021-07-06,JOE,0.0,5443200,0,0,1,0,0.0,0.0,no unlock,0.0
2021-07-07,JOE,0.0,7257600,0,0,1,0,0.0,0.0,no unlock,0.0
2021-07-08,JOE,0.0,9072000,0,0,1,0,0.0,0.0,no unlock,0.0
2021-07-09,JOE,0.0,10886400,0,0,1,0,0.0,0.0,no unlock,0.0
2021-07-10,JOE,0.0,12700800,0,0,1,0,0.0,0.0,no unlock,0.0
2021-07-11,JOE,0.0,14515200,0,0,1,0,0.0,0.0,no unlock,0.0
2021-07-12,JOE,0.0,16329600,0,0,1,0,0.0,0.0,no unlock,0.0
2021-07-13,JOE,0.0,18144000,0,0,1,0,0.0,0.0,no unlock,0.0
2021-07-14,JOE,0.0,19958400,0,0,1,0,0.0,0.0,no unlock,0.0
2021-07-15,JOE,0.0,21772800,0,0,1,0,0.0,0.0,no unlock,0.0
2021-07-16,JOE,0.0,23587200,0,0,1,0,0.0,0.0,no unlock,0.0
2021-07-17,JOE,0.0,25401600,0,0,1,0,0.0,0.0,no unlock,0.0
2021-07-18,JOE,0.0,27216000,0,0,1,0,0.0,0.0,no unlock,0.0
2021-07-19,JOE,0.0,29030400,0,0,1,0,0.0,0.0,no unlock,0.0
2021-07-20,JOE,0.0,30844800,0,0,1,0,0.0,0.0,no unlock,0.0
2021-07-21,JOE,0.0,32659200,0,0,1,0,0.0,0.0,no unlock,0.0
2021-07-22,JOE,0.0,34473600,0,0,1,0,0.0,0.0,no unlock,0.0
2021-07-23,JOE,0.0,36288000,0,0,1,0,0.0,0.0,no unlock,0.0
2021-07-24,JOE,0.0,38102400,0,0,1,0,0.0,0.0,no unlock,0.0
2021-07-25,JOE,0.0,39916800,0,0,1,0,0.0,0.0,no unlock,0.0
2021-07-26,JOE,0.0,41731200,0,0,1,0,0.0,0.0,no unlock,0.0
2021-07-27,JOE,0.0,43545600,0,0,1,0,0.0,0.0,no unlock,0.0
2021-07-28,JOE,0.0,45360000,0,0,1,0,0.0,0.0,no unlock,0.0
2021-07-29,JOE,0.0,47174400,0,0,1,0,0.0,0.0,no unlock,0.0
2021-07-30,JOE,0.0,48988800,0,0,1,0,0.0,0.0,no unlock,0.0
2021-07-31,JOE,0.0,50803200,0,0,1,0,0.0,0.0,no unlock,0.0
2021-08-01,JOE,0.0,52617600,0,0,1,0,0.0,0.0,no unlock,0.0
2021-08-02,JOE,0.0,54432000,0,0,1,0,0.0,0.0,no unlock,0.0
2021-08-03,JOE,0.0,56246400,0,0,1,0,0.0,0.0,no unlock,0.0
2021-08-04,JOE,0.0,57456000,0,0,1,0,0.0,0.0,no unlock,0.0
2021-08-05,JOE,0.0,58665600,0,0,1,0,0.0,0.0,no unlock,0.0
2021-08-06,JOE,0.0,59875200,0,0,1,0,0.0,0.0,no unlock,0.0
2021-08-07,JOE,0.0,61084800,0,0,1,0,0.0,0.0,no unlock,0.0
2021-08-08,JOE,0.0,62294400,0,0,1,0,0.0,0.0,no unlock,0.0
2021-08-09,JOE,0.03,63504000,0,0,1,0,0.0,0.0,no unlock,0.0
2021-08-10,JOE,0.03,64713600,0,0,1,0,0.0,0.0,no unlock,0.0
2021-08-11,JOE,0.03,65923200,0,0,1,0,0.0,0.0,no unlock,0.0
2021-08-12,JOE,0.02,67132800,0,0,1,0,0.0,0.0,no unlock,0.0
2021-08-13,JOE,0.02,68342400,0,0,1,0,0.0,0.0,no unlock,0.0
2021-08-14,JOE,0.02,69552000,0,0,1,0,0.0,0.0,no unlock,0.0
2021-08-15,JOE,0.03,70761600,0,0,1,0,0.0,0.0,no unlock,0.0
2021-08-16,JOE,0.03,71971200,0,0,1,0,0.0,0.0,no unlock,0.0
2021-08-17,JOE,0.03,73180800,0,0,1,0,0.0,0.0,no unlock,0.0
2021-08-18,JOE,0.03,74390400,0,0,1,0,0.0,0.0,no unlock,0.0
2021-08-19,JOE,0.06,75600000,0,0,1,0,0.0,0.0,no unlock,0.0
2021-08-20,JOE,0.08,76809600,0,0,1,0,0.0,0.0,no unlock,0.0
2021-08-21,JOE,0.35,78019200,0,0,1,0,0.0,0.0,no unlock,0.0
2021-08-22,JOE,0.41,79228800,0,0,1,0,0.0,0.0,no unlock,0.0
2021-08-23,JOE,0.44,80438400,0,0,1,0,0.0,0.0,no unlock,0.0
2021-08-24,JOE,0.69,81648000,0,0,1,0,0.0,0.0,no unlock,0.0
2021-08-25,JOE,1.16,82857600,0,0,1,0,0.0,0.0,no unlock,0.0
2021-08-26,JOE,1.27,84067200,0,0,1,0,0.0,0.0,no unlock,0.0
2021-08-27,JOE,1.86,85276800,0,0,1,0,0.0,0.0,no unlock,0.0
2021-08-28,JOE,2.27,86486400,0,0,1,0,0.0,0.0,no unlock,0.0
2021-08-29,JOE,2.02,87696000,0,0,1,0,0.0,0.0,no unlock,0.0
2021-08-30,JOE,2.53,88905600,0,0,1,0,0.0,0.0,no unlock,0.0
2021-08-31,JOE,1.18,90115200,0,0,1,0,0.0,0.0,no unlock,0.0
2021-09-01,JOE,1.1,91324800,0,0,1,0,0.0,0.0,no unlock,0.0
2021-09-02,JOE,1.43,92534400,0,0,1,0,0.0,0.0,no unlock,0.0
2021-09-03,JOE,1.91,93744000,0,0,1,0,0.0,0.0,no unlock,0.0
2021-09-04,JOE,1.78,94772160,0,0,1,0,0.0,0.0,no unlock,0.0
2021-09-05,JOE,1.92,95800320,0,0,1,0,0.0,0.0,no unlock,0.0
2021-09-06,JOE,1.76,96828480,0,0,1,0,0.0,0.0,no unlock,0.0
2021-09-07,JOE,1.55,97856640,0,0,1,0,0.0,0.0,no unlock,0.0
2021-09-08,JOE,1.27,98884800,0,0,1,0,0.0,0.0,no unlock,0.0
2021-09-09,JOE,1.19,99912960,0,0,1,0,0.0,0.0,no unlock,0.0
2021-09-10,JOE,1.37,100941120,0,0,1,0,0.0,0.0,no unlock,0.0
2021-09-11,JOE,1.64,101969280,0,0,1,0,0.0,0.0,no unlock,0.0
2021-09-12,JOE,2.2,102997440,0,0,1,0,0.0,0.0,no unlock,0.0
2021-09-13,JOE,2.19,104025600,0,0,1,0,0.0,0.0,no unlock,0.0
2021-09-14,JOE,1.91,105053760,0,0,1,0,0.0,0.0,no unlock,0.0
2021-09-15,JOE,1.86,106081920,0,0,1,0,0.0,0.0,no unlock,0.0
2021-09-16,JOE,2.35,107110080,0,0,1,0,0.0,0.0,no unlock,0.0
2021-09-17,JOE,3.04,108138240,0,0,1,0,0.0,0.0,no unlock,0.0
2021-09-18,JOE,2.91,109166400,0,0,1,0,0.0,0.0,no unlock,0.0
2021-09-19,JOE,3.02,110194560,0,0,1,0,0.0,0.0,no unlock,0.0
2021-09-20,JOE,3.4,111222720,0,0,1,0,0.0,0.0,no unlock,0.0
2021-09-21,JOE,2.54,112250880,0,0,1,0,0.0,0.0,no unlock,0.0
2021-09-22,JOE,2.89,113279040,0,0,1,0,0.0,0.0,no unlock,0.0
2021-09-23,JOE,4.43,114307200,0,0,1,0,0.0,0.0,no unlock,0.0
2021-09-24,JOE,4.15,115335360,0,0,1,0,0.0,0.0,no unlock,0.0
2021-09-25,JOE,4.03,116363520,0,0,1,0,0.0,0.0,no unlock,0.0
2021-09-26,JOE,3.52,117391680,0,0,1,0,0.0,0.0,no unlock,0.0
2021-09-27,JOE,3.75,118419840,0,0,1,0,0.0,0.0,no unlock,0.0
2021-09-28,JOE,4.01,119448000,0,0,1,0,0.0,0.0,no unlock,0.0
2021-09-29,JOE,3.58,120476160,0,0,1,0,0.0,0.0,no unlock,0.0
2021-09-30,JOE,3.31,121504320,0,0,1,0,0.0,0.0,no unlock,0.0
2021-10-01,JOE,3.05,122532480,0,0,1,0,0.0,0.0,no unlock,0.0
2021-10-02,JOE,3.16,123560640,0,0,1,0,0.0,0.0,no unlock,0.0
2021-10-03,JOE,2.81,177984000,35596800,17798400,1,53395200,53395200.0,inf,first cliff unlock,30.0
2021-10-04,JOE,2.93,179150400,35830080,17915040,1,53745120,349920.0,0.6553398058252428,first linear unlock,30.0
2021-10-05,JOE,2.78,180316800,36063360,18031680,1,54095040,349920.0,0.6510730648661683,linear unlock,30.0
2021-10-06,JOE,2.41,181483200,36296640,18148320,1,54444960,349920.0,0.6468615237182559,linear unlock,30.0
2021-10-07,JOE,2.26,182649600,36529920,18264960,1,54794880,349920.0,0.6427041180671268,linear unlock,30.0
2021-10-08,JOE,2.6,183816000,36763200,18381600,1,55144800,349920.0,0.6385998107852412,linear unlock,30.0
2021-10-09,JOE,2.47,184982400,36996480,18498240,1,55494720,349920.0,0.6345475910693301,linear unlock,30.0
2021-10-10,JOE,2.23,186148800,37229760,18614880,1,55844640,349920.0,0.6305464736104623,linear unlock,30.0
2021-10-11,JOE,2.04,187315200,37463040,18731520,1,56194560,349920.0,0.6265954977953121,linear unlock,30.0
2021-10-12,JOE,1.74,188481600,37696320,18848160,1,56544480,349920.0,0.6226937269372693,linear unlock,30.0
2021-10-13,JOE,1.85,189648000,37929600,18964800,1,56894400,349920.0,0.618840247536099,linear unlock,30.0
2021-10-14,JOE,2.0,190814400,38162880,19081440,1,57244320,349920.0,0.6150341685649202,linear unlock,30.0
2021-10-15,JOE,1.83,191980800,38396160,19198080,1,57594240,349920.0,0.611274620783337,linear unlock,30.0
2021-10-16,JOE,1.98,193147200,38629440,19314720,1,57944160,349920.0,0.6075607560756076,linear unlock,30.0
2021-10-17,JOE,2.27,194313600,38862720,19431360,1,58294080,349920.0,0.6038917468127936,linear unlock,30.0
2021-10-18,JOE,2.41,195480000,39096000,19548000,1,58644000,349920.0,0.6002667852378835,linear unlock,30.0
2021-10-19,JOE,2.74,196646400,39329280,19664640,1,58993920,349920.0,0.5966850828729281,linear unlock,30.0
2021-10-20,JOE,2.98,197812800,39562560,19781280,1,59343840,349920.0,0.5931458699472759,linear unlock,30.0
2021-10-21,JOE,2.86,198979200,39795840,19897920,1,59693760,349920.0,0.5896483948460363,linear unlock,30.0
2021-10-22,JOE,3.09,200145600,40029120,20014560,1,60043680,349920.0,0.5861919235779418,linear unlock,30.0
2021-10-23,JOE,2.96,201312000,40262400,20131200,1,60393600,349920.0,0.5827757392618175,linear unlock,30.0
2021-10-24,JOE,2.68,202478400,40495680,20247840,1,60743520,349920.0,0.5793991416309012,linear unlock,30.0
2021-10-25,JOE,2.74,203644800,40728960,20364480,1,61093440,349920.0,0.5760614465542991,linear unlock,30.0
2021-10-26,JOE,3.35,204811200,40962240,20481120,1,61443360,349920.0,0.5727619855748833,linear unlock,30.0
2021-10-27,JOE,3.21,205977600,41195520,20597760,1,61793280,349920.0,0.5695001054629825,linear unlock,30.0
2021-10-28,JOE,2.75,207144000,41428800,20714400,1,62143200,349920.0,0.5662751677852349,linear unlock,30.0
2021-10-29,JOE,2.93,208310400,41662080,20831040,1,62493120,349920.0,0.5630865484880083,linear unlock,30.0
2021-10-30,JOE,2.72,209476800,41895360,20947680,1,62843040,349920.0,0.5599336374948154,linear unlock,30.0
2021-10-31,JOE,2.42,210643200,42128640,21064320,1,63192960,349920.0,0.5568158383171787,linear unlock,30.0
2021-11-01,JOE,2.54,211809600,42361920,21180960,1,63542880,349920.0,0.5537325676784249,linear unlock,30.0
2021-11-02,JOE,2.58,212976000,42595200,21297600,1,63892800,349920.0,0.5506832551499082,linear unlock,30.0
2021-11-03,JOE,2.45,214142400,42828480,21414240,1,64242720,349920.0,0.5476673427991886,linear unlock,30.0
2021-11-04,JOE,2.95,215006400,43001280,21500640,1,64501920,259200.0,0.40346984062941293,linear unlock,30.0
