Date,Symbol,Price,Unlocked Supply,Founder / Team (TBD),Community & Other (TBD),Founder / Team,Insiders,insider_supply_growth,insider_supply_growth_percentage,insider_unlock_type,tokens_unlocked,unlock_usd_value,insider_owned_float_percentage,daily_supply_increase_percentage
2024-01-31,JUP,1,1350000000,0,0,350000000,350000000,0.0,0.0,no unlock,0.0,0.0,25.925925925925924,
2024-02-01,JUP,1,1350000000,0,0,350000000,350000000,0.0,0.0,no unlock,0.0,0.0,25.925925925925924,0.0
2024-02-02,JUP,1,1350000000,0,0,350000000,350000000,0.0,0.0,no unlock,0.0,0.0,25.925925925925924,0.0
2024-02-03,JUP,1,1350000000,0,0,350000000,350000000,0.0,0.0,no unlock,0.0,0.0,25.925925925925924,0.0
2024-02-04,JUP,1,1350000000,0,0,350000000,350000000,0.0,0.0,no unlock,0.0,0.0,25.925925925925924,0.0
2024-02-05,JUP,1,1350000000,0,0,350000000,350000000,0.0,0.0,no unlock,0.0,0.0,25.925925925925924,0.0
2024-02-06,JUP,1,1350000000,0,0,350000000,350000000,0.0,0.0,no unlock,0.0,0.0,25.925925925925924,0.0
2024-02-07,JUP,1,1350000000,0,0,350000000,350000000,0.0,0.0,no unlock,0.0,0.0,25.925925925925924,0.0
2024-02-08,JUP,1,1350000000,0,0,350000000,350000000,0.0,0.0,no unlock,0.0,0.0,25.925925925925924,0.0
2024-02-09,JUP,1,1350000000,0,0,350000000,350000000,0.0,0.0,no unlock,0.0,0.0,25.925925925925924,0.0
2024-02-10,JUP,1,1350000000,0,0,350000000,350000000,0.0,0.0,no unlock,0.0,0.0,25.925925925925924,0.0
2024-02-11,JUP,0,1350000000,0,0,350000000,350000000,0.0,0.0,no unlock,0.0,-350000000.0,25.925925925925924,0.0
2024-02-12,JUP,1,1350000000,0,0,350000000,350000000,0.0,0.0,no unlock,0.0,350000000.0,25.925925925925924,0.0
2024-02-13,JUP,0,1350000000,0,0,350000000,350000000,0.0,0.0,no unlock,0.0,-350000000.0,25.925925925925924,0.0
2024-02-14,JUP,0,1350000000,0,0,350000000,350000000,0.0,0.0,no unlock,0.0,0.0,25.925925925925924,0.0
2024-02-15,JUP,1,1350000000,0,0,350000000,350000000,0.0,0.0,no unlock,0.0,350000000.0,25.925925925925924,0.0
2024-02-16,JUP,1,1350000000,0,0,350000000,350000000,0.0,0.0,no unlock,0.0,0.0,25.925925925925924,0.0
2024-02-17,JUP,1,1350000000,0,0,350000000,350000000,0.0,0.0,no unlock,0.0,0.0,25.925925925925924,0.0
2024-02-18,JUP,0,1350000000,0,0,350000000,350000000,0.0,0.0,no unlock,0.0,-350000000.0,25.925925925925924,0.0
2024-02-19,JUP,1,1350000000,0,0,350000000,350000000,0.0,0.0,no unlock,0.0,350000000.0,25.925925925925924,0.0
2024-02-20,JUP,1,1350000000,0,0,350000000,350000000,0.0,0.0,no unlock,0.0,0.0,25.925925925925924,0.0
2024-02-21,JUP,0,1350000000,0,0,350000000,350000000,0.0,0.0,no unlock,0.0,-350000000.0,25.925925925925924,0.0
2024-02-22,JUP,0,1350000000,0,0,350000000,350000000,0.0,0.0,no unlock,0.0,0.0,25.925925925925924,0.0
2024-02-23,JUP,0,1350000000,0,0,350000000,350000000,0.0,0.0,no unlock,0.0,0.0,25.925925925925924,0.0
2024-02-24,JUP,0,1350000000,0,0,350000000,350000000,0.0,0.0,no unlock,0.0,0.0,25.925925925925924,0.0
2024-02-25,JUP,0,1350000000,0,0,350000000,350000000,0.0,0.0,no unlock,0.0,0.0,25.925925925925924,0.0
2024-02-26,JUP,0,1350000000,0,0,350000000,350000000,0.0,0.0,no unlock,0.0,0.0,25.925925925925924,0.0
2024-02-27,JUP,0,1350000000,0,0,350000000,350000000,0.0,0.0,no unlock,0.0,0.0,25.925925925925924,0.0
2024-02-28,JUP,0,1350000000,0,0,350000000,350000000,0.0,0.0,no unlock,0.0,0.0,25.925925925925924,0.0
2024-02-29,JUP,0,1350000000,0,0,350000000,350000000,0.0,0.0,no unlock,0.0,0.0,25.925925925925924,0.0
