Date,Symbol,Price,Unlocked Supply,Founder / Team,Private Investors,Public Investors,Insiders,insider_supply_growth,insider_supply_growth_percentage,insider_unlock_type,tokens_unlocked,unlock_usd_value,insider_owned_float_percentage,daily_supply_increase_percentage
2021-11-09,KUJI,0,6500000,0,0,0,0,0.0,0.0,no unlock,0.0,0.0,0.0,
2021-11-10,KUJI,0,15289636,18506,58172,38374,76678,76678.0,inf,large cliff unlock,76678.0,0.0,0.5015031096881574,135.22516923076924
2021-11-11,KUJI,0,15572907,55517,174515,115123,230033,153355.0,199.99869584496207,large cliff unlock,153355.0,0.0,1.4771359001887059,1.8526994364025409
2021-11-12,KUJI,0,15856178,92529,290859,191872,383388,153355.0,66.66652175992141,linear unlock,153355.0,0.0,2.4179092843180747,1.818998854870192
2021-11-13,KUJI,0,16139449,129541,407202,268621,536743,153355.0,39.99994783352635,linear unlock,153355.0,0.0,3.325658763195695,1.786502396731419
2021-11-14,KUJI,0,16422720,166552,523546,345370,690098,153355.0,28.571401955870872,linear unlock,153355.0,0.0,4.2020931977163345,1.7551466595916627
2021-11-15,KUJI,0,16705991,203564,639889,422119,843453,153355.0,22.222206121449418,linear unlock,153355.0,0.0,5.048805545268162,1.7248726154985288
2021-11-16,KUJI,0,16989262,240576,756233,498868,996808,153355.0,18.18180740361348,linear unlock,153355.0,0.0,5.8672825223367555,1.6956252400710619
2021-11-17,KUJI,0,17272533,277587,872576,575617,1150164,153356.0,15.38470798789737,linear unlock,153356.0,0.0,6.658919105842785,1.6673531787313658
2021-11-18,KUJI,0,17555804,314599,988920,652366,1303519,153355.0,13.333315944508783,linear unlock,153355.0,0.0,7.4250031499554225,1.6400084457792032
2021-11-19,KUJI,0,17839075,351611,1105263,729115,1456874,153355.0,11.76469234433867,linear unlock,153355.0,0.0,8.166757525264062,1.6135461526000179
2021-11-20,KUJI,0,18122346,388622,1221607,805864,1610229,153355.0,10.52630495156067,linear unlock,153355.0,0.0,8.885323125383437,1.587924261768057
2021-11-21,KUJI,0,18405617,425634,1337950,882613,1763584,153355.0,9.523800651956957,linear unlock,153355.0,0.0,9.58177060839634,1.5631033642112342
2021-11-22,KUJI,0,18688888,462646,1454294,959362,1916939,153355.0,8.695644777906807,linear unlock,153355.0,0.0,10.257105719719654,1.539046476953204
2021-11-23,KUJI,0,18972159,499657,1570637,1036111,2070294,153355.0,7.999993740019897,linear unlock,153355.0,0.0,10.912274138119967,1.5157188592494106
2021-11-24,KUJI,0,19255430,536669,1686981,1112860,2223650,153356.0,7.407450342801554,linear unlock,153356.0,0.0,11.548171087324459,1.493087845194635
2021-11-25,KUJI,0,19538701,573681,1803324,1189609,2377005,153355.0,6.896543970498954,linear unlock,153355.0,0.0,12.165624521302618,1.4711226911058335
2021-11-26,KUJI,3,19821972,610692,1919668,1266358,2530360,153355.0,6.4516061177826725,linear unlock,153355.0,7591080.0,12.765430200385714,1.4497944361807882
2021-11-27,KUJI,3,20105244,647704,2036011,1343107,2683715,153355.0,6.060600072716926,linear unlock,153355.0,460065.0,13.348333399982613,1.4290808200112481
2021-11-28,KUJI,4,20388515,684716,2152355,1419856,2837070,153355.0,5.714280391174174,linear unlock,153355.0,3297135.0,13.915039913402227,1.4089408713467988
2021-11-29,KUJI,4,20671786,721727,2268698,1496605,2990425,153355.0,5.405400642211859,linear unlock,153355.0,613420.0,14.466214965654153,1.389365532506904
2021-11-30,KUJI,4,20955057,758739,2385042,1573354,3143780,153355.0,5.1282008410175814,linear unlock,153355.0,613420.0,15.002488420814124,1.3703266858509469
2021-12-01,KUJI,3,21238328,795751,2501385,1650103,3297136,153356.0,4.878076710202368,linear unlock,153356.0,-2683712.0,15.524461247608567,1.351802574433465
2021-12-02,KUJI,3,21521599,832762,2617729,1726852,3450491,153355.0,4.65115785336122,linear unlock,153355.0,460065.0,16.032688835062856,1.3337726020617064
2021-12-03,KUJI,4,21804870,869774,2734072,1803601,3603846,153355.0,4.444439936229365,linear unlock,153355.0,4063911.0,16.52771146996061,1.316217256905493
2021-12-04,KUJI,3,22088141,906785,2850416,1880350,3757201,153355.0,4.255315016235433,linear unlock,153355.0,-3143781.0,17.0100371959777,1.2991180410614693
2021-12-05,KUJI,3,22371412,943797,2966759,1957099,3910556,153355.0,4.081628850838697,linear unlock,153355.0,460065.0,17.480148325014085,1.2824574055372067
2021-12-06,KUJI,3,22654683,980809,3083102,2033848,4063911,153355.0,3.921565117594531,linear unlock,153355.0,460065.0,17.93850304592653,1.266218690174764
2021-12-07,KUJI,3,22937954,1017820,3199446,2110597,4217266,153355.0,3.7735816557006294,linear unlock,153355.0,460065.0,18.385536914059553,1.2503860680813763
2021-12-08,KUJI,3,23221225,1054832,3315789,2187346,4370622,153356.0,3.6363843305117585,linear unlock,153356.0,460068.0,18.821668538158516,1.234944494177641
2021-12-09,KUJI,3,23504496,1091844,3432133,2264095,4523977,153355.0,3.5087683171868904,linear unlock,153355.0,460065.0,19.247283583532273,1.2198796575116084
2021-12-10,KUJI,3,23787767,1128855,3548476,2340844,4677332,153355.0,3.3898271366101107,linear unlock,153355.0,460065.0,19.662761956597272,1.2051779370210702
2021-12-11,KUJI,3,24071038,1165867,3664820,2417593,4830687,153355.0,3.278685370206776,linear unlock,153355.0,460065.0,20.06846152625408,1.190826360456616
2021-12-12,KUJI,2,24354309,1202879,3781163,2494342,4984042,153355.0,3.1746002173189862,linear unlock,153355.0,-4523977.0,20.464723511556006,1.1768125662050801
2021-12-13,KUJI,2,24637581,1239890,3897507,2571091,5137397,153355.0,3.076920298825732,linear unlock,153355.0,306710.0,20.851872592524405,1.163128873826804
2021-12-14,KUJI,2,24920852,1276902,4013850,2647840,5290752,153355.0,2.9850720121493435,linear unlock,153355.0,306710.0,21.230221181844023,1.1497516740787175
