Date,Symbol,Price,Unlocked Supply,Founder / Team,Public Investors,Insiders,insider_supply_growth,insider_supply_growth_percentage,insider_unlock_type,tokens_unlocked,unlock_usd_value,insider_owned_float_percentage,daily_supply_increase_percentage
2023-04-24,LBR,0,6200000,0,5000000,0,0.0,0.0,no unlock,0.0,0.0,0.0,
2023-04-25,LBR,0,6212424,0,5000000,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.20038709677419356
2023-04-26,LBR,0,6239530,0,5000000,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.4363192209675322
2023-04-27,LBR,1,6266636,0,5000000,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.4344237466604055
2023-04-28,LBR,1,6293743,0,5000000,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.432560627424347
2023-04-29,LBR,1,6320849,0,5000000,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.4306817103907802
2023-04-30,LBR,1,6347955,0,5000000,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.42883479735079894
2023-05-01,LBR,0,6375061,0,5000000,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.42700365708326543
2023-05-02,LBR,0,6402168,0,5000000,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.42520377452074576
2023-05-03,LBR,1,6429274,0,5000000,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.42338782737347724
2023-05-04,LBR,0,6456380,0,5000000,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.4216028123859708
2023-05-05,LBR,0,6483486,0,5000000,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.41983278555475356
2023-05-06,LBR,0,6510593,0,5000000,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.41809298269480344
2023-05-07,LBR,0,6537699,0,5000000,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.4163368835987751
2023-05-08,LBR,0,6564805,0,5000000,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.4146107063050777
2023-05-09,LBR,0,6591911,0,5000000,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.41289878374148203
2023-05-10,LBR,0,6619018,0,5000000,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.4112161101689631
2023-05-11,LBR,0,6646124,0,5000000,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.4095169404283234
2023-05-12,LBR,0,6673230,0,5000000,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.40784673894137397
2023-05-13,LBR,0,6700337,0,5000000,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.40620509108782404
2023-05-14,LBR,0,6727443,0,5000000,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.4045468160780569
2023-05-15,LBR,0,6754549,0,5000000,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.4029168288753989
2023-05-16,LBR,1,6781655,0,5000000,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.40129992394755
2023-05-17,LBR,1,6808762,0,5000000,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.39971069008966104
2023-05-18,LBR,1,6835868,0,5000000,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.3981046774729385
2023-05-19,LBR,1,6862974,0,5000000,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.396526088566953
2023-05-20,LBR,1,6890080,0,5000000,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.3949599692494828
2023-05-21,LBR,2,6917187,0,5000000,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.39342068597171587
2023-05-22,LBR,2,6944293,0,5000000,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.3918644963624664
2023-05-23,LBR,2,6971399,0,5000000,0,0.0,0.0,no unlock,0.0,0.0,0.0,0.3903349124237701
2023-05-24,LBR,1,7998506,500000,5500000,500000,500000.0,inf,large cliff unlock,500000.0,500000.0,6.251167405512979,14.7331547082587
2023-05-25,LBR,2,8109782,512295,5500000,512295,12295.0,2.459,small cliff unlock,12295.0,524590.0,6.317000876225773,1.3912098084317248
2023-05-26,LBR,2,8221058,524590,5500000,524590,12295.0,2.3999843839975012,linear unlock,12295.0,24590.0,6.381052171143908,1.3721207302489757
2023-05-27,LBR,2,8332335,536885,5500000,536885,12295.0,2.343735107417221,linear unlock,12295.0,24590.0,6.443391918351818,1.3535605757799056
2023-05-28,LBR,3,8443611,549180,5500000,549180,12295.0,2.2900621175857028,linear unlock,12295.0,573770.0,6.5040893049194235,1.3354719895443474
2023-05-29,LBR,4,8554887,561475,5500000,561475,12295.0,2.2387923813685857,linear unlock,12295.0,598360.0,6.563207672994395,1.3178721757788225
2023-05-30,LBR,3,8666164,573770,5500000,573770,12295.0,2.189768021728483,linear unlock,12295.0,-524590.0,6.620807083733933,1.300741903428999
2023-05-31,LBR,2,8777440,586066,5500000,586066,12296.0,2.143018979730554,linear unlock,12296.0,-549178.0,6.6769582019358715,1.2840283197963942
2023-06-01,LBR,2,8888716,598361,5500000,598361,12295.0,2.0978865861524127,linear unlock,12295.0,24590.0,6.731692181412928,1.2677500501285113
2023-06-02,LBR,2,9054395,610656,5500000,610656,12295.0,2.054779639715824,linear unlock,12295.0,24590.0,6.744304837595444,1.863925003341315
2023-06-03,LBR,2,9220073,622951,5500000,622951,12295.0,2.0134085311533827,linear unlock,12295.0,24590.0,6.756464943390361,1.8298075133678178
2023-06-04,LBR,1,9385751,635246,5500000,635246,12295.0,1.9736704813059134,linear unlock,12295.0,-610656.0,6.768195746935968,1.7969272043724598
2023-06-05,LBR,1,9551430,647541,5500000,647541,12295.0,1.9354706680561546,linear unlock,12295.0,12295.0,6.779518878325026,1.7652183613223917
2023-06-06,LBR,1,9717108,659836,5500000,659836,12295.0,1.898721470918444,linear unlock,12295.0,12295.0,6.790456584407624,1.7345884333550055
2023-06-07,LBR,1,9882786,672131,5500000,672131,12295.0,1.8633418000836572,linear unlock,12295.0,12295.0,6.801027564494465,1.705013466969802
2023-06-08,LBR,1,10048465,684426,5500000,684426,12295.0,1.8292564991050853,linear unlock,12295.0,12295.0,6.811249280362722,1.676440226470552
2023-06-09,LBR,1,10214143,696721,5500000,696721,12295.0,1.796395811965063,linear unlock,12295.0,12295.0,6.82114006040448,1.6487891434164323
2023-06-10,LBR,1,10379821,709016,5500000,709016,12295.0,1.7646949065694875,linear unlock,12295.0,12295.0,6.8307150961466485,1.6220450408810607
2023-06-11,LBR,1,10545500,721311,5500000,721311,12295.0,1.7340934478206413,linear unlock,12295.0,12295.0,6.839988620738703,1.596164326918547
2023-06-12,LBR,1,10711178,733607,5500000,733607,12296.0,1.7046738508077652,linear unlock,12296.0,12296.0,6.848985237664802,1.5710777108719358
2023-06-13,LBR,1,10876857,745902,5500000,745902,12295.0,1.6759654692498844,linear unlock,12295.0,12295.0,6.85769795447343,1.5467859837638773
2023-06-14,LBR,1,11042535,758197,5500000,758197,12295.0,1.6483398623411656,linear unlock,12295.0,12295.0,6.866149846932792,1.5232157598468012
2023-06-15,LBR,1,11208213,770492,5500000,770492,12295.0,1.6216102147594886,linear unlock,12295.0,12295.0,6.874351870365062,1.500362009266894
2023-06-16,LBR,1,11373892,782787,5500000,782787,12295.0,1.5957336351318379,linear unlock,12295.0,12295.0,6.882314338838455,1.478192821638918
2023-06-17,LBR,1,11539570,795082,5500000,795082,12295.0,1.5706699268127855,linear unlock,12295.0,12295.0,6.890048762648868,1.4566517775973256
2023-06-18,LBR,1,11705248,807377,5500000,807377,12295.0,1.5463813795306647,linear unlock,12295.0,12295.0,6.897564237852969,1.4357380734290792
2023-06-19,LBR,1,11870927,819672,5500000,819672,12295.0,1.52283258007102,linear unlock,12295.0,12295.0,6.904869350135841,1.4154249444351799
2023-06-20,LBR,2,12036605,831967,5500000,831967,12295.0,1.4999902399984384,linear unlock,12295.0,844262.0,6.911973932849006,1.3956618552198998
2023-06-21,LBR,2,12202283,844262,5500000,844262,12295.0,1.4778230386541775,linear unlock,12295.0,24590.0,6.918885588868903,1.3764512501656405
2023-06-22,LBR,2,12367962,856557,5500000,856557,12295.0,1.456301479872362,linear unlock,12295.0,24590.0,6.925611511419586,1.357770509010486
2023-06-23,LBR,2,12533640,868852,5500000,868852,12295.0,1.435397761036335,linear unlock,12295.0,24590.0,6.932160170549019,1.3395739734646661
2023-06-24,LBR,1,12699318,881148,5500000,881148,12296.0,1.4152007476532251,linear unlock,12296.0,-856556.0,6.938545833721149,1.321866592625925
2023-06-25,LBR,1,12864997,893443,5500000,893443,12295.0,1.3953388080095512,linear unlock,12295.0,12295.0,6.944758712341713,1.3046291147288382
2023-06-26,LBR,1,13030675,905738,5500000,905738,12295.0,1.3761370339238206,linear unlock,12295.0,12295.0,6.95081413664296,1.2878199660676175
2023-06-27,LBR,1,13196353,918033,5500000,918033,12295.0,1.3574565713263658,linear unlock,12295.0,12295.0,6.956717511269969,1.271446030232509
2023-06-28,LBR,1,13362032,930328,5500000,930328,12295.0,1.3392764748108184,linear unlock,12295.0,12295.0,6.962473971024766,1.2554908162884093
2023-06-29,LBR,1,13527710,942623,5500000,942623,12295.0,1.321576906209423,linear unlock,12295.0,12295.0,6.9680899427915,1.2399162043617318
2023-06-30,LBR,2,13693388,954918,5500000,954918,12295.0,1.3043390623823097,linear unlock,12295.0,967213.0,6.973570017880163,1.2247305715453687
2023-07-01,LBR,2,13859067,967213,5500000,967213,12295.0,1.2875451085852399,linear unlock,12295.0,24590.0,6.97891856645184,1.2099197072338854
2023-07-02,LBR,2,14024745,979508,5500000,979508,12295.0,1.2711781169194376,linear unlock,12295.0,24590.0,6.98414124463582,1.1954484381957315
2023-07-03,LBR,2,14190424,991803,5500000,991803,12295.0,1.2552220094169726,linear unlock,12295.0,24590.0,6.989241477210265,1.181333421748488
2023-07-04,LBR,2,14356102,1004098,5500000,1004098,12295.0,1.2396615053594313,linear unlock,12295.0,24590.0,6.994224476811324,1.1675338242183602
2023-07-05,LBR,2,14521780,1016393,5500000,1016393,12295.0,1.2244820724670302,linear unlock,12295.0,24590.0,6.9990937750055435,1.154059785866665
2023-07-06,LBR,3,14687459,1028689,5500000,1028689,12296.0,1.2097682687700526,linear unlock,12296.0,1053281.0,7.003859551199428,1.1409000824967739
2023-07-07,LBR,2,14853137,1040984,5500000,1040984,12295.0,1.1952106030102392,linear unlock,12295.0,-1004099.0,7.008512747172533,1.1280235743977225
2023-07-08,LBR,2,15018815,1053279,5500000,1053279,12295.0,1.1810940417912283,linear unlock,12295.0,24590.0,7.013063280957918,1.1154411354315255
2023-07-09,LBR,2,15184494,1065574,5500000,1065574,12295.0,1.1673070478002505,linear unlock,12295.0,24590.0,7.017514050846871,1.1031429576834124
2023-07-10,LBR,2,15350172,1077869,5500000,1077869,12295.0,1.153838213019462,linear unlock,12295.0,24590.0,7.021869201205042,1.091099907576769
2023-07-11,LBR,2,15515850,1090164,5500000,1090164,12295.0,1.1406766499454015,linear unlock,12295.0,24590.0,7.026131343110433,1.0793234108386538
2023-07-12,LBR,2,15681529,1102459,5500000,1102459,12295.0,1.1278119622368745,linear unlock,12295.0,24590.0,7.0303029761957525,1.0678048576133439
2023-07-13,LBR,2,15847207,1114754,5500000,1114754,12295.0,1.1152342173269028,linear unlock,12295.0,24590.0,7.034387826195493,1.0565168740879796
2023-07-14,LBR,2,16012885,1127049,5500000,1127049,12295.0,1.1029339208471105,linear unlock,12295.0,24590.0,7.038388148044527,1.045471293458841
2023-07-15,LBR,2,16178564,1139344,5500000,1139344,12295.0,1.090901992726137,linear unlock,12295.0,24590.0,7.042306103310529,1.0346605249460046
2023-07-16,LBR,2,16344242,1151639,5500000,1151639,12295.0,1.0791297448356247,linear unlock,12295.0,24590.0,7.04614505830249,1.0240587483536856
2023-07-17,LBR,2,16509920,1163934,5500000,1163934,12295.0,1.067608860068129,linear unlock,12295.0,24590.0,7.049906965024665,1.0136780892010777
2023-07-18,LBR,2,16675599,1176230,5500000,1176230,12296.0,1.0564172882654859,linear unlock,12296.0,24592.0,7.053599693780116,1.0035118280403539
2023-07-19,LBR,2,16841277,1188525,5500000,1188525,12295.0,1.0452887615517374,linear unlock,12295.0,24590.0,7.057214248064443,0.9935355245709614
2023-07-20,LBR,2,17006955,1200820,5500000,1200820,12295.0,1.034475505353274,linear unlock,12295.0,24590.0,7.060758377969484,0.9837615045462408
2023-07-21,LBR,2,17172634,1213115,5500000,1213115,12295.0,1.0238836794856847,linear unlock,12295.0,24590.0,7.064233710448846,0.9741837971582802
2023-07-22,LBR,2,17338312,1225410,5500000,1225410,12295.0,1.0135065513162396,linear unlock,12295.0,24590.0,7.067643032378239,0.9647791946186007
2023-07-23,LBR,2,17503991,1237705,5500000,1237705,12295.0,1.0033376584163667,linear unlock,12295.0,24590.0,7.0709874108139115,0.9555659166820853
2023-07-24,LBR,1,17669669,1250000,5500000,1250000,12295.0,0.9933707951410069,linear unlock,12295.0,-1225410.0,7.07426947273319,0.9465155689351074
2023-07-25,LBR,1,17835347,1262295,5500000,1262295,12295.0,0.9835999999999999,linear unlock,12295.0,12295.0,7.077490558496002,0.9376406541627916
2023-07-26,LBR,1,18001026,1274590,5500000,1274590,12295.0,0.9740195437675028,linear unlock,12295.0,12295.0,7.080651958393927,0.9289362298361787
2023-07-27,LBR,2,18166704,1286885,5500000,1286885,12295.0,0.9646239182796036,linear unlock,12295.0,1299180.0,7.083756084758138,0.9203808716236508
2023-07-28,LBR,1,18332382,1299180,5500000,1299180,12295.0,0.9554078258741069,linear unlock,12295.0,-1274590.0,7.086804104343887,0.911987116650329
2023-07-29,LBR,1,18498061,1311475,5500000,1311475,12295.0,0.9463661694299481,linear unlock,12295.0,12295.0,7.089797141440933,0.9037505328003747
2023-07-30,LBR,1,18663739,1323770,5500000,1323770,12295.0,0.9374940429668884,linear unlock,12295.0,12295.0,7.092737419870692,0.8956506306255558
2023-07-31,LBR,1,18829417,1336066,5500000,1336066,12296.0,0.9288622645927919,linear unlock,12296.0,12296.0,7.095631266756692,0.8876999405103124
2023-08-01,LBR,1,18995096,1348361,5500000,1348361,12295.0,0.9202389702305126,linear unlock,12295.0,12295.0,7.098468994313059,0.8798944757556753
2023-08-02,LBR,1,19160774,1360656,5500000,1360656,12295.0,0.9118477915039074,linear unlock,12295.0,12295.0,7.1012580180738,0.8722145968622638
2023-08-03,LBR,1,19326452,1372951,5500000,1372951,12295.0,0.9036082595453958,linear unlock,12295.0,12295.0,7.103999223447739,0.8646727945332481
2023-08-04,LBR,1,19492131,1385246,5500000,1385246,12295.0,0.8955163002903964,linear unlock,12295.0,12295.0,7.106693465173203,0.8572654722139377
2023-08-05,LBR,1,19657809,1397541,5500000,1397541,12295.0,0.8875679843146994,linear unlock,12295.0,12295.0,7.109342653598882,0.8499737663367849
2023-08-06,LBR,1,19823487,1409836,5500000,1409836,12295.0,0.8797595204720291,linear unlock,12295.0,12295.0,7.111947559982762,0.8428101015733748
2023-08-07,LBR,1,19989166,1422131,5500000,1422131,12295.0,0.8720872498645232,linear unlock,12295.0,12295.0,7.114508929487102,0.8357712243057945
2023-08-08,LBR,1,20154844,1434426,5500000,1434426,12295.0,0.8645476401259798,linear unlock,12295.0,12295.0,7.117028541625031,0.8288389820765909
2023-08-09,LBR,1,20320522,1446721,5500000,1446721,12295.0,0.8571372799991076,linear unlock,12295.0,12295.0,7.119507067781035,0.8220257125284621
2023-08-10,LBR,1,20486201,1459016,5500000,1459016,12295.0,0.8498528741892873,linear unlock,12295.0,12295.0,7.121945157132843,0.8153284644951542
2023-08-11,LBR,1,20651879,1471311,5500000,1471311,12295.0,0.8426912384785361,linear unlock,12295.0,12295.0,7.124344472481173,0.8087297395939833
2023-08-12,LBR,1,20817558,1483607,5500000,1483607,12296.0,0.8357172616802294,linear unlock,12296.0,12296.0,7.126710058883948,0.8022466139763843
2023-08-13,LBR,2,20983236,1495902,5500000,1495902,12295.0,0.8287235096625994,linear unlock,12295.0,1508197.0,7.129033863032374,0.7958570356811303
2023-08-14,LBR,2,21148914,1508197,5500000,1508197,12295.0,0.8219121306074862,linear unlock,12295.0,24590.0,7.131321258387073,0.7895731621185598
2023-08-15,LBR,2,21314593,1520492,5500000,1520492,12295.0,0.8152118058847749,linear unlock,12295.0,24590.0,7.133572759282806,0.783392471121685
2023-08-16,LBR,2,21480271,1532787,5500000,1532787,12295.0,0.8086198414723655,linear unlock,12295.0,24590.0,7.135789860379322,0.7772984452482861
2023-08-17,LBR,2,21645949,1545082,5500000,1545082,12295.0,0.8021336297867872,linear unlock,12295.0,24590.0,7.137973022111435,0.7713031181031189
