Date,Symbol,Price,Unlocked Supply,Date_diff,Insiders,insider_supply_growth,insider_supply_growth_percentage,insider_unlock_type,insider_owned_float_percentage
2023-07-17,MNT,0.5,3172988154,0,0,0.0,0.0,no unlock,0.0
2023-07-18,MNT,0.5,3172988154,1,0,0.0,0.0,no unlock,0.0
2023-07-19,MNT,0.53,3172988154,1,0,0.0,0.0,no unlock,0.0
2023-07-20,MNT,0.58,3172988154,1,0,0.0,0.0,no unlock,0.0
2023-07-21,MNT,0.59,3172988154,1,0,0.0,0.0,no unlock,0.0
2023-07-22,MNT,0.59,3172988154,1,0,0.0,0.0,no unlock,0.0
2023-07-23,MNT,0.57,3172988154,1,0,0.0,0.0,no unlock,0.0
2023-07-24,MNT,0.58,3172988154,1,0,0.0,0.0,no unlock,0.0
2023-07-25,MNT,0.55,3172988154,1,0,0.0,0.0,no unlock,0.0
2023-07-26,MNT,0.54,3172988154,1,0,0.0,0.0,no unlock,0.0
2023-07-27,MNT,0.53,3172988154,1,0,0.0,0.0,no unlock,0.0
2023-07-28,MNT,0.52,3172988154,1,0,0.0,0.0,no unlock,0.0
2023-07-29,MNT,0.52,3172988154,1,0,0.0,0.0,no unlock,0.0
2023-07-30,MNT,0.52,3172988154,1,0,0.0,0.0,no unlock,0.0
2023-07-31,MNT,0.51,3172988154,1,0,0.0,0.0,no unlock,0.0
2023-08-01,MNT,0.51,3172988154,1,0,0.0,0.0,no unlock,0.0
2023-08-02,MNT,0.51,3172988154,1,0,0.0,0.0,no unlock,0.0
2023-08-03,MNT,0.51,3172988154,1,0,0.0,0.0,no unlock,0.0
2023-08-04,MNT,0.51,3172988154,1,0,0.0,0.0,no unlock,0.0
2023-08-05,MNT,0.51,3172988154,1,0,0.0,0.0,no unlock,0.0
2023-08-06,MNT,0.51,3172988154,1,0,0.0,0.0,no unlock,0.0
2023-08-07,MNT,0.5,3172988154,1,0,0.0,0.0,no unlock,0.0
2023-08-08,MNT,0.5,3172988154,1,0,0.0,0.0,no unlock,0.0
2023-08-09,MNT,0.5,3172988154,1,0,0.0,0.0,no unlock,0.0
2023-08-10,MNT,0.46,3172988154,1,0,0.0,0.0,no unlock,0.0
2023-08-11,MNT,0.46,3172988154,1,0,0.0,0.0,no unlock,0.0
2023-08-12,MNT,0.46,3172988154,1,0,0.0,0.0,no unlock,0.0
2023-08-13,MNT,0.46,3172988154,1,0,0.0,0.0,no unlock,0.0
2023-08-14,MNT,0.46,3172988154,1,0,0.0,0.0,no unlock,0.0
2023-08-15,MNT,0.45,3172988154,1,0,0.0,0.0,no unlock,0.0
2023-08-16,MNT,0.45,3172988154,1,0,0.0,0.0,no unlock,0.0
2023-08-17,MNT,0.44,3172988154,1,0,0.0,0.0,no unlock,0.0
2023-08-18,MNT,0.42,3172988154,1,0,0.0,0.0,no unlock,0.0
2023-08-19,MNT,0.42,3172988154,1,0,0.0,0.0,no unlock,0.0
2023-08-20,MNT,0.42,3172988154,1,0,0.0,0.0,no unlock,0.0
2023-08-21,MNT,0.42,3172988154,1,0,0.0,0.0,no unlock,0.0
2023-08-22,MNT,0.42,3172988154,1,0,0.0,0.0,no unlock,0.0
2023-08-23,MNT,0.42,3172988154,1,0,0.0,0.0,no unlock,0.0
2023-08-24,MNT,0.42,3172988154,1,0,0.0,0.0,no unlock,0.0
2023-08-25,MNT,0.42,3172988154,1,0,0.0,0.0,no unlock,0.0
2023-08-26,MNT,0.42,3172988154,1,0,0.0,0.0,no unlock,0.0
2023-08-27,MNT,0.43,3172988154,1,0,0.0,0.0,no unlock,0.0
2023-08-28,MNT,0.43,3172988154,1,0,0.0,0.0,no unlock,0.0
2023-08-29,MNT,0.43,3172988154,1,0,0.0,0.0,no unlock,0.0
2023-08-30,MNT,0.44,3172988154,1,0,0.0,0.0,no unlock,0.0
2023-08-31,MNT,0.45,3172988154,1,0,0.0,0.0,no unlock,0.0
2023-09-01,MNT,0.44,3172988154,1,0,0.0,0.0,no unlock,0.0
2023-09-02,MNT,0.44,3172988154,1,0,0.0,0.0,no unlock,0.0
