Date,Symbol,Price,Unlocked Supply,Founder / Team,Private Investors,Date_diff,Insiders,insider_supply_growth,insider_supply_growth_percentage,insider_unlock_type,insider_owned_float_percentage
2022-01-11,GLMR,11.94,45000000,0,0,0,0,0.0,0.0,no unlock,0.0
2022-01-12,GLMR,11.94,45156250,0,0,1,0,0.0,0.0,no unlock,0.0
2022-01-13,GLMR,8.95,45312500,0,0,1,0,0.0,0.0,no unlock,0.0
2022-01-14,GLMR,11.65,45468750,0,0,1,0,0.0,0.0,no unlock,0.0
2022-01-15,GLMR,13.36,45625000,0,0,1,0,0.0,0.0,no unlock,0.0
2022-01-16,GLMR,12.64,45781250,0,0,1,0,0.0,0.0,no unlock,0.0
2022-01-17,GLMR,10.7,45937500,0,0,1,0,0.0,0.0,no unlock,0.0
2022-01-18,GLMR,9.98,46093750,0,0,1,0,0.0,0.0,no unlock,0.0
2022-01-19,GLMR,9.21,46250000,0,0,1,0,0.0,0.0,no unlock,0.0
2022-01-20,GLMR,10.05,46406250,0,0,1,0,0.0,0.0,no unlock,0.0
2022-01-21,GLMR,9.84,46562500,0,0,1,0,0.0,0.0,no unlock,0.0
2022-01-22,GLMR,8.69,46718750,0,0,1,0,0.0,0.0,no unlock,0.0
2022-01-23,GLMR,7.41,46875000,0,0,1,0,0.0,0.0,no unlock,0.0
2022-01-24,GLMR,8.05,47031250,0,0,1,0,0.0,0.0,no unlock,0.0
2022-01-25,GLMR,7.49,47187500,0,0,1,0,0.0,0.0,no unlock,0.0
2022-01-26,GLMR,7.76,47343750,0,0,1,0,0.0,0.0,no unlock,0.0
2022-01-27,GLMR,7.26,47500000,0,0,1,0,0.0,0.0,no unlock,0.0
2022-01-28,GLMR,6.6,47656250,0,0,1,0,0.0,0.0,no unlock,0.0
2022-01-29,GLMR,6.42,47812500,0,0,1,0,0.0,0.0,no unlock,0.0
2022-01-30,GLMR,6.2,47968750,0,0,1,0,0.0,0.0,no unlock,0.0
2022-01-31,GLMR,5.74,48125000,0,0,1,0,0.0,0.0,no unlock,0.0
2022-02-01,GLMR,5.42,48281250,0,0,1,0,0.0,0.0,no unlock,0.0
2022-02-02,GLMR,5.4,48437500,0,0,1,0,0.0,0.0,no unlock,0.0
2022-02-03,GLMR,5.1,48593750,0,0,1,0,0.0,0.0,no unlock,0.0
2022-02-04,GLMR,4.75,48750000,0,0,1,0,0.0,0.0,no unlock,0.0
2022-02-05,GLMR,5.75,48906250,0,0,1,0,0.0,0.0,no unlock,0.0
2022-02-06,GLMR,5.77,49062500,0,0,1,0,0.0,0.0,no unlock,0.0
2022-02-07,GLMR,6.21,49218750,0,0,1,0,0.0,0.0,no unlock,0.0
2022-02-08,GLMR,6.3,49375000,0,0,1,0,0.0,0.0,no unlock,0.0
2022-02-09,GLMR,5.84,49531250,0,0,1,0,0.0,0.0,no unlock,0.0
2022-02-10,GLMR,5.9,49687500,0,0,1,0,0.0,0.0,no unlock,0.0
