Date,Symbol,Price,Unlocked Supply,Date_diff,Insiders,insider_supply_growth,insider_supply_growth_percentage,insider_unlock_type,insider_owned_float_percentage
2021-12-07,MULTI,0.0,18639320,0,0,0.0,0.0,no unlock,0.0
2021-12-08,MULTI,0.0,18639320,1,0,0.0,0.0,no unlock,0.0
2021-12-09,MULTI,0.0,18639320,1,0,0.0,0.0,no unlock,0.0
2021-12-10,MULTI,0.0,18639320,1,0,0.0,0.0,no unlock,0.0
2021-12-11,MULTI,0.0,18639320,1,0,0.0,0.0,no unlock,0.0
2021-12-12,MULTI,0.0,18639320,1,0,0.0,0.0,no unlock,0.0
2021-12-13,MULTI,0.0,18639320,1,0,0.0,0.0,no unlock,0.0
2021-12-14,MULTI,0.0,18639320,1,0,0.0,0.0,no unlock,0.0
2021-12-15,MULTI,0.0,18639320,1,0,0.0,0.0,no unlock,0.0
2021-12-16,MULTI,0.0,18639320,1,0,0.0,0.0,no unlock,0.0
2021-12-17,MULTI,0.0,18639320,1,0,0.0,0.0,no unlock,0.0
2021-12-18,MULTI,0.0,18639320,1,0,0.0,0.0,no unlock,0.0
2021-12-19,MULTI,0.0,18639320,1,0,0.0,0.0,no unlock,0.0
2021-12-20,MULTI,0.0,18639320,1,0,0.0,0.0,no unlock,0.0
2021-12-21,MULTI,0.0,18639320,1,0,0.0,0.0,no unlock,0.0
2021-12-22,MULTI,0.0,18639320,1,0,0.0,0.0,no unlock,0.0
2021-12-23,MULTI,0.0,18639320,1,0,0.0,0.0,no unlock,0.0
2021-12-24,MULTI,0.0,18639320,1,0,0.0,0.0,no unlock,0.0
2021-12-25,MULTI,0.0,18639320,1,0,0.0,0.0,no unlock,0.0
2021-12-26,MULTI,0.0,18639320,1,0,0.0,0.0,no unlock,0.0
2021-12-27,MULTI,0.0,18639320,1,0,0.0,0.0,no unlock,0.0
2021-12-28,MULTI,0.0,18639320,1,0,0.0,0.0,no unlock,0.0
2021-12-29,MULTI,0.0,18639320,1,0,0.0,0.0,no unlock,0.0
2021-12-30,MULTI,0.0,18639320,1,0,0.0,0.0,no unlock,0.0
2021-12-31,MULTI,0.0,18639320,1,0,0.0,0.0,no unlock,0.0
2022-01-01,MULTI,0.0,18639320,1,0,0.0,0.0,no unlock,0.0
2022-01-02,MULTI,0.0,18639320,1,0,0.0,0.0,no unlock,0.0
2022-01-03,MULTI,0.0,18639320,1,0,0.0,0.0,no unlock,0.0
2022-01-04,MULTI,18.9,18639320,1,0,0.0,0.0,no unlock,0.0
2022-01-05,MULTI,18.9,18639320,1,0,0.0,0.0,no unlock,0.0
2022-01-06,MULTI,19.47,18639320,1,0,0.0,0.0,no unlock,0.0
2022-01-07,MULTI,18.79,18639320,1,0,0.0,0.0,no unlock,0.0
2022-01-08,MULTI,19.12,18639320,1,0,0.0,0.0,no unlock,0.0
