Date,Symbol,Price,Unlocked Supply,Founder / Team,Private Investors,Date_diff,Insiders,insider_supply_growth,insider_supply_growth_percentage,insider_unlock_type,insider_owned_float_percentage
2020-10-13,NEAR,0.0,192000000,0,0,0,0,0.0,0.0,no unlock,0.0
2020-10-14,NEAR,1.18,192923856,0,298189,1,298189,298189.0,inf,first linear unlock,0.1545630520675473
2020-10-15,NEAR,1.18,193847713,0,596377,1,596377,298188.0,99.99966464222355,linear unlock,0.30765232706150114
2020-10-16,NEAR,1.12,194771569,0,894566,1,894566,298189.0,50.0000838395847,linear unlock,0.45928982581641575
2020-10-17,NEAR,0.81,195695425,0,1192755,1,1192755,298189.0,33.33337059535015,linear unlock,0.6094955975593196
2020-10-18,NEAR,0.8,196619281,0,1490943,1,1490943,298188.0,24.999937120364198,linear unlock,0.7582893154817304
2020-10-19,NEAR,0.86,197543138,0,1789132,1,1789132,298189.0,20.000026828658104,linear unlock,0.905691798821177
2020-10-20,NEAR,0.79,198466994,0,2087321,1,2087321,298189.0,16.666685297675073,linear unlock,1.0517219805324405
2020-10-21,NEAR,0.67,199390850,0,2385509,1,2385509,298188.0,14.285680065500229,linear unlock,1.1963984305197555
2020-10-22,NEAR,0.7,200314707,0,2683698,1,2683698,298189.0,12.500015719915538,linear unlock,1.339740870848789
2020-10-23,NEAR,0.74,201238563,0,2981887,1,2981887,298189.0,11.111123531783383,linear unlock,1.481767189919757
2020-10-24,NEAR,0.72,202162419,0,3280076,1,3280076,298189.0,10.000010060743415,linear unlock,1.622495425324328
2020-10-25,NEAR,0.73,203086275,0,3578264,1,3578264,298188.0,9.09088691847384,linear unlock,1.761942799925795
2020-10-26,NEAR,0.84,204010132,0,3876453,1,3876453,298189.0,8.333342648837537,linear unlock,1.900127685815134
2020-10-27,NEAR,0.77,204933988,0,4174642,1,4174642,298189.0,7.692315629778047,linear unlock,2.0370666870543697
2020-10-28,NEAR,0.76,205857844,0,4472830,1,4472830,298188.0,7.142840032750114,linear unlock,2.172776083285901
2020-10-29,NEAR,0.7,206781701,0,4771019,1,4771019,298189.0,6.666674119070029,linear unlock,2.3072733113845505
2020-10-30,NEAR,0.69,207705557,0,5069208,1,5069208,298189.0,6.250006549963436,linear unlock,2.4405740863254803
2020-10-31,NEAR,0.63,208629413,0,5367396,1,5367396,298188.0,5.882339016272365,linear unlock,2.5726938128326133
2020-11-01,NEAR,0.62,209553269,0,5665585,1,5665585,298189.0,5.555561765891691,linear unlock,2.70364906595659
2020-11-02,NEAR,0.63,210477126,0,5963774,1,5963774,298189.0,5.263163468556204,linear unlock,2.83345469093872
2020-11-03,NEAR,0.6,211400982,0,6261962,1,6261962,298188.0,4.999988262466016,linear unlock,2.962125313117041
2020-11-04,NEAR,0.56,212324838,0,6560151,1,6560151,298189.0,4.761910085050021,linear unlock,3.0896766773937205
2020-11-05,NEAR,0.53,213248695,0,6858340,1,6858340,298189.0,4.545459395675496,linear unlock,3.216122846613434
2020-11-06,NEAR,0.69,214172551,0,7156528,1,7156528,298188.0,4.347815943799812,linear unlock,3.3414776854387847
2020-11-07,NEAR,0.71,215096407,0,7454717,1,7454717,298189.0,4.166671324418768,linear unlock,3.4657561713711003
2020-11-08,NEAR,0.69,216020263,0,7752906,1,7752906,298189.0,4.000004292584145,linear unlock,3.5889716512381065
2020-11-09,NEAR,0.81,216944120,0,8051094,1,8051094,298188.0,3.846144916499697,linear unlock,3.7111372274113723
2020-11-10,NEAR,0.9,217867976,0,8349283,1,8349283,298189.0,3.703707843927794,linear unlock,3.832267207549585
2020-11-11,NEAR,0.94,218791832,0,8647472,1,8647472,298189.0,3.5714324212031143,linear unlock,3.9523742367128216
2020-11-12,NEAR,0.86,219715689,0,8945661,1,8945661,298189.0,3.4482794509192978,linear unlock,4.071471200220026
2020-11-13,NEAR,0.78,220639545,0,9243849,1,9243849,298188.0,3.333325508310677,linear unlock,4.189570369173849
2020-11-14,NEAR,0.89,221563401,0,9542038,1,9542038,298189.0,3.225809941291771,linear unlock,4.306685109965431
2020-11-15,NEAR,0.87,222487257,0,9840227,1,9840227,298189.0,3.125003274981718,linear unlock,4.422827236348192
2020-11-16,NEAR,0.83,223411114,0,10138415,1,10138415,298188.0,3.03029594744105,linear unlock,4.538008346352903
2020-11-17,NEAR,0.86,224334970,0,10436604,1,10436604,298189.0,2.941179661712408,linear unlock,4.6522412444212335
2020-11-18,NEAR,0.93,225258826,0,10734793,1,10734793,298189.0,2.857145868521983,linear unlock,4.765537133714797
2020-11-19,NEAR,0.83,226182683,0,11032981,1,11032981,298188.0,2.777771308678239,linear unlock,4.877907032343408
2020-11-20,NEAR,0.84,227106539,0,11331170,1,11331170,298189.0,2.702705642291961,linear unlock,4.989363164043462
2020-11-21,NEAR,0.93,228030395,0,11629359,1,11629359,298189.0,2.631581734278102,linear unlock,5.099916175648426
2020-11-22,NEAR,1.19,228954251,0,11927547,1,11927547,298188.0,2.564096610999798,linear unlock,5.20957656296148
2020-11-23,NEAR,1.08,229878108,0,12225736,1,12225736,298189.0,2.5000027247849035,linear unlock,5.318355934963585
2020-11-24,NEAR,1.17,230801964,0,12523925,1,12523925,298189.0,2.439026983733331,linear unlock,5.4262644836072536
2020-11-25,NEAR,1.24,231725820,0,12822113,1,12822113,298188.0,2.3809468676952315,linear unlock,5.533312170391715
2020-11-26,NEAR,1.11,232649677,0,13120302,1,13120302,298189.0,2.325583934566791,linear unlock,5.639510086231497
2020-11-27,NEAR,1.01,233573533,0,13418491,1,13418491,298189.0,2.272729697837748,linear unlock,5.744867934159304
2020-11-28,NEAR,0.99,234497389,0,13716679,1,13716679,298188.0,2.2222170883447325,linear unlock,5.849395193052661
2020-11-29,NEAR,1.02,235421245,0,14014868,1,14014868,298189.0,2.173915420780788,linear unlock,5.95310249081386
2020-11-30,NEAR,1.01,236345102,0,14313057,1,14313057,298189.0,2.127661851684939,linear unlock,6.055998994216517
2020-12-01,NEAR,1.07,237268958,0,14611245,1,14611245,298188.0,2.083328530026814,linear unlock,6.158093803404321
2020-12-02,NEAR,1.07,238192814,0,14909434,1,14909434,298189.0,2.0408185613204077,linear unlock,6.2593970614075705
2020-12-03,NEAR,1.18,239116671,0,15207623,1,15207623,298189.0,2.0000021462920725,linear unlock,6.359917498182299
2020-12-04,NEAR,1.15,240040527,0,15505812,1,15505812,298189.0,1.9607863766743825,linear unlock,6.459664204953191
2020-12-05,NEAR,1.11,240964383,0,15804000,1,15804000,298188.0,1.9230724582498484,linear unlock,6.558645640173304
2020-12-06,NEAR,1.11,241888239,0,16102189,1,16102189,298189.0,1.8867944824095164,linear unlock,6.656871399191921
2020-12-07,NEAR,1.03,242812096,0,16400378,1,16400378,298189.0,1.851853806957551,linear unlock,6.7543496679835915
2020-12-08,NEAR,1.01,243735952,0,16698566,1,16698566,298188.0,1.818177605418607,linear unlock,6.8510885911488355
2020-12-09,NEAR,0.93,244659808,0,16996755,1,16996755,298189.0,1.7857162106015572,linear unlock,6.947097334434268
2020-12-10,NEAR,0.99,245583665,0,17294944,1,17294944,298189.0,1.754387822852068,linear unlock,7.0423837025153935
2020-12-11,NEAR,0.95,246507521,0,17593132,1,17593132,298188.0,1.7241339434230027,linear unlock,7.136955468389138
2020-12-12,NEAR,0.87,247431377,0,17891321,1,17891321,298189.0,1.6949170846896393,linear unlock,7.230821416800344
2020-12-13,NEAR,0.91,248355233,0,18189510,1,18189510,298189.0,1.6666684366123663,linear unlock,7.323989021805713
2020-12-14,NEAR,0.95,249279090,0,18487698,1,18487698,298188.0,1.6393404770112006,linear unlock,7.416465616911551
2020-12-15,NEAR,0.99,250202946,0,18785887,1,18785887,298189.0,1.6129049706458856,linear unlock,7.508259714895603
2020-12-16,NEAR,1.01,251126802,0,19084076,1,19084076,298189.0,1.587303277188881,linear unlock,7.5993784207868025
2020-12-17,NEAR,1.04,252050659,0,19382264,1,19382264,298188.0,1.5624963975201105,linear unlock,7.689828733992717
2020-12-18,NEAR,0.99,252974515,0,19680453,1,19680453,298189.0,1.538463205330399,linear unlock,7.779618828402538
2020-12-19,NEAR,1.0,253898371,0,19978642,1,19978642,298189.0,1.515153131891832,linear unlock,7.868755487210274
2020-12-20,NEAR,1.05,254822227,0,20276830,1,20276830,298188.0,1.4925338769271705,linear unlock,7.957245425062548
2020-12-21,NEAR,1.06,255746084,0,20575019,1,20575019,298189.0,1.470589830856204,linear unlock,8.045096401163272
2020-12-22,NEAR,1.22,256669940,0,20873208,1,20873208,298189.0,1.4492769119678577,linear unlock,8.132314987878985
2020-12-23,NEAR,1.16,257593796,0,21171397,1,21171397,298189.0,1.4285729342609914,linear unlock,8.218907958482044
