Date,Symbol,Price,Unlocked Supply,Founder / Team,Private Investors,Date_diff,Insiders,insider_supply_growth,insider_supply_growth_percentage,insider_unlock_type,insider_owned_float_percentage
2023-07-17,NEON,0.0,50000000,0,0,0,0,0.0,0.0,no unlock,0.0
2023-07-18,NEON,0.12,50000000,0,0,1,0,0.0,0.0,no unlock,0.0
2023-07-19,NEON,0.12,50000000,0,0,1,0,0.0,0.0,no unlock,0.0
2023-07-20,NEON,0.11,50000000,0,0,1,0,0.0,0.0,no unlock,0.0
2023-07-21,NEON,0.09,50000000,0,0,1,0,0.0,0.0,no unlock,0.0
2023-07-22,NEON,0.08,50000000,0,0,1,0,0.0,0.0,no unlock,0.0
2023-07-23,NEON,0.07,50000000,0,0,1,0,0.0,0.0,no unlock,0.0
2023-07-24,NEON,0.09,50000000,0,0,1,0,0.0,0.0,no unlock,0.0
2023-07-25,NEON,0.07,50000000,0,0,1,0,0.0,0.0,no unlock,0.0
2023-07-26,NEON,0.08,50000000,0,0,1,0,0.0,0.0,no unlock,0.0
2023-07-27,NEON,0.08,50000000,0,0,1,0,0.0,0.0,no unlock,0.0
2023-07-28,NEON,0.07,50000000,0,0,1,0,0.0,0.0,no unlock,0.0
2023-07-29,NEON,0.08,50000000,0,0,1,0,0.0,0.0,no unlock,0.0
2023-07-30,NEON,0.08,50000000,0,0,1,0,0.0,0.0,no unlock,0.0
2023-07-31,NEON,0.07,50000000,0,0,1,0,0.0,0.0,no unlock,0.0
2023-08-01,NEON,0.07,50000000,0,0,1,0,0.0,0.0,no unlock,0.0
2023-08-02,NEON,0.06,50000000,0,0,1,0,0.0,0.0,no unlock,0.0
2023-08-03,NEON,0.06,50000000,0,0,1,0,0.0,0.0,no unlock,0.0
2023-08-04,NEON,0.05,50000000,0,0,1,0,0.0,0.0,no unlock,0.0
2023-08-05,NEON,0.06,50000000,0,0,1,0,0.0,0.0,no unlock,0.0
2023-08-06,NEON,0.06,50000000,0,0,1,0,0.0,0.0,no unlock,0.0
2023-08-07,NEON,0.06,50000000,0,0,1,0,0.0,0.0,no unlock,0.0
