Date,Symbol,Price,Unlocked Supply,Date_diff,Insiders,insider_supply_growth,insider_supply_growth_percentage,insider_unlock_type,insider_owned_float_percentage
2018-03-31,OKB,0.0,300000000,0,0,0.0,0.0,no unlock,0.0
2018-04-01,OKB,0.0,300000000,1,0,0.0,0.0,no unlock,0.0
2018-04-02,OKB,0.0,300000000,1,0,0.0,0.0,no unlock,0.0
2018-04-03,OKB,0.0,300000000,1,0,0.0,0.0,no unlock,0.0
2018-04-04,OKB,0.0,300000000,1,0,0.0,0.0,no unlock,0.0
2018-04-05,OKB,0.0,300000000,1,0,0.0,0.0,no unlock,0.0
2018-04-06,OKB,0.0,300000000,1,0,0.0,0.0,no unlock,0.0
2018-04-07,OKB,0.0,300000000,1,0,0.0,0.0,no unlock,0.0
2018-04-08,OKB,0.0,300000000,1,0,0.0,0.0,no unlock,0.0
2018-04-09,OKB,0.0,300000000,1,0,0.0,0.0,no unlock,0.0
2018-04-10,OKB,0.0,300000000,1,0,0.0,0.0,no unlock,0.0
2018-04-11,OKB,0.0,300000000,1,0,0.0,0.0,no unlock,0.0
2018-04-12,OKB,0.0,300000000,1,0,0.0,0.0,no unlock,0.0
2018-04-13,OKB,0.0,300000000,1,0,0.0,0.0,no unlock,0.0
2018-04-14,OKB,0.0,300000000,1,0,0.0,0.0,no unlock,0.0
2018-04-15,OKB,0.0,300000000,1,0,0.0,0.0,no unlock,0.0
2018-04-16,OKB,0.0,300000000,1,0,0.0,0.0,no unlock,0.0
2018-04-17,OKB,0.0,300000000,1,0,0.0,0.0,no unlock,0.0
2018-04-18,OKB,0.0,300000000,1,0,0.0,0.0,no unlock,0.0
2018-04-19,OKB,0.0,300000000,1,0,0.0,0.0,no unlock,0.0
2018-04-20,OKB,0.0,300000000,1,0,0.0,0.0,no unlock,0.0
2018-04-21,OKB,0.0,300000000,1,0,0.0,0.0,no unlock,0.0
2018-04-22,OKB,0.0,300000000,1,0,0.0,0.0,no unlock,0.0
2018-04-23,OKB,0.0,300000000,1,0,0.0,0.0,no unlock,0.0
2018-04-24,OKB,0.0,300000000,1,0,0.0,0.0,no unlock,0.0
2018-04-25,OKB,0.0,300000000,1,0,0.0,0.0,no unlock,0.0
2018-04-26,OKB,0.0,300000000,1,0,0.0,0.0,no unlock,0.0
2018-04-27,OKB,0.0,300000000,1,0,0.0,0.0,no unlock,0.0
2018-04-28,OKB,0.0,300000000,1,0,0.0,0.0,no unlock,0.0
2018-04-29,OKB,0.0,300000000,1,0,0.0,0.0,no unlock,0.0
2018-04-30,OKB,0.0,300000000,1,0,0.0,0.0,no unlock,0.0
2018-05-01,OKB,0.0,300000000,1,0,0.0,0.0,no unlock,0.0
2018-05-02,OKB,0.0,300000000,1,0,0.0,0.0,no unlock,0.0
2018-05-03,OKB,0.0,300000000,1,0,0.0,0.0,no unlock,0.0
2018-05-04,OKB,0.0,300000000,1,0,0.0,0.0,no unlock,0.0
2018-05-05,OKB,0.0,300000000,1,0,0.0,0.0,no unlock,0.0
2018-05-06,OKB,0.0,300000000,1,0,0.0,0.0,no unlock,0.0
2018-05-07,OKB,0.0,300000000,1,0,0.0,0.0,no unlock,0.0
2018-05-08,OKB,0.0,300000000,1,0,0.0,0.0,no unlock,0.0
2018-05-09,OKB,0.0,300000000,1,0,0.0,0.0,no unlock,0.0
2018-05-10,OKB,0.0,300000000,1,0,0.0,0.0,no unlock,0.0
2018-05-11,OKB,0.0,300000000,1,0,0.0,0.0,no unlock,0.0
2018-05-12,OKB,0.0,300000000,1,0,0.0,0.0,no unlock,0.0
2018-05-13,OKB,0.0,300000000,1,0,0.0,0.0,no unlock,0.0
2018-05-14,OKB,0.0,300000000,1,0,0.0,0.0,no unlock,0.0
2018-05-15,OKB,0.0,300000000,1,0,0.0,0.0,no unlock,0.0
2018-05-16,OKB,0.0,300000000,1,0,0.0,0.0,no unlock,0.0
2018-05-17,OKB,0.0,300000000,1,0,0.0,0.0,no unlock,0.0
2018-05-18,OKB,0.0,300000000,1,0,0.0,0.0,no unlock,0.0
2018-05-19,OKB,0.0,300000000,1,0,0.0,0.0,no unlock,0.0
2018-05-20,OKB,0.0,300000000,1,0,0.0,0.0,no unlock,0.0
2018-05-21,OKB,0.0,300000000,1,0,0.0,0.0,no unlock,0.0
2018-05-22,OKB,0.0,300000000,1,0,0.0,0.0,no unlock,0.0
2018-05-23,OKB,0.0,300000000,1,0,0.0,0.0,no unlock,0.0
2018-05-24,OKB,0.0,300000000,1,0,0.0,0.0,no unlock,0.0
2018-05-25,OKB,0.0,300000000,1,0,0.0,0.0,no unlock,0.0
2018-05-26,OKB,0.0,300000000,1,0,0.0,0.0,no unlock,0.0
