Date,Symbol,Price,Unlocked Supply,Founder / Team,Private Investors,Date_diff,Insiders,insider_supply_growth,insider_supply_growth_percentage,insider_unlock_type,insider_owned_float_percentage
2021-02-16,POOL,0.0,0,0,0,0,0,0.0,0.0,no unlock,
2021-02-17,POOL,11.98,1750970,0,0,1,0,0.0,0.0,no unlock,0.0
2021-02-18,POOL,11.98,1769422,3408,2060,1,5468,5468.0,inf,first linear unlock,0.30902746772674916
2021-02-19,POOL,27.07,1787875,6816,4121,1,10937,5469.0,100.01828822238478,linear unlock,0.611731804516535
2021-02-20,POOL,46.09,1806328,10225,6181,1,16405,5468.0,49.99542836243943,linear unlock,0.9081960751314267
2021-02-21,POOL,35.8,1824781,13633,8241,1,21874,5469.0,33.337397135019806,linear unlock,1.1987191887684057
2021-02-22,POOL,38.58,1843234,17041,10301,1,27342,5468.0,24.997714181219713,linear unlock,1.48337107496932
2021-02-23,POOL,33.6,1861686,20449,12362,1,32811,5469.0,20.00219442615756,linear unlock,1.7624346962914261
2021-02-24,POOL,29.54,1880139,23858,14422,1,38279,5468.0,16.66514278747981,linear unlock,2.0359664897116647
2021-02-25,POOL,28.64,1898592,27266,16482,1,43748,5469.0,14.287207084824576,linear unlock,2.3042338743658455
2021-02-26,POOL,26.73,1917045,30674,18542,1,49216,5468.0,12.498857090609857,linear unlock,2.567284544702915
2021-02-27,POOL,21.09,1935498,34082,20603,1,54685,5469.0,11.112239921976592,linear unlock,2.8253710414580637
2021-02-28,POOL,19.61,1953950,37490,22663,1,60153,5468.0,9.999085672487885,linear unlock,3.0785332275646766
2021-03-01,POOL,18.78,1972403,40899,24723,1,65622,5469.0,9.091815869532692,linear unlock,3.3270077159687954
2021-03-02,POOL,22.22,1990856,44307,26784,1,71090,5468.0,8.332571393739904,linear unlock,3.5708258156290564
2021-03-03,POOL,19.48,2009309,47715,28844,1,76559,5469.0,7.693065128710086,linear unlock,3.8102153526411318
2021-03-04,POOL,20.08,2027762,51123,30904,1,82027,5468.0,7.142204051777061,linear unlock,4.045198598257587
2021-03-05,POOL,17.77,2046214,54532,32964,1,87496,5469.0,6.667316859082985,linear unlock,4.275994592940914
2021-03-06,POOL,15.83,2064667,57940,35025,1,92964,5468.0,6.249428545304928,linear unlock,4.502614707359589
2021-03-07,POOL,18.96,2083120,61348,37085,1,98433,5469.0,5.882922421582548,linear unlock,4.725267867429625
2021-03-08,POOL,19.98,2101573,64756,39145,1,103901,5468.0,5.555047595826603,linear unlock,4.943963402651253
2021-03-09,POOL,20.86,2120026,68164,41205,1,109370,5469.0,5.2636644498128025,linear unlock,5.1588989946349715
2021-03-10,POOL,18.36,2138478,71573,43266,1,114838,5468.0,4.9995428362439425,linear unlock,5.370080964124952
2021-03-11,POOL,17.15,2156931,74981,45326,1,120307,5469.0,4.7623608909942705,linear unlock,5.57769349135415
2021-03-12,POOL,18.02,2175384,78389,47386,1,125775,5468.0,4.545038942039948,linear unlock,5.781737844904624
2021-03-13,POOL,20.92,2193837,81797,49447,1,131244,5469.0,4.3482409063804415,linear unlock,5.982395228086681
2021-03-14,POOL,22.37,2212290,85205,51507,1,136712,5468.0,4.166285696869952,linear unlock,6.1796599903267655
2021-03-15,POOL,25.18,2230743,88614,53567,1,142181,5469.0,4.00038036163614,linear unlock,6.373705980473771
2021-03-16,POOL,25.02,2249195,92022,55627,1,147649,5468.0,3.845802181726109,linear unlock,6.564526419452293
