Date,Symbol,Price,Unlocked Supply,Founder / Team,Date_diff,Insiders,insider_supply_growth,insider_supply_growth_percentage,insider_unlock_type,insider_owned_float_percentage
2022-07-24,RDNT,0.0,170000000,0,0,0,0.0,0.0,no unlock,0.0
2022-07-25,RDNT,0.0,170325760,127505,1,127505,127505.0,inf,first linear unlock,0.0748594927743167
2022-07-26,RDNT,0.16,171627304,255009,1,255009,127504.0,99.99921571703071,linear unlock,0.14858300168835606
2022-07-27,RDNT,0.16,172928848,382514,1,382514,127505.0,50.000196071511205,linear unlock,0.22119733313668982
2022-07-28,RDNT,0.09,174230392,510018,1,510018,127504.0,33.333159047773414,linear unlock,0.2927261967016639
2022-07-29,RDNT,0.06,175531936,637523,1,637523,127505.0,25.000098035755602,linear unlock,0.36319487754068863
2022-07-30,RDNT,0.06,176833481,765027,1,765027,127504.0,19.999905885748436,linear unlock,0.43262565192617564
2022-07-31,RDNT,0.04,178135025,892532,1,892532,127505.0,16.666732023837067,linear unlock,0.5010423974734896
2022-08-01,RDNT,0.04,179436569,1020036,1,1020036,127504.0,14.285650262399555,linear unlock,0.5684660633474328
2022-08-02,RDNT,0.05,180738113,1147541,1,1147541,127505.0,12.500049017877801,linear unlock,0.6349192104268567
2022-08-03,RDNT,0.08,182039657,1275046,1,1275046,127505.0,11.111149841269288,linear unlock,0.7004221063765242
2022-08-04,RDNT,0.09,183429697,1402550,1,1402550,127504.0,9.999952942874218,linear unlock,0.7646253703401146
2022-08-05,RDNT,0.08,184819737,1530055,1,1530055,127505.0,9.090941499411786,linear unlock,0.8278634224006065
2022-08-06,RDNT,0.09,186209777,1657559,1,1657559,127504.0,8.333295208342184,linear unlock,0.8901568041725328
2022-08-07,RDNT,0.12,187599816,1785064,1,1785064,127505.0,7.692335536774257,linear unlock,0.9515275857200202
2022-08-08,RDNT,0.19,188989856,1912568,1,1912568,127504.0,7.1428251311997775,linear unlock,1.0119950564965774
