Date,Symbol,Price,Unlocked Supply,Founder / Team,Private Investors,Date_diff,Insiders,insider_supply_growth,insider_supply_growth_percentage,insider_unlock_type,insider_owned_float_percentage
2021-04-01,SWISE,0.0,21500000,0,21500000,0,21500000,21500000.0,inf,token generation event unlock,100.0
2021-04-02,SWISE,0.0,21849076,0,21500000,1,21500000,0.0,0.0,no unlock,98.40233060656661
2021-04-03,SWISE,0.0,22198152,0,21500000,1,21500000,0.0,0.0,no unlock,96.8549093636263
2021-04-04,SWISE,0.0,22547228,0,21500000,1,21500000,0.0,0.0,no unlock,95.35540244681076
2021-04-05,SWISE,0.0,22896304,0,21500000,1,21500000,0.0,0.0,no unlock,93.90161835726849
2021-04-06,SWISE,0.0,23245380,0,21500000,1,21500000,0.0,0.0,no unlock,92.49149723514952
2021-04-07,SWISE,0.0,23594456,0,21500000,1,21500000,0.0,0.0,no unlock,91.12310112172113
2021-04-08,SWISE,0.0,23943532,0,21500000,1,21500000,0.0,0.0,no unlock,89.7946050733033
2021-04-09,SWISE,0.0,24292608,0,21500000,1,21500000,0.0,0.0,no unlock,88.5042890413413
2021-04-10,SWISE,0.0,24641684,0,21500000,1,21500000,0.0,0.0,no unlock,87.25053044264345
2021-04-11,SWISE,0.0,24990760,0,21500000,1,21500000,0.0,0.0,no unlock,86.03179735230141
2021-04-12,SWISE,0.0,25339836,0,21500000,1,21500000,0.0,0.0,no unlock,84.84664225924745
2021-04-13,SWISE,0.0,25688912,0,21500000,1,21500000,0.0,0.0,no unlock,83.69369633093063
2021-04-14,SWISE,0.0,26037988,0,21500000,1,21500000,0.0,0.0,no unlock,82.57166413933365
2021-04-15,SWISE,0.0,26387064,0,21500000,1,21500000,0.0,0.0,no unlock,81.47931880560868
2021-04-16,SWISE,0.0,26736140,0,21500000,1,21500000,0.0,0.0,no unlock,80.4154975250728
2021-04-17,SWISE,0.0,27085216,0,21500000,1,21500000,0.0,0.0,no unlock,79.37909743824824
2021-04-18,SWISE,0.0,27434292,0,21500000,1,21500000,0.0,0.0,no unlock,78.36907181712581
2021-04-19,SWISE,0.0,27783368,0,21500000,1,21500000,0.0,0.0,no unlock,77.3844265389279
2021-04-20,SWISE,0.0,28132444,0,21500000,1,21500000,0.0,0.0,no unlock,76.42421682239909
2021-04-21,SWISE,0.0,28481520,0,21500000,1,21500000,0.0,0.0,no unlock,75.48754420410147
2021-04-22,SWISE,0.0,28830595,0,21500000,1,21500000,0.0,0.0,no unlock,74.57355632098471
2021-04-23,SWISE,0.0,29179671,0,21500000,1,21500000,0.0,0.0,no unlock,73.68143389964882
2021-04-24,SWISE,0.0,29528747,0,21500000,1,21500000,0.0,0.0,no unlock,72.81040404457391
2021-04-25,SWISE,0.0,29877823,0,21500000,1,21500000,0.0,0.0,no unlock,71.9597274540384
2021-04-26,SWISE,0.0,30226899,0,21500000,1,21500000,0.0,0.0,no unlock,71.12869897768871
2021-04-27,SWISE,0.2,30575975,0,21500000,1,21500000,0.0,0.0,no unlock,70.31664566706375
2021-04-28,SWISE,0.2,30925051,0,21500000,1,21500000,0.0,0.0,no unlock,69.52292495815125
2021-04-29,SWISE,0.19,31274127,0,21500000,1,21500000,0.0,0.0,no unlock,68.74692297565971
2021-04-30,SWISE,0.22,31623203,0,21500000,1,21500000,0.0,0.0,no unlock,67.9880529496016
2021-05-01,SWISE,0.22,31972279,0,21500000,1,21500000,0.0,0.0,no unlock,67.24575373560327
2021-05-02,SWISE,0.2,32321355,0,21500000,1,21500000,0.0,0.0,no unlock,66.51948843110074
2021-05-03,SWISE,0.18,32670431,0,21500000,1,21500000,0.0,0.0,no unlock,65.80874308024892
2021-05-04,SWISE,0.21,33019507,0,21500000,1,21500000,0.0,0.0,no unlock,65.11302546097978
2021-05-05,SWISE,0.18,33368583,0,21500000,1,21500000,0.0,0.0,no unlock,64.43186394819342
2021-05-06,SWISE,0.22,33717659,0,21500000,1,21500000,0.0,0.0,no unlock,63.76480644756506
2021-05-07,SWISE,0.23,34066735,0,21500000,1,21500000,0.0,0.0,no unlock,63.11141939490239
2021-05-08,SWISE,0.21,34415811,0,21500000,1,21500000,0.0,0.0,no unlock,62.471286816399584
2021-05-09,SWISE,0.21,34764887,0,21500000,1,21500000,0.0,0.0,no unlock,61.844009445507474
2021-05-10,SWISE,0.17,35113963,0,21500000,1,21500000,0.0,0.0,no unlock,61.22920389248003
2021-05-11,SWISE,0.17,35463039,0,21500000,1,21500000,0.0,0.0,no unlock,60.62650186296781
2021-05-12,SWISE,0.17,35812115,0,21500000,1,21500000,0.0,0.0,no unlock,60.03554942231142
2021-05-13,SWISE,0.17,36161191,0,21500000,1,21500000,0.0,0.0,no unlock,59.456006302447285
2021-05-14,SWISE,0.14,36510267,0,21500000,1,21500000,0.0,0.0,no unlock,58.8875452485735
2021-05-15,SWISE,0.15,36859343,0,21500000,1,21500000,0.0,0.0,no unlock,58.32985140294009
2021-05-16,SWISE,0.13,37208419,0,21500000,1,21500000,0.0,0.0,no unlock,57.782621723325576
2021-05-17,SWISE,0.12,37557495,0,21500000,1,21500000,0.0,0.0,no unlock,57.24556443394321
2021-05-18,SWISE,0.12,37906571,0,21500000,1,21500000,0.0,0.0,no unlock,56.71839850668635
2021-05-19,SWISE,0.12,38255647,0,21500000,1,21500000,0.0,0.0,no unlock,56.20085317077502
2021-05-20,SWISE,0.08,38604723,0,21500000,1,21500000,0.0,0.0,no unlock,55.69266744900617
2021-05-21,SWISE,0.08,38953799,0,21500000,1,21500000,0.0,0.0,no unlock,55.19358971893858
