Date,Symbol,Price,Unlocked Supply,Founder / Team,Private Investors,Date_diff,Insiders,insider_supply_growth,insider_supply_growth_percentage,insider_unlock_type,insider_owned_float_percentage
2022-03-17,STG,0.0,528900000,0,0,0,0,0.0,0.0,no unlock,0.0
2022-03-18,STG,1.23,528911945,0,0,1,0,0.0,0.0,no unlock,0.0
2022-03-19,STG,1.23,529141293,0,0,1,0,0.0,0.0,no unlock,0.0
2022-03-20,STG,0.74,529370641,0,0,1,0,0.0,0.0,no unlock,0.0
2022-03-21,STG,0.74,529599989,0,0,1,0,0.0,0.0,no unlock,0.0
2022-03-22,STG,1.14,529829336,0,0,1,0,0.0,0.0,no unlock,0.0
2022-03-23,STG,1.64,530058684,0,0,1,0,0.0,0.0,no unlock,0.0
2022-03-24,STG,1.98,530288032,0,0,1,0,0.0,0.0,no unlock,0.0
2022-03-25,STG,2.5,530517380,0,0,1,0,0.0,0.0,no unlock,0.0
2022-03-26,STG,2.64,530746728,0,0,1,0,0.0,0.0,no unlock,0.0
2022-03-27,STG,3.24,530976076,0,0,1,0,0.0,0.0,no unlock,0.0
2022-03-28,STG,3.32,531205423,0,0,1,0,0.0,0.0,no unlock,0.0
2022-03-29,STG,2.91,531434771,0,0,1,0,0.0,0.0,no unlock,0.0
2022-03-30,STG,2.71,531664119,0,0,1,0,0.0,0.0,no unlock,0.0
2022-03-31,STG,3.59,531893467,0,0,1,0,0.0,0.0,no unlock,0.0
2022-04-01,STG,3.36,532122815,0,0,1,0,0.0,0.0,no unlock,0.0
2022-04-02,STG,4.14,532352163,0,0,1,0,0.0,0.0,no unlock,0.0
2022-04-03,STG,3.87,532581510,0,0,1,0,0.0,0.0,no unlock,0.0
2022-04-04,STG,3.6,532810858,0,0,1,0,0.0,0.0,no unlock,0.0
2022-04-05,STG,3.88,533040206,0,0,1,0,0.0,0.0,no unlock,0.0
2022-04-06,STG,3.36,533269554,0,0,1,0,0.0,0.0,no unlock,0.0
2022-04-07,STG,2.8,533498902,0,0,1,0,0.0,0.0,no unlock,0.0
2022-04-08,STG,2.97,533728250,0,0,1,0,0.0,0.0,no unlock,0.0
2022-04-09,STG,2.43,533957597,0,0,1,0,0.0,0.0,no unlock,0.0
2022-04-10,STG,2.35,534186945,0,0,1,0,0.0,0.0,no unlock,0.0
2022-04-11,STG,2.22,534416293,0,0,1,0,0.0,0.0,no unlock,0.0
2022-04-12,STG,1.79,534645641,0,0,1,0,0.0,0.0,no unlock,0.0
2022-04-13,STG,2.06,534874989,0,0,1,0,0.0,0.0,no unlock,0.0
2022-04-14,STG,2.38,535104336,0,0,1,0,0.0,0.0,no unlock,0.0
2022-04-15,STG,2.11,535333684,0,0,1,0,0.0,0.0,no unlock,0.0
2022-04-16,STG,2.46,535563032,0,0,1,0,0.0,0.0,no unlock,0.0
2022-04-17,STG,2.33,535792380,0,0,1,0,0.0,0.0,no unlock,0.0
2022-04-18,STG,2.05,536021728,0,0,1,0,0.0,0.0,no unlock,0.0
2022-04-19,STG,2.19,536251076,0,0,1,0,0.0,0.0,no unlock,0.0
