Date,Symbol,Price,Unlocked Supply,Founder / Team,Date_diff,Insiders,insider_supply_growth,insider_supply_growth_percentage,insider_unlock_type,insider_owned_float_percentage
2023-02-19,SUDO,3.16,42000000,0,0,0,0.0,0.0,no unlock,0.0
2023-02-20,SUDO,2.97,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-02-21,SUDO,2.82,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-02-22,SUDO,2.35,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-02-23,SUDO,2.2,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-02-24,SUDO,2.33,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-02-25,SUDO,2.07,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-02-26,SUDO,1.95,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-02-27,SUDO,2.19,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-02-28,SUDO,2.28,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-03-01,SUDO,2.1,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-03-02,SUDO,2.08,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-03-03,SUDO,1.96,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-03-04,SUDO,1.49,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-03-05,SUDO,1.52,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-03-06,SUDO,1.38,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-03-07,SUDO,1.49,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-03-08,SUDO,1.36,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-03-09,SUDO,1.3,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-03-10,SUDO,1.12,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-03-11,SUDO,1.02,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-03-12,SUDO,0.93,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-03-13,SUDO,1.1,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-03-14,SUDO,1.12,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-03-15,SUDO,1.16,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-03-16,SUDO,1.04,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-03-17,SUDO,0.97,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-03-18,SUDO,1.04,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-03-19,SUDO,0.98,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-03-20,SUDO,1.05,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-03-21,SUDO,1.01,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-03-22,SUDO,1.26,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-03-23,SUDO,1.05,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-03-24,SUDO,0.95,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-03-25,SUDO,0.88,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-03-26,SUDO,0.88,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-03-27,SUDO,0.82,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-03-28,SUDO,0.86,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-03-29,SUDO,1.0,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-03-30,SUDO,0.95,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-03-31,SUDO,0.91,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-04-01,SUDO,0.86,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-04-02,SUDO,0.85,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-04-03,SUDO,0.82,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-04-04,SUDO,0.8,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-04-05,SUDO,0.88,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-04-06,SUDO,0.83,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-04-07,SUDO,0.8,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-04-08,SUDO,0.83,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-04-09,SUDO,0.83,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-04-10,SUDO,0.87,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-04-11,SUDO,0.92,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-04-12,SUDO,0.96,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-04-13,SUDO,1.01,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-04-14,SUDO,1.09,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-04-15,SUDO,1.1,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-04-16,SUDO,1.19,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-04-17,SUDO,1.12,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-04-18,SUDO,1.04,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-04-19,SUDO,1.04,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-04-20,SUDO,1.08,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-04-21,SUDO,0.88,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-04-22,SUDO,0.79,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-04-23,SUDO,0.78,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-04-24,SUDO,0.77,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-04-25,SUDO,0.75,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-04-26,SUDO,0.82,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-04-27,SUDO,0.83,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-04-28,SUDO,0.84,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-04-29,SUDO,0.78,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-04-30,SUDO,0.76,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-05-01,SUDO,0.71,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-05-02,SUDO,0.68,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-05-03,SUDO,0.71,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-05-04,SUDO,0.67,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-05-05,SUDO,0.71,42000000,0,1,0,0.0,0.0,no unlock,0.0
2023-05-06,SUDO,0.72,42000000,0,1,0,0.0,0.0,no unlock,0.0
