Date,Symbol,Price,Unlocked Supply,Founder / Team,Private Investors,Date_diff,Insiders,insider_supply_growth,insider_supply_growth_percentage,insider_unlock_type,insider_owned_float_percentage
2020-08-14,SAND,0.08,534900000,0,0,0,0,0.0,0.0,no unlock,0.0
2020-08-15,SAND,0.06,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-08-16,SAND,0.05,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-08-17,SAND,0.06,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-08-18,SAND,0.05,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-08-19,SAND,0.05,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-08-20,SAND,0.05,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-08-21,SAND,0.05,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-08-22,SAND,0.04,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-08-23,SAND,0.04,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-08-24,SAND,0.04,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-08-25,SAND,0.05,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-08-26,SAND,0.04,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-08-27,SAND,0.05,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-08-28,SAND,0.07,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-08-29,SAND,0.07,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-08-30,SAND,0.07,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-08-31,SAND,0.06,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-09-01,SAND,0.07,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-09-02,SAND,0.06,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-09-03,SAND,0.05,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-09-04,SAND,0.04,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-09-05,SAND,0.04,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-09-06,SAND,0.03,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-09-07,SAND,0.04,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-09-08,SAND,0.03,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-09-09,SAND,0.05,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-09-10,SAND,0.04,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-09-11,SAND,0.04,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-09-12,SAND,0.05,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-09-13,SAND,0.04,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-09-14,SAND,0.04,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-09-15,SAND,0.04,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-09-16,SAND,0.04,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-09-17,SAND,0.04,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-09-18,SAND,0.04,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-09-19,SAND,0.04,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-09-20,SAND,0.04,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-09-21,SAND,0.04,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-09-22,SAND,0.03,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-09-23,SAND,0.04,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-09-24,SAND,0.04,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-09-25,SAND,0.04,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-09-26,SAND,0.04,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-09-27,SAND,0.04,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-09-28,SAND,0.04,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-09-29,SAND,0.04,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-09-30,SAND,0.04,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-10-01,SAND,0.04,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-10-02,SAND,0.04,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-10-03,SAND,0.04,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-10-04,SAND,0.04,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-10-05,SAND,0.04,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-10-06,SAND,0.05,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-10-07,SAND,0.04,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-10-08,SAND,0.04,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-10-09,SAND,0.04,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-10-10,SAND,0.05,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-10-11,SAND,0.04,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-10-12,SAND,0.04,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-10-13,SAND,0.04,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-10-14,SAND,0.04,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-10-15,SAND,0.04,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-10-16,SAND,0.04,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-10-17,SAND,0.04,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-10-18,SAND,0.04,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-10-19,SAND,0.04,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-10-20,SAND,0.04,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-10-21,SAND,0.03,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-10-22,SAND,0.03,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
2020-10-23,SAND,0.04,534900000,0,0,1,0,0.0,0.0,no unlock,0.0
