Date,Symbol,Price,Unlocked Supply,Founder / Team,Private Investors,Date_diff,Insiders,insider_supply_growth,insider_supply_growth_percentage,insider_unlock_type,insider_owned_float_percentage
2021-07-27,YGG,0.0,66302083,0,26500000,0,26500000,26500000.0,inf,token generation event unlock,39.968578362764255
2021-07-28,YGG,1.44,66302083,0,26500000,1,26500000,0.0,0.0,no unlock,39.968578362764255
2021-07-29,YGG,1.44,66302083,0,26500000,1,26500000,0.0,0.0,no unlock,39.968578362764255
2021-07-30,YGG,2.19,66302083,0,26500000,1,26500000,0.0,0.0,no unlock,39.968578362764255
2021-07-31,YGG,2.55,66302083,0,26500000,1,26500000,0.0,0.0,no unlock,39.968578362764255
2021-08-01,YGG,2.69,66302083,0,26500000,1,26500000,0.0,0.0,no unlock,39.968578362764255
2021-08-02,YGG,2.31,66302083,0,26500000,1,26500000,0.0,0.0,no unlock,39.968578362764255
2021-08-03,YGG,2.37,66302083,0,26500000,1,26500000,0.0,0.0,no unlock,39.968578362764255
2021-08-04,YGG,1.78,66302083,0,26500000,1,26500000,0.0,0.0,no unlock,39.968578362764255
2021-08-05,YGG,2.33,66302083,0,26500000,1,26500000,0.0,0.0,no unlock,39.968578362764255
2021-08-06,YGG,2.18,66302083,0,26500000,1,26500000,0.0,0.0,no unlock,39.968578362764255
2021-08-07,YGG,2.21,66302083,0,26500000,1,26500000,0.0,0.0,no unlock,39.968578362764255
2021-08-08,YGG,2.23,66302083,0,26500000,1,26500000,0.0,0.0,no unlock,39.968578362764255
2021-08-09,YGG,2.09,66302083,0,26500000,1,26500000,0.0,0.0,no unlock,39.968578362764255
2021-08-10,YGG,2.06,66302083,0,26500000,1,26500000,0.0,0.0,no unlock,39.968578362764255
2021-08-11,YGG,2.29,66302083,0,26500000,1,26500000,0.0,0.0,no unlock,39.968578362764255
2021-08-12,YGG,3.33,66302083,0,26500000,1,26500000,0.0,0.0,no unlock,39.968578362764255
2021-08-13,YGG,3.33,66302083,0,26500000,1,26500000,0.0,0.0,no unlock,39.968578362764255
2021-08-14,YGG,4.92,66302083,0,26500000,1,26500000,0.0,0.0,no unlock,39.968578362764255
2021-08-15,YGG,6.84,66302083,0,26500000,1,26500000,0.0,0.0,no unlock,39.968578362764255
2021-08-16,YGG,6.36,66302083,0,26500000,1,26500000,0.0,0.0,no unlock,39.968578362764255
2021-08-17,YGG,7.23,66302083,0,26500000,1,26500000,0.0,0.0,no unlock,39.968578362764255
2021-08-18,YGG,6.82,66302083,0,26500000,1,26500000,0.0,0.0,no unlock,39.968578362764255
2021-08-19,YGG,5.67,66302083,0,26500000,1,26500000,0.0,0.0,no unlock,39.968578362764255
2021-08-20,YGG,7.24,66302083,0,26500000,1,26500000,0.0,0.0,no unlock,39.968578362764255
2021-08-21,YGG,7.94,66302083,0,26500000,1,26500000,0.0,0.0,no unlock,39.968578362764255
2021-08-22,YGG,7.84,66302083,0,26500000,1,26500000,0.0,0.0,no unlock,39.968578362764255
2021-08-23,YGG,7.74,66302083,0,26500000,1,26500000,0.0,0.0,no unlock,39.968578362764255
2021-08-24,YGG,7.12,66302083,0,26500000,1,26500000,0.0,0.0,no unlock,39.968578362764255
2021-08-25,YGG,7.69,66302083,0,26500000,1,26500000,0.0,0.0,no unlock,39.968578362764255
2021-08-26,YGG,9.35,66302083,0,26500000,1,26500000,0.0,0.0,no unlock,39.968578362764255
2021-08-27,YGG,10.19,77104167,0,26500000,1,26500000,0.0,0.0,no unlock,34.36908928670483
2021-08-28,YGG,10.37,77104167,0,26500000,1,26500000,0.0,0.0,no unlock,34.36908928670483
2021-08-29,YGG,9.81,77104167,0,26500000,1,26500000,0.0,0.0,no unlock,34.36908928670483
2021-08-30,YGG,9.43,77104167,0,26500000,1,26500000,0.0,0.0,no unlock,34.36908928670483
2021-08-31,YGG,8.55,77104167,0,26500000,1,26500000,0.0,0.0,no unlock,34.36908928670483
2021-09-01,YGG,8.3,77104167,0,26500000,1,26500000,0.0,0.0,no unlock,34.36908928670483
2021-09-02,YGG,8.84,77104167,0,26500000,1,26500000,0.0,0.0,no unlock,34.36908928670483
2021-09-03,YGG,8.9,77104167,0,26500000,1,26500000,0.0,0.0,no unlock,34.36908928670483
2021-09-04,YGG,8.54,77104167,0,26500000,1,26500000,0.0,0.0,no unlock,34.36908928670483
2021-09-05,YGG,8.66,77104167,0,26500000,1,26500000,0.0,0.0,no unlock,34.36908928670483
2021-09-06,YGG,8.27,77104167,0,26500000,1,26500000,0.0,0.0,no unlock,34.36908928670483
2021-09-07,YGG,7.29,77104167,0,26500000,1,26500000,0.0,0.0,no unlock,34.36908928670483
2021-09-08,YGG,6.16,77104167,0,26500000,1,26500000,0.0,0.0,no unlock,34.36908928670483
2021-09-09,YGG,5.92,77104167,0,26500000,1,26500000,0.0,0.0,no unlock,34.36908928670483
2021-09-10,YGG,5.5,77104167,0,26500000,1,26500000,0.0,0.0,no unlock,34.36908928670483
2021-09-11,YGG,5.22,77104167,0,26500000,1,26500000,0.0,0.0,no unlock,34.36908928670483
2021-09-12,YGG,5.77,77104167,0,26500000,1,26500000,0.0,0.0,no unlock,34.36908928670483
2021-09-13,YGG,6.1,77104167,0,26500000,1,26500000,0.0,0.0,no unlock,34.36908928670483
2021-09-14,YGG,5.44,77104167,0,26500000,1,26500000,0.0,0.0,no unlock,34.36908928670483
2021-09-15,YGG,6.11,77104167,0,26500000,1,26500000,0.0,0.0,no unlock,34.36908928670483
2021-09-16,YGG,5.95,77104167,0,26500000,1,26500000,0.0,0.0,no unlock,34.36908928670483
2021-09-17,YGG,6.84,77104167,0,26500000,1,26500000,0.0,0.0,no unlock,34.36908928670483
2021-09-18,YGG,6.69,77104167,0,26500000,1,26500000,0.0,0.0,no unlock,34.36908928670483
2021-09-19,YGG,6.33,77104167,0,26500000,1,26500000,0.0,0.0,no unlock,34.36908928670483
2021-09-20,YGG,6.17,77104167,0,26500000,1,26500000,0.0,0.0,no unlock,34.36908928670483
2021-09-21,YGG,5.0,77104167,0,26500000,1,26500000,0.0,0.0,no unlock,34.36908928670483
2021-09-22,YGG,4.79,77104167,0,26500000,1,26500000,0.0,0.0,no unlock,34.36908928670483
2021-09-23,YGG,5.72,77104167,0,26500000,1,26500000,0.0,0.0,no unlock,34.36908928670483
2021-09-24,YGG,6.11,77104167,0,26500000,1,26500000,0.0,0.0,no unlock,34.36908928670483
2021-09-25,YGG,6.96,77104167,0,26500000,1,26500000,0.0,0.0,no unlock,34.36908928670483
2021-09-26,YGG,5.77,77104167,0,26500000,1,26500000,0.0,0.0,no unlock,34.36908928670483
2021-09-27,YGG,5.15,87906250,0,26500000,1,26500000,0.0,0.0,no unlock,30.145751866334873
