Date,Symbol,Price,Unlocked Supply,Founder / Team,Date_diff,Insiders,insider_supply_growth,insider_supply_growth_percentage,insider_unlock_type,insider_owned_float_percentage
2024-02-01,ZETA,1.66,231000000,0,0,0,0.0,0.0,no unlock,0.0
2024-02-02,ZETA,1.66,231143737,0,1,0,0.0,0.0,no unlock,0.0
2024-02-03,ZETA,1.68,231287474,0,1,0,0.0,0.0,no unlock,0.0
2024-02-04,ZETA,1.39,231431212,0,1,0,0.0,0.0,no unlock,0.0
2024-02-05,ZETA,1.38,231574949,0,1,0,0.0,0.0,no unlock,0.0
2024-02-06,ZETA,1.3,231718686,0,1,0,0.0,0.0,no unlock,0.0
2024-02-07,ZETA,1.23,231862423,0,1,0,0.0,0.0,no unlock,0.0
2024-02-08,ZETA,1.27,232006160,0,1,0,0.0,0.0,no unlock,0.0
2024-02-09,ZETA,1.23,232149897,0,1,0,0.0,0.0,no unlock,0.0
2024-02-10,ZETA,1.48,232293634,0,1,0,0.0,0.0,no unlock,0.0
2024-02-11,ZETA,1.5,232437372,0,1,0,0.0,0.0,no unlock,0.0
2024-02-12,ZETA,1.73,232581109,0,1,0,0.0,0.0,no unlock,0.0
2024-02-13,ZETA,2.05,232724846,0,1,0,0.0,0.0,no unlock,0.0
2024-02-14,ZETA,2.34,232868583,0,1,0,0.0,0.0,no unlock,0.0
2024-02-15,ZETA,2.41,233012320,0,1,0,0.0,0.0,no unlock,0.0
2024-02-16,ZETA,2.68,233156057,0,1,0,0.0,0.0,no unlock,0.0
2024-02-17,ZETA,2.45,233299795,0,1,0,0.0,0.0,no unlock,0.0
2024-02-18,ZETA,2.37,233443532,0,1,0,0.0,0.0,no unlock,0.0
2024-02-19,ZETA,2.7,233587269,0,1,0,0.0,0.0,no unlock,0.0
2024-02-20,ZETA,2.49,233731006,0,1,0,0.0,0.0,no unlock,0.0
2024-02-21,ZETA,2.33,233874743,0,1,0,0.0,0.0,no unlock,0.0
2024-02-22,ZETA,2.23,234018480,0,1,0,0.0,0.0,no unlock,0.0
2024-02-23,ZETA,2.49,234162218,0,1,0,0.0,0.0,no unlock,0.0
2024-02-24,ZETA,2.2,234305955,0,1,0,0.0,0.0,no unlock,0.0
2024-02-25,ZETA,2.33,234449692,0,1,0,0.0,0.0,no unlock,0.0
2024-02-26,ZETA,2.46,234593429,0,1,0,0.0,0.0,no unlock,0.0
2024-02-27,ZETA,2.54,234737166,0,1,0,0.0,0.0,no unlock,0.0
2024-02-28,ZETA,2.56,234880903,0,1,0,0.0,0.0,no unlock,0.0
2024-02-29,ZETA,2.38,235024641,0,1,0,0.0,0.0,no unlock,0.0
2024-03-01,ZETA,2.2,240462128,0,1,0,0.0,0.0,no unlock,0.0
2024-03-02,ZETA,2.3,240605865,0,1,0,0.0,0.0,no unlock,0.0
2024-03-03,ZETA,2.34,240749602,0,1,0,0.0,0.0,no unlock,0.0
2024-03-04,ZETA,2.28,240893339,0,1,0,0.0,0.0,no unlock,0.0
2024-03-05,ZETA,2.15,241037076,0,1,0,0.0,0.0,no unlock,0.0
2024-03-06,ZETA,1.89,241180814,0,1,0,0.0,0.0,no unlock,0.0
2024-03-07,ZETA,2.22,241324551,0,1,0,0.0,0.0,no unlock,0.0
2024-03-08,ZETA,2.46,241468288,0,1,0,0.0,0.0,no unlock,0.0
2024-03-09,ZETA,2.32,241612025,0,1,0,0.0,0.0,no unlock,0.0
2024-03-10,ZETA,2.36,241755762,0,1,0,0.0,0.0,no unlock,0.0
2024-03-11,ZETA,2.34,241899499,0,1,0,0.0,0.0,no unlock,0.0
2024-03-12,ZETA,2.47,242043237,0,1,0,0.0,0.0,no unlock,0.0
2024-03-13,ZETA,2.34,242186974,0,1,0,0.0,0.0,no unlock,0.0
2024-03-14,ZETA,2.38,242330711,0,1,0,0.0,0.0,no unlock,0.0
2024-03-15,ZETA,2.26,242474448,0,1,0,0.0,0.0,no unlock,0.0
2024-03-16,ZETA,2.07,242618185,0,1,0,0.0,0.0,no unlock,0.0
2024-03-17,ZETA,2.01,242761922,0,1,0,0.0,0.0,no unlock,0.0
2024-03-18,ZETA,2.11,242905660,0,1,0,0.0,0.0,no unlock,0.0
2024-03-19,ZETA,1.87,243049397,0,1,0,0.0,0.0,no unlock,0.0
2024-03-20,ZETA,1.93,243193134,0,1,0,0.0,0.0,no unlock,0.0
2024-03-21,ZETA,2.09,243336871,0,1,0,0.0,0.0,no unlock,0.0
2024-03-22,ZETA,2.09,243480608,0,1,0,0.0,0.0,no unlock,0.0
2024-03-23,ZETA,1.96,243624345,0,1,0,0.0,0.0,no unlock,0.0
2024-03-24,ZETA,2.02,243768083,0,1,0,0.0,0.0,no unlock,0.0
2024-03-25,ZETA,2.06,243911820,0,1,0,0.0,0.0,no unlock,0.0
2024-03-26,ZETA,2.11,244055557,0,1,0,0.0,0.0,no unlock,0.0
2024-03-27,ZETA,2.14,244199294,0,1,0,0.0,0.0,no unlock,0.0
2024-03-28,ZETA,2.09,244343031,0,1,0,0.0,0.0,no unlock,0.0
2024-03-29,ZETA,2.11,244486768,0,1,0,0.0,0.0,no unlock,0.0
2024-03-30,ZETA,2.11,244630506,0,1,0,0.0,0.0,no unlock,0.0
2024-03-31,ZETA,2.08,244774243,0,1,0,0.0,0.0,no unlock,0.0
2024-04-01,ZETA,2.08,250211730,0,1,0,0.0,0.0,no unlock,0.0
2024-04-02,ZETA,1.98,250355467,0,1,0,0.0,0.0,no unlock,0.0
2024-04-03,ZETA,1.81,250499204,0,1,0,0.0,0.0,no unlock,0.0
2024-04-04,ZETA,1.85,250642941,0,1,0,0.0,0.0,no unlock,0.0
2024-04-05,ZETA,1.92,250786679,0,1,0,0.0,0.0,no unlock,0.0
2024-04-06,ZETA,1.87,250930416,0,1,0,0.0,0.0,no unlock,0.0
2024-04-07,ZETA,1.86,251074153,0,1,0,0.0,0.0,no unlock,0.0
2024-04-08,ZETA,1.85,251217890,0,1,0,0.0,0.0,no unlock,0.0
2024-04-09,ZETA,1.89,251361627,0,1,0,0.0,0.0,no unlock,0.0
2024-04-10,ZETA,0.0,251505364,0,1,0,0.0,0.0,no unlock,0.0
2024-04-11,ZETA,0.0,251649102,0,1,0,0.0,0.0,no unlock,0.0
2024-04-12,ZETA,0.0,251792839,0,1,0,0.0,0.0,no unlock,0.0
2024-04-13,ZETA,0.0,251936576,0,1,0,0.0,0.0,no unlock,0.0
2024-04-14,ZETA,0.0,252080313,0,1,0,0.0,0.0,no unlock,0.0
2024-04-15,ZETA,0.0,252224050,0,1,0,0.0,0.0,no unlock,0.0
2024-04-16,ZETA,0.0,252367787,0,1,0,0.0,0.0,no unlock,0.0
2024-04-17,ZETA,0.0,252511525,0,1,0,0.0,0.0,no unlock,0.0
2024-04-18,ZETA,0.0,252655262,0,1,0,0.0,0.0,no unlock,0.0
2024-04-19,ZETA,0.0,252798999,0,1,0,0.0,0.0,no unlock,0.0
