Date,Symbol,Price,Available Supply,Unlocked Supply,Reserved,Community & Other
Sep 27 2027,AAVE,0,16000000.00,16000000.00,3000000.00,13000000.00
Sep 27 2027,AAVE,0,16000000.00,16000000.00,3000000.00,13000000.00
Oct 10 2027,AAVE,0,16000000.00,16000000.00,3000000.00,13000000.00
Nov 07 2027,AAVE,0,16000000.00,16000000.00,3000000.00,13000000.00
Nov 07 2027,AAVE,0,16000000.00,16000000.00,3000000.00,13000000.00
Nov 16 2027,AAVE,0,16000000.00,16000000.00,3000000.00,13000000.00
Dec 11 2027,AAVE,0,16000000.00,16000000.00,3000000.00,13000000.00
Sep 12 2027,AAVE,0,16000000.00,16000000.00,3000000.00,13000000.00
Jul 27 2027,AAVE,0,15943298.78,15943298.78,2943298.78,13000000.00
Jul 27 2027,AAVE,0,15943298.78,15943298.78,2943298.78,13000000.00
Aug 21 2027,AAVE,0,15973899.04,15973899.04,2973899.04,13000000.00
Aug 24 2027,AAVE,0,15977571.07,15977571.07,2977571.07,13000000.00
Aug 24 2027,AAVE,0,15977571.07,15977571.07,2977571.07,13000000.00
Aug 18 2027,AAVE,0,15970227.01,15970227.01,2970227.01,13000000.00
Aug 11 2027,AAVE,0,15961658.94,15961658.94,2961658.94,13000000.00
Aug 24 2027,AAVE,0,15977571.07,15977571.07,2977571.07,13000000.00
Aug 24 2027,AAVE,0,15977571.07,15977571.07,2977571.07,13000000.00
Aug 24 2027,AAVE,0,15977571.07,15977571.07,2977571.07,13000000.00
Nov 04 2027,AAVE,0,16000000.00,16000000.00,3000000.00,13000000.00
Sep 15 2026,AAVE,0,15557735.54,15557735.54,2557735.54,13000000.00
Dec 11 2027,AAVE,0,16000000.00,16000000.00,3000000.00,13000000.00
Dec 08 2027,AAVE,0,16000000.00,16000000.00,3000000.00,13000000.00
Dec 05 2027,AAVE,0,16000000.00,16000000.00,3000000.00,13000000.00
Dec 02 2027,AAVE,0,16000000.00,16000000.00,3000000.00,13000000.00
Nov 29 2027,AAVE,0,16000000.00,16000000.00,3000000.00,13000000.00
Nov 25 2027,AAVE,0,16000000.00,16000000.00,3000000.00,13000000.00
Nov 22 2027,AAVE,0,16000000.00,16000000.00,3000000.00,13000000.00
Nov 19 2027,AAVE,0,16000000.00,16000000.00,3000000.00,13000000.00
Nov 16 2027,AAVE,0,16000000.00,16000000.00,3000000.00,13000000.00
Nov 13 2027,AAVE,0,16000000.00,16000000.00,3000000.00,13000000.00
Nov 10 2027,AAVE,0,16000000.00,16000000.00,3000000.00,13000000.00
Nov 07 2027,AAVE,0,16000000.00,16000000.00,3000000.00,13000000.00
Nov 04 2027,AAVE,0,16000000.00,16000000.00,3000000.00,13000000.00
Oct 31 2027,AAVE,0,16000000.00,16000000.00,3000000.00,13000000.00
Oct 28 2027,AAVE,0,16000000.00,16000000.00,3000000.00,13000000.00
Oct 25 2027,AAVE,0,16000000.00,16000000.00,3000000.00,13000000.00
Oct 22 2027,AAVE,0,16000000.00,16000000.00,3000000.00,13000000.00
Oct 19 2027,AAVE,0,16000000.00,16000000.00,3000000.00,13000000.00
Oct 16 2027,AAVE,0,16000000.00,16000000.00,3000000.00,13000000.00
Oct 13 2027,AAVE,0,16000000.00,16000000.00,3000000.00,13000000.00
Oct 10 2027,AAVE,0,16000000.00,16000000.00,3000000.00,13000000.00
Oct 07 2027,AAVE,0,16000000.00,16000000.00,3000000.00,13000000.00
Oct 03 2027,AAVE,0,16000000.00,16000000.00,3000000.00,13000000.00
Sep 30 2027,AAVE,0,16000000.00,16000000.00,3000000.00,13000000.00
Sep 27 2027,AAVE,0,16000000.00,16000000.00,3000000.00,13000000.00
Sep 24 2027,AAVE,0,16000000.00,16000000.00,3000000.00,13000000.00
Sep 21 2027,AAVE,0,16000000.00,16000000.00,3000000.00,13000000.00
Sep 18 2027,AAVE,0,16000000.00,16000000.00,3000000.00,13000000.00
Sep 15 2027,AAVE,0,16000000.00,16000000.00,3000000.00,13000000.00
Sep 12 2027,AAVE,0,16000000.00,16000000.00,3000000.00,13000000.00
Sep 09 2027,AAVE,0,15997155.24,15997155.24,2997155.24,13000000.00
Sep 05 2027,AAVE,0,15992259.20,15992259.20,2992259.20,13000000.00
Sep 02 2027,AAVE,0,15988587.17,15988587.17,2988587.17,13000000.00
Aug 30 2027,AAVE,0,15984915.14,15984915.14,2984915.14,13000000.00
Aug 27 2027,AAVE,0,15981243.10,15981243.10,2981243.10,13000000.00
Aug 24 2027,AAVE,0,15977571.07,15977571.07,2977571.07,13000000.00
Aug 21 2027,AAVE,0,15973899.04,15973899.04,2973899.04,13000000.00
Aug 18 2027,AAVE,0,15970227.01,15970227.01,2970227.01,13000000.00
Aug 15 2027,AAVE,0,15966554.98,15966554.98,2966554.98,13000000.00
Aug 11 2027,AAVE,0,15961658.94,15961658.94,2961658.94,13000000.00
Aug 08 2027,AAVE,0,15957986.91,15957986.91,2957986.91,13000000.00
Aug 05 2027,AAVE,0,15954314.88,15954314.88,2954314.88,13000000.00
Aug 02 2027,AAVE,0,15950642.85,15950642.85,2950642.85,13000000.00
Jul 30 2027,AAVE,0,15946970.82,15946970.82,2946970.82,13000000.00
Jul 27 2027,AAVE,0,15943298.78,15943298.78,2943298.78,13000000.00
Jul 24 2027,AAVE,0,15939626.75,15939626.75,2939626.75,13000000.00
Jul 21 2027,AAVE,0,15935954.72,15935954.72,2935954.72,13000000.00
Jul 18 2027,AAVE,0,15932282.69,15932282.69,2932282.69,13000000.00
Jul 14 2027,AAVE,0,15927386.65,15927386.65,2927386.65,13000000.00
Jul 11 2027,AAVE,0,15923714.62,15923714.62,2923714.62,13000000.00
Jul 08 2027,AAVE,0,15920042.59,15920042.59,2920042.59,13000000.00
Jul 05 2027,AAVE,0,15916370.56,15916370.56,2916370.56,13000000.00
Jul 02 2027,AAVE,0,15912698.53,15912698.53,2912698.53,13000000.00
Jun 29 2027,AAVE,0,15909026.50,15909026.50,2909026.50,13000000.00
Jun 26 2027,AAVE,0,15905354.46,15905354.46,2905354.46,13000000.00
Jun 23 2027,AAVE,0,15901682.43,15901682.43,2901682.43,13000000.00
Jun 19 2027,AAVE,0,15896786.39,15896786.39,2896786.39,13000000.00
Jun 16 2027,AAVE,0,15893114.36,15893114.36,2893114.36,13000000.00
Jun 13 2027,AAVE,0,15889442.33,15889442.33,2889442.33,13000000.00
Jun 10 2027,AAVE,0,15885770.30,15885770.30,2885770.30,13000000.00
Jun 07 2027,AAVE,0,15882098.27,15882098.27,2882098.27,13000000.00
Jun 04 2027,AAVE,0,15878426.24,15878426.24,2878426.24,13000000.00
