Date,Symbol,Price,Available Supply,Unlocked Supply,Founder / Team,Private Investors,Public Investors,Reserved,Community & Other
Apr 25 2028,ACA,0,1000000000.00,1000000000.00,202500000.00,291300000.00,340000000.00,116200000.00,50000000.00
Apr 22 2028,ACA,0,1000000000.00,1000000000.00,202500000.00,291300000.00,340000000.00,116200000.00,50000000.00
Apr 19 2028,ACA,0,1000000000.00,1000000000.00,202500000.00,291300000.00,340000000.00,116200000.00,50000000.00
Apr 16 2028,ACA,0,1000000000.00,1000000000.00,202500000.00,291300000.00,340000000.00,116200000.00,50000000.00
Apr 13 2028,ACA,0,1000000000.00,1000000000.00,202500000.00,291300000.00,340000000.00,116200000.00,50000000.00
Apr 11 2028,ACA,0,1000000000.00,1000000000.00,202500000.00,291300000.00,340000000.00,116200000.00,50000000.00
Apr 08 2028,ACA,0,1000000000.00,1000000000.00,202500000.00,291300000.00,340000000.00,116200000.00,50000000.00
Apr 05 2028,ACA,0,1000000000.00,1000000000.00,202500000.00,291300000.00,340000000.00,116200000.00,50000000.00
Apr 02 2028,ACA,0,1000000000.00,1000000000.00,202500000.00,291300000.00,340000000.00,116200000.00,50000000.00
Mar 30 2028,ACA,0,1000000000.00,1000000000.00,202500000.00,291300000.00,340000000.00,116200000.00,50000000.00
Mar 27 2028,ACA,0,1000000000.00,1000000000.00,202500000.00,291300000.00,340000000.00,116200000.00,50000000.00
Mar 24 2028,ACA,0,1000000000.00,1000000000.00,202500000.00,291300000.00,340000000.00,116200000.00,50000000.00
Mar 21 2028,ACA,0,1000000000.00,1000000000.00,202500000.00,291300000.00,340000000.00,116200000.00,50000000.00
Mar 19 2028,ACA,0,1000000000.00,1000000000.00,202500000.00,291300000.00,340000000.00,116200000.00,50000000.00
Mar 16 2028,ACA,0,1000000000.00,1000000000.00,202500000.00,291300000.00,340000000.00,116200000.00,50000000.00
Mar 13 2028,ACA,0,1000000000.00,1000000000.00,202500000.00,291300000.00,340000000.00,116200000.00,50000000.00
Mar 10 2028,ACA,0,1000000000.00,1000000000.00,202500000.00,291300000.00,340000000.00,116200000.00,50000000.00
Mar 07 2028,ACA,0,1000000000.00,1000000000.00,202500000.00,291300000.00,340000000.00,116200000.00,50000000.00
Mar 04 2028,ACA,0,1000000000.00,1000000000.00,202500000.00,291300000.00,340000000.00,116200000.00,50000000.00
Mar 01 2028,ACA,0,1000000000.00,1000000000.00,202500000.00,291300000.00,340000000.00,116200000.00,50000000.00
Feb 27 2028,ACA,0,1000000000.00,1000000000.00,202500000.00,291300000.00,340000000.00,116200000.00,50000000.00
Feb 25 2028,ACA,0,1000000000.00,1000000000.00,202500000.00,291300000.00,340000000.00,116200000.00,50000000.00
Feb 22 2028,ACA,0,1000000000.00,1000000000.00,202500000.00,291300000.00,340000000.00,116200000.00,50000000.00
Feb 19 2028,ACA,0,1000000000.00,1000000000.00,202500000.00,291300000.00,340000000.00,116200000.00,50000000.00
Feb 16 2028,ACA,0,1000000000.00,1000000000.00,202500000.00,291300000.00,340000000.00,116200000.00,50000000.00
Feb 13 2028,ACA,0,1000000000.00,1000000000.00,202500000.00,291300000.00,340000000.00,116200000.00,50000000.00
Feb 10 2028,ACA,0,1000000000.00,1000000000.00,202500000.00,291300000.00,340000000.00,116200000.00,50000000.00
Feb 07 2028,ACA,0,1000000000.00,1000000000.00,202500000.00,291300000.00,340000000.00,116200000.00,50000000.00
Feb 04 2028,ACA,0,1000000000.00,1000000000.00,202500000.00,291300000.00,340000000.00,116200000.00,50000000.00
Feb 01 2028,ACA,0,1000000000.00,1000000000.00,202500000.00,291300000.00,340000000.00,116200000.00,50000000.00
Jan 30 2028,ACA,0,1000000000.00,1000000000.00,202500000.00,291300000.00,340000000.00,116200000.00,50000000.00
Jan 27 2028,ACA,0,1000000000.00,1000000000.00,202500000.00,291300000.00,340000000.00,116200000.00,50000000.00
Jan 24 2028,ACA,0,995342466.00,995342466.00,202500000.00,291300000.00,335342466.00,116200000.00,50000000.00
Jan 21 2028,ACA,0,995342466.00,995342466.00,202500000.00,291300000.00,335342466.00,116200000.00,50000000.00
Jan 18 2028,ACA,0,995342466.00,995342466.00,202500000.00,291300000.00,335342466.00,116200000.00,50000000.00
Jan 15 2028,ACA,0,995342466.00,995342466.00,202500000.00,291300000.00,335342466.00,116200000.00,50000000.00
Jan 12 2028,ACA,0,995342466.00,995342466.00,202500000.00,291300000.00,335342466.00,116200000.00,50000000.00
Jan 09 2028,ACA,0,995342466.00,995342466.00,202500000.00,291300000.00,335342466.00,116200000.00,50000000.00
Jan 07 2028,ACA,0,995342466.00,995342466.00,202500000.00,291300000.00,335342466.00,116200000.00,50000000.00
Jan 04 2028,ACA,0,995342466.00,995342466.00,202500000.00,291300000.00,335342466.00,116200000.00,50000000.00
Jan 01 2028,ACA,0,995342466.00,995342466.00,202500000.00,291300000.00,335342466.00,116200000.00,50000000.00
Dec 29 2027,ACA,0,995342466.00,995342466.00,202500000.00,291300000.00,335342466.00,116200000.00,50000000.00
Dec 26 2027,ACA,0,995342466.00,995342466.00,202500000.00,291300000.00,335342466.00,116200000.00,50000000.00
Dec 23 2027,ACA,0,990684932.00,990684932.00,202500000.00,291300000.00,330684932.00,116200000.00,50000000.00
Dec 20 2027,ACA,0,990684932.00,990684932.00,202500000.00,291300000.00,330684932.00,116200000.00,50000000.00
Dec 17 2027,ACA,0,990684932.00,990684932.00,202500000.00,291300000.00,330684932.00,116200000.00,50000000.00
Dec 15 2027,ACA,0,990684932.00,990684932.00,202500000.00,291300000.00,330684932.00,116200000.00,50000000.00
Dec 12 2027,ACA,0,990684932.00,990684932.00,202500000.00,291300000.00,330684932.00,116200000.00,50000000.00
Dec 09 2027,ACA,0,990684932.00,990684932.00,202500000.00,291300000.00,330684932.00,116200000.00,50000000.00
Dec 06 2027,ACA,0,990684932.00,990684932.00,202500000.00,291300000.00,330684932.00,116200000.00,50000000.00
Dec 03 2027,ACA,0,990684932.00,990684932.00,202500000.00,291300000.00,330684932.00,116200000.00,50000000.00
Nov 30 2027,ACA,0,990684932.00,990684932.00,202500000.00,291300000.00,330684932.00,116200000.00,50000000.00
Nov 27 2027,ACA,0,990684932.00,990684932.00,202500000.00,291300000.00,330684932.00,116200000.00,50000000.00
Nov 24 2027,ACA,0,986027397.00,986027397.00,202500000.00,291300000.00,326027397.00,116200000.00,50000000.00
Nov 21 2027,ACA,0,986027397.00,986027397.00,202500000.00,291300000.00,326027397.00,116200000.00,50000000.00
Nov 19 2027,ACA,0,986027397.00,986027397.00,202500000.00,291300000.00,326027397.00,116200000.00,50000000.00
Nov 16 2027,ACA,0,986027397.00,986027397.00,202500000.00,291300000.00,326027397.00,116200000.00,50000000.00
Nov 13 2027,ACA,0,986027397.00,986027397.00,202500000.00,291300000.00,326027397.00,116200000.00,50000000.00
Nov 10 2027,ACA,0,986027397.00,986027397.00,202500000.00,291300000.00,326027397.00,116200000.00,50000000.00
Nov 07 2027,ACA,0,986027397.00,986027397.00,202500000.00,291300000.00,326027397.00,116200000.00,50000000.00
Nov 04 2027,ACA,0,986027397.00,986027397.00,202500000.00,291300000.00,326027397.00,116200000.00,50000000.00
Nov 01 2027,ACA,0,986027397.00,986027397.00,202500000.00,291300000.00,326027397.00,116200000.00,50000000.00
Oct 29 2027,ACA,0,986027397.00,986027397.00,202500000.00,291300000.00,326027397.00,116200000.00,50000000.00
Oct 27 2027,ACA,0,986027397.00,986027397.00,202500000.00,291300000.00,326027397.00,116200000.00,50000000.00
Oct 24 2027,ACA,0,981369863.00,981369863.00,202500000.00,291300000.00,321369863.00,116200000.00,50000000.00
Oct 21 2027,ACA,0,981369863.00,981369863.00,202500000.00,291300000.00,321369863.00,116200000.00,50000000.00
Oct 18 2027,ACA,0,981369863.00,981369863.00,202500000.00,291300000.00,321369863.00,116200000.00,50000000.00
Oct 15 2027,ACA,0,981369863.00,981369863.00,202500000.00,291300000.00,321369863.00,116200000.00,50000000.00
Oct 12 2027,ACA,0,981369863.00,981369863.00,202500000.00,291300000.00,321369863.00,116200000.00,50000000.00
Oct 09 2027,ACA,0,981369863.00,981369863.00,202500000.00,291300000.00,321369863.00,116200000.00,50000000.00
Oct 06 2027,ACA,0,981369863.00,981369863.00,202500000.00,291300000.00,321369863.00,116200000.00,50000000.00
Oct 04 2027,ACA,0,981369863.00,981369863.00,202500000.00,291300000.00,321369863.00,116200000.00,50000000.00
Oct 01 2027,ACA,0,981369863.00,981369863.00,202500000.00,291300000.00,321369863.00,116200000.00,50000000.00
Sep 28 2027,ACA,0,981369863.00,981369863.00,202500000.00,291300000.00,321369863.00,116200000.00,50000000.00
Sep 25 2027,ACA,0,981369863.00,981369863.00,202500000.00,291300000.00,321369863.00,116200000.00,50000000.00
Sep 22 2027,ACA,0,976712329.00,976712329.00,202500000.00,291300000.00,316712329.00,116200000.00,50000000.00
Sep 19 2027,ACA,0,976712329.00,976712329.00,202500000.00,291300000.00,316712329.00,116200000.00,50000000.00
Sep 16 2027,ACA,0,976712329.00,976712329.00,202500000.00,291300000.00,316712329.00,116200000.00,50000000.00
Sep 13 2027,ACA,0,976712329.00,976712329.00,202500000.00,291300000.00,316712329.00,116200000.00,50000000.00
Sep 10 2027,ACA,0,976712329.00,976712329.00,202500000.00,291300000.00,316712329.00,116200000.00,50000000.00
Sep 08 2027,ACA,0,976712329.00,976712329.00,202500000.00,291300000.00,316712329.00,116200000.00,50000000.00
Sep 05 2027,ACA,0,976712329.00,976712329.00,202500000.00,291300000.00,316712329.00,116200000.00,50000000.00
Sep 02 2027,ACA,0,976712329.00,976712329.00,202500000.00,291300000.00,316712329.00,116200000.00,50000000.00
Aug 30 2027,ACA,0,976712329.00,976712329.00,202500000.00,291300000.00,316712329.00,116200000.00,50000000.00
