Date,Symbol,Price,Available Supply,Unlocked Supply,Founder / Team,Private Investors,Public Investors,Reserved,Community & Other
Jan 01 2031,AKT,0,344134861.00,344134861.00,27000000.00,34510788.00,1800000.00,23689212.00,257134861.00
Dec 28 2030,AKT,0,344134861.00,344134861.00,27000000.00,34510788.00,1800000.00,23689212.00,257134861.00
Dec 23 2030,AKT,0,344134861.00,344134861.00,27000000.00,34510788.00,1800000.00,23689212.00,257134861.00
Dec 19 2030,AKT,0,344134861.00,344134861.00,27000000.00,34510788.00,1800000.00,23689212.00,257134861.00
Dec 14 2030,AKT,0,344134861.00,344134861.00,27000000.00,34510788.00,1800000.00,23689212.00,257134861.00
Dec 10 2030,AKT,0,344134861.00,344134861.00,27000000.00,34510788.00,1800000.00,23689212.00,257134861.00
Dec 05 2030,AKT,0,344134861.00,344134861.00,27000000.00,34510788.00,1800000.00,23689212.00,257134861.00
Dec 01 2030,AKT,0,344134861.00,344134861.00,27000000.00,34510788.00,1800000.00,23689212.00,257134861.00
Nov 26 2030,AKT,0,344134861.00,344134861.00,27000000.00,34510788.00,1800000.00,23689212.00,257134861.00
Nov 22 2030,AKT,0,344134861.00,344134861.00,27000000.00,34510788.00,1800000.00,23689212.00,257134861.00
Nov 18 2030,AKT,0,344134861.00,344134861.00,27000000.00,34510788.00,1800000.00,23689212.00,257134861.00
Nov 13 2030,AKT,0,344134861.00,344134861.00,27000000.00,34510788.00,1800000.00,23689212.00,257134861.00
Nov 09 2030,AKT,0,344134861.00,344134861.00,27000000.00,34510788.00,1800000.00,23689212.00,257134861.00
Nov 04 2030,AKT,0,344134861.00,344134861.00,27000000.00,34510788.00,1800000.00,23689212.00,257134861.00
Oct 31 2030,AKT,0,344134861.00,344134861.00,27000000.00,34510788.00,1800000.00,23689212.00,257134861.00
Oct 26 2030,AKT,0,344134861.00,344134861.00,27000000.00,34510788.00,1800000.00,23689212.00,257134861.00
Oct 22 2030,AKT,0,344134861.00,344134861.00,27000000.00,34510788.00,1800000.00,23689212.00,257134861.00
Oct 17 2030,AKT,0,344134861.00,344134861.00,27000000.00,34510788.00,1800000.00,23689212.00,257134861.00
Oct 13 2030,AKT,0,344134861.00,344134861.00,27000000.00,34510788.00,1800000.00,23689212.00,257134861.00
Oct 08 2030,AKT,0,344134861.00,344134861.00,27000000.00,34510788.00,1800000.00,23689212.00,257134861.00
Oct 04 2030,AKT,0,344134861.00,344134861.00,27000000.00,34510788.00,1800000.00,23689212.00,257134861.00
Sep 30 2030,AKT,0,344111596.10,344111596.10,27000000.00,34510788.00,1800000.00,23689212.00,257111596.10
Sep 25 2030,AKT,0,343995271.60,343995271.60,27000000.00,34510788.00,1800000.00,23689212.00,256995271.60
Sep 21 2030,AKT,0,343902212.00,343902212.00,27000000.00,34510788.00,1800000.00,23689212.00,256902212.00
Sep 16 2030,AKT,0,343785887.50,343785887.50,27000000.00,34510788.00,1800000.00,23689212.00,256785887.50
