Date,Symbol,Price,Available Supply,Unlocked Supply,Founder / Team,Private Investors,Public Investors,Reserved,Community & Other
Dec 31 2030,AZERO,0,560465780.29,560465780.29,30000000.00,100000000.00,55000000.00,70000000.00,305465780.29
Dec 27 2030,AZERO,0,560137116.84,560137116.84,30000000.00,100000000.00,55000000.00,70000000.00,305137116.84
Dec 23 2030,AZERO,0,559808453.40,559808453.40,30000000.00,100000000.00,55000000.00,70000000.00,304808453.40
Dec 19 2030,AZERO,0,559479789.95,559479789.95,30000000.00,100000000.00,55000000.00,70000000.00,304479789.95
Dec 15 2030,AZERO,0,559151126.51,559151126.51,30000000.00,100000000.00,55000000.00,70000000.00,304151126.51
Dec 11 2030,AZERO,0,558822463.06,558822463.06,30000000.00,100000000.00,55000000.00,70000000.00,303822463.06
Dec 07 2030,AZERO,0,558493799.62,558493799.62,30000000.00,100000000.00,55000000.00,70000000.00,303493799.62
Dec 03 2030,AZERO,0,558165136.17,558165136.17,30000000.00,100000000.00,55000000.00,70000000.00,303165136.17
Nov 29 2030,AZERO,0,557836472.73,557836472.73,30000000.00,100000000.00,55000000.00,70000000.00,302836472.73
Nov 25 2030,AZERO,0,557507809.28,557507809.28,30000000.00,100000000.00,55000000.00,70000000.00,302507809.28
Nov 21 2030,AZERO,0,557179145.84,557179145.84,30000000.00,100000000.00,55000000.00,70000000.00,302179145.84
Nov 17 2030,AZERO,0,556850482.39,556850482.39,30000000.00,100000000.00,55000000.00,70000000.00,301850482.39
Nov 13 2030,AZERO,0,556521818.95,556521818.95,30000000.00,100000000.00,55000000.00,70000000.00,301521818.95
Nov 10 2030,AZERO,0,556275321.36,556275321.36,30000000.00,100000000.00,55000000.00,70000000.00,301275321.36
Nov 06 2030,AZERO,0,555946657.92,555946657.92,30000000.00,100000000.00,55000000.00,70000000.00,300946657.92
Nov 02 2030,AZERO,0,555617994.47,555617994.47,30000000.00,100000000.00,55000000.00,70000000.00,300617994.47
Oct 29 2030,AZERO,0,555289331.03,555289331.03,30000000.00,100000000.00,55000000.00,70000000.00,300289331.03
Oct 25 2030,AZERO,0,554960667.58,554960667.58,30000000.00,100000000.00,55000000.00,70000000.00,299960667.58
Oct 21 2030,AZERO,0,554632004.14,554632004.14,30000000.00,100000000.00,55000000.00,70000000.00,299632004.14
Oct 17 2030,AZERO,0,554303340.69,554303340.69,30000000.00,100000000.00,55000000.00,70000000.00,299303340.69
Oct 13 2030,AZERO,0,553974677.25,553974677.25,30000000.00,100000000.00,55000000.00,70000000.00,298974677.25
Oct 09 2030,AZERO,0,553646013.80,553646013.80,30000000.00,100000000.00,55000000.00,70000000.00,298646013.80
Oct 05 2030,AZERO,0,553317350.36,553317350.36,30000000.00,100000000.00,55000000.00,70000000.00,298317350.36
Oct 01 2030,AZERO,0,552988686.91,552988686.91,30000000.00,100000000.00,55000000.00,70000000.00,297988686.91
Sep 27 2030,AZERO,0,552660023.47,552660023.47,30000000.00,100000000.00,55000000.00,70000000.00,297660023.47
Sep 23 2030,AZERO,0,552331360.02,552331360.02,30000000.00,100000000.00,55000000.00,70000000.00,297331360.02
Sep 19 2030,AZERO,0,552002696.58,552002696.58,30000000.00,100000000.00,55000000.00,70000000.00,297002696.58
Sep 15 2030,AZERO,0,551674033.13,551674033.13,30000000.00,100000000.00,55000000.00,70000000.00,296674033.13
