Date,Symbol,Price,Available Supply,Unlocked Supply,Founder / Team,Public Investors,Reserved,Community & Other
Sep 19 2024,ALGO,0,10000000000.00,10000000000.00,2000000000.00,3000000000.00,500000000.00,4500000000.00
Sep 17 2024,ALGO,0,10000000000.00,10000000000.00,2000000000.00,3000000000.00,500000000.00,4500000000.00
Sep 14 2024,ALGO,0,10000000000.00,10000000000.00,2000000000.00,3000000000.00,500000000.00,4500000000.00
Sep 12 2024,ALGO,0,10000000000.00,10000000000.00,2000000000.00,3000000000.00,500000000.00,4500000000.00
Sep 10 2024,ALGO,0,10000000000.00,10000000000.00,2000000000.00,3000000000.00,500000000.00,4500000000.00
Sep 08 2024,ALGO,0,10000000000.00,10000000000.00,2000000000.00,3000000000.00,500000000.00,4500000000.00
Sep 05 2024,ALGO,0,10000000000.00,10000000000.00,2000000000.00,3000000000.00,500000000.00,4500000000.00
Sep 03 2024,ALGO,0,10000000000.00,10000000000.00,2000000000.00,3000000000.00,500000000.00,4500000000.00
Sep 01 2024,ALGO,0,10000000000.00,10000000000.00,2000000000.00,3000000000.00,500000000.00,4500000000.00
Aug 30 2024,ALGO,0,10000000000.00,10000000000.00,2000000000.00,3000000000.00,500000000.00,4500000000.00
Aug 27 2024,ALGO,0,10000000000.00,10000000000.00,2000000000.00,3000000000.00,500000000.00,4500000000.00
Aug 25 2024,ALGO,0,10000000000.00,10000000000.00,2000000000.00,3000000000.00,500000000.00,4500000000.00
Aug 23 2024,ALGO,0,10000000000.00,10000000000.00,2000000000.00,3000000000.00,500000000.00,4500000000.00
Aug 20 2024,ALGO,0,10000000000.00,10000000000.00,2000000000.00,3000000000.00,500000000.00,4500000000.00
Aug 18 2024,ALGO,0,10000000000.00,10000000000.00,2000000000.00,3000000000.00,500000000.00,4500000000.00
Aug 16 2024,ALGO,0,10000000000.00,10000000000.00,2000000000.00,3000000000.00,500000000.00,4500000000.00
Aug 14 2024,ALGO,0,10000000000.00,10000000000.00,2000000000.00,3000000000.00,500000000.00,4500000000.00
Aug 11 2024,ALGO,0,10000000000.00,10000000000.00,2000000000.00,3000000000.00,500000000.00,4500000000.00
Aug 09 2024,ALGO,0,10000000000.00,10000000000.00,2000000000.00,3000000000.00,500000000.00,4500000000.00
Aug 07 2024,ALGO,0,10000000000.00,10000000000.00,2000000000.00,3000000000.00,500000000.00,4500000000.00
Aug 04 2024,ALGO,0,10000000000.00,10000000000.00,2000000000.00,3000000000.00,500000000.00,4500000000.00
Aug 02 2024,ALGO,0,10000000000.00,10000000000.00,2000000000.00,3000000000.00,500000000.00,4500000000.00
Jul 31 2024,ALGO,0,10000000000.00,10000000000.00,2000000000.00,3000000000.00,500000000.00,4500000000.00
Jul 29 2024,ALGO,0,10000000000.00,10000000000.00,2000000000.00,3000000000.00,500000000.00,4500000000.00
Jul 26 2024,ALGO,0,10000000000.00,10000000000.00,2000000000.00,3000000000.00,500000000.00,4500000000.00
Jul 24 2024,ALGO,0,10000000000.00,10000000000.00,2000000000.00,3000000000.00,500000000.00,4500000000.00
Jul 22 2024,ALGO,0,10000000000.00,10000000000.00,2000000000.00,3000000000.00,500000000.00,4500000000.00
Jul 20 2024,ALGO,0,10000000000.00,10000000000.00,2000000000.00,3000000000.00,500000000.00,4500000000.00
Jul 17 2024,ALGO,0,10000000000.00,10000000000.00,2000000000.00,3000000000.00,500000000.00,4500000000.00
Jul 15 2024,ALGO,0,10000000000.00,10000000000.00,2000000000.00,3000000000.00,500000000.00,4500000000.00
Jul 13 2024,ALGO,0,10000000000.00,10000000000.00,2000000000.00,3000000000.00,500000000.00,4500000000.00
Jul 10 2024,ALGO,0,10000000000.00,10000000000.00,2000000000.00,3000000000.00,500000000.00,4500000000.00
Jul 08 2024,ALGO,0,10000000000.00,10000000000.00,2000000000.00,3000000000.00,500000000.00,4500000000.00
Jul 06 2024,ALGO,0,10000000000.00,10000000000.00,2000000000.00,3000000000.00,500000000.00,4500000000.00
Jul 04 2024,ALGO,0,10000000000.00,10000000000.00,2000000000.00,3000000000.00,500000000.00,4500000000.00
Jul 01 2024,ALGO,0,10000000000.00,10000000000.00,2000000000.00,3000000000.00,500000000.00,4500000000.00
Jun 29 2024,ALGO,0,10000000000.00,10000000000.00,2000000000.00,3000000000.00,500000000.00,4500000000.00
Jun 27 2024,ALGO,0,10000000000.00,10000000000.00,2000000000.00,3000000000.00,500000000.00,4500000000.00
Jun 24 2024,ALGO,0,10000000000.00,10000000000.00,2000000000.00,3000000000.00,500000000.00,4500000000.00
Jun 22 2024,ALGO,0,10000000000.00,10000000000.00,2000000000.00,3000000000.00,500000000.00,4500000000.00
Jun 20 2024,ALGO,0,10000000000.00,10000000000.00,2000000000.00,3000000000.00,500000000.00,4500000000.00
Jun 18 2024,ALGO,0,9996577956.99,9996577956.99,2000000000.00,2997446236.56,500000000.00,4499131720.43
Jun 15 2024,ALGO,0,9990094086.02,9990094086.02,2000000000.00,2992607526.88,500000000.00,4497486559.14
Jun 13 2024,ALGO,0,9985771505.38,9985771505.38,2000000000.00,2989381720.43,500000000.00,4496389784.95
Jun 11 2024,ALGO,0,9981448924.73,9981448924.73,2000000000.00,2986155913.98,500000000.00,4495293010.75
Jun 09 2024,ALGO,0,9977126344.09,9977126344.09,2000000000.00,2982930107.53,500000000.00,4494196236.56
Jun 06 2024,ALGO,0,9970642473.12,9970642473.12,2000000000.00,2978091397.85,500000000.00,4492551075.27
Jun 04 2024,ALGO,0,9966319892.47,9966319892.47,2000000000.00,2974865591.40,500000000.00,4491454301.08
Jun 02 2024,ALGO,0,9961997311.83,9961997311.83,2000000000.00,2971639784.95,500000000.00,4490357526.88
May 30 2024,ALGO,0,9955513440.86,9955513440.86,2000000000.00,2966801075.27,500000000.00,4488712365.59
May 28 2024,ALGO,0,9951190860.21,9951190860.21,2000000000.00,2963575268.82,500000000.00,4487615591.40
May 26 2024,ALGO,0,9946868279.57,9946868279.57,2000000000.00,2960349462.37,500000000.00,4486518817.20
May 24 2024,ALGO,0,9942545698.92,9942545698.92,2000000000.00,2957123655.91,500000000.00,4485422043.01
May 21 2024,ALGO,0,9936061827.96,9936061827.96,2000000000.00,2952284946.24,500000000.00,4483776881.72
May 19 2024,ALGO,0,9933000000.00,9933000000.00,2000000000.00,2950000000.00,500000000.00,4483000000.00
May 17 2024,ALGO,0,9927058333.33,9927058333.33,2000000000.00,2945694444.44,500000000.00,4481363888.89
May 15 2024,ALGO,0,9922458333.33,9922458333.33,2000000000.00,2942361111.11,500000000.00,4480097222.22
