Date,Symbol,Price,Available Supply,Unlocked Supply,Founder / Team,Private Investors,Public Investors,Reserved,Community & Other
Oct 18 2030,ARKM,0,1000000000.00,1000000000.00,230000000.00,175000000.00,50000000.00,172000000.00,373000000.00
Oct 15 2030,ARKM,0,1000000000.00,1000000000.00,230000000.00,175000000.00,50000000.00,172000000.00,373000000.00
Oct 12 2030,ARKM,0,1000000000.00,1000000000.00,230000000.00,175000000.00,50000000.00,172000000.00,373000000.00
Oct 09 2030,ARKM,0,1000000000.00,1000000000.00,230000000.00,175000000.00,50000000.00,172000000.00,373000000.00
Oct 05 2030,ARKM,0,1000000000.00,1000000000.00,230000000.00,175000000.00,50000000.00,172000000.00,373000000.00
Oct 02 2030,ARKM,0,1000000000.00,1000000000.00,230000000.00,175000000.00,50000000.00,172000000.00,373000000.00
Sep 29 2030,ARKM,0,1000000000.00,1000000000.00,230000000.00,175000000.00,50000000.00,172000000.00,373000000.00
Sep 26 2030,ARKM,0,1000000000.00,1000000000.00,230000000.00,175000000.00,50000000.00,172000000.00,373000000.00
Sep 23 2030,ARKM,0,1000000000.00,1000000000.00,230000000.00,175000000.00,50000000.00,172000000.00,373000000.00
Sep 20 2030,ARKM,0,1000000000.00,1000000000.00,230000000.00,175000000.00,50000000.00,172000000.00,373000000.00
Sep 17 2030,ARKM,0,1000000000.00,1000000000.00,230000000.00,175000000.00,50000000.00,172000000.00,373000000.00
Sep 13 2030,ARKM,0,1000000000.00,1000000000.00,230000000.00,175000000.00,50000000.00,172000000.00,373000000.00
Sep 10 2030,ARKM,0,1000000000.00,1000000000.00,230000000.00,175000000.00,50000000.00,172000000.00,373000000.00
Sep 07 2030,ARKM,0,1000000000.00,1000000000.00,230000000.00,175000000.00,50000000.00,172000000.00,373000000.00
Sep 04 2030,ARKM,0,1000000000.00,1000000000.00,230000000.00,175000000.00,50000000.00,172000000.00,373000000.00
Sep 01 2030,ARKM,0,1000000000.00,1000000000.00,230000000.00,175000000.00,50000000.00,172000000.00,373000000.00
Aug 29 2030,ARKM,0,1000000000.00,1000000000.00,230000000.00,175000000.00,50000000.00,172000000.00,373000000.00
Aug 26 2030,ARKM,0,1000000000.00,1000000000.00,230000000.00,175000000.00,50000000.00,172000000.00,373000000.00
Aug 22 2030,ARKM,0,1000000000.00,1000000000.00,230000000.00,175000000.00,50000000.00,172000000.00,373000000.00
