Date,Symbol,Price,Available Supply,Unlocked Supply,Founder / Team,Private Investors,Public Investors,Reserved,Community & Other
Oct 20 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Oct 16 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Oct 11 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Oct 07 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Oct 02 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Sep 28 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Sep 24 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Sep 19 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Sep 15 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Sep 11 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Sep 06 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Sep 02 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Aug 28 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Aug 24 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Aug 20 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Aug 15 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Aug 11 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Aug 07 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Aug 02 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Jul 29 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Jul 24 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Jul 20 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Jul 16 2030,AVAX,0,717933200.00,717933200.00,72000000.00,43200000.00,71784000.00,101005200.00,429944000.00
Jul 11 2030,AVAX,0,717433200.00,717433200.00,72000000.00,43200000.00,71784000.00,101005200.00,429444000.00
Jul 07 2030,AVAX,0,717033200.00,717033200.00,72000000.00,43200000.00,71784000.00,101005200.00,429044000.00
Jul 03 2030,AVAX,0,716633200.00,716633200.00,72000000.00,43200000.00,71784000.00,101005200.00,428644000.00
Jun 28 2030,AVAX,0,716133200.00,716133200.00,72000000.00,43200000.00,71784000.00,101005200.00,428144000.00
Jun 24 2030,AVAX,0,715733200.00,715733200.00,72000000.00,43200000.00,71784000.00,101005200.00,427744000.00
Jun 19 2030,AVAX,0,715233200.00,715233200.00,72000000.00,43200000.00,71784000.00,101005200.00,427244000.00
Jun 15 2030,AVAX,0,714833200.00,714833200.00,72000000.00,43200000.00,71784000.00,101005200.00,426844000.00
Jun 11 2030,AVAX,0,714433200.00,714433200.00,72000000.00,43200000.00,71784000.00,101005200.00,426444000.00
Jun 06 2030,AVAX,0,713933200.00,713933200.00,72000000.00,43200000.00,71784000.00,101005200.00,425944000.00
Jun 02 2030,AVAX,0,713533200.00,713533200.00,72000000.00,43200000.00,71784000.00,101005200.00,425544000.00
May 28 2030,AVAX,0,713033200.00,713033200.00,72000000.00,43200000.00,71784000.00,101005200.00,425044000.00
May 24 2030,AVAX,0,712633200.00,712633200.00,72000000.00,43200000.00,71784000.00,101005200.00,424644000.00
May 20 2030,AVAX,0,712233200.00,712233200.00,72000000.00,43200000.00,71784000.00,101005200.00,424244000.00
May 15 2030,AVAX,0,711733200.00,711733200.00,72000000.00,43200000.00,71784000.00,101005200.00,423744000.00
