Date,Symbol,Price,Available Supply,Unlocked Supply,Founder / Team,Private Investors,Reserved,Community & Other
Oct 30 2027,TIA,0,1000000000.00,1000000000.00,176000000.00,356000000.00,268000000.00,200000000.00
Oct 28 2027,TIA,0,999525799.09,999525799.09,176000000.00,356000000.00,267525799.09,200000000.00
Oct 27 2027,TIA,0,999342237.44,999342237.44,176000000.00,356000000.00,267342237.44,200000000.00
Oct 25 2027,TIA,0,998975114.16,998975114.16,176000000.00,356000000.00,266975114.16,200000000.00
Oct 23 2027,TIA,0,998607990.87,998607990.87,176000000.00,356000000.00,266607990.87,200000000.00
Oct 21 2027,TIA,0,998240867.58,998240867.58,176000000.00,356000000.00,266240867.58,200000000.00
Oct 20 2027,TIA,0,998057305.94,998057305.94,176000000.00,356000000.00,266057305.94,200000000.00
Oct 18 2027,TIA,0,997690182.65,997690182.65,176000000.00,356000000.00,265690182.65,200000000.00
Oct 16 2027,TIA,0,997323059.36,997323059.36,176000000.00,356000000.00,265323059.36,200000000.00
Oct 14 2027,TIA,0,996955936.07,996955936.07,176000000.00,356000000.00,264955936.07,200000000.00
Oct 13 2027,TIA,0,996772374.43,996772374.43,176000000.00,356000000.00,264772374.43,200000000.00
Oct 11 2027,TIA,0,996405251.14,996405251.14,176000000.00,356000000.00,264405251.14,200000000.00
Oct 09 2027,TIA,0,996038127.85,996038127.85,176000000.00,356000000.00,264038127.85,200000000.00
Oct 07 2027,TIA,0,995671004.57,995671004.57,176000000.00,356000000.00,263671004.57,200000000.00
Oct 06 2027,TIA,0,995487442.92,995487442.92,176000000.00,356000000.00,263487442.92,200000000.00
Oct 04 2027,TIA,0,995120319.63,995120319.63,176000000.00,356000000.00,263120319.63,200000000.00
Oct 02 2027,TIA,0,994753196.35,994753196.35,176000000.00,356000000.00,262753196.35,200000000.00
Oct 01 2027,TIA,0,994569634.70,994569634.70,176000000.00,356000000.00,262569634.70,200000000.00
Sep 29 2027,TIA,0,994202511.42,994202511.42,176000000.00,356000000.00,262202511.42,200000000.00
Sep 27 2027,TIA,0,993835388.13,993835388.13,176000000.00,356000000.00,261835388.13,200000000.00
Sep 25 2027,TIA,0,993468264.84,993468264.84,176000000.00,356000000.00,261468264.84,200000000.00
Sep 24 2027,TIA,0,993284703.20,993284703.20,176000000.00,356000000.00,261284703.20,200000000.00
Sep 22 2027,TIA,0,992917579.91,992917579.91,176000000.00,356000000.00,260917579.91,200000000.00
Sep 20 2027,TIA,0,992550456.62,992550456.62,176000000.00,356000000.00,260550456.62,200000000.00
Sep 18 2027,TIA,0,992183333.33,992183333.33,176000000.00,356000000.00,260183333.33,200000000.00
Sep 17 2027,TIA,0,991999771.69,991999771.69,176000000.00,356000000.00,259999771.69,200000000.00
Sep 15 2027,TIA,0,991632648.40,991632648.40,176000000.00,356000000.00,259632648.40,200000000.00
Sep 13 2027,TIA,0,991265525.11,991265525.11,176000000.00,356000000.00,259265525.11,200000000.00
Sep 12 2027,TIA,0,991081963.47,991081963.47,176000000.00,356000000.00,259081963.47,200000000.00
Sep 10 2027,TIA,0,990714840.18,990714840.18,176000000.00,356000000.00,258714840.18,200000000.00
Sep 08 2027,TIA,0,990347716.89,990347716.89,176000000.00,356000000.00,258347716.89,200000000.00
Sep 06 2027,TIA,0,989980593.61,989980593.61,176000000.00,356000000.00,257980593.61,200000000.00
Sep 05 2027,TIA,0,989797031.96,989797031.96,176000000.00,356000000.00,257797031.96,200000000.00
Sep 03 2027,TIA,0,989429908.68,989429908.68,176000000.00,356000000.00,257429908.68,200000000.00
Sep 01 2027,TIA,0,989062785.39,989062785.39,176000000.00,356000000.00,257062785.39,200000000.00
Aug 30 2027,TIA,0,988695662.10,988695662.10,176000000.00,356000000.00,256695662.10,200000000.00
Aug 29 2027,TIA,0,988512100.46,988512100.46,176000000.00,356000000.00,256512100.46,200000000.00
Aug 27 2027,TIA,0,988144977.17,988144977.17,176000000.00,356000000.00,256144977.17,200000000.00
Aug 25 2027,TIA,0,987777853.88,987777853.88,176000000.00,356000000.00,255777853.88,200000000.00
Aug 23 2027,TIA,0,987410730.59,987410730.59,176000000.00,356000000.00,255410730.59,200000000.00
Aug 22 2027,TIA,0,987227168.95,987227168.95,176000000.00,356000000.00,255227168.95,200000000.00
Aug 20 2027,TIA,0,986860045.66,986860045.66,176000000.00,356000000.00,254860045.66,200000000.00
Aug 18 2027,TIA,0,986492922.37,986492922.37,176000000.00,356000000.00,254492922.37,200000000.00
Aug 17 2027,TIA,0,986309360.73,986309360.73,176000000.00,356000000.00,254309360.73,200000000.00
Aug 15 2027,TIA,0,985942237.44,985942237.44,176000000.00,356000000.00,253942237.44,200000000.00
Aug 13 2027,TIA,0,985575114.16,985575114.16,176000000.00,356000000.00,253575114.16,200000000.00
Aug 11 2027,TIA,0,985207990.87,985207990.87,176000000.00,356000000.00,253207990.87,200000000.00
Aug 10 2027,TIA,0,985024429.22,985024429.22,176000000.00,356000000.00,253024429.22,200000000.00
Aug 08 2027,TIA,0,984657305.94,984657305.94,176000000.00,356000000.00,252657305.94,200000000.00
Aug 06 2027,TIA,0,984290182.65,984290182.65,176000000.00,356000000.00,252290182.65,200000000.00
Aug 04 2027,TIA,0,983923059.36,983923059.36,176000000.00,356000000.00,251923059.36,200000000.00
Aug 03 2027,TIA,0,983739497.72,983739497.72,176000000.00,356000000.00,251739497.72,200000000.00
Aug 01 2027,TIA,0,983372374.43,983372374.43,176000000.00,356000000.00,251372374.43,200000000.00
Jul 30 2027,TIA,0,983005251.14,983005251.14,176000000.00,356000000.00,251005251.14,200000000.00
Jul 28 2027,TIA,0,982638127.85,982638127.85,176000000.00,356000000.00,250638127.85,200000000.00
Jul 27 2027,TIA,0,982454566.21,982454566.21,176000000.00,356000000.00,250454566.21,200000000.00
Jul 25 2027,TIA,0,982087442.92,982087442.92,176000000.00,356000000.00,250087442.92,200000000.00
Jul 23 2027,TIA,0,981720319.63,981720319.63,176000000.00,356000000.00,249720319.63,200000000.00
Jul 22 2027,TIA,0,981536757.99,981536757.99,176000000.00,356000000.00,249536757.99,200000000.00
Jul 20 2027,TIA,0,981169634.70,981169634.70,176000000.00,356000000.00,249169634.70,200000000.00
Jul 18 2027,TIA,0,980802511.42,980802511.42,176000000.00,356000000.00,248802511.42,200000000.00
Jul 16 2027,TIA,0,980435388.13,980435388.13,176000000.00,356000000.00,248435388.13,200000000.00
Jul 15 2027,TIA,0,980251826.48,980251826.48,176000000.00,356000000.00,248251826.48,200000000.00
Jul 13 2027,TIA,0,979884703.20,979884703.20,176000000.00,356000000.00,247884703.20,200000000.00
Jul 11 2027,TIA,0,979517579.91,979517579.91,176000000.00,356000000.00,247517579.91,200000000.00
Jul 09 2027,TIA,0,979150456.62,979150456.62,176000000.00,356000000.00,247150456.62,200000000.00
Jul 08 2027,TIA,0,978966894.98,978966894.98,176000000.00,356000000.00,246966894.98,200000000.00
Jul 06 2027,TIA,0,978599771.69,978599771.69,176000000.00,356000000.00,246599771.69,200000000.00
Jul 04 2027,TIA,0,978232648.40,978232648.40,176000000.00,356000000.00,246232648.40,200000000.00
Jul 02 2027,TIA,0,977865525.11,977865525.11,176000000.00,356000000.00,245865525.11,200000000.00
Jul 01 2027,TIA,0,977681963.47,977681963.47,176000000.00,356000000.00,245681963.47,200000000.00
Jun 29 2027,TIA,0,977314840.18,977314840.18,176000000.00,356000000.00,245314840.18,200000000.00
Jun 27 2027,TIA,0,976947716.89,976947716.89,176000000.00,356000000.00,244947716.89,200000000.00
Jun 26 2027,TIA,0,976764155.25,976764155.25,176000000.00,356000000.00,244764155.25,200000000.00
Jun 24 2027,TIA,0,976397031.96,976397031.96,176000000.00,356000000.00,244397031.96,200000000.00
Jun 22 2027,TIA,0,976029908.68,976029908.68,176000000.00,356000000.00,244029908.68,200000000.00
Jun 20 2027,TIA,0,975662785.39,975662785.39,176000000.00,356000000.00,243662785.39,200000000.00
Jun 19 2027,TIA,0,975479223.74,975479223.74,176000000.00,356000000.00,243479223.74,200000000.00
Jun 17 2027,TIA,0,975112100.46,975112100.46,176000000.00,356000000.00,243112100.46,200000000.00
Jun 15 2027,TIA,0,974744977.17,974744977.17,176000000.00,356000000.00,242744977.17,200000000.00
Jun 13 2027,TIA,0,974377853.88,974377853.88,176000000.00,356000000.00,242377853.88,200000000.00
Jun 12 2027,TIA,0,974194292.24,974194292.24,176000000.00,356000000.00,242194292.24,200000000.00
Jun 10 2027,TIA,0,973827168.95,973827168.95,176000000.00,356000000.00,241827168.95,200000000.00
Jun 08 2027,TIA,0,973460045.66,973460045.66,176000000.00,356000000.00,241460045.66,200000000.00
Jun 07 2027,TIA,0,973276484.02,973276484.02,176000000.00,356000000.00,241276484.02,200000000.00
Jun 05 2027,TIA,0,972909360.73,972909360.73,176000000.00,356000000.00,240909360.73,200000000.00
Jun 03 2027,TIA,0,972542237.44,972542237.44,176000000.00,356000000.00,240542237.44,200000000.00
Jun 01 2027,TIA,0,972175114.16,972175114.16,176000000.00,356000000.00,240175114.16,200000000.00
May 31 2027,TIA,0,971991552.51,971991552.51,176000000.00,356000000.00,239991552.51,200000000.00
May 29 2027,TIA,0,971624429.22,971624429.22,176000000.00,356000000.00,239624429.22,200000000.00
May 27 2027,TIA,0,971257305.94,971257305.94,176000000.00,356000000.00,239257305.94,200000000.00
May 25 2027,TIA,0,970890182.65,970890182.65,176000000.00,356000000.00,238890182.65,200000000.00
May 24 2027,TIA,0,970706621.00,970706621.00,176000000.00,356000000.00,238706621.00,200000000.00
May 22 2027,TIA,0,970339497.72,970339497.72,176000000.00,356000000.00,238339497.72,200000000.00
May 20 2027,TIA,0,969972374.43,969972374.43,176000000.00,356000000.00,237972374.43,200000000.00
May 18 2027,TIA,0,969605251.14,969605251.14,176000000.00,356000000.00,237605251.14,200000000.00
May 17 2027,TIA,0,969421689.50,969421689.50,176000000.00,356000000.00,237421689.50,200000000.00
May 15 2027,TIA,0,969054566.21,969054566.21,176000000.00,356000000.00,237054566.21,200000000.00
May 13 2027,TIA,0,968687442.92,968687442.92,176000000.00,356000000.00,236687442.92,200000000.00
May 12 2027,TIA,0,968503881.28,968503881.28,176000000.00,356000000.00,236503881.28,200000000.00
May 10 2027,TIA,0,968136757.99,968136757.99,176000000.00,356000000.00,236136757.99,200000000.00
May 08 2027,TIA,0,967769634.70,967769634.70,176000000.00,356000000.00,235769634.70,200000000.00
May 06 2027,TIA,0,967402511.42,967402511.42,176000000.00,356000000.00,235402511.42,200000000.00
May 05 2027,TIA,0,967218949.77,967218949.77,176000000.00,356000000.00,235218949.77,200000000.00
May 03 2027,TIA,0,966851826.48,966851826.48,176000000.00,356000000.00,234851826.48,200000000.00
May 01 2027,TIA,0,966484703.20,966484703.20,176000000.00,356000000.00,234484703.20,200000000.00
Apr 29 2027,TIA,0,966117579.91,966117579.91,176000000.00,356000000.00,234117579.91,200000000.00
Apr 28 2027,TIA,0,965934018.26,965934018.26,176000000.00,356000000.00,233934018.26,200000000.00
Apr 26 2027,TIA,0,965566894.98,965566894.98,176000000.00,356000000.00,233566894.98,200000000.00
Apr 24 2027,TIA,0,965199771.69,965199771.69,176000000.00,356000000.00,233199771.69,200000000.00
Apr 22 2027,TIA,0,964832648.40,964832648.40,176000000.00,356000000.00,232832648.40,200000000.00
Apr 21 2027,TIA,0,964649086.76,964649086.76,176000000.00,356000000.00,232649086.76,200000000.00
Apr 19 2027,TIA,0,964281963.47,964281963.47,176000000.00,356000000.00,232281963.47,200000000.00
Apr 17 2027,TIA,0,963914840.18,963914840.18,176000000.00,356000000.00,231914840.18,200000000.00
Apr 16 2027,TIA,0,963731278.54,963731278.54,176000000.00,356000000.00,231731278.54,200000000.00
Apr 14 2027,TIA,0,963364155.25,963364155.25,176000000.00,356000000.00,231364155.25,200000000.00
Apr 12 2027,TIA,0,962997031.96,962997031.96,176000000.00,356000000.00,230997031.96,200000000.00
Apr 10 2027,TIA,0,962629908.68,962629908.68,176000000.00,356000000.00,230629908.68,200000000.00
Apr 09 2027,TIA,0,962446347.03,962446347.03,176000000.00,356000000.00,230446347.03,200000000.00
Apr 07 2027,TIA,0,962079223.74,962079223.74,176000000.00,356000000.00,230079223.74,200000000.00
Apr 05 2027,TIA,0,961712100.46,961712100.46,176000000.00,356000000.00,229712100.46,200000000.00
Apr 03 2027,TIA,0,961344977.17,961344977.17,176000000.00,356000000.00,229344977.17,200000000.00
Apr 02 2027,TIA,0,961161415.53,961161415.53,176000000.00,356000000.00,229161415.53,200000000.00
Mar 31 2027,TIA,0,960794292.24,960794292.24,176000000.00,356000000.00,228794292.24,200000000.00
Mar 29 2027,TIA,0,960427168.95,960427168.95,176000000.00,356000000.00,228427168.95,200000000.00
Mar 28 2027,TIA,0,960243607.31,960243607.31,176000000.00,356000000.00,228243607.31,200000000.00
Mar 26 2027,TIA,0,959876484.02,959876484.02,176000000.00,356000000.00,227876484.02,200000000.00
Mar 24 2027,TIA,0,959509360.73,959509360.73,176000000.00,356000000.00,227509360.73,200000000.00
Mar 22 2027,TIA,0,959142237.44,959142237.44,176000000.00,356000000.00,227142237.44,200000000.00
Mar 21 2027,TIA,0,958958675.80,958958675.80,176000000.00,356000000.00,226958675.80,200000000.00
Mar 19 2027,TIA,0,958591552.51,958591552.51,176000000.00,356000000.00,226591552.51,200000000.00
Mar 17 2027,TIA,0,958224429.22,958224429.22,176000000.00,356000000.00,226224429.22,200000000.00
Mar 15 2027,TIA,0,957857305.94,957857305.94,176000000.00,356000000.00,225857305.94,200000000.00
Mar 14 2027,TIA,0,957673744.29,957673744.29,176000000.00,356000000.00,225673744.29,200000000.00
Mar 12 2027,TIA,0,957306621.00,957306621.00,176000000.00,356000000.00,225306621.00,200000000.00
Mar 10 2027,TIA,0,956939497.72,956939497.72,176000000.00,356000000.00,224939497.72,200000000.00
Mar 08 2027,TIA,0,956572374.43,956572374.43,176000000.00,356000000.00,224572374.43,200000000.00
Mar 07 2027,TIA,0,956388812.79,956388812.79,176000000.00,356000000.00,224388812.79,200000000.00
Mar 05 2027,TIA,0,956021689.50,956021689.50,176000000.00,356000000.00,224021689.50,200000000.00
Mar 03 2027,TIA,0,955654566.21,955654566.21,176000000.00,356000000.00,223654566.21,200000000.00
Mar 02 2027,TIA,0,955471004.57,955471004.57,176000000.00,356000000.00,223471004.57,200000000.00
Feb 28 2027,TIA,0,955103881.28,955103881.28,176000000.00,356000000.00,223103881.28,200000000.00
Feb 26 2027,TIA,0,954736757.99,954736757.99,176000000.00,356000000.00,222736757.99,200000000.00
Feb 24 2027,TIA,0,954369634.70,954369634.70,176000000.00,356000000.00,222369634.70,200000000.00
Feb 23 2027,TIA,0,954186073.06,954186073.06,176000000.00,356000000.00,222186073.06,200000000.00
Feb 21 2027,TIA,0,953818949.77,953818949.77,176000000.00,356000000.00,221818949.77,200000000.00
Feb 19 2027,TIA,0,953451826.48,953451826.48,176000000.00,356000000.00,221451826.48,200000000.00
Feb 17 2027,TIA,0,953084703.20,953084703.20,176000000.00,356000000.00,221084703.20,200000000.00
