Date,Symbol,Price,Available Supply,Unlocked Supply,Founder / Team,Private Investors,Public Investors,Reserved,Community & Other
Oct 23 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Oct 21 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Oct 19 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Oct 17 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Oct 16 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Oct 14 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Oct 12 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Oct 10 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Oct 08 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Oct 06 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Oct 05 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Oct 03 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Oct 01 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 29 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 27 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 25 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 24 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 22 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 20 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 18 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 16 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 14 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 12 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 11 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 09 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 07 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 05 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 03 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 01 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 31 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 29 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 27 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 25 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 23 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 21 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 20 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 18 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 16 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 14 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 12 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 10 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 08 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 07 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 05 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 03 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
