Date,Symbol,Price,Available Supply,Unlocked Supply,Founder / Team,Private Investors,Community & Other
Sep 15 2024,COMP,0,10000000.00,10000000.00,2598744.00,2396307.00,5004949.00
Sep 13 2024,COMP,0,10000000.00,10000000.00,2598744.00,2396307.00,5004949.00
Sep 11 2024,COMP,0,10000000.00,10000000.00,2598744.00,2396307.00,5004949.00
Sep 09 2024,COMP,0,10000000.00,10000000.00,2598744.00,2396307.00,5004949.00
Sep 07 2024,COMP,0,10000000.00,10000000.00,2598744.00,2396307.00,5004949.00
Sep 05 2024,COMP,0,10000000.00,10000000.00,2598744.00,2396307.00,5004949.00
Sep 04 2024,COMP,0,10000000.00,10000000.00,2598744.00,2396307.00,5004949.00
Sep 02 2024,COMP,0,10000000.00,10000000.00,2598744.00,2396307.00,5004949.00
Aug 31 2024,COMP,0,10000000.00,10000000.00,2598744.00,2396307.00,5004949.00
Aug 29 2024,COMP,0,10000000.00,10000000.00,2598744.00,2396307.00,5004949.00
Aug 27 2024,COMP,0,10000000.00,10000000.00,2598744.00,2396307.00,5004949.00
Aug 25 2024,COMP,0,10000000.00,10000000.00,2598744.00,2396307.00,5004949.00
Aug 23 2024,COMP,0,10000000.00,10000000.00,2598744.00,2396307.00,5004949.00
Aug 21 2024,COMP,0,10000000.00,10000000.00,2598744.00,2396307.00,5004949.00
Aug 19 2024,COMP,0,10000000.00,10000000.00,2598744.00,2396307.00,5004949.00
Aug 17 2024,COMP,0,10000000.00,10000000.00,2598744.00,2396307.00,5004949.00
Aug 15 2024,COMP,0,10000000.00,10000000.00,2598744.00,2396307.00,5004949.00
Aug 13 2024,COMP,0,10000000.00,10000000.00,2598744.00,2396307.00,5004949.00
Aug 12 2024,COMP,0,10000000.00,10000000.00,2598744.00,2396307.00,5004949.00
Aug 10 2024,COMP,0,10000000.00,10000000.00,2598744.00,2396307.00,5004949.00
Aug 08 2024,COMP,0,10000000.00,10000000.00,2598744.00,2396307.00,5004949.00
Aug 06 2024,COMP,0,10000000.00,10000000.00,2598744.00,2396307.00,5004949.00
Aug 04 2024,COMP,0,10000000.00,10000000.00,2598744.00,2396307.00,5004949.00
Aug 02 2024,COMP,0,10000000.00,10000000.00,2598744.00,2396307.00,5004949.00
Jul 31 2024,COMP,0,10000000.00,10000000.00,2598744.00,2396307.00,5004949.00
Jul 29 2024,COMP,0,10000000.00,10000000.00,2598744.00,2396307.00,5004949.00
Jul 27 2024,COMP,0,10000000.00,10000000.00,2598744.00,2396307.00,5004949.00
Jul 25 2024,COMP,0,10000000.00,10000000.00,2598744.00,2396307.00,5004949.00
Jul 23 2024,COMP,0,10000000.00,10000000.00,2598744.00,2396307.00,5004949.00
Jul 22 2024,COMP,0,10000000.00,10000000.00,2598744.00,2396307.00,5004949.00
Jul 20 2024,COMP,0,10000000.00,10000000.00,2598744.00,2396307.00,5004949.00
Jul 18 2024,COMP,0,10000000.00,10000000.00,2598744.00,2396307.00,5004949.00
Jul 16 2024,COMP,0,10000000.00,10000000.00,2598744.00,2396307.00,5004949.00
