Date,Symbol,Price,Available Supply,Unlocked Supply,Founder / Team,Private Investors,Public Investors,Reserved,Community & Other
Dec 31 2030,ATOM,0,746878021.41,746878021.41,23690755.00,11998907.00,160284613.00,23619896.00,527283850.41
Dec 25 2030,ATOM,0,745748864.65,745748864.65,23690755.00,11998907.00,160284613.00,23619896.00,526154693.65
Dec 19 2030,ATOM,0,744619707.90,744619707.90,23690755.00,11998907.00,160284613.00,23619896.00,525025536.90
Dec 13 2030,ATOM,0,743490551.15,743490551.15,23690755.00,11998907.00,160284613.00,23619896.00,523896380.15
Dec 07 2030,ATOM,0,742361394.40,742361394.40,23690755.00,11998907.00,160284613.00,23619896.00,522767223.40
Dec 01 2030,ATOM,0,741232237.64,741232237.64,23690755.00,11998907.00,160284613.00,23619896.00,521638066.64
Nov 25 2030,ATOM,0,740103080.89,740103080.89,23690755.00,11998907.00,160284613.00,23619896.00,520508909.89
Nov 19 2030,ATOM,0,738973924.14,738973924.14,23690755.00,11998907.00,160284613.00,23619896.00,519379753.14
Nov 13 2030,ATOM,0,737844767.39,737844767.39,23690755.00,11998907.00,160284613.00,23619896.00,518250596.39
Nov 07 2030,ATOM,0,736715610.63,736715610.63,23690755.00,11998907.00,160284613.00,23619896.00,517121439.63
Nov 01 2030,ATOM,0,735586453.88,735586453.88,23690755.00,11998907.00,160284613.00,23619896.00,515992282.88
Oct 27 2030,ATOM,0,734645489.92,734645489.92,23690755.00,11998907.00,160284613.00,23619896.00,515051318.92
Oct 21 2030,ATOM,0,733516333.17,733516333.17,23690755.00,11998907.00,160284613.00,23619896.00,513922162.17
Oct 15 2030,ATOM,0,732387176.42,732387176.42,23690755.00,11998907.00,160284613.00,23619896.00,512793005.42
Oct 09 2030,ATOM,0,731258019.66,731258019.66,23690755.00,11998907.00,160284613.00,23619896.00,511663848.66
Oct 03 2030,ATOM,0,730128862.91,730128862.91,23690755.00,11998907.00,160284613.00,23619896.00,510534691.91
Sep 27 2030,ATOM,0,728999706.16,728999706.16,23690755.00,11998907.00,160284613.00,23619896.00,509405535.16
Sep 21 2030,ATOM,0,727870549.41,727870549.41,23690755.00,11998907.00,160284613.00,23619896.00,508276378.41
Sep 15 2030,ATOM,0,726741392.65,726741392.65,23690755.00,11998907.00,160284613.00,23619896.00,507147221.65
Sep 09 2030,ATOM,0,725612235.90,725612235.90,23690755.00,11998907.00,160284613.00,23619896.00,506018064.90
Sep 03 2030,ATOM,0,724483079.15,724483079.15,23690755.00,11998907.00,160284613.00,23619896.00,504888908.15
Aug 28 2030,ATOM,0,723353922.40,723353922.40,23690755.00,11998907.00,160284613.00,23619896.00,503759751.40
Aug 22 2030,ATOM,0,722224765.64,722224765.64,23690755.00,11998907.00,160284613.00,23619896.00,502630594.64
Aug 16 2030,ATOM,0,721095608.89,721095608.89,23690755.00,11998907.00,160284613.00,23619896.00,501501437.89
Aug 10 2030,ATOM,0,719966452.14,719966452.14,23690755.00,11998907.00,160284613.00,23619896.00,500372281.14
Aug 04 2030,ATOM,0,718837295.39,718837295.39,23690755.00,11998907.00,160284613.00,23619896.00,499243124.39
Jul 29 2030,ATOM,0,717708138.64,717708138.64,23690755.00,11998907.00,160284613.00,23619896.00,498113967.64
