Date,Symbol,Price,Available Supply,Unlocked Supply,Reserved (TBD),Founder / Team,Private Investors,Community & Other
Nov 30 2025,PRIME,0,75883334.00,63450492.00,12432842.00,21888889.00,18000000.00,23561603.00
Nov 28 2025,PRIME,0,75883334.00,63450492.00,12432842.00,21888889.00,18000000.00,23561603.00
Nov 27 2025,PRIME,0,75883334.00,63450492.00,12432842.00,21888889.00,18000000.00,23561603.00
Nov 25 2025,PRIME,0,75883334.00,63450492.00,12432842.00,21888889.00,18000000.00,23561603.00
Nov 23 2025,PRIME,0,75883334.00,63450492.00,12432842.00,21888889.00,18000000.00,23561603.00
Nov 22 2025,PRIME,0,75883334.00,63450492.00,12432842.00,21888889.00,18000000.00,23561603.00
Nov 20 2025,PRIME,0,75883334.00,63450492.00,12432842.00,21888889.00,18000000.00,23561603.00
Nov 18 2025,PRIME,0,75883334.00,63450492.00,12432842.00,21888889.00,18000000.00,23561603.00
Nov 17 2025,PRIME,0,75883334.00,63450492.00,12432842.00,21888889.00,18000000.00,23561603.00
Nov 15 2025,PRIME,0,75883334.00,63450492.00,12432842.00,21888889.00,18000000.00,23561603.00
Nov 14 2025,PRIME,0,75883334.00,63450492.00,12432842.00,21888889.00,18000000.00,23561603.00
Nov 12 2025,PRIME,0,75883334.00,63450492.00,12432842.00,21888889.00,18000000.00,23561603.00
Nov 10 2025,PRIME,0,75883334.00,63450492.00,12432842.00,21888889.00,18000000.00,23561603.00
Nov 09 2025,PRIME,0,75883334.00,63450492.00,12432842.00,21888889.00,18000000.00,23561603.00
Nov 07 2025,PRIME,0,75883334.00,63450492.00,12432842.00,21888889.00,18000000.00,23561603.00
Nov 05 2025,PRIME,0,75883334.00,63450492.00,12432842.00,21888889.00,18000000.00,23561603.00
Nov 04 2025,PRIME,0,75883334.00,63450492.00,12432842.00,21888889.00,18000000.00,23561603.00
Nov 02 2025,PRIME,0,75883334.00,63450492.00,12432842.00,21888889.00,18000000.00,23561603.00
Oct 31 2025,PRIME,0,75883334.00,63450492.00,12432842.00,21888889.00,18000000.00,23561603.00
Oct 30 2025,PRIME,0,75883334.00,63450492.00,12432842.00,21888889.00,18000000.00,23561603.00
Oct 28 2025,PRIME,0,75883334.00,63450492.00,12432842.00,21888889.00,18000000.00,23561603.00
Oct 26 2025,PRIME,0,75883334.00,63450492.00,12432842.00,21888889.00,18000000.00,23561603.00
Oct 25 2025,PRIME,0,75883334.00,63450492.00,12432842.00,21888889.00,18000000.00,23561603.00
Oct 23 2025,PRIME,0,75883334.00,63450492.00,12432842.00,21888889.00,18000000.00,23561603.00
Oct 22 2025,PRIME,0,75883334.00,63450492.00,12432842.00,21888889.00,18000000.00,23561603.00
Oct 20 2025,PRIME,0,75883334.00,63450492.00,12432842.00,21888889.00,18000000.00,23561603.00
Oct 18 2025,PRIME,0,75883334.00,63450492.00,12432842.00,21888889.00,18000000.00,23561603.00
Oct 17 2025,PRIME,0,75883334.00,63450492.00,12432842.00,21888889.00,18000000.00,23561603.00
Oct 15 2025,PRIME,0,75883334.00,63450492.00,12432842.00,21888889.00,18000000.00,23561603.00
Oct 13 2025,PRIME,0,75883334.00,63450492.00,12432842.00,21888889.00,18000000.00,23561603.00
Oct 12 2025,PRIME,0,75883334.00,63450492.00,12432842.00,21888889.00,18000000.00,23561603.00
Oct 10 2025,PRIME,0,75883334.00,63450492.00,12432842.00,21888889.00,18000000.00,23561603.00
Oct 08 2025,PRIME,0,75883334.00,63450492.00,12432842.00,21888889.00,18000000.00,23561603.00
Oct 07 2025,PRIME,0,75883334.00,63450492.00,12432842.00,21888889.00,18000000.00,23561603.00
Oct 05 2025,PRIME,0,75883334.00,63450492.00,12432842.00,21888889.00,18000000.00,23561603.00
Oct 03 2025,PRIME,0,75883334.00,63450492.00,12432842.00,21888889.00,18000000.00,23561603.00
Oct 02 2025,PRIME,0,75883334.00,63450492.00,12432842.00,21888889.00,18000000.00,23561603.00
Sep 30 2025,PRIME,0,75883334.00,63450492.00,12432842.00,21888889.00,18000000.00,23561603.00
Sep 29 2025,PRIME,0,75883334.00,63450492.00,12432842.00,21888889.00,18000000.00,23561603.00
Sep 27 2025,PRIME,0,75883334.00,63450492.00,12432842.00,21888889.00,18000000.00,23561603.00
Sep 25 2025,PRIME,0,75883334.00,63450492.00,12432842.00,21888889.00,18000000.00,23561603.00
Sep 24 2025,PRIME,0,75883334.00,63450492.00,12432842.00,21888889.00,18000000.00,23561603.00
Sep 22 2025,PRIME,0,75883334.00,63450492.00,12432842.00,21888889.00,18000000.00,23561603.00
Sep 20 2025,PRIME,0,75883334.00,63450492.00,12432842.00,21888889.00,18000000.00,23561603.00
Sep 19 2025,PRIME,0,75883334.00,63450492.00,12432842.00,21888889.00,18000000.00,23561603.00
Sep 17 2025,PRIME,0,75883334.00,63450492.00,12432842.00,21888889.00,18000000.00,23561603.00
Sep 15 2025,PRIME,0,75883334.00,63450492.00,12432842.00,21888889.00,18000000.00,23561603.00
Sep 14 2025,PRIME,0,75883334.00,63450492.00,12432842.00,21888889.00,18000000.00,23561603.00
Sep 12 2025,PRIME,0,75883334.00,63450492.00,12432842.00,21888889.00,18000000.00,23561603.00
Sep 10 2025,PRIME,0,75883334.00,63450492.00,12432842.00,21888889.00,18000000.00,23561603.00
Sep 09 2025,PRIME,0,75883334.00,63450492.00,12432842.00,21888889.00,18000000.00,23561603.00
Sep 07 2025,PRIME,0,75883334.00,63450492.00,12432842.00,21888889.00,18000000.00,23561603.00
Sep 06 2025,PRIME,0,75883334.00,63450492.00,12432842.00,21888889.00,18000000.00,23561603.00
Sep 04 2025,PRIME,0,75883334.00,63450492.00,12432842.00,21888889.00,18000000.00,23561603.00
Sep 02 2025,PRIME,0,75883334.00,63450492.00,12432842.00,21888889.00,18000000.00,23561603.00
Sep 01 2025,PRIME,0,75883334.00,63450492.00,12432842.00,21888889.00,18000000.00,23561603.00
Aug 30 2025,PRIME,0,74971297.00,62538455.00,12432842.00,20976852.00,18000000.00,23561603.00
Aug 28 2025,PRIME,0,74971297.00,62538455.00,12432842.00,20976852.00,18000000.00,23561603.00
Aug 27 2025,PRIME,0,74971297.00,62538455.00,12432842.00,20976852.00,18000000.00,23561603.00
Aug 25 2025,PRIME,0,74971297.00,62538455.00,12432842.00,20976852.00,18000000.00,23561603.00
Aug 23 2025,PRIME,0,74971297.00,62538455.00,12432842.00,20976852.00,18000000.00,23561603.00
Aug 22 2025,PRIME,0,74971297.00,62538455.00,12432842.00,20976852.00,18000000.00,23561603.00
Aug 20 2025,PRIME,0,74971297.00,62538455.00,12432842.00,20976852.00,18000000.00,23561603.00
Aug 18 2025,PRIME,0,74971297.00,62538455.00,12432842.00,20976852.00,18000000.00,23561603.00
Aug 17 2025,PRIME,0,74971297.00,62538455.00,12432842.00,20976852.00,18000000.00,23561603.00
Aug 15 2025,PRIME,0,74971297.00,62538455.00,12432842.00,20976852.00,18000000.00,23561603.00
Aug 13 2025,PRIME,0,74971297.00,62538455.00,12432842.00,20976852.00,18000000.00,23561603.00
Aug 12 2025,PRIME,0,74971297.00,62538455.00,12432842.00,20976852.00,18000000.00,23561603.00
Aug 10 2025,PRIME,0,74971297.00,62538455.00,12432842.00,20976852.00,18000000.00,23561603.00
Aug 09 2025,PRIME,0,74971297.00,62538455.00,12432842.00,20976852.00,18000000.00,23561603.00
Aug 07 2025,PRIME,0,74971297.00,62538455.00,12432842.00,20976852.00,18000000.00,23561603.00
Aug 05 2025,PRIME,0,74971297.00,62538455.00,12432842.00,20976852.00,18000000.00,23561603.00
Aug 04 2025,PRIME,0,74971297.00,62538455.00,12432842.00,20976852.00,18000000.00,23561603.00
Aug 02 2025,PRIME,0,74971297.00,62538455.00,12432842.00,20976852.00,18000000.00,23561603.00
Jul 31 2025,PRIME,0,74971297.00,62538455.00,12432842.00,20976852.00,18000000.00,23561603.00
Jul 30 2025,PRIME,0,74059260.00,61626418.00,12432842.00,20064815.00,18000000.00,23561603.00
Jul 28 2025,PRIME,0,74059260.00,61626418.00,12432842.00,20064815.00,18000000.00,23561603.00
Jul 26 2025,PRIME,0,74059260.00,61626418.00,12432842.00,20064815.00,18000000.00,23561603.00
Jul 25 2025,PRIME,0,74059260.00,61626418.00,12432842.00,20064815.00,18000000.00,23561603.00
Jul 23 2025,PRIME,0,74059260.00,61626418.00,12432842.00,20064815.00,18000000.00,23561603.00
Jul 21 2025,PRIME,0,74059260.00,61626418.00,12432842.00,20064815.00,18000000.00,23561603.00
Jul 20 2025,PRIME,0,74059260.00,61626418.00,12432842.00,20064815.00,18000000.00,23561603.00
Jul 18 2025,PRIME,0,74059260.00,61626418.00,12432842.00,20064815.00,18000000.00,23561603.00
Jul 17 2025,PRIME,0,74059260.00,61626418.00,12432842.00,20064815.00,18000000.00,23561603.00
