Date,Symbol,Price,Available Supply,Unlocked Supply,Founder / Team,Reserved,Community & Other
Mar 20 2026,EUL,0,27182818.00,27182818.00,12640011.00,6387961.00,8154846.00
Mar 18 2026,EUL,0,27182818.00,27182818.00,12640011.00,6387961.00,8154846.00
Mar 16 2026,EUL,0,27182818.00,27182818.00,12640011.00,6387961.00,8154846.00
Mar 15 2026,EUL,0,27182818.00,27182818.00,12640011.00,6387961.00,8154846.00
Mar 13 2026,EUL,0,27182818.00,27182818.00,12640011.00,6387961.00,8154846.00
Mar 11 2026,EUL,0,27182818.00,27182818.00,12640011.00,6387961.00,8154846.00
Mar 09 2026,EUL,0,27182818.00,27182818.00,12640011.00,6387961.00,8154846.00
Mar 07 2026,EUL,0,27182818.00,27182818.00,12640011.00,6387961.00,8154846.00
Mar 05 2026,EUL,0,27182818.00,27182818.00,12640011.00,6387961.00,8154846.00
Mar 04 2026,EUL,0,27182818.00,27182818.00,12640011.00,6387961.00,8154846.00
Mar 02 2026,EUL,0,27182818.00,27182818.00,12640011.00,6387961.00,8154846.00
Feb 28 2026,EUL,0,27182818.00,27182818.00,12640011.00,6387961.00,8154846.00
Feb 26 2026,EUL,0,27182818.00,27182818.00,12640011.00,6387961.00,8154846.00
Feb 24 2026,EUL,0,27182818.00,27182818.00,12640011.00,6387961.00,8154846.00
Feb 22 2026,EUL,0,27182818.00,27182818.00,12640011.00,6387961.00,8154846.00
Feb 21 2026,EUL,0,27182818.00,27182818.00,12640011.00,6387961.00,8154846.00
Feb 19 2026,EUL,0,27182818.00,27182818.00,12640011.00,6387961.00,8154846.00
Feb 17 2026,EUL,0,27182818.00,27182818.00,12640011.00,6387961.00,8154846.00
Feb 15 2026,EUL,0,27182818.00,27182818.00,12640011.00,6387961.00,8154846.00
Feb 13 2026,EUL,0,27182818.00,27182818.00,12640011.00,6387961.00,8154846.00
Feb 11 2026,EUL,0,27182818.00,27182818.00,12640011.00,6387961.00,8154846.00
Feb 10 2026,EUL,0,27182818.00,27182818.00,12640011.00,6387961.00,8154846.00
Feb 08 2026,EUL,0,27182818.00,27182818.00,12640011.00,6387961.00,8154846.00
Feb 06 2026,EUL,0,27182818.00,27182818.00,12640011.00,6387961.00,8154846.00
Feb 04 2026,EUL,0,27182818.00,27182818.00,12640011.00,6387961.00,8154846.00
Feb 02 2026,EUL,0,27182818.00,27182818.00,12640011.00,6387961.00,8154846.00
Feb 01 2026,EUL,0,27182818.00,27182818.00,12640011.00,6387961.00,8154846.00
Jan 30 2026,EUL,0,27182818.00,27182818.00,12640011.00,6387961.00,8154846.00
Jan 28 2026,EUL,0,27182818.00,27182818.00,12640011.00,6387961.00,8154846.00
Jan 26 2026,EUL,0,27182818.00,27182818.00,12640011.00,6387961.00,8154846.00
Jan 24 2026,EUL,0,27182818.00,27182818.00,12640011.00,6387961.00,8154846.00
Jan 22 2026,EUL,0,27182818.00,27182818.00,12640011.00,6387961.00,8154846.00
Jan 21 2026,EUL,0,27182818.00,27182818.00,12640011.00,6387961.00,8154846.00
Jan 19 2026,EUL,0,27182818.00,27182818.00,12640011.00,6387961.00,8154846.00
Jan 17 2026,EUL,0,27182818.00,27182818.00,12640011.00,6387961.00,8154846.00
Jan 15 2026,EUL,0,27182818.00,27182818.00,12640011.00,6387961.00,8154846.00
Jan 13 2026,EUL,0,27182818.00,27182818.00,12640011.00,6387961.00,8154846.00
Jan 11 2026,EUL,0,27182818.00,27182818.00,12640011.00,6387961.00,8154846.00
Jan 10 2026,EUL,0,27182818.00,27182818.00,12640011.00,6387961.00,8154846.00
Jan 08 2026,EUL,0,27182818.00,27182818.00,12640011.00,6387961.00,8154846.00
Jan 06 2026,EUL,0,27182818.00,27182818.00,12640011.00,6387961.00,8154846.00
Jan 04 2026,EUL,0,27182818.00,27182818.00,12640011.00,6387961.00,8154846.00
Jan 02 2026,EUL,0,27182818.00,27182818.00,12640011.00,6387961.00,8154846.00
Dec 31 2025,EUL,0,27182818.00,27182818.00,12640011.00,6387961.00,8154846.00
Dec 30 2025,EUL,0,27182818.00,27182818.00,12640011.00,6387961.00,8154846.00
Dec 28 2025,EUL,0,27182818.00,27182818.00,12640011.00,6387961.00,8154846.00
Dec 26 2025,EUL,0,27182818.00,27182818.00,12640011.00,6387961.00,8154846.00
Dec 24 2025,EUL,0,27182818.00,27182818.00,12640011.00,6387961.00,8154846.00
Dec 22 2025,EUL,0,27182818.00,27182818.00,12640011.00,6387961.00,8154846.00
Dec 21 2025,EUL,0,27182818.00,27182818.00,12640011.00,6387961.00,8154846.00
Dec 19 2025,EUL,0,27164953.00,27164953.00,12640011.00,6387961.00,8136981.00
Dec 17 2025,EUL,0,27164953.00,27164953.00,12640011.00,6387961.00,8136981.00
Dec 15 2025,EUL,0,27164953.00,27164953.00,12640011.00,6387961.00,8136981.00
Dec 13 2025,EUL,0,27164953.00,27164953.00,12640011.00,6387961.00,8136981.00
Dec 11 2025,EUL,0,27164953.00,27164953.00,12640011.00,6387961.00,8136981.00
Dec 10 2025,EUL,0,27161054.91,27161054.91,12636112.91,6387961.00,8136981.00
Dec 08 2025,EUL,0,27153258.73,27153258.73,12628316.73,6387961.00,8136981.00
Dec 06 2025,EUL,0,27145462.54,27145462.54,12620520.54,6387961.00,8136981.00
Dec 04 2025,EUL,0,27106107.36,27106107.36,12612724.36,6387961.00,8105422.00
Dec 02 2025,EUL,0,27098311.18,27098311.18,12604928.18,6387961.00,8105422.00
Nov 30 2025,EUL,0,27090514.99,27090514.99,12597131.99,6387961.00,8105422.00
Nov 29 2025,EUL,0,27086616.90,27086616.90,12593233.90,6387961.00,8105422.00
Nov 27 2025,EUL,0,27078820.72,27078820.72,12585437.72,6387961.00,8105422.00
Nov 25 2025,EUL,0,27071024.53,27071024.53,12577641.53,6387961.00,8105422.00
Nov 23 2025,EUL,0,27063228.35,27063228.35,12569845.35,6387961.00,8105422.00
Nov 21 2025,EUL,0,27023844.17,27023844.17,12562049.17,6387961.00,8073834.00
Nov 20 2025,EUL,0,27019946.08,27019946.08,12558151.08,6387961.00,8073834.00
Nov 18 2025,EUL,0,27012149.89,27012149.89,12550354.89,6387961.00,8073834.00
Nov 16 2025,EUL,0,27004353.71,27004353.71,12542558.71,6387961.00,8073834.00
Nov 14 2025,EUL,0,26996557.53,26996557.53,12534762.53,6387961.00,8073834.00
Nov 12 2025,EUL,0,26988761.34,26988761.34,12526966.34,6387961.00,8073834.00
Nov 10 2025,EUL,0,26980965.16,26980965.16,12519170.16,6387961.00,8073834.00
Nov 09 2025,EUL,0,26977067.07,26977067.07,12515272.07,6387961.00,8073834.00
Nov 07 2025,EUL,0,26937651.88,26937651.88,12507475.88,6387961.00,8042215.00
Nov 05 2025,EUL,0,26929855.70,26929855.70,12499679.70,6387961.00,8042215.00
Nov 03 2025,EUL,0,26922059.52,26922059.52,12491883.52,6387961.00,8042215.00
Nov 01 2025,EUL,0,26914263.33,26914263.33,12484087.33,6387961.00,8042215.00
Oct 30 2025,EUL,0,26906467.15,26906467.15,12476291.15,6387961.00,8042215.00
