Date,Symbol,Price,Available Supply,Unlocked Supply,Founder / Team,Private Investors,Community & Other
Dec 25 2030,FLOW,0,1955038144.28,1955038144.28,475000000.03,250000000.00,1230038144.25
Dec 21 2030,FLOW,0,1954258317.31,1954258317.31,475000000.03,250000000.00,1229258317.28
Dec 16 2030,FLOW,0,1953283533.61,1953283533.61,475000000.03,250000000.00,1228283533.58
Dec 12 2030,FLOW,0,1952503706.65,1952503706.65,475000000.03,250000000.00,1227503706.62
Dec 08 2030,FLOW,0,1951723879.69,1951723879.69,475000000.03,250000000.00,1226723879.66
Dec 03 2030,FLOW,0,1950749095.98,1950749095.98,475000000.03,250000000.00,1225749095.95
Nov 29 2030,FLOW,0,1949969269.02,1949969269.02,475000000.03,250000000.00,1224969268.99
Nov 25 2030,FLOW,0,1949189442.06,1949189442.06,475000000.03,250000000.00,1224189442.03
Nov 20 2030,FLOW,0,1948214658.35,1948214658.35,475000000.03,250000000.00,1223214658.32
Nov 16 2030,FLOW,0,1947434831.39,1947434831.39,475000000.03,250000000.00,1222434831.36
Nov 11 2030,FLOW,0,1946460047.69,1946460047.69,475000000.03,250000000.00,1221460047.66
Nov 07 2030,FLOW,0,1945680220.73,1945680220.73,475000000.03,250000000.00,1220680220.70
Nov 03 2030,FLOW,0,1944900393.76,1944900393.76,475000000.03,250000000.00,1219900393.73
Oct 29 2030,FLOW,0,1943925610.06,1943925610.06,475000000.03,250000000.00,1218925610.03
Oct 25 2030,FLOW,0,1943145783.10,1943145783.10,475000000.03,250000000.00,1218145783.07
Oct 21 2030,FLOW,0,1942365956.14,1942365956.14,475000000.03,250000000.00,1217365956.11
Oct 16 2030,FLOW,0,1941391172.43,1941391172.43,475000000.03,250000000.00,1216391172.40
Oct 12 2030,FLOW,0,1940611345.47,1940611345.47,475000000.03,250000000.00,1215611345.44
Oct 08 2030,FLOW,0,1939831518.51,1939831518.51,475000000.03,250000000.00,1214831518.48
Oct 03 2030,FLOW,0,1938856734.80,1938856734.80,475000000.03,250000000.00,1213856734.77
Sep 29 2030,FLOW,0,1938076907.84,1938076907.84,475000000.03,250000000.00,1213076907.81
Sep 25 2030,FLOW,0,1937297080.88,1937297080.88,475000000.03,250000000.00,1212297080.85
Sep 20 2030,FLOW,0,1936322297.18,1936322297.18,475000000.03,250000000.00,1211322297.15
Sep 16 2030,FLOW,0,1935542470.21,1935542470.21,475000000.03,250000000.00,1210542470.18
Sep 12 2030,FLOW,0,1934762643.25,1934762643.25,475000000.03,250000000.00,1209762643.22
Sep 07 2030,FLOW,0,1933787859.55,1933787859.55,475000000.03,250000000.00,1208787859.52
Sep 03 2030,FLOW,0,1933008032.58,1933008032.58,475000000.03,250000000.00,1208008032.55
Aug 30 2030,FLOW,0,1932228205.62,1932228205.62,475000000.03,250000000.00,1207228205.59
Aug 25 2030,FLOW,0,1931253421.92,1931253421.92,475000000.03,250000000.00,1206253421.89
Aug 21 2030,FLOW,0,1930473594.96,1930473594.96,475000000.03,250000000.00,1205473594.93
Aug 16 2030,FLOW,0,1929498811.25,1929498811.25,475000000.03,250000000.00,1204498811.22
Aug 12 2030,FLOW,0,1928718984.29,1928718984.29,475000000.03,250000000.00,1203718984.26
Aug 08 2030,FLOW,0,1927939157.33,1927939157.33,475000000.03,250000000.00,1202939157.30
Aug 03 2030,FLOW,0,1926964373.62,1926964373.62,475000000.03,250000000.00,1201964373.59
Jul 30 2030,FLOW,0,1926184546.66,1926184546.66,475000000.03,250000000.00,1201184546.63
Jul 26 2030,FLOW,0,1925404719.70,1925404719.70,475000000.03,250000000.00,1200404719.67
Jul 21 2030,FLOW,0,1924429936.00,1924429936.00,475000000.03,250000000.00,1199429935.97
Jul 17 2030,FLOW,0,1923650109.03,1923650109.03,475000000.03,250000000.00,1198650109.00
Jul 13 2030,FLOW,0,1922870282.07,1922870282.07,475000000.03,250000000.00,1197870282.04
Jul 08 2030,FLOW,0,1921895498.37,1921895498.37,475000000.03,250000000.00,1196895498.34
