Date,Symbol,Price,Available Supply,Unlocked Supply,Founder / Team,Private Investors,Public Investors,Community & Other
Dec 13 2025,GEL,0,420690000.00,420690000.00,105172500.00,88344900.00,16827600.00,210345000.00
Dec 11 2025,GEL,0,420690000.00,420690000.00,105172500.00,88344900.00,16827600.00,210345000.00
Dec 09 2025,GEL,0,420690000.00,420690000.00,105172500.00,88344900.00,16827600.00,210345000.00
Dec 07 2025,GEL,0,420690000.00,420690000.00,105172500.00,88344900.00,16827600.00,210345000.00
Dec 06 2025,GEL,0,420690000.00,420690000.00,105172500.00,88344900.00,16827600.00,210345000.00
Dec 04 2025,GEL,0,420690000.00,420690000.00,105172500.00,88344900.00,16827600.00,210345000.00
Dec 02 2025,GEL,0,420690000.00,420690000.00,105172500.00,88344900.00,16827600.00,210345000.00
Nov 30 2025,GEL,0,420690000.00,420690000.00,105172500.00,88344900.00,16827600.00,210345000.00
Nov 28 2025,GEL,0,420690000.00,420690000.00,105172500.00,88344900.00,16827600.00,210345000.00
Nov 26 2025,GEL,0,420690000.00,420690000.00,105172500.00,88344900.00,16827600.00,210345000.00
Nov 25 2025,GEL,0,420690000.00,420690000.00,105172500.00,88344900.00,16827600.00,210345000.00
Nov 23 2025,GEL,0,420690000.00,420690000.00,105172500.00,88344900.00,16827600.00,210345000.00
Nov 21 2025,GEL,0,420690000.00,420690000.00,105172500.00,88344900.00,16827600.00,210345000.00
Nov 19 2025,GEL,0,420690000.00,420690000.00,105172500.00,88344900.00,16827600.00,210345000.00
Nov 17 2025,GEL,0,420690000.00,420690000.00,105172500.00,88344900.00,16827600.00,210345000.00
Nov 15 2025,GEL,0,420690000.00,420690000.00,105172500.00,88344900.00,16827600.00,210345000.00
Nov 14 2025,GEL,0,420690000.00,420690000.00,105172500.00,88344900.00,16827600.00,210345000.00
Nov 12 2025,GEL,0,420690000.00,420690000.00,105172500.00,88344900.00,16827600.00,210345000.00
Nov 10 2025,GEL,0,420690000.00,420690000.00,105172500.00,88344900.00,16827600.00,210345000.00
Nov 08 2025,GEL,0,420690000.00,420690000.00,105172500.00,88344900.00,16827600.00,210345000.00
Nov 06 2025,GEL,0,420690000.00,420690000.00,105172500.00,88344900.00,16827600.00,210345000.00
Nov 04 2025,GEL,0,420690000.00,420690000.00,105172500.00,88344900.00,16827600.00,210345000.00
Nov 02 2025,GEL,0,420690000.00,420690000.00,105172500.00,88344900.00,16827600.00,210345000.00
Nov 01 2025,GEL,0,420690000.00,420690000.00,105172500.00,88344900.00,16827600.00,210345000.00
Oct 30 2025,GEL,0,420690000.00,420690000.00,105172500.00,88344900.00,16827600.00,210345000.00
Oct 28 2025,GEL,0,420690000.00,420690000.00,105172500.00,88344900.00,16827600.00,210345000.00
Oct 26 2025,GEL,0,420690000.00,420690000.00,105172500.00,88344900.00,16827600.00,210345000.00
Oct 24 2025,GEL,0,420690000.00,420690000.00,105172500.00,88344900.00,16827600.00,210345000.00
Oct 22 2025,GEL,0,420690000.00,420690000.00,105172500.00,88344900.00,16827600.00,210345000.00
Oct 21 2025,GEL,0,420690000.00,420690000.00,105172500.00,88344900.00,16827600.00,210345000.00
Oct 19 2025,GEL,0,420690000.00,420690000.00,105172500.00,88344900.00,16827600.00,210345000.00
Oct 17 2025,GEL,0,420690000.00,420690000.00,105172500.00,88344900.00,16827600.00,210345000.00
Oct 15 2025,GEL,0,420690000.00,420690000.00,105172500.00,88344900.00,16827600.00,210345000.00
Oct 13 2025,GEL,0,420690000.00,420690000.00,105172500.00,88344900.00,16827600.00,210345000.00
Oct 11 2025,GEL,0,420690000.00,420690000.00,105172500.00,88344900.00,16827600.00,210345000.00
Oct 10 2025,GEL,0,420690000.00,420690000.00,105172500.00,88344900.00,16827600.00,210345000.00
Oct 08 2025,GEL,0,420690000.00,420690000.00,105172500.00,88344900.00,16827600.00,210345000.00
Oct 06 2025,GEL,0,420690000.00,420690000.00,105172500.00,88344900.00,16827600.00,210345000.00
Oct 04 2025,GEL,0,420690000.00,420690000.00,105172500.00,88344900.00,16827600.00,210345000.00
Oct 02 2025,GEL,0,420690000.00,420690000.00,105172500.00,88344900.00,16827600.00,210345000.00
Sep 30 2025,GEL,0,420690000.00,420690000.00,105172500.00,88344900.00,16827600.00,210345000.00
Sep 29 2025,GEL,0,420690000.00,420690000.00,105172500.00,88344900.00,16827600.00,210345000.00
Sep 27 2025,GEL,0,420690000.00,420690000.00,105172500.00,88344900.00,16827600.00,210345000.00
Sep 25 2025,GEL,0,420690000.00,420690000.00,105172500.00,88344900.00,16827600.00,210345000.00
Sep 23 2025,GEL,0,420690000.00,420690000.00,105172500.00,88344900.00,16827600.00,210345000.00
Sep 21 2025,GEL,0,420690000.00,420690000.00,105172500.00,88344900.00,16827600.00,210345000.00
Sep 19 2025,GEL,0,420690000.00,420690000.00,105172500.00,88344900.00,16827600.00,210345000.00
Sep 17 2025,GEL,0,420690000.00,420690000.00,105172500.00,88344900.00,16827600.00,210345000.00
Sep 16 2025,GEL,0,420690000.00,420690000.00,105172500.00,88344900.00,16827600.00,210345000.00
Sep 14 2025,GEL,0,420690000.00,420690000.00,105172500.00,88344900.00,16827600.00,210345000.00
Sep 12 2025,GEL,0,420562052.92,420562052.92,105044552.92,88344900.00,16827600.00,210345000.00
Sep 10 2025,GEL,0,420408516.42,420408516.42,104891016.42,88344900.00,16827600.00,210345000.00
Sep 08 2025,GEL,0,420254979.93,420254979.93,104737479.93,88344900.00,16827600.00,210345000.00
Sep 06 2025,GEL,0,420101443.43,420101443.43,104583943.43,88344900.00,16827600.00,210345000.00
Sep 05 2025,GEL,0,420024675.18,420024675.18,104507175.18,88344900.00,16827600.00,210345000.00
Sep 03 2025,GEL,0,419871138.69,419871138.69,104353638.69,88344900.00,16827600.00,210345000.00
Sep 01 2025,GEL,0,419717602.19,419717602.19,104200102.19,88344900.00,16827600.00,210345000.00
Aug 30 2025,GEL,0,419564065.69,419564065.69,104046565.69,88344900.00,16827600.00,210345000.00
Aug 28 2025,GEL,0,419410529.20,419410529.20,103893029.20,88344900.00,16827600.00,210345000.00
Aug 26 2025,GEL,0,419256992.70,419256992.70,103739492.70,88344900.00,16827600.00,210345000.00
Aug 25 2025,GEL,0,419180224.45,419180224.45,103662724.45,88344900.00,16827600.00,210345000.00
Aug 23 2025,GEL,0,419026687.96,419026687.96,103509187.96,88344900.00,16827600.00,210345000.00
Aug 21 2025,GEL,0,418873151.46,418873151.46,103355651.46,88344900.00,16827600.00,210345000.00
Aug 19 2025,GEL,0,418719614.96,418719614.96,103202114.96,88344900.00,16827600.00,210345000.00
Aug 17 2025,GEL,0,418566078.47,418566078.47,103048578.47,88344900.00,16827600.00,210345000.00
Aug 15 2025,GEL,0,418412541.97,418412541.97,102895041.97,88344900.00,16827600.00,210345000.00
Aug 13 2025,GEL,0,418259005.47,418259005.47,102741505.47,88344900.00,16827600.00,210345000.00
Aug 12 2025,GEL,0,418182237.23,418182237.23,102664737.23,88344900.00,16827600.00,210345000.00
Aug 10 2025,GEL,0,418028700.73,418028700.73,102511200.73,88344900.00,16827600.00,210345000.00
Aug 08 2025,GEL,0,417875164.23,417875164.23,102357664.23,88344900.00,16827600.00,210345000.00
Aug 06 2025,GEL,0,417721627.74,417721627.74,102204127.74,88344900.00,16827600.00,210345000.00
Aug 04 2025,GEL,0,417568091.24,417568091.24,102050591.24,88344900.00,16827600.00,210345000.00
Aug 02 2025,GEL,0,417414554.74,417414554.74,101897054.74,88344900.00,16827600.00,210345000.00
Aug 01 2025,GEL,0,417337786.50,417337786.50,101820286.50,88344900.00,16827600.00,210345000.00
Jul 30 2025,GEL,0,417184250.00,417184250.00,101666750.00,88344900.00,16827600.00,210345000.00
Jul 28 2025,GEL,0,417030713.50,417030713.50,101513213.50,88344900.00,16827600.00,210345000.00
Jul 26 2025,GEL,0,416877177.01,416877177.01,101359677.01,88344900.00,16827600.00,210345000.00
Jul 24 2025,GEL,0,416723640.51,416723640.51,101206140.51,88344900.00,16827600.00,210345000.00
Jul 22 2025,GEL,0,416570104.01,416570104.01,101052604.01,88344900.00,16827600.00,210345000.00
Jul 21 2025,GEL,0,416493335.77,416493335.77,100975835.77,88344900.00,16827600.00,210345000.00
Jul 19 2025,GEL,0,416339799.27,416339799.27,100822299.27,88344900.00,16827600.00,210345000.00
Jul 17 2025,GEL,0,416186262.77,416186262.77,100668762.77,88344900.00,16827600.00,210345000.00
Jul 15 2025,GEL,0,416032726.28,416032726.28,100515226.28,88344900.00,16827600.00,210345000.00
Jul 13 2025,GEL,0,415879189.78,415879189.78,100361689.78,88344900.00,16827600.00,210345000.00
Jul 11 2025,GEL,0,415725653.28,415725653.28,100208153.28,88344900.00,16827600.00,210345000.00
Jul 10 2025,GEL,0,415648885.04,415648885.04,100131385.04,88344900.00,16827600.00,210345000.00
Jul 08 2025,GEL,0,415495348.54,415495348.54,99977848.54,88344900.00,16827600.00,210345000.00
Jul 06 2025,GEL,0,415341812.04,415341812.04,99824312.04,88344900.00,16827600.00,210345000.00
Jul 04 2025,GEL,0,415188275.55,415188275.55,99670775.55,88344900.00,16827600.00,210345000.00
Jul 02 2025,GEL,0,415034739.05,415034739.05,99517239.05,88344900.00,16827600.00,210345000.00
Jun 30 2025,GEL,0,414881202.55,414881202.55,99363702.55,88344900.00,16827600.00,210345000.00
Jun 28 2025,GEL,0,414727666.06,414727666.06,99210166.06,88344900.00,16827600.00,210345000.00
Jun 27 2025,GEL,0,414650897.81,414650897.81,99133397.81,88344900.00,16827600.00,210345000.00
Jun 25 2025,GEL,0,414497361.31,414497361.31,98979861.31,88344900.00,16827600.00,210345000.00
Jun 23 2025,GEL,0,414343824.82,414343824.82,98826324.82,88344900.00,16827600.00,210345000.00
Jun 21 2025,GEL,0,414190288.32,414190288.32,98672788.32,88344900.00,16827600.00,210345000.00
Jun 19 2025,GEL,0,414036751.82,414036751.82,98519251.82,88344900.00,16827600.00,210345000.00
Jun 17 2025,GEL,0,413883215.33,413883215.33,98365715.33,88344900.00,16827600.00,210345000.00
Jun 16 2025,GEL,0,413806447.08,413806447.08,98288947.08,88344900.00,16827600.00,210345000.00
Jun 14 2025,GEL,0,413652910.58,413652910.58,98135410.58,88344900.00,16827600.00,210345000.00
Jun 12 2025,GEL,0,413499374.09,413499374.09,97981874.09,88344900.00,16827600.00,210345000.00
Jun 10 2025,GEL,0,413345837.59,413345837.59,97828337.59,88344900.00,16827600.00,210345000.00
Jun 08 2025,GEL,0,413192301.09,413192301.09,97674801.09,88344900.00,16827600.00,210345000.00
Jun 06 2025,GEL,0,413038764.60,413038764.60,97521264.60,88344900.00,16827600.00,210345000.00
Jun 05 2025,GEL,0,412961996.35,412961996.35,97444496.35,88344900.00,16827600.00,210345000.00
Jun 03 2025,GEL,0,412808459.85,412808459.85,97290959.85,88344900.00,16827600.00,210345000.00
Jun 01 2025,GEL,0,412654923.36,412654923.36,97137423.36,88344900.00,16827600.00,210345000.00
May 30 2025,GEL,0,412501386.86,412501386.86,96983886.86,88344900.00,16827600.00,210345000.00
May 28 2025,GEL,0,412347850.36,412347850.36,96830350.36,88344900.00,16827600.00,210345000.00
May 26 2025,GEL,0,412194313.87,412194313.87,96676813.87,88344900.00,16827600.00,210345000.00
May 24 2025,GEL,0,412040777.37,412040777.37,96523277.37,88344900.00,16827600.00,210345000.00
May 23 2025,GEL,0,411964009.12,411964009.12,96446509.12,88344900.00,16827600.00,210345000.00
May 21 2025,GEL,0,411810472.63,411810472.63,96292972.63,88344900.00,16827600.00,210345000.00
