Date,Symbol,Price,Available Supply,Unlocked Supply,Founder / Team,Private Investors,Reserved,Community & Other
Sep 09 2026,HOP,0,1000000000.00,1000000000.00,252500000.00,62500000.00,605000000.00,80000000.00
Sep 07 2026,HOP,0,1000000000.00,1000000000.00,252500000.00,62500000.00,605000000.00,80000000.00
Sep 05 2026,HOP,0,1000000000.00,1000000000.00,252500000.00,62500000.00,605000000.00,80000000.00
Sep 03 2026,HOP,0,1000000000.00,1000000000.00,252500000.00,62500000.00,605000000.00,80000000.00
Sep 02 2026,HOP,0,1000000000.00,1000000000.00,252500000.00,62500000.00,605000000.00,80000000.00
Aug 31 2026,HOP,0,1000000000.00,1000000000.00,252500000.00,62500000.00,605000000.00,80000000.00
Aug 29 2026,HOP,0,1000000000.00,1000000000.00,252500000.00,62500000.00,605000000.00,80000000.00
Aug 27 2026,HOP,0,1000000000.00,1000000000.00,252500000.00,62500000.00,605000000.00,80000000.00
Aug 25 2026,HOP,0,1000000000.00,1000000000.00,252500000.00,62500000.00,605000000.00,80000000.00
Aug 23 2026,HOP,0,1000000000.00,1000000000.00,252500000.00,62500000.00,605000000.00,80000000.00
Aug 22 2026,HOP,0,1000000000.00,1000000000.00,252500000.00,62500000.00,605000000.00,80000000.00
Aug 20 2026,HOP,0,1000000000.00,1000000000.00,252500000.00,62500000.00,605000000.00,80000000.00
Aug 18 2026,HOP,0,1000000000.00,1000000000.00,252500000.00,62500000.00,605000000.00,80000000.00
Aug 16 2026,HOP,0,1000000000.00,1000000000.00,252500000.00,62500000.00,605000000.00,80000000.00
Aug 14 2026,HOP,0,1000000000.00,1000000000.00,252500000.00,62500000.00,605000000.00,80000000.00
Aug 12 2026,HOP,0,1000000000.00,1000000000.00,252500000.00,62500000.00,605000000.00,80000000.00
Aug 11 2026,HOP,0,1000000000.00,1000000000.00,252500000.00,62500000.00,605000000.00,80000000.00
Aug 09 2026,HOP,0,1000000000.00,1000000000.00,252500000.00,62500000.00,605000000.00,80000000.00
Aug 07 2026,HOP,0,1000000000.00,1000000000.00,252500000.00,62500000.00,605000000.00,80000000.00
Aug 05 2026,HOP,0,1000000000.00,1000000000.00,252500000.00,62500000.00,605000000.00,80000000.00
Aug 03 2026,HOP,0,1000000000.00,1000000000.00,252500000.00,62500000.00,605000000.00,80000000.00
Aug 01 2026,HOP,0,1000000000.00,1000000000.00,252500000.00,62500000.00,605000000.00,80000000.00
Jul 30 2026,HOP,0,1000000000.00,1000000000.00,252500000.00,62500000.00,605000000.00,80000000.00
Jul 29 2026,HOP,0,1000000000.00,1000000000.00,252500000.00,62500000.00,605000000.00,80000000.00
Jul 27 2026,HOP,0,1000000000.00,1000000000.00,252500000.00,62500000.00,605000000.00,80000000.00
Jul 25 2026,HOP,0,1000000000.00,1000000000.00,252500000.00,62500000.00,605000000.00,80000000.00
Jul 23 2026,HOP,0,1000000000.00,1000000000.00,252500000.00,62500000.00,605000000.00,80000000.00
Jul 21 2026,HOP,0,1000000000.00,1000000000.00,252500000.00,62500000.00,605000000.00,80000000.00
Jul 19 2026,HOP,0,1000000000.00,1000000000.00,252500000.00,62500000.00,605000000.00,80000000.00
Jul 18 2026,HOP,0,1000000000.00,1000000000.00,252500000.00,62500000.00,605000000.00,80000000.00
Jul 16 2026,HOP,0,1000000000.00,1000000000.00,252500000.00,62500000.00,605000000.00,80000000.00
Jul 14 2026,HOP,0,1000000000.00,1000000000.00,252500000.00,62500000.00,605000000.00,80000000.00
Jul 12 2026,HOP,0,1000000000.00,1000000000.00,252500000.00,62500000.00,605000000.00,80000000.00
Jul 10 2026,HOP,0,1000000000.00,1000000000.00,252500000.00,62500000.00,605000000.00,80000000.00
Jul 08 2026,HOP,0,1000000000.00,1000000000.00,252500000.00,62500000.00,605000000.00,80000000.00
Jul 07 2026,HOP,0,1000000000.00,1000000000.00,252500000.00,62500000.00,605000000.00,80000000.00
Jul 05 2026,HOP,0,1000000000.00,1000000000.00,252500000.00,62500000.00,605000000.00,80000000.00
Jul 03 2026,HOP,0,1000000000.00,1000000000.00,252500000.00,62500000.00,605000000.00,80000000.00
Jul 01 2026,HOP,0,1000000000.00,1000000000.00,252500000.00,62500000.00,605000000.00,80000000.00
Jun 29 2026,HOP,0,1000000000.00,1000000000.00,252500000.00,62500000.00,605000000.00,80000000.00
Jun 27 2026,HOP,0,1000000000.00,1000000000.00,252500000.00,62500000.00,605000000.00,80000000.00
Jun 25 2026,HOP,0,1000000000.00,1000000000.00,252500000.00,62500000.00,605000000.00,80000000.00
Jun 24 2026,HOP,0,1000000000.00,1000000000.00,252500000.00,62500000.00,605000000.00,80000000.00
Jun 22 2026,HOP,0,1000000000.00,1000000000.00,252500000.00,62500000.00,605000000.00,80000000.00
Jun 20 2026,HOP,0,1000000000.00,1000000000.00,252500000.00,62500000.00,605000000.00,80000000.00
Jun 18 2026,HOP,0,1000000000.00,1000000000.00,252500000.00,62500000.00,605000000.00,80000000.00
Jun 16 2026,HOP,0,1000000000.00,1000000000.00,252500000.00,62500000.00,605000000.00,80000000.00
Jun 14 2026,HOP,0,1000000000.00,1000000000.00,252500000.00,62500000.00,605000000.00,80000000.00
Jun 13 2026,HOP,0,1000000000.00,1000000000.00,252500000.00,62500000.00,605000000.00,80000000.00
Jun 11 2026,HOP,0,1000000000.00,1000000000.00,252500000.00,62500000.00,605000000.00,80000000.00
Jun 09 2026,HOP,0,1000000000.00,1000000000.00,252500000.00,62500000.00,605000000.00,80000000.00
Jun 07 2026,HOP,0,999405356.60,999405356.60,252034852.11,62370504.49,605000000.00,80000000.00
Jun 05 2026,HOP,0,998881633.97,998881633.97,251625180.58,62256453.39,605000000.00,80000000.00
Jun 03 2026,HOP,0,998357911.34,998357911.34,251215509.05,62142402.30,605000000.00,80000000.00
Jun 02 2026,HOP,0,998096050.03,998096050.03,251010673.28,62085376.75,605000000.00,80000000.00
May 31 2026,HOP,0,997572327.40,997572327.40,250601001.75,61971325.65,605000000.00,80000000.00
May 29 2026,HOP,0,997048604.77,997048604.77,250191330.22,61857274.56,605000000.00,80000000.00
May 27 2026,HOP,0,996524882.15,996524882.15,249781658.68,61743223.46,605000000.00,80000000.00
May 25 2026,HOP,0,996001159.52,996001159.52,249371987.15,61629172.37,605000000.00,80000000.00
May 23 2026,HOP,0,995477436.89,995477436.89,248962315.62,61515121.27,605000000.00,80000000.00
May 21 2026,HOP,0,994953714.26,994953714.26,248552644.08,61401070.18,605000000.00,80000000.00
May 20 2026,HOP,0,994691852.95,994691852.95,248347808.32,61344044.63,605000000.00,80000000.00
May 18 2026,HOP,0,994168130.32,994168130.32,247938136.79,61229993.54,605000000.00,80000000.00
May 16 2026,HOP,0,993644407.69,993644407.69,247528465.25,61115942.44,605000000.00,80000000.00
May 14 2026,HOP,0,993120685.07,993120685.07,247118793.72,61001891.35,605000000.00,80000000.00
May 12 2026,HOP,0,992596962.44,992596962.44,246709122.19,60887840.25,605000000.00,80000000.00
May 10 2026,HOP,0,992073239.81,992073239.81,246299450.65,60773789.16,605000000.00,80000000.00
May 09 2026,HOP,0,991811378.50,991811378.50,246094614.89,60716763.61,605000000.00,80000000.00
May 07 2026,HOP,0,991287655.87,991287655.87,245684943.35,60602712.52,605000000.00,80000000.00
May 05 2026,HOP,0,990763933.24,990763933.24,245275271.82,60488661.42,605000000.00,80000000.00
