Date,Symbol,Price,Available Supply,Unlocked Supply,Community & Other (TBD),Founder / Team,Private Investors,Reserved,Community & Other
Dec 07 2027,JTO,0,1000000000.00,757142857.00,242857143.00,245000000.00,162142857.00,250000000.00,100000000.00
Dec 05 2027,JTO,0,998882678.27,756025535.27,242857143.00,244602232.37,161879611.37,249543691.54,100000000.00
Dec 04 2027,JTO,0,998463682.63,755606539.63,242857143.00,244453069.51,161780894.25,249372575.86,100000000.00
Dec 02 2027,JTO,0,997625691.33,754768548.33,242857143.00,244154743.79,161583460.03,249030344.51,100000000.00
Nov 30 2027,JTO,0,996787700.03,753930557.03,242857143.00,243856418.06,161386025.81,248688113.16,100000000.00
Nov 28 2027,JTO,0,995949708.74,753092565.74,242857143.00,243558092.34,161188591.58,248345881.82,100000000.00
Nov 27 2027,JTO,0,995530713.09,752673570.09,242857143.00,243408929.48,161089874.47,248174766.14,100000000.00
Nov 25 2027,JTO,0,994692721.80,751835578.80,242857143.00,243110603.76,160892440.24,247832534.79,100000000.00
Nov 23 2027,JTO,0,993854730.50,750997587.50,242857143.00,242812278.04,160695006.02,247490303.45,100000000.00
Nov 21 2027,JTO,0,993016739.20,750159596.20,242857143.00,242513952.31,160497571.79,247148072.10,100000000.00
Nov 20 2027,JTO,0,992597743.56,749740600.56,242857143.00,242364789.45,160398854.68,246976956.42,100000000.00
Nov 18 2027,JTO,0,991759752.26,748902609.26,242857143.00,242066463.73,160201420.46,246634725.07,100000000.00
Nov 16 2027,JTO,0,990921760.97,748064617.97,242857143.00,241768138.01,160003986.23,246292493.73,100000000.00
Nov 14 2027,JTO,0,990083769.67,747226626.67,242857143.00,241469812.29,159806552.01,245950262.38,100000000.00
Nov 13 2027,JTO,0,989664774.02,746807631.02,242857143.00,241320649.42,159707834.90,245779146.70,100000000.00
Nov 11 2027,JTO,0,988826782.73,745969639.73,242857143.00,241022323.70,159510400.67,245436915.35,100000000.00
Nov 09 2027,JTO,0,987988791.43,745131648.43,242857143.00,240723997.98,159312966.45,245094684.01,100000000.00
Nov 08 2027,JTO,0,987569795.78,744712652.78,242857143.00,240574835.12,159214249.33,244923568.33,100000000.00
Nov 06 2027,JTO,0,986731804.49,743874661.49,242857143.00,240276509.40,159016815.11,244581336.98,100000000.00
Nov 04 2027,JTO,0,985893813.19,743036670.19,242857143.00,239978183.67,158819380.88,244239105.64,100000000.00
Nov 02 2027,JTO,0,985055821.90,742198678.90,242857143.00,239679857.95,158621946.66,243896874.29,100000000.00
