Date,Symbol,Price,Available Supply,Unlocked Supply,Founder / Team,Private Investors,Reserved,Community & Other
Jul 05 2036,LQTY,0,99999023.44,99999023.44,23664633.00,33902679.00,2000000.00,40431711.44
Jun 28 2036,LQTY,0,99999023.44,99999023.44,23664633.00,33902679.00,2000000.00,40431711.44
Jun 22 2036,LQTY,0,99999023.44,99999023.44,23664633.00,33902679.00,2000000.00,40431711.44
Jun 15 2036,LQTY,0,99999023.44,99999023.44,23664633.00,33902679.00,2000000.00,40431711.44
Jun 09 2036,LQTY,0,99999023.44,99999023.44,23664633.00,33902679.00,2000000.00,40431711.44
Jun 02 2036,LQTY,0,99999023.44,99999023.44,23664633.00,33902679.00,2000000.00,40431711.44
May 26 2036,LQTY,0,99999023.44,99999023.44,23664633.00,33902679.00,2000000.00,40431711.44
May 20 2036,LQTY,0,99999023.44,99999023.44,23664633.00,33902679.00,2000000.00,40431711.44
May 13 2036,LQTY,0,99999023.44,99999023.44,23664633.00,33902679.00,2000000.00,40431711.44
May 07 2036,LQTY,0,99999023.44,99999023.44,23664633.00,33902679.00,2000000.00,40431711.44
Apr 30 2036,LQTY,0,99999023.44,99999023.44,23664633.00,33902679.00,2000000.00,40431711.44
Apr 23 2036,LQTY,0,99999023.44,99999023.44,23664633.00,33902679.00,2000000.00,40431711.44
Apr 17 2036,LQTY,0,99999023.44,99999023.44,23664633.00,33902679.00,2000000.00,40431711.44
Apr 10 2036,LQTY,0,99999023.44,99999023.44,23664633.00,33902679.00,2000000.00,40431711.44
Apr 03 2036,LQTY,0,99999018.10,99999018.10,23664633.00,33902679.00,2000000.00,40431706.10
Mar 28 2036,LQTY,0,99999002.09,99999002.09,23664633.00,33902679.00,2000000.00,40431690.09
Mar 21 2036,LQTY,0,99998983.42,99998983.42,23664633.00,33902679.00,2000000.00,40431671.42
Mar 15 2036,LQTY,0,99998967.41,99998967.41,23664633.00,33902679.00,2000000.00,40431655.41
Mar 08 2036,LQTY,0,99998948.73,99998948.73,23664633.00,33902679.00,2000000.00,40431636.73
Mar 01 2036,LQTY,0,99998930.05,99998930.05,23664633.00,33902679.00,2000000.00,40431618.05
Feb 24 2036,LQTY,0,99998914.04,99998914.04,23664633.00,33902679.00,2000000.00,40431602.04
Feb 17 2036,LQTY,0,99998895.37,99998895.37,23664633.00,33902679.00,2000000.00,40431583.37
Feb 11 2036,LQTY,0,99998879.36,99998879.36,23664633.00,33902679.00,2000000.00,40431567.36
Feb 04 2036,LQTY,0,99998860.68,99998860.68,23664633.00,33902679.00,2000000.00,40431548.68
Jan 28 2036,LQTY,0,99998842.00,99998842.00,23664633.00,33902679.00,2000000.00,40431530.00
Jan 22 2036,LQTY,0,99998825.99,99998825.99,23664633.00,33902679.00,2000000.00,40431513.99
Jan 15 2036,LQTY,0,99998807.32,99998807.32,23664633.00,33902679.00,2000000.00,40431495.32
Jan 09 2036,LQTY,0,99998791.31,99998791.31,23664633.00,33902679.00,2000000.00,40431479.31
Jan 02 2036,LQTY,0,99998772.63,99998772.63,23664633.00,33902679.00,2000000.00,40431460.63
Dec 26 2035,LQTY,0,99998753.95,99998753.95,23664633.00,33902679.00,2000000.00,40431441.95
Dec 20 2035,LQTY,0,99998737.94,99998737.94,23664633.00,33902679.00,2000000.00,40431425.94
