Date,Symbol,Price,Available Supply,Unlocked Supply,Founder / Team,Public Investors,Reserved,Community & Other
Jan 24 2026,LBR,0,100000000.00,100000000.00,13500000.00,5500000.00,10000000.00,71000000.00
Jan 23 2026,LBR,0,100000000.00,100000000.00,13500000.00,5500000.00,10000000.00,71000000.00
Jan 22 2026,LBR,0,100000000.00,100000000.00,13500000.00,5500000.00,10000000.00,71000000.00
Jan 20 2026,LBR,0,100000000.00,100000000.00,13500000.00,5500000.00,10000000.00,71000000.00
Jan 19 2026,LBR,0,100000000.00,100000000.00,13500000.00,5500000.00,10000000.00,71000000.00
Jan 18 2026,LBR,0,100000000.00,100000000.00,13500000.00,5500000.00,10000000.00,71000000.00
Jan 17 2026,LBR,0,100000000.00,100000000.00,13500000.00,5500000.00,10000000.00,71000000.00
Jan 16 2026,LBR,0,100000000.00,100000000.00,13500000.00,5500000.00,10000000.00,71000000.00
Jan 14 2026,LBR,0,100000000.00,100000000.00,13500000.00,5500000.00,10000000.00,71000000.00
Jan 13 2026,LBR,0,100000000.00,100000000.00,13500000.00,5500000.00,10000000.00,71000000.00
Jan 12 2026,LBR,0,100000000.00,100000000.00,13500000.00,5500000.00,10000000.00,71000000.00
Jan 11 2026,LBR,0,100000000.00,100000000.00,13500000.00,5500000.00,10000000.00,71000000.00
Jan 10 2026,LBR,0,100000000.00,100000000.00,13500000.00,5500000.00,10000000.00,71000000.00
Jan 08 2026,LBR,0,100000000.00,100000000.00,13500000.00,5500000.00,10000000.00,71000000.00
Jan 07 2026,LBR,0,100000000.00,100000000.00,13500000.00,5500000.00,10000000.00,71000000.00
Jan 06 2026,LBR,0,100000000.00,100000000.00,13500000.00,5500000.00,10000000.00,71000000.00
Jan 05 2026,LBR,0,100000000.00,100000000.00,13500000.00,5500000.00,10000000.00,71000000.00
Jan 04 2026,LBR,0,100000000.00,100000000.00,13500000.00,5500000.00,10000000.00,71000000.00
Jan 03 2026,LBR,0,100000000.00,100000000.00,13500000.00,5500000.00,10000000.00,71000000.00
Jan 01 2026,LBR,0,100000000.00,100000000.00,13500000.00,5500000.00,10000000.00,71000000.00
Dec 31 2025,LBR,0,100000000.00,100000000.00,13500000.00,5500000.00,10000000.00,71000000.00
Dec 30 2025,LBR,0,100000000.00,100000000.00,13500000.00,5500000.00,10000000.00,71000000.00
Dec 29 2025,LBR,0,100000000.00,100000000.00,13500000.00,5500000.00,10000000.00,71000000.00
Dec 28 2025,LBR,0,100000000.00,100000000.00,13500000.00,5500000.00,10000000.00,71000000.00
Dec 26 2025,LBR,0,100000000.00,100000000.00,13500000.00,5500000.00,10000000.00,71000000.00
Dec 25 2025,LBR,0,100000000.00,100000000.00,13500000.00,5500000.00,10000000.00,71000000.00
Dec 24 2025,LBR,0,100000000.00,100000000.00,13500000.00,5500000.00,10000000.00,71000000.00
Dec 23 2025,LBR,0,100000000.00,100000000.00,13500000.00,5500000.00,10000000.00,71000000.00
Dec 22 2025,LBR,0,100000000.00,100000000.00,13500000.00,5500000.00,10000000.00,71000000.00
Dec 20 2025,LBR,0,100000000.00,100000000.00,13500000.00,5500000.00,10000000.00,71000000.00
Dec 19 2025,LBR,0,100000000.00,100000000.00,13500000.00,5500000.00,10000000.00,71000000.00
Dec 18 2025,LBR,0,100000000.00,100000000.00,13500000.00,5500000.00,10000000.00,71000000.00
Dec 17 2025,LBR,0,100000000.00,100000000.00,13500000.00,5500000.00,10000000.00,71000000.00
Dec 16 2025,LBR,0,100000000.00,100000000.00,13500000.00,5500000.00,10000000.00,71000000.00
Dec 14 2025,LBR,0,100000000.00,100000000.00,13500000.00,5500000.00,10000000.00,71000000.00
Dec 13 2025,LBR,0,100000000.00,100000000.00,13500000.00,5500000.00,10000000.00,71000000.00
Dec 12 2025,LBR,0,100000000.00,100000000.00,13500000.00,5500000.00,10000000.00,71000000.00
Dec 11 2025,LBR,0,100000000.00,100000000.00,13500000.00,5500000.00,10000000.00,71000000.00
Dec 10 2025,LBR,0,100000000.00,100000000.00,13500000.00,5500000.00,10000000.00,71000000.00
Dec 08 2025,LBR,0,100000000.00,100000000.00,13500000.00,5500000.00,10000000.00,71000000.00
Dec 07 2025,LBR,0,100000000.00,100000000.00,13500000.00,5500000.00,10000000.00,71000000.00
Dec 06 2025,LBR,0,100000000.00,100000000.00,13500000.00,5500000.00,10000000.00,71000000.00
Dec 05 2025,LBR,0,100000000.00,100000000.00,13500000.00,5500000.00,10000000.00,71000000.00
Dec 04 2025,LBR,0,100000000.00,100000000.00,13500000.00,5500000.00,10000000.00,71000000.00
Dec 02 2025,LBR,0,100000000.00,100000000.00,13500000.00,5500000.00,10000000.00,71000000.00
Dec 01 2025,LBR,0,100000000.00,100000000.00,13500000.00,5500000.00,10000000.00,71000000.00
