Date,Symbol,Price,Available Supply,Unlocked Supply,Founder / Team,Private Investors,Public Investors,Reserved,Community & Other
Apr 18 2030,MANTA,0,1000000000.00,1000000000.00,181000000.00,241100000.00,80000000.00,135000000.00,362900000.00
Apr 15 2030,MANTA,0,1000000000.00,1000000000.00,181000000.00,241100000.00,80000000.00,135000000.00,362900000.00
Apr 13 2030,MANTA,0,1000000000.00,1000000000.00,181000000.00,241100000.00,80000000.00,135000000.00,362900000.00
Apr 10 2030,MANTA,0,1000000000.00,1000000000.00,181000000.00,241100000.00,80000000.00,135000000.00,362900000.00
Apr 07 2030,MANTA,0,1000000000.00,1000000000.00,181000000.00,241100000.00,80000000.00,135000000.00,362900000.00
Apr 04 2030,MANTA,0,1000000000.00,1000000000.00,181000000.00,241100000.00,80000000.00,135000000.00,362900000.00
Apr 02 2030,MANTA,0,1000000000.00,1000000000.00,181000000.00,241100000.00,80000000.00,135000000.00,362900000.00
Mar 30 2030,MANTA,0,1000000000.00,1000000000.00,181000000.00,241100000.00,80000000.00,135000000.00,362900000.00
Mar 27 2030,MANTA,0,1000000000.00,1000000000.00,181000000.00,241100000.00,80000000.00,135000000.00,362900000.00
Mar 25 2030,MANTA,0,1000000000.00,1000000000.00,181000000.00,241100000.00,80000000.00,135000000.00,362900000.00
Mar 22 2030,MANTA,0,1000000000.00,1000000000.00,181000000.00,241100000.00,80000000.00,135000000.00,362900000.00
Mar 19 2030,MANTA,0,1000000000.00,1000000000.00,181000000.00,241100000.00,80000000.00,135000000.00,362900000.00
Mar 17 2030,MANTA,0,1000000000.00,1000000000.00,181000000.00,241100000.00,80000000.00,135000000.00,362900000.00
Mar 14 2030,MANTA,0,1000000000.00,1000000000.00,181000000.00,241100000.00,80000000.00,135000000.00,362900000.00
Mar 11 2030,MANTA,0,1000000000.00,1000000000.00,181000000.00,241100000.00,80000000.00,135000000.00,362900000.00
Mar 08 2030,MANTA,0,1000000000.00,1000000000.00,181000000.00,241100000.00,80000000.00,135000000.00,362900000.00
Mar 06 2030,MANTA,0,1000000000.00,1000000000.00,181000000.00,241100000.00,80000000.00,135000000.00,362900000.00
Mar 03 2030,MANTA,0,1000000000.00,1000000000.00,181000000.00,241100000.00,80000000.00,135000000.00,362900000.00
Feb 28 2030,MANTA,0,1000000000.00,1000000000.00,181000000.00,241100000.00,80000000.00,135000000.00,362900000.00
