Date,Symbol,Price,Available Supply,Unlocked Supply,Founder / Team,Private Investors,Public Investors,Community & Other
Feb 03 2028,MEME,0,69000000000.00,69000000000.00,13800000000.00,8280000000.00,7590000000.00,39330000000.00
Feb 01 2028,MEME,0,69000000000.00,69000000000.00,13800000000.00,8280000000.00,7590000000.00,39330000000.00
Jan 30 2028,MEME,0,69000000000.00,69000000000.00,13800000000.00,8280000000.00,7590000000.00,39330000000.00
Jan 28 2028,MEME,0,69000000000.00,69000000000.00,13800000000.00,8280000000.00,7590000000.00,39330000000.00
Jan 27 2028,MEME,0,69000000000.00,69000000000.00,13800000000.00,8280000000.00,7590000000.00,39330000000.00
Jan 25 2028,MEME,0,69000000000.00,69000000000.00,13800000000.00,8280000000.00,7590000000.00,39330000000.00
Jan 23 2028,MEME,0,69000000000.00,69000000000.00,13800000000.00,8280000000.00,7590000000.00,39330000000.00
Jan 21 2028,MEME,0,69000000000.00,69000000000.00,13800000000.00,8280000000.00,7590000000.00,39330000000.00
Jan 19 2028,MEME,0,69000000000.00,69000000000.00,13800000000.00,8280000000.00,7590000000.00,39330000000.00
Jan 17 2028,MEME,0,69000000000.00,69000000000.00,13800000000.00,8280000000.00,7590000000.00,39330000000.00
Jan 16 2028,MEME,0,69000000000.00,69000000000.00,13800000000.00,8280000000.00,7590000000.00,39330000000.00
Jan 14 2028,MEME,0,69000000000.00,69000000000.00,13800000000.00,8280000000.00,7590000000.00,39330000000.00
Jan 12 2028,MEME,0,69000000000.00,69000000000.00,13800000000.00,8280000000.00,7590000000.00,39330000000.00
Jan 10 2028,MEME,0,69000000000.00,69000000000.00,13800000000.00,8280000000.00,7590000000.00,39330000000.00
Jan 08 2028,MEME,0,69000000000.00,69000000000.00,13800000000.00,8280000000.00,7590000000.00,39330000000.00
Jan 06 2028,MEME,0,69000000000.00,69000000000.00,13800000000.00,8280000000.00,7590000000.00,39330000000.00
Jan 05 2028,MEME,0,69000000000.00,69000000000.00,13800000000.00,8280000000.00,7590000000.00,39330000000.00
Jan 03 2028,MEME,0,69000000000.00,69000000000.00,13800000000.00,8280000000.00,7590000000.00,39330000000.00
Jan 01 2028,MEME,0,69000000000.00,69000000000.00,13800000000.00,8280000000.00,7590000000.00,39330000000.00
Dec 30 2027,MEME,0,69000000000.00,69000000000.00,13800000000.00,8280000000.00,7590000000.00,39330000000.00
Dec 28 2027,MEME,0,69000000000.00,69000000000.00,13800000000.00,8280000000.00,7590000000.00,39330000000.00
Dec 26 2027,MEME,0,69000000000.00,69000000000.00,13800000000.00,8280000000.00,7590000000.00,39330000000.00
Dec 24 2027,MEME,0,69000000000.00,69000000000.00,13800000000.00,8280000000.00,7590000000.00,39330000000.00
Dec 23 2027,MEME,0,69000000000.00,69000000000.00,13800000000.00,8280000000.00,7590000000.00,39330000000.00
Dec 21 2027,MEME,0,69000000000.00,69000000000.00,13800000000.00,8280000000.00,7590000000.00,39330000000.00
Dec 19 2027,MEME,0,69000000000.00,69000000000.00,13800000000.00,8280000000.00,7590000000.00,39330000000.00
Dec 17 2027,MEME,0,69000000000.00,69000000000.00,13800000000.00,8280000000.00,7590000000.00,39330000000.00
Dec 15 2027,MEME,0,69000000000.00,69000000000.00,13800000000.00,8280000000.00,7590000000.00,39330000000.00
Dec 13 2027,MEME,0,69000000000.00,69000000000.00,13800000000.00,8280000000.00,7590000000.00,39330000000.00
Dec 12 2027,MEME,0,69000000000.00,69000000000.00,13800000000.00,8280000000.00,7590000000.00,39330000000.00
Dec 10 2027,MEME,0,69000000000.00,69000000000.00,13800000000.00,8280000000.00,7590000000.00,39330000000.00
Dec 08 2027,MEME,0,69000000000.00,69000000000.00,13800000000.00,8280000000.00,7590000000.00,39330000000.00
Dec 06 2027,MEME,0,69000000000.00,69000000000.00,13800000000.00,8280000000.00,7590000000.00,39330000000.00
Dec 04 2027,MEME,0,69000000000.00,69000000000.00,13800000000.00,8280000000.00,7590000000.00,39330000000.00
Dec 02 2027,MEME,0,69000000000.00,69000000000.00,13800000000.00,8280000000.00,7590000000.00,39330000000.00
Dec 01 2027,MEME,0,69000000000.00,69000000000.00,13800000000.00,8280000000.00,7590000000.00,39330000000.00
Nov 29 2027,MEME,0,69000000000.00,69000000000.00,13800000000.00,8280000000.00,7590000000.00,39330000000.00
Nov 27 2027,MEME,0,69000000000.00,69000000000.00,13800000000.00,8280000000.00,7590000000.00,39330000000.00
Nov 25 2027,MEME,0,69000000000.00,69000000000.00,13800000000.00,8280000000.00,7590000000.00,39330000000.00
Nov 23 2027,MEME,0,69000000000.00,69000000000.00,13800000000.00,8280000000.00,7590000000.00,39330000000.00
Nov 21 2027,MEME,0,69000000000.00,69000000000.00,13800000000.00,8280000000.00,7590000000.00,39330000000.00
Nov 19 2027,MEME,0,69000000000.00,69000000000.00,13800000000.00,8280000000.00,7590000000.00,39330000000.00
Nov 18 2027,MEME,0,69000000000.00,69000000000.00,13800000000.00,8280000000.00,7590000000.00,39330000000.00
Nov 16 2027,MEME,0,69000000000.00,69000000000.00,13800000000.00,8280000000.00,7590000000.00,39330000000.00
Nov 14 2027,MEME,0,69000000000.00,69000000000.00,13800000000.00,8280000000.00,7590000000.00,39330000000.00
Nov 12 2027,MEME,0,69000000000.00,69000000000.00,13800000000.00,8280000000.00,7590000000.00,39330000000.00
Nov 10 2027,MEME,0,69000000000.00,69000000000.00,13800000000.00,8280000000.00,7590000000.00,39330000000.00
Nov 08 2027,MEME,0,69000000000.00,69000000000.00,13800000000.00,8280000000.00,7590000000.00,39330000000.00
Nov 07 2027,MEME,0,69000000000.00,69000000000.00,13800000000.00,8280000000.00,7590000000.00,39330000000.00
Nov 05 2027,MEME,0,69000000000.00,69000000000.00,13800000000.00,8280000000.00,7590000000.00,39330000000.00
Nov 03 2027,MEME,0,69000000000.00,69000000000.00,13800000000.00,8280000000.00,7590000000.00,39330000000.00
Nov 01 2027,MEME,0,68975227739.73,68975227739.73,13775227739.73,8280000000.00,7590000000.00,39330000000.00
Oct 30 2027,MEME,0,68953803082.19,68953803082.19,13753803082.19,8280000000.00,7590000000.00,39330000000.00
Oct 28 2027,MEME,0,68932378424.66,68932378424.66,13732378424.66,8280000000.00,7590000000.00,39330000000.00
Oct 27 2027,MEME,0,68921666095.89,68921666095.89,13721666095.89,8280000000.00,7590000000.00,39330000000.00
Oct 25 2027,MEME,0,68900241438.36,68900241438.36,13700241438.36,8280000000.00,7590000000.00,39330000000.00
Oct 23 2027,MEME,0,68878816780.82,68878816780.82,13678816780.82,8280000000.00,7590000000.00,39330000000.00
Oct 21 2027,MEME,0,68857392123.29,68857392123.29,13657392123.29,8280000000.00,7590000000.00,39330000000.00
Oct 19 2027,MEME,0,68835967465.75,68835967465.75,13635967465.75,8280000000.00,7590000000.00,39330000000.00
Oct 17 2027,MEME,0,68814542808.22,68814542808.22,13614542808.22,8280000000.00,7590000000.00,39330000000.00
Oct 15 2027,MEME,0,68793118150.69,68793118150.69,13593118150.69,8280000000.00,7590000000.00,39330000000.00
Oct 14 2027,MEME,0,68782405821.92,68782405821.92,13582405821.92,8280000000.00,7590000000.00,39330000000.00
Oct 12 2027,MEME,0,68760981164.38,68760981164.38,13560981164.38,8280000000.00,7590000000.00,39330000000.00
Oct 10 2027,MEME,0,68739556506.85,68739556506.85,13539556506.85,8280000000.00,7590000000.00,39330000000.00
Oct 08 2027,MEME,0,68718131849.32,68718131849.32,13518131849.32,8280000000.00,7590000000.00,39330000000.00
Oct 06 2027,MEME,0,68696707191.78,68696707191.78,13496707191.78,8280000000.00,7590000000.00,39330000000.00
Oct 04 2027,MEME,0,68675282534.25,68675282534.25,13475282534.25,8280000000.00,7590000000.00,39330000000.00
Oct 03 2027,MEME,0,68664570205.48,68664570205.48,13464570205.48,8280000000.00,7590000000.00,39330000000.00
Oct 01 2027,MEME,0,68643145547.95,68643145547.95,13443145547.95,8280000000.00,7590000000.00,39330000000.00
Sep 29 2027,MEME,0,68621720890.41,68621720890.41,13421720890.41,8280000000.00,7590000000.00,39330000000.00
Sep 27 2027,MEME,0,68600296232.88,68600296232.88,13400296232.88,8280000000.00,7590000000.00,39330000000.00
Sep 25 2027,MEME,0,68578871575.34,68578871575.34,13378871575.34,8280000000.00,7590000000.00,39330000000.00
Sep 23 2027,MEME,0,68557446917.81,68557446917.81,13357446917.81,8280000000.00,7590000000.00,39330000000.00
Sep 22 2027,MEME,0,68546734589.04,68546734589.04,13346734589.04,8280000000.00,7590000000.00,39330000000.00
Sep 20 2027,MEME,0,68525309931.51,68525309931.51,13325309931.51,8280000000.00,7590000000.00,39330000000.00
Sep 18 2027,MEME,0,68503885273.97,68503885273.97,13303885273.97,8280000000.00,7590000000.00,39330000000.00
Sep 16 2027,MEME,0,68482460616.44,68482460616.44,13282460616.44,8280000000.00,7590000000.00,39330000000.00
Sep 14 2027,MEME,0,68461035958.90,68461035958.90,13261035958.90,8280000000.00,7590000000.00,39330000000.00
Sep 12 2027,MEME,0,68439611301.37,68439611301.37,13239611301.37,8280000000.00,7590000000.00,39330000000.00
Sep 10 2027,MEME,0,68418186643.84,68418186643.84,13218186643.84,8280000000.00,7590000000.00,39330000000.00
Sep 09 2027,MEME,0,68407474315.07,68407474315.07,13207474315.07,8280000000.00,7590000000.00,39330000000.00
