Date,Symbol,Price,Available Supply,Unlocked Supply,Founder / Team,Private Investors,Public Investors,Reserved,Community & Other
Dec 13 2031,METIS,0,10000000.00,10000000.00,850000.00,1550000.00,30000.00,1000000.00,6570000.00
Dec 08 2031,METIS,0,10000000.00,10000000.00,850000.00,1550000.00,30000.00,1000000.00,6570000.00
Dec 04 2031,METIS,0,10000000.00,10000000.00,850000.00,1550000.00,30000.00,1000000.00,6570000.00
Nov 29 2031,METIS,0,10000000.00,10000000.00,850000.00,1550000.00,30000.00,1000000.00,6570000.00
Nov 25 2031,METIS,0,10000000.00,10000000.00,850000.00,1550000.00,30000.00,1000000.00,6570000.00
Nov 20 2031,METIS,0,10000000.00,10000000.00,850000.00,1550000.00,30000.00,1000000.00,6570000.00
Nov 15 2031,METIS,0,10000000.00,10000000.00,850000.00,1550000.00,30000.00,1000000.00,6570000.00
Nov 11 2031,METIS,0,10000000.00,10000000.00,850000.00,1550000.00,30000.00,1000000.00,6570000.00
Nov 06 2031,METIS,0,10000000.00,10000000.00,850000.00,1550000.00,30000.00,1000000.00,6570000.00
Nov 02 2031,METIS,0,10000000.00,10000000.00,850000.00,1550000.00,30000.00,1000000.00,6570000.00
Oct 28 2031,METIS,0,10000000.00,10000000.00,850000.00,1550000.00,30000.00,1000000.00,6570000.00
Oct 24 2031,METIS,0,10000000.00,10000000.00,850000.00,1550000.00,30000.00,1000000.00,6570000.00
Oct 19 2031,METIS,0,10000000.00,10000000.00,850000.00,1550000.00,30000.00,1000000.00,6570000.00
Oct 14 2031,METIS,0,10000000.00,10000000.00,850000.00,1550000.00,30000.00,1000000.00,6570000.00
Oct 10 2031,METIS,0,10000000.00,10000000.00,850000.00,1550000.00,30000.00,1000000.00,6570000.00
Oct 05 2031,METIS,0,10000000.00,10000000.00,850000.00,1550000.00,30000.00,1000000.00,6570000.00
Oct 01 2031,METIS,0,10000000.00,10000000.00,850000.00,1550000.00,30000.00,1000000.00,6570000.00
Sep 26 2031,METIS,0,10000000.00,10000000.00,850000.00,1550000.00,30000.00,1000000.00,6570000.00
Sep 21 2031,METIS,0,10000000.00,10000000.00,850000.00,1550000.00,30000.00,1000000.00,6570000.00
Sep 17 2031,METIS,0,10000000.00,10000000.00,850000.00,1550000.00,30000.00,1000000.00,6570000.00
Sep 12 2031,METIS,0,9999001.03,9999001.03,850000.00,1550000.00,30000.00,1000000.00,6569001.03
Sep 08 2031,METIS,0,9995005.17,9995005.17,850000.00,1550000.00,30000.00,1000000.00,6565005.17
Sep 03 2031,METIS,0,9990010.34,9990010.34,850000.00,1550000.00,30000.00,1000000.00,6560010.34
Aug 30 2031,METIS,0,9986014.48,9986014.48,850000.00,1550000.00,30000.00,1000000.00,6556014.48
Aug 25 2031,METIS,0,9981019.65,9981019.65,850000.00,1550000.00,30000.00,1000000.00,6551019.65
Aug 20 2031,METIS,0,9976024.83,9976024.83,850000.00,1550000.00,30000.00,1000000.00,6546024.83
Aug 16 2031,METIS,0,9972028.96,9972028.96,850000.00,1550000.00,30000.00,1000000.00,6542028.96
Aug 11 2031,METIS,0,9967034.13,9967034.13,850000.00,1550000.00,30000.00,1000000.00,6537034.13
Aug 07 2031,METIS,0,9963038.27,9963038.27,850000.00,1550000.00,30000.00,1000000.00,6533038.27
Aug 02 2031,METIS,0,9958043.44,9958043.44,850000.00,1550000.00,30000.00,1000000.00,6528043.44
Jul 28 2031,METIS,0,9953048.62,9953048.62,850000.00,1550000.00,30000.00,1000000.00,6523048.62
Jul 24 2031,METIS,0,9949052.75,9949052.75,850000.00,1550000.00,30000.00,1000000.00,6519052.75
Jul 19 2031,METIS,0,9944057.93,9944057.93,850000.00,1550000.00,30000.00,1000000.00,6514057.93
Jul 15 2031,METIS,0,9940062.06,9940062.06,850000.00,1550000.00,30000.00,1000000.00,6510062.06
Jul 10 2031,METIS,0,9935067.23,9935067.23,850000.00,1550000.00,30000.00,1000000.00,6505067.23
Jul 05 2031,METIS,0,9930072.41,9930072.41,850000.00,1550000.00,30000.00,1000000.00,6500072.41
Jul 01 2031,METIS,0,9926076.54,9926076.54,850000.00,1550000.00,30000.00,1000000.00,6496076.54
Jun 26 2031,METIS,0,9921081.72,9921081.72,850000.00,1550000.00,30000.00,1000000.00,6491081.72
Jun 22 2031,METIS,0,9917085.85,9917085.85,850000.00,1550000.00,30000.00,1000000.00,6487085.85
Jun 17 2031,METIS,0,9912091.03,9912091.03,850000.00,1550000.00,30000.00,1000000.00,6482091.03
Jun 13 2031,METIS,0,9908095.16,9908095.16,850000.00,1550000.00,30000.00,1000000.00,6478095.16
Jun 08 2031,METIS,0,9903100.33,9903100.33,850000.00,1550000.00,30000.00,1000000.00,6473100.33
Jun 03 2031,METIS,0,9898105.51,9898105.51,850000.00,1550000.00,30000.00,1000000.00,6468105.51
May 30 2031,METIS,0,9894109.64,9894109.64,850000.00,1550000.00,30000.00,1000000.00,6464109.64
May 25 2031,METIS,0,9889114.82,9889114.82,850000.00,1550000.00,30000.00,1000000.00,6459114.82
May 21 2031,METIS,0,9885118.95,9885118.95,850000.00,1550000.00,30000.00,1000000.00,6455118.95
May 16 2031,METIS,0,9880124.13,9880124.13,850000.00,1550000.00,30000.00,1000000.00,6450124.13
May 11 2031,METIS,0,9875129.30,9875129.30,850000.00,1550000.00,30000.00,1000000.00,6445129.30
May 07 2031,METIS,0,9871133.43,9871133.43,850000.00,1550000.00,30000.00,1000000.00,6441133.43
May 02 2031,METIS,0,9866138.61,9866138.61,850000.00,1550000.00,30000.00,1000000.00,6436138.61
Apr 28 2031,METIS,0,9862142.74,9862142.74,850000.00,1550000.00,30000.00,1000000.00,6432142.74
Apr 23 2031,METIS,0,9857147.92,9857147.92,850000.00,1550000.00,30000.00,1000000.00,6427147.92
Apr 19 2031,METIS,0,9853152.05,9853152.05,850000.00,1550000.00,30000.00,1000000.00,6423152.05
Apr 14 2031,METIS,0,9848157.23,9848157.23,850000.00,1550000.00,30000.00,1000000.00,6418157.23
Apr 09 2031,METIS,0,9843162.40,9843162.40,850000.00,1550000.00,30000.00,1000000.00,6413162.40
Apr 05 2031,METIS,0,9839166.53,9839166.53,850000.00,1550000.00,30000.00,1000000.00,6409166.53
Mar 31 2031,METIS,0,9834171.71,9834171.71,850000.00,1550000.00,30000.00,1000000.00,6404171.71
Mar 27 2031,METIS,0,9830175.84,9830175.84,850000.00,1550000.00,30000.00,1000000.00,6400175.84
Mar 22 2031,METIS,0,9825181.02,9825181.02,850000.00,1550000.00,30000.00,1000000.00,6395181.02
Mar 17 2031,METIS,0,9820186.19,9820186.19,850000.00,1550000.00,30000.00,1000000.00,6390186.19
Mar 13 2031,METIS,0,9816190.33,9816190.33,850000.00,1550000.00,30000.00,1000000.00,6386190.33
Mar 08 2031,METIS,0,9811195.50,9811195.50,850000.00,1550000.00,30000.00,1000000.00,6381195.50
Mar 04 2031,METIS,0,9807199.63,9807199.63,850000.00,1550000.00,30000.00,1000000.00,6377199.63
Feb 27 2031,METIS,0,9802204.81,9802204.81,850000.00,1550000.00,30000.00,1000000.00,6372204.81
Feb 22 2031,METIS,0,9797209.98,9797209.98,850000.00,1550000.00,30000.00,1000000.00,6367209.98
Feb 18 2031,METIS,0,9793214.12,9793214.12,850000.00,1550000.00,30000.00,1000000.00,6363214.12
Feb 13 2031,METIS,0,9788219.29,9788219.29,850000.00,1550000.00,30000.00,1000000.00,6358219.29
Feb 09 2031,METIS,0,9784223.43,9784223.43,850000.00,1550000.00,30000.00,1000000.00,6354223.43
Feb 04 2031,METIS,0,9779228.60,9779228.60,850000.00,1550000.00,30000.00,1000000.00,6349228.60
Jan 31 2031,METIS,0,9775232.74,9775232.74,850000.00,1550000.00,30000.00,1000000.00,6345232.74
Jan 26 2031,METIS,0,9770237.91,9770237.91,850000.00,1550000.00,30000.00,1000000.00,6340237.91
Jan 21 2031,METIS,0,9765243.08,9765243.08,850000.00,1550000.00,30000.00,1000000.00,6335243.08
Jan 17 2031,METIS,0,9761247.22,9761247.22,850000.00,1550000.00,30000.00,1000000.00,6331247.22
Jan 12 2031,METIS,0,9756252.39,9756252.39,850000.00,1550000.00,30000.00,1000000.00,6326252.39
Jan 08 2031,METIS,0,9752256.53,9752256.53,850000.00,1550000.00,30000.00,1000000.00,6322256.53
Jan 03 2031,METIS,0,9747261.70,9747261.70,850000.00,1550000.00,30000.00,1000000.00,6317261.70
Dec 29 2030,METIS,0,9742266.87,9742266.87,850000.00,1550000.00,30000.00,1000000.00,6312266.87
Dec 25 2030,METIS,0,9738271.01,9738271.01,850000.00,1550000.00,30000.00,1000000.00,6308271.01
Dec 20 2030,METIS,0,9733276.18,9733276.18,850000.00,1550000.00,30000.00,1000000.00,6303276.18
Dec 16 2030,METIS,0,9729280.32,9729280.32,850000.00,1550000.00,30000.00,1000000.00,6299280.32
Dec 11 2030,METIS,0,9724285.49,9724285.49,850000.00,1550000.00,30000.00,1000000.00,6294285.49
Dec 07 2030,METIS,0,9720289.63,9720289.63,850000.00,1550000.00,30000.00,1000000.00,6290289.63
Dec 02 2030,METIS,0,9715294.80,9715294.80,850000.00,1550000.00,30000.00,1000000.00,6285294.80
Nov 27 2030,METIS,0,9710299.97,9710299.97,850000.00,1550000.00,30000.00,1000000.00,6280299.97
Nov 23 2030,METIS,0,9706304.11,9706304.11,850000.00,1550000.00,30000.00,1000000.00,6276304.11
Nov 18 2030,METIS,0,9701309.28,9701309.28,850000.00,1550000.00,30000.00,1000000.00,6271309.28
Nov 14 2030,METIS,0,9697313.42,9697313.42,850000.00,1550000.00,30000.00,1000000.00,6267313.42
Nov 09 2030,METIS,0,9692318.59,9692318.59,850000.00,1550000.00,30000.00,1000000.00,6262318.59
Nov 04 2030,METIS,0,9687323.76,9687323.76,850000.00,1550000.00,30000.00,1000000.00,6257323.76
Oct 31 2030,METIS,0,9683327.90,9683327.90,850000.00,1550000.00,30000.00,1000000.00,6253327.90
Oct 26 2030,METIS,0,9678333.07,9678333.07,850000.00,1550000.00,30000.00,1000000.00,6248333.07
Oct 22 2030,METIS,0,9674337.21,9674337.21,850000.00,1550000.00,30000.00,1000000.00,6244337.21
Oct 17 2030,METIS,0,9669342.38,9669342.38,850000.00,1550000.00,30000.00,1000000.00,6239342.38
Oct 13 2030,METIS,0,9665346.52,9665346.52,850000.00,1550000.00,30000.00,1000000.00,6235346.52
Oct 08 2030,METIS,0,9660351.69,9660351.69,850000.00,1550000.00,30000.00,1000000.00,6230351.69
Oct 03 2030,METIS,0,9655356.86,9655356.86,850000.00,1550000.00,30000.00,1000000.00,6225356.86
Sep 29 2030,METIS,0,9651361.00,9651361.00,850000.00,1550000.00,30000.00,1000000.00,6221361.00
Sep 24 2030,METIS,0,9646366.17,9646366.17,850000.00,1550000.00,30000.00,1000000.00,6216366.17
Sep 20 2030,METIS,0,9642370.31,9642370.31,850000.00,1550000.00,30000.00,1000000.00,6212370.31
Sep 15 2030,METIS,0,9637375.48,9637375.48,850000.00,1550000.00,30000.00,1000000.00,6207375.48
Sep 10 2030,METIS,0,9632380.65,9632380.65,850000.00,1550000.00,30000.00,1000000.00,6202380.65
Sep 06 2030,METIS,0,9628384.79,9628384.79,850000.00,1550000.00,30000.00,1000000.00,6198384.79
Sep 01 2030,METIS,0,9623389.96,9623389.96,850000.00,1550000.00,30000.00,1000000.00,6193389.96
Aug 28 2030,METIS,0,9619394.10,9619394.10,850000.00,1550000.00,30000.00,1000000.00,6189394.10
Aug 23 2030,METIS,0,9614399.27,9614399.27,850000.00,1550000.00,30000.00,1000000.00,6184399.27
Aug 18 2030,METIS,0,9609404.44,9609404.44,850000.00,1550000.00,30000.00,1000000.00,6179404.44
Aug 14 2030,METIS,0,9605408.58,9605408.58,850000.00,1550000.00,30000.00,1000000.00,6175408.58
Aug 09 2030,METIS,0,9600413.75,9600413.75,850000.00,1550000.00,30000.00,1000000.00,6170413.75
Aug 05 2030,METIS,0,9596417.89,9596417.89,850000.00,1550000.00,30000.00,1000000.00,6166417.89
Jul 31 2030,METIS,0,9591423.06,9591423.06,850000.00,1550000.00,30000.00,1000000.00,6161423.06
Jul 27 2030,METIS,0,9587427.20,9587427.20,850000.00,1550000.00,30000.00,1000000.00,6157427.20
Jul 22 2030,METIS,0,9582432.37,9582432.37,850000.00,1550000.00,30000.00,1000000.00,6152432.37
Jul 17 2030,METIS,0,9577437.54,9577437.54,850000.00,1550000.00,30000.00,1000000.00,6147437.54
Jul 13 2030,METIS,0,9573441.68,9573441.68,850000.00,1550000.00,30000.00,1000000.00,6143441.68
Jul 08 2030,METIS,0,9568446.85,9568446.85,850000.00,1550000.00,30000.00,1000000.00,6138446.85
Jul 04 2030,METIS,0,9564450.99,9564450.99,850000.00,1550000.00,30000.00,1000000.00,6134450.99
Jun 29 2030,METIS,0,9559456.16,9559456.16,850000.00,1550000.00,30000.00,1000000.00,6129456.16
Jun 24 2030,METIS,0,9554461.33,9554461.33,850000.00,1550000.00,30000.00,1000000.00,6124461.33
Jun 20 2030,METIS,0,9550465.47,9550465.47,850000.00,1550000.00,30000.00,1000000.00,6120465.47
Jun 15 2030,METIS,0,9545470.64,9545470.64,850000.00,1550000.00,30000.00,1000000.00,6115470.64
Jun 11 2030,METIS,0,9541474.78,9541474.78,850000.00,1550000.00,30000.00,1000000.00,6111474.78
Jun 06 2030,METIS,0,9536479.95,9536479.95,850000.00,1550000.00,30000.00,1000000.00,6106479.95
Jun 02 2030,METIS,0,9532484.09,9532484.09,850000.00,1550000.00,30000.00,1000000.00,6102484.09
May 28 2030,METIS,0,9527489.26,9527489.26,850000.00,1550000.00,30000.00,1000000.00,6097489.26
May 23 2030,METIS,0,9522494.43,9522494.43,850000.00,1550000.00,30000.00,1000000.00,6092494.43
May 19 2030,METIS,0,9518498.57,9518498.57,850000.00,1550000.00,30000.00,1000000.00,6088498.57
May 14 2030,METIS,0,9513503.74,9513503.74,850000.00,1550000.00,30000.00,1000000.00,6083503.74
May 10 2030,METIS,0,9509507.88,9509507.88,850000.00,1550000.00,30000.00,1000000.00,6079507.88
May 05 2030,METIS,0,9504513.05,9504513.05,850000.00,1550000.00,30000.00,1000000.00,6074513.05
Apr 30 2030,METIS,0,9499518.22,9499518.22,850000.00,1550000.00,30000.00,1000000.00,6069518.22
Apr 26 2030,METIS,0,9495522.36,9495522.36,850000.00,1550000.00,30000.00,1000000.00,6065522.36
Apr 21 2030,METIS,0,9490527.53,9490527.53,850000.00,1550000.00,30000.00,1000000.00,6060527.53
Apr 17 2030,METIS,0,9486531.67,9486531.67,850000.00,1550000.00,30000.00,1000000.00,6056531.67
Apr 12 2030,METIS,0,9481536.84,9481536.84,850000.00,1550000.00,30000.00,1000000.00,6051536.84
Apr 07 2030,METIS,0,9476542.01,9476542.01,850000.00,1550000.00,30000.00,1000000.00,6046542.01
Apr 03 2030,METIS,0,9472546.15,9472546.15,850000.00,1550000.00,30000.00,1000000.00,6042546.15
Mar 29 2030,METIS,0,9467551.32,9467551.32,850000.00,1550000.00,30000.00,1000000.00,6037551.32
Mar 25 2030,METIS,0,9463555.46,9463555.46,850000.00,1550000.00,30000.00,1000000.00,6033555.46
Mar 20 2030,METIS,0,9458560.63,9458560.63,850000.00,1550000.00,30000.00,1000000.00,6028560.63
Mar 16 2030,METIS,0,9454564.77,9454564.77,850000.00,1550000.00,30000.00,1000000.00,6024564.77
Mar 11 2030,METIS,0,9449569.94,9449569.94,850000.00,1550000.00,30000.00,1000000.00,6019569.94
Mar 06 2030,METIS,0,9444575.11,9444575.11,850000.00,1550000.00,30000.00,1000000.00,6014575.11
Mar 02 2030,METIS,0,9440579.25,9440579.25,850000.00,1550000.00,30000.00,1000000.00,6010579.25
Feb 25 2030,METIS,0,9435584.42,9435584.42,850000.00,1550000.00,30000.00,1000000.00,6005584.42
Feb 21 2030,METIS,0,9431588.56,9431588.56,850000.00,1550000.00,30000.00,1000000.00,6001588.56
Feb 16 2030,METIS,0,9426593.73,9426593.73,850000.00,1550000.00,30000.00,1000000.00,5996593.73
Feb 11 2030,METIS,0,9421598.90,9421598.90,850000.00,1550000.00,30000.00,1000000.00,5991598.90
Feb 07 2030,METIS,0,9417603.04,9417603.04,850000.00,1550000.00,30000.00,1000000.00,5987603.04
Feb 02 2030,METIS,0,9412608.21,9412608.21,850000.00,1550000.00,30000.00,1000000.00,5982608.21
Jan 29 2030,METIS,0,9408612.35,9408612.35,850000.00,1550000.00,30000.00,1000000.00,5978612.35
Jan 24 2030,METIS,0,9403617.52,9403617.52,850000.00,1550000.00,30000.00,1000000.00,5973617.52
Jan 20 2030,METIS,0,9399621.66,9399621.66,850000.00,1550000.00,30000.00,1000000.00,5969621.66
Jan 15 2030,METIS,0,9394626.83,9394626.83,850000.00,1550000.00,30000.00,1000000.00,5964626.83
Jan 10 2030,METIS,0,9389632.00,9389632.00,850000.00,1550000.00,30000.00,1000000.00,5959632.00
Jan 06 2030,METIS,0,9385636.14,9385636.14,850000.00,1550000.00,30000.00,1000000.00,5955636.14
Jan 01 2030,METIS,0,9380641.31,9380641.31,850000.00,1550000.00,30000.00,1000000.00,5950641.31
Dec 28 2029,METIS,0,9376645.45,9376645.45,850000.00,1550000.00,30000.00,1000000.00,5946645.45
Dec 23 2029,METIS,0,9371650.62,9371650.62,850000.00,1550000.00,30000.00,1000000.00,5941650.62
Dec 18 2029,METIS,0,9366655.80,9366655.80,850000.00,1550000.00,30000.00,1000000.00,5936655.80
Dec 14 2029,METIS,0,9362659.93,9362659.93,850000.00,1550000.00,30000.00,1000000.00,5932659.93
Dec 09 2029,METIS,0,9357665.10,9357665.10,850000.00,1550000.00,30000.00,1000000.00,5927665.10
Dec 05 2029,METIS,0,9353669.24,9353669.24,850000.00,1550000.00,30000.00,1000000.00,5923669.24
Nov 30 2029,METIS,0,9348674.41,9348674.41,850000.00,1550000.00,30000.00,1000000.00,5918674.41
Nov 25 2029,METIS,0,9343679.59,9343679.59,850000.00,1550000.00,30000.00,1000000.00,5913679.59
Nov 21 2029,METIS,0,9339683.72,9339683.72,850000.00,1550000.00,30000.00,1000000.00,5909683.72
