Date,Symbol,Price,Available Supply,Unlocked Supply,Community & Other
Jun 18 2029,OKT,0,21021666.00,21021666.00,21021666.00
Jun 14 2029,OKT,0,21021666.00,21021666.00,21021666.00
Jun 11 2029,OKT,0,21021666.00,21021666.00,21021666.00
Jun 07 2029,OKT,0,21021666.00,21021666.00,21021666.00
Jun 03 2029,OKT,0,21021666.00,21021666.00,21021666.00
May 31 2029,OKT,0,21021666.00,21021666.00,21021666.00
May 27 2029,OKT,0,21021666.00,21021666.00,21021666.00
May 23 2029,OKT,0,21021666.00,21021666.00,21021666.00
May 20 2029,OKT,0,21021666.00,21021666.00,21021666.00
May 16 2029,OKT,0,21021666.00,21021666.00,21021666.00
May 12 2029,OKT,0,21021666.00,21021666.00,21021666.00
May 09 2029,OKT,0,21021666.00,21021666.00,21021666.00
May 05 2029,OKT,0,21021666.00,21021666.00,21021666.00
May 01 2029,OKT,0,21021666.00,21021666.00,21021666.00
Apr 28 2029,OKT,0,21021666.00,21021666.00,21021666.00
Apr 24 2029,OKT,0,21021666.00,21021666.00,21021666.00
Apr 20 2029,OKT,0,21021666.00,21021666.00,21021666.00
Apr 17 2029,OKT,0,21021666.00,21021666.00,21021666.00
Apr 13 2029,OKT,0,21021666.00,21021666.00,21021666.00
Apr 09 2029,OKT,0,21021666.00,21021666.00,21021666.00
Apr 06 2029,OKT,0,21021666.00,21021666.00,21021666.00
Apr 02 2029,OKT,0,21021666.00,21021666.00,21021666.00
Mar 29 2029,OKT,0,21021666.00,21021666.00,21021666.00
Mar 26 2029,OKT,0,21021666.00,21021666.00,21021666.00
Mar 22 2029,OKT,0,21021666.00,21021666.00,21021666.00
Mar 18 2029,OKT,0,21021666.00,21021666.00,21021666.00
Mar 15 2029,OKT,0,21021595.91,21021595.91,21021595.91
Mar 11 2029,OKT,0,21021507.10,21021507.10,21021507.10
Mar 07 2029,OKT,0,21021418.29,21021418.29,21021418.29
Mar 04 2029,OKT,0,21021351.69,21021351.69,21021351.69
Feb 28 2029,OKT,0,21021262.88,21021262.88,21021262.88
Feb 24 2029,OKT,0,21021174.07,21021174.07,21021174.07
Feb 21 2029,OKT,0,21021107.46,21021107.46,21021107.46
Feb 17 2029,OKT,0,21021018.65,21021018.65,21021018.65
Feb 13 2029,OKT,0,21020929.85,21020929.85,21020929.85
Feb 10 2029,OKT,0,21020863.24,21020863.24,21020863.24
Feb 06 2029,OKT,0,21020774.43,21020774.43,21020774.43
Feb 02 2029,OKT,0,21020685.62,21020685.62,21020685.62
Jan 30 2029,OKT,0,21020619.02,21020619.02,21020619.02
Jan 26 2029,OKT,0,21020530.21,21020530.21,21020530.21
