Date,Symbol,Price,Available Supply,Unlocked Supply,Community & Other
Jun 29 2024,OKB,0,300000000.00,300000000.00,300000000.00
Jun 26 2024,OKB,0,300000000.00,300000000.00,300000000.00
Jun 24 2024,OKB,0,300000000.00,300000000.00,300000000.00
Jun 21 2024,OKB,0,300000000.00,300000000.00,300000000.00
Jun 18 2024,OKB,0,300000000.00,300000000.00,300000000.00
Jun 15 2024,OKB,0,300000000.00,300000000.00,300000000.00
Jun 13 2024,OKB,0,300000000.00,300000000.00,300000000.00
Jun 10 2024,OKB,0,300000000.00,300000000.00,300000000.00
Jun 07 2024,OKB,0,300000000.00,300000000.00,300000000.00
Jun 05 2024,OKB,0,300000000.00,300000000.00,300000000.00
Jun 02 2024,OKB,0,300000000.00,300000000.00,300000000.00
May 30 2024,OKB,0,300000000.00,300000000.00,300000000.00
May 28 2024,OKB,0,300000000.00,300000000.00,300000000.00
May 25 2024,OKB,0,300000000.00,300000000.00,300000000.00
May 22 2024,OKB,0,300000000.00,300000000.00,300000000.00
May 19 2024,OKB,0,300000000.00,300000000.00,300000000.00
May 17 2024,OKB,0,300000000.00,300000000.00,300000000.00
May 14 2024,OKB,0,300000000.00,300000000.00,300000000.00
May 11 2024,OKB,0,300000000.00,300000000.00,300000000.00
May 09 2024,OKB,0,300000000.00,300000000.00,300000000.00
May 06 2024,OKB,0,300000000.00,300000000.00,300000000.00
May 03 2024,OKB,0,300000000.00,300000000.00,300000000.00
Apr 30 2024,OKB,0,300000000.00,300000000.00,300000000.00
Apr 28 2024,OKB,0,300000000.00,300000000.00,300000000.00
Apr 25 2024,OKB,0,300000000.00,300000000.00,300000000.00
Apr 22 2024,OKB,0,300000000.00,300000000.00,300000000.00
Apr 20 2024,OKB,0,300000000.00,300000000.00,300000000.00
Apr 17 2024,OKB,0,300000000.00,300000000.00,300000000.00
Apr 14 2024,OKB,0,300000000.00,300000000.00,300000000.00
Apr 11 2024,OKB,0,300000000.00,300000000.00,300000000.00
Apr 09 2024,OKB,0,300000000.00,300000000.00,300000000.00
Apr 06 2024,OKB,0,300000000.00,300000000.00,300000000.00
Apr 03 2024,OKB,0,300000000.00,300000000.00,300000000.00
Apr 01 2024,OKB,0,300000000.00,300000000.00,300000000.00
Mar 29 2024,OKB,$63.78,0,300000000.00,300000000.00
Mar 26 2024,OKB,$65.37,0,300000000.00,300000000.00
Mar 24 2024,OKB,$61.15,0,300000000.00,300000000.00
Mar 21 2024,OKB,$60.22,0,300000000.00,300000000.00
Mar 18 2024,OKB,$64.76,0,300000000.00,300000000.00
Mar 15 2024,OKB,$69.82,0,300000000.00,300000000.00
Mar 13 2024,OKB,$65.53,0,300000000.00,300000000.00
Mar 10 2024,OKB,$61.18,0,300000000.00,300000000.00
Mar 07 2024,OKB,$55.63,0,300000000.00,300000000.00
Mar 05 2024,OKB,$56.88,0,300000000.00,300000000.00
Mar 02 2024,OKB,$51.39,0,300000000.00,300000000.00
Feb 28 2024,OKB,$51.60,0,300000000.00,300000000.00
Feb 25 2024,OKB,$51.40,0,300000000.00,300000000.00
Feb 23 2024,OKB,$50.95,0,300000000.00,300000000.00
Feb 20 2024,OKB,$53.18,0,300000000.00,300000000.00
Feb 17 2024,OKB,$51.69,0,300000000.00,300000000.00
Feb 15 2024,OKB,$50.03,0,300000000.00,300000000.00
Feb 12 2024,OKB,$49.57,0,300000000.00,300000000.00
Feb 09 2024,OKB,$49.55,0,300000000.00,300000000.00
Feb 07 2024,OKB,$48.26,0,300000000.00,300000000.00
Feb 04 2024,OKB,$48.85,0,300000000.00,300000000.00
Feb 01 2024,OKB,$50.56,0,300000000.00,300000000.00
Jan 29 2024,OKB,$52.17,0,300000000.00,300000000.00
Jan 27 2024,OKB,$54.56,0,300000000.00,300000000.00
Jan 24 2024,OKB,$46.56,0,300000000.00,300000000.00
Jan 21 2024,OKB,$53.71,0,300000000.00,300000000.00
Jan 19 2024,OKB,$53.98,0,300000000.00,300000000.00
Jan 16 2024,OKB,$53.72,0,300000000.00,300000000.00
Jan 13 2024,OKB,$53.00,0,300000000.00,300000000.00
Jan 10 2024,OKB,$53.76,0,300000000.00,300000000.00
Jan 08 2024,OKB,$53.87,0,300000000.00,300000000.00
Jan 05 2024,OKB,$54.82,0,300000000.00,300000000.00
Jan 02 2024,OKB,$55.44,0,300000000.00,300000000.00
Dec 31 2023,OKB,$54.76,0,300000000.00,300000000.00
Dec 28 2023,OKB,$55.32,0,300000000.00,300000000.00
Dec 25 2023,OKB,$54.69,0,300000000.00,300000000.00
Dec 23 2023,OKB,$55.20,0,300000000.00,300000000.00
Dec 20 2023,OKB,$54.80,0,300000000.00,300000000.00
Dec 17 2023,OKB,$58.07,0,300000000.00,300000000.00
Dec 14 2023,OKB,$59.54,0,300000000.00,300000000.00
Dec 12 2023,OKB,$58.35,0,300000000.00,300000000.00
Dec 09 2023,OKB,$57.34,0,300000000.00,300000000.00
Dec 06 2023,OKB,$58.01,0,300000000.00,300000000.00
Dec 04 2023,OKB,$58.44,0,300000000.00,300000000.00
Dec 01 2023,OKB,$56.43,0,300000000.00,300000000.00
Nov 28 2023,OKB,$55.73,0,300000000.00,300000000.00
Nov 25 2023,OKB,$58.26,0,300000000.00,300000000.00
Nov 23 2023,OKB,$57.71,0,300000000.00,300000000.00
Nov 20 2023,OKB,$57.68,0,300000000.00,300000000.00
Nov 17 2023,OKB,$57.12,0,300000000.00,300000000.00
Nov 15 2023,OKB,$60.19,0,300000000.00,300000000.00
Nov 12 2023,OKB,$61.23,0,300000000.00,300000000.00
Nov 09 2023,OKB,$56.66,0,300000000.00,300000000.00
Nov 06 2023,OKB,$52.50,0,300000000.00,300000000.00
Nov 04 2023,OKB,$45.87,0,300000000.00,300000000.00
Nov 01 2023,OKB,$45.07,0,300000000.00,300000000.00
Oct 29 2023,OKB,$44.96,0,300000000.00,300000000.00
Oct 27 2023,OKB,$45.27,0,300000000.00,300000000.00
Oct 24 2023,OKB,$45.58,0,300000000.00,300000000.00
Oct 21 2023,OKB,$43.68,0,300000000.00,300000000.00
Oct 19 2023,OKB,$44.49,0,300000000.00,300000000.00
Oct 16 2023,OKB,$43.22,0,300000000.00,300000000.00
Oct 13 2023,OKB,$42.44,0,300000000.00,300000000.00
Oct 10 2023,OKB,$42.47,0,300000000.00,300000000.00
Oct 08 2023,OKB,$42.93,0,300000000.00,300000000.00
Oct 05 2023,OKB,$43.05,0,300000000.00,300000000.00
Oct 02 2023,OKB,$43.67,0,300000000.00,300000000.00
Sep 30 2023,OKB,$43.00,0,300000000.00,300000000.00
Sep 27 2023,OKB,$43.01,0,300000000.00,300000000.00
Sep 24 2023,OKB,$42.77,0,300000000.00,300000000.00
Sep 21 2023,OKB,$43.51,0,300000000.00,300000000.00
Sep 19 2023,OKB,$43.76,0,300000000.00,300000000.00
Sep 16 2023,OKB,$42.82,0,300000000.00,300000000.00
Sep 13 2023,OKB,$41.77,0,300000000.00,300000000.00
Sep 11 2023,OKB,$41.89,0,300000000.00,300000000.00
Sep 08 2023,OKB,$42.46,0,300000000.00,300000000.00
Sep 05 2023,OKB,$42.23,0,300000000.00,300000000.00
Sep 03 2023,OKB,$41.34,0,300000000.00,300000000.00
Aug 31 2023,OKB,$43.72,0,300000000.00,300000000.00
Aug 28 2023,OKB,$43.04,0,300000000.00,300000000.00
Aug 25 2023,OKB,$42.96,0,300000000.00,300000000.00
Aug 23 2023,OKB,$42.75,0,300000000.00,300000000.00
Aug 20 2023,OKB,$43.14,0,300000000.00,300000000.00
Aug 17 2023,OKB,$45.71,0,300000000.00,300000000.00
Aug 15 2023,OKB,$47.13,0,300000000.00,300000000.00
Aug 12 2023,OKB,$47.62,0,300000000.00,300000000.00
Aug 09 2023,OKB,$46.82,0,300000000.00,300000000.00
Aug 06 2023,OKB,$45.00,0,300000000.00,300000000.00
Aug 04 2023,OKB,$41.97,0,300000000.00,300000000.00
Aug 01 2023,OKB,$42.54,0,300000000.00,300000000.00
Jul 29 2023,OKB,$42.91,0,300000000.00,300000000.00
Jul 27 2023,OKB,$42.81,0,300000000.00,300000000.00
Jul 24 2023,OKB,$43.19,0,300000000.00,300000000.00
Jul 21 2023,OKB,$42.93,0,300000000.00,300000000.00
Jul 19 2023,OKB,$43.14,0,300000000.00,300000000.00
Jul 16 2023,OKB,$43.41,0,300000000.00,300000000.00
Jul 13 2023,OKB,$43.03,0,300000000.00,300000000.00
Jul 10 2023,OKB,$41.51,0,300000000.00,300000000.00
Jul 08 2023,OKB,$43.01,0,300000000.00,300000000.00
Jul 05 2023,OKB,$44.14,0,300000000.00,300000000.00
Jul 02 2023,OKB,$44.52,0,300000000.00,300000000.00
Jun 30 2023,OKB,$43.32,0,300000000.00,300000000.00
Jun 27 2023,OKB,$44.22,0,300000000.00,300000000.00
Jun 24 2023,OKB,$45.17,0,300000000.00,300000000.00
Jun 21 2023,OKB,$42.48,0,300000000.00,300000000.00
Jun 19 2023,OKB,$41.38,0,300000000.00,300000000.00
Jun 16 2023,OKB,$39.87,0,300000000.00,300000000.00
Jun 13 2023,OKB,$39.54,0,300000000.00,300000000.00
Jun 11 2023,OKB,$42.35,0,300000000.00,300000000.00
Jun 08 2023,OKB,$44.74,0,300000000.00,300000000.00
