Date,Symbol,Price,Available Supply,Unlocked Supply,Founder / Team,Private Investors,Reserved,Community & Other
Dec 31 2030,PENDLE,0,376413591.06,376413591.06,57494820.00,37422304.00,46000000.00,235496467.06
Dec 27 2030,PENDLE,0,376363186.71,376363186.71,57494820.00,37422304.00,46000000.00,235446062.71
Dec 23 2030,PENDLE,0,376312782.35,376312782.35,57494820.00,37422304.00,46000000.00,235395658.35
Dec 18 2030,PENDLE,0,376249776.92,376249776.92,57494820.00,37422304.00,46000000.00,235332652.92
Dec 14 2030,PENDLE,0,376199372.56,376199372.56,57494820.00,37422304.00,46000000.00,235282248.56
Dec 10 2030,PENDLE,0,376148968.21,376148968.21,57494820.00,37422304.00,46000000.00,235231844.21
Dec 06 2030,PENDLE,0,376098563.86,376098563.86,57494820.00,37422304.00,46000000.00,235181439.86
Dec 02 2030,PENDLE,0,376048159.51,376048159.51,57494820.00,37422304.00,46000000.00,235131035.51
Nov 27 2030,PENDLE,0,375985154.07,375985154.07,57494820.00,37422304.00,46000000.00,235068030.07
Nov 23 2030,PENDLE,0,375934749.72,375934749.72,57494820.00,37422304.00,46000000.00,235017625.72
Nov 19 2030,PENDLE,0,375884345.37,375884345.37,57494820.00,37422304.00,46000000.00,234967221.37
Nov 15 2030,PENDLE,0,375833941.01,375833941.01,57494820.00,37422304.00,46000000.00,234916817.01
Nov 11 2030,PENDLE,0,375783536.66,375783536.66,57494820.00,37422304.00,46000000.00,234866412.66
Nov 06 2030,PENDLE,0,375720531.22,375720531.22,57494820.00,37422304.00,46000000.00,234803407.22
Nov 02 2030,PENDLE,0,375670126.87,375670126.87,57494820.00,37422304.00,46000000.00,234753002.87
Oct 29 2030,PENDLE,0,375619722.52,375619722.52,57494820.00,37422304.00,46000000.00,234702598.52
Oct 25 2030,PENDLE,0,375569318.17,375569318.17,57494820.00,37422304.00,46000000.00,234652194.17
Oct 21 2030,PENDLE,0,375518913.82,375518913.82,57494820.00,37422304.00,46000000.00,234601789.82
Oct 17 2030,PENDLE,0,375468509.46,375468509.46,57494820.00,37422304.00,46000000.00,234551385.46
Oct 12 2030,PENDLE,0,375405504.03,375405504.03,57494820.00,37422304.00,46000000.00,234488380.03
Oct 08 2030,PENDLE,0,375355099.67,375355099.67,57494820.00,37422304.00,46000000.00,234437975.67
Oct 04 2030,PENDLE,0,375304695.32,375304695.32,57494820.00,37422304.00,46000000.00,234387571.32
Sep 30 2030,PENDLE,0,375254290.97,375254290.97,57494820.00,37422304.00,46000000.00,234337166.97
Sep 26 2030,PENDLE,0,375203886.62,375203886.62,57494820.00,37422304.00,46000000.00,234286762.62
Sep 21 2030,PENDLE,0,375140881.18,375140881.18,57494820.00,37422304.00,46000000.00,234223757.18
Sep 17 2030,PENDLE,0,375090476.83,375090476.83,57494820.00,37422304.00,46000000.00,234173352.83
Sep 13 2030,PENDLE,0,375040072.48,375040072.48,57494820.00,37422304.00,46000000.00,234122948.48
Sep 09 2030,PENDLE,0,374989668.12,374989668.12,57494820.00,37422304.00,46000000.00,234072544.12
Sep 05 2030,PENDLE,0,374939263.77,374939263.77,57494820.00,37422304.00,46000000.00,234022139.77
Aug 31 2030,PENDLE,0,374876258.33,374876258.33,57494820.00,37422304.00,46000000.00,233959134.33
Aug 27 2030,PENDLE,0,374825853.98,374825853.98,57494820.00,37422304.00,46000000.00,233908729.98
Aug 23 2030,PENDLE,0,374775449.63,374775449.63,57494820.00,37422304.00,46000000.00,233858325.63
Aug 19 2030,PENDLE,0,374725045.28,374725045.28,57494820.00,37422304.00,46000000.00,233807921.28
Aug 15 2030,PENDLE,0,374674640.93,374674640.93,57494820.00,37422304.00,46000000.00,233757516.93
Aug 10 2030,PENDLE,0,374611635.49,374611635.49,57494820.00,37422304.00,46000000.00,233694511.49
Aug 06 2030,PENDLE,0,374561231.14,374561231.14,57494820.00,37422304.00,46000000.00,233644107.14
Aug 02 2030,PENDLE,0,374510826.78,374510826.78,57494820.00,37422304.00,46000000.00,233593702.78
Jul 29 2030,PENDLE,0,374460422.43,374460422.43,57494820.00,37422304.00,46000000.00,233543298.43
Jul 25 2030,PENDLE,0,374410018.08,374410018.08,57494820.00,37422304.00,46000000.00,233492894.08
Jul 20 2030,PENDLE,0,374347012.64,374347012.64,57494820.00,37422304.00,46000000.00,233429888.64
Jul 16 2030,PENDLE,0,374296608.29,374296608.29,57494820.00,37422304.00,46000000.00,233379484.29
Jul 12 2030,PENDLE,0,374246203.94,374246203.94,57494820.00,37422304.00,46000000.00,233329079.94
Jul 08 2030,PENDLE,0,374195799.59,374195799.59,57494820.00,37422304.00,46000000.00,233278675.59
Jul 04 2030,PENDLE,0,374145395.23,374145395.23,57494820.00,37422304.00,46000000.00,233228271.23
Jun 29 2030,PENDLE,0,374082389.80,374082389.80,57494820.00,37422304.00,46000000.00,233165265.80
Jun 25 2030,PENDLE,0,374031985.44,374031985.44,57494820.00,37422304.00,46000000.00,233114861.44
Jun 21 2030,PENDLE,0,373981581.09,373981581.09,57494820.00,37422304.00,46000000.00,233064457.09
Jun 17 2030,PENDLE,0,373931176.74,373931176.74,57494820.00,37422304.00,46000000.00,233014052.74
Jun 13 2030,PENDLE,0,373880772.39,373880772.39,57494820.00,37422304.00,46000000.00,232963648.39
Jun 09 2030,PENDLE,0,373830368.04,373830368.04,57494820.00,37422304.00,46000000.00,232913244.04
