Date,Symbol,Price,Available Supply,Unlocked Supply,Founder / Team,Private Investors,Reserved,Community & Other
Apr 19 2029,PIXEL,0,5000000000.00,5000000000.00,1100000000.00,700000000.00,850000000.00,2350000000.00
Apr 17 2029,PIXEL,0,5000000000.00,5000000000.00,1100000000.00,700000000.00,850000000.00,2350000000.00
Apr 15 2029,PIXEL,0,5000000000.00,5000000000.00,1100000000.00,700000000.00,850000000.00,2350000000.00
Apr 12 2029,PIXEL,0,5000000000.00,5000000000.00,1100000000.00,700000000.00,850000000.00,2350000000.00
Apr 10 2029,PIXEL,0,5000000000.00,5000000000.00,1100000000.00,700000000.00,850000000.00,2350000000.00
Apr 08 2029,PIXEL,0,5000000000.00,5000000000.00,1100000000.00,700000000.00,850000000.00,2350000000.00
Apr 06 2029,PIXEL,0,5000000000.00,5000000000.00,1100000000.00,700000000.00,850000000.00,2350000000.00
Apr 03 2029,PIXEL,0,5000000000.00,5000000000.00,1100000000.00,700000000.00,850000000.00,2350000000.00
Apr 01 2029,PIXEL,0,5000000000.00,5000000000.00,1100000000.00,700000000.00,850000000.00,2350000000.00
Mar 30 2029,PIXEL,0,5000000000.00,5000000000.00,1100000000.00,700000000.00,850000000.00,2350000000.00
Mar 28 2029,PIXEL,0,5000000000.00,5000000000.00,1100000000.00,700000000.00,850000000.00,2350000000.00
Mar 25 2029,PIXEL,0,5000000000.00,5000000000.00,1100000000.00,700000000.00,850000000.00,2350000000.00
Mar 23 2029,PIXEL,0,5000000000.00,5000000000.00,1100000000.00,700000000.00,850000000.00,2350000000.00
Mar 21 2029,PIXEL,0,5000000000.00,5000000000.00,1100000000.00,700000000.00,850000000.00,2350000000.00
Mar 19 2029,PIXEL,0,5000000000.00,5000000000.00,1100000000.00,700000000.00,850000000.00,2350000000.00
Mar 16 2029,PIXEL,0,5000000000.00,5000000000.00,1100000000.00,700000000.00,850000000.00,2350000000.00
Mar 14 2029,PIXEL,0,5000000000.00,5000000000.00,1100000000.00,700000000.00,850000000.00,2350000000.00
Mar 12 2029,PIXEL,0,5000000000.00,5000000000.00,1100000000.00,700000000.00,850000000.00,2350000000.00
Mar 10 2029,PIXEL,0,5000000000.00,5000000000.00,1100000000.00,700000000.00,850000000.00,2350000000.00
Mar 07 2029,PIXEL,0,5000000000.00,5000000000.00,1100000000.00,700000000.00,850000000.00,2350000000.00
Mar 05 2029,PIXEL,0,5000000000.00,5000000000.00,1100000000.00,700000000.00,850000000.00,2350000000.00
Mar 03 2029,PIXEL,0,5000000000.00,5000000000.00,1100000000.00,700000000.00,850000000.00,2350000000.00
Mar 01 2029,PIXEL,0,5000000000.00,5000000000.00,1100000000.00,700000000.00,850000000.00,2350000000.00
Feb 27 2029,PIXEL,0,5000000000.00,5000000000.00,1100000000.00,700000000.00,850000000.00,2350000000.00
Feb 24 2029,PIXEL,0,5000000000.00,5000000000.00,1100000000.00,700000000.00,850000000.00,2350000000.00
Feb 22 2029,PIXEL,0,5000000000.00,5000000000.00,1100000000.00,700000000.00,850000000.00,2350000000.00
Feb 20 2029,PIXEL,0,5000000000.00,5000000000.00,1100000000.00,700000000.00,850000000.00,2350000000.00
Feb 18 2029,PIXEL,0,5000000000.00,5000000000.00,1100000000.00,700000000.00,850000000.00,2350000000.00
Feb 15 2029,PIXEL,0,5000000000.00,5000000000.00,1100000000.00,700000000.00,850000000.00,2350000000.00
Feb 13 2029,PIXEL,0,5000000000.00,5000000000.00,1100000000.00,700000000.00,850000000.00,2350000000.00
Feb 11 2029,PIXEL,0,5000000000.00,5000000000.00,1100000000.00,700000000.00,850000000.00,2350000000.00
Feb 09 2029,PIXEL,0,5000000000.00,5000000000.00,1100000000.00,700000000.00,850000000.00,2350000000.00
Feb 06 2029,PIXEL,0,5000000000.00,5000000000.00,1100000000.00,700000000.00,850000000.00,2350000000.00
Feb 04 2029,PIXEL,0,5000000000.00,5000000000.00,1100000000.00,700000000.00,850000000.00,2350000000.00
Feb 02 2029,PIXEL,0,5000000000.00,5000000000.00,1100000000.00,700000000.00,850000000.00,2350000000.00
Jan 31 2029,PIXEL,0,5000000000.00,5000000000.00,1100000000.00,700000000.00,850000000.00,2350000000.00
Jan 28 2029,PIXEL,0,5000000000.00,5000000000.00,1100000000.00,700000000.00,850000000.00,2350000000.00
Jan 26 2029,PIXEL,0,5000000000.00,5000000000.00,1100000000.00,700000000.00,850000000.00,2350000000.00
Jan 24 2029,PIXEL,0,5000000000.00,5000000000.00,1100000000.00,700000000.00,850000000.00,2350000000.00
Jan 22 2029,PIXEL,0,5000000000.00,5000000000.00,1100000000.00,700000000.00,850000000.00,2350000000.00
Jan 20 2029,PIXEL,0,5000000000.00,5000000000.00,1100000000.00,700000000.00,850000000.00,2350000000.00
Jan 17 2029,PIXEL,0,4971666667.00,4971666667.00,1100000000.00,700000000.00,850000000.00,2321666667.00
Jan 15 2029,PIXEL,0,4971666667.00,4971666667.00,1100000000.00,700000000.00,850000000.00,2321666667.00
Jan 13 2029,PIXEL,0,4971666667.00,4971666667.00,1100000000.00,700000000.00,850000000.00,2321666667.00
Jan 11 2029,PIXEL,0,4971666667.00,4971666667.00,1100000000.00,700000000.00,850000000.00,2321666667.00
Jan 08 2029,PIXEL,0,4971666667.00,4971666667.00,1100000000.00,700000000.00,850000000.00,2321666667.00
Jan 06 2029,PIXEL,0,4971666667.00,4971666667.00,1100000000.00,700000000.00,850000000.00,2321666667.00
Jan 04 2029,PIXEL,0,4971666667.00,4971666667.00,1100000000.00,700000000.00,850000000.00,2321666667.00
Jan 02 2029,PIXEL,0,4971666667.00,4971666667.00,1100000000.00,700000000.00,850000000.00,2321666667.00
Dec 30 2028,PIXEL,0,4971666667.00,4971666667.00,1100000000.00,700000000.00,850000000.00,2321666667.00
Dec 28 2028,PIXEL,0,4971666667.00,4971666667.00,1100000000.00,700000000.00,850000000.00,2321666667.00
Dec 26 2028,PIXEL,0,4971666667.00,4971666667.00,1100000000.00,700000000.00,850000000.00,2321666667.00
Dec 24 2028,PIXEL,0,4971666667.00,4971666667.00,1100000000.00,700000000.00,850000000.00,2321666667.00
Dec 21 2028,PIXEL,0,4971666667.00,4971666667.00,1100000000.00,700000000.00,850000000.00,2321666667.00
Dec 19 2028,PIXEL,0,4971666667.00,4971666667.00,1100000000.00,700000000.00,850000000.00,2321666667.00
Dec 17 2028,PIXEL,0,4943333333.00,4943333333.00,1100000000.00,700000000.00,850000000.00,2293333333.00
Dec 15 2028,PIXEL,0,4943333333.00,4943333333.00,1100000000.00,700000000.00,850000000.00,2293333333.00
Dec 12 2028,PIXEL,0,4943333333.00,4943333333.00,1100000000.00,700000000.00,850000000.00,2293333333.00
Dec 10 2028,PIXEL,0,4943333333.00,4943333333.00,1100000000.00,700000000.00,850000000.00,2293333333.00
Dec 08 2028,PIXEL,0,4943333333.00,4943333333.00,1100000000.00,700000000.00,850000000.00,2293333333.00
Dec 06 2028,PIXEL,0,4943333333.00,4943333333.00,1100000000.00,700000000.00,850000000.00,2293333333.00
Dec 04 2028,PIXEL,0,4943333333.00,4943333333.00,1100000000.00,700000000.00,850000000.00,2293333333.00
Dec 01 2028,PIXEL,0,4943333333.00,4943333333.00,1100000000.00,700000000.00,850000000.00,2293333333.00
Nov 29 2028,PIXEL,0,4943333333.00,4943333333.00,1100000000.00,700000000.00,850000000.00,2293333333.00
