Date,Symbol,Price,Available Supply,Unlocked Supply,Private Investors,Public Investors,Reserved,Community & Other
Dec 31 2030,DOT,0,2747846406.98,2747846406.98,200000000.00,500000000.00,300000000.00,1747846406.98
Dec 26 2030,DOT,0,2744358986.50,2744358986.50,200000000.00,500000000.00,300000000.00,1744358986.50
Dec 22 2030,DOT,0,2741569050.11,2741569050.11,200000000.00,500000000.00,300000000.00,1741569050.11
Dec 17 2030,DOT,0,2738081629.64,2738081629.64,200000000.00,500000000.00,300000000.00,1738081629.64
Dec 13 2030,DOT,0,2735291693.25,2735291693.25,200000000.00,500000000.00,300000000.00,1735291693.25
Dec 08 2030,DOT,0,2731804272.77,2731804272.77,200000000.00,500000000.00,300000000.00,1731804272.77
Dec 03 2030,DOT,0,2728316852.29,2728316852.29,200000000.00,500000000.00,300000000.00,1728316852.29
Nov 29 2030,DOT,0,2725526915.91,2725526915.91,200000000.00,500000000.00,300000000.00,1725526915.91
Nov 24 2030,DOT,0,2722039495.43,2722039495.43,200000000.00,500000000.00,300000000.00,1722039495.43
Nov 20 2030,DOT,0,2719249559.05,2719249559.05,200000000.00,500000000.00,300000000.00,1719249559.05
Nov 15 2030,DOT,0,2715762138.57,2715762138.57,200000000.00,500000000.00,300000000.00,1715762138.57
Nov 10 2030,DOT,0,2712274718.09,2712274718.09,200000000.00,500000000.00,300000000.00,1712274718.09
Nov 06 2030,DOT,0,2709484781.71,2709484781.71,200000000.00,500000000.00,300000000.00,1709484781.71
Nov 01 2030,DOT,0,2705997361.23,2705997361.23,200000000.00,500000000.00,300000000.00,1705997361.23
Oct 28 2030,DOT,0,2703207424.85,2703207424.85,200000000.00,500000000.00,300000000.00,1703207424.85
Oct 23 2030,DOT,0,2699720004.37,2699720004.37,200000000.00,500000000.00,300000000.00,1699720004.37
Oct 19 2030,DOT,0,2696930067.98,2696930067.98,200000000.00,500000000.00,300000000.00,1696930067.98
Oct 14 2030,DOT,0,2693442647.51,2693442647.51,200000000.00,500000000.00,300000000.00,1693442647.51
Oct 09 2030,DOT,0,2689955227.03,2689955227.03,200000000.00,500000000.00,300000000.00,1689955227.03
Oct 05 2030,DOT,0,2687165290.64,2687165290.64,200000000.00,500000000.00,300000000.00,1687165290.64
Sep 30 2030,DOT,0,2683677870.16,2683677870.16,200000000.00,500000000.00,300000000.00,1683677870.16
Sep 26 2030,DOT,0,2680887933.78,2680887933.78,200000000.00,500000000.00,300000000.00,1680887933.78
Sep 21 2030,DOT,0,2677400513.30,2677400513.30,200000000.00,500000000.00,300000000.00,1677400513.30
Sep 16 2030,DOT,0,2673913092.82,2673913092.82,200000000.00,500000000.00,300000000.00,1673913092.82
Sep 12 2030,DOT,0,2671123156.44,2671123156.44,200000000.00,500000000.00,300000000.00,1671123156.44
Sep 07 2030,DOT,0,2667635735.96,2667635735.96,200000000.00,500000000.00,300000000.00,1667635735.96
Sep 03 2030,DOT,0,2664845799.58,2664845799.58,200000000.00,500000000.00,300000000.00,1664845799.58
Aug 29 2030,DOT,0,2661358379.10,2661358379.10,200000000.00,500000000.00,300000000.00,1661358379.10
Aug 24 2030,DOT,0,2657870958.62,2657870958.62,200000000.00,500000000.00,300000000.00,1657870958.62
Aug 20 2030,DOT,0,2655081022.24,2655081022.24,200000000.00,500000000.00,300000000.00,1655081022.24
Aug 15 2030,DOT,0,2651593601.76,2651593601.76,200000000.00,500000000.00,300000000.00,1651593601.76
Aug 11 2030,DOT,0,2648803665.38,2648803665.38,200000000.00,500000000.00,300000000.00,1648803665.38
Aug 06 2030,DOT,0,2645316244.90,2645316244.90,200000000.00,500000000.00,300000000.00,1645316244.90
Aug 01 2030,DOT,0,2641828824.42,2641828824.42,200000000.00,500000000.00,300000000.00,1641828824.42
