Date,Symbol,Price,Available Supply,Unlocked Supply,Reserved,Community & Other
Oct 25 2033,POL,0,12189944201.26,12189944201.26,1094972100.66,11094972100.60
Oct 21 2033,POL,0,12187324820.29,12187324820.29,1093662410.17,11093662410.11
Oct 16 2033,POL,0,12184050594.07,12184050594.07,1092025297.06,11092025297.00
Oct 12 2033,POL,0,12181431213.09,12181431213.09,1090715606.58,11090715606.52
Oct 08 2033,POL,0,12178811832.12,12178811832.12,1089405916.09,11089405916.03
Oct 03 2033,POL,0,12175537605.90,12175537605.90,1087768802.98,11087768802.92
Sep 29 2033,POL,0,12172918224.92,12172918224.92,1086459112.49,11086459112.43
Sep 25 2033,POL,0,12170298843.95,12170298843.95,1085149422.00,11085149421.94
Sep 20 2033,POL,0,12167024617.73,12167024617.73,1083512308.90,11083512308.83
Sep 16 2033,POL,0,12164405236.75,12164405236.75,1082202618.41,11082202618.35
Sep 12 2033,POL,0,12161785855.78,12161785855.78,1080892927.92,11080892927.86
Sep 07 2033,POL,0,12158511629.56,12158511629.56,1079255814.81,11079255814.75
Sep 03 2033,POL,0,12155892248.59,12155892248.59,1077946124.32,11077946124.26
Aug 30 2033,POL,0,12153272867.61,12153272867.61,1076636433.84,11076636433.77
Aug 25 2033,POL,0,12149998641.39,12149998641.39,1074999320.73,11074999320.66
Aug 21 2033,POL,0,12147379260.42,12147379260.42,1073689630.24,11073689630.18
Aug 17 2033,POL,0,12144759879.44,12144759879.44,1072379939.75,11072379939.69
Aug 12 2033,POL,0,12141485653.22,12141485653.22,1070742826.64,11070742826.58
Aug 08 2033,POL,0,12138866272.25,12138866272.25,1069433136.16,11069433136.09
Aug 04 2033,POL,0,12136246891.27,12136246891.27,1068123445.67,11068123445.60
Jul 30 2033,POL,0,12132972665.05,12132972665.05,1066486332.56,11066486332.49
Jul 26 2033,POL,0,12130353284.08,12130353284.08,1065176642.07,11065176642.01
Jul 22 2033,POL,0,12127733903.10,12127733903.10,1063866951.59,11063866951.52
Jul 17 2033,POL,0,12124459676.89,12124459676.89,1062229838.48,11062229838.41
Jul 13 2033,POL,0,12121840295.91,12121840295.91,1060920147.99,11060920147.92
Jul 09 2033,POL,0,12119220914.94,12119220914.94,1059610457.50,11059610457.43
Jul 04 2033,POL,0,12115946688.72,12115946688.72,1057973344.39,11057973344.32
Jun 30 2033,POL,0,12113327307.74,12113327307.74,1056663653.91,11056663653.84
Jun 26 2033,POL,0,12110707926.77,12110707926.77,1055353963.42,11055353963.35
Jun 21 2033,POL,0,12107433700.55,12107433700.55,1053716850.31,11053716850.24
Jun 17 2033,POL,0,12104814319.57,12104814319.57,1052407159.82,11052407159.75
Jun 13 2033,POL,0,12102194938.60,12102194938.60,1051097469.33,11051097469.26
Jun 08 2033,POL,0,12098920712.38,12098920712.38,1049460356.22,11049460356.15
Jun 04 2033,POL,0,12096301331.40,12096301331.40,1048150665.74,11048150665.67
May 31 2033,POL,0,12093681950.43,12093681950.43,1046840975.25,11046840975.18
May 26 2033,POL,0,12090407724.21,12090407724.21,1045203862.14,11045203862.07
May 22 2033,POL,0,12087788343.24,12087788343.24,1043894171.65,11043894171.58
May 18 2033,POL,0,12085168962.26,12085168962.26,1042584481.17,11042584481.09
May 13 2033,POL,0,12081894736.04,12081894736.04,1040947368.06,11040947367.98
May 09 2033,POL,0,12079275355.07,12079275355.07,1039637677.57,11039637677.50
May 05 2033,POL,0,12076655974.09,12076655974.09,1038327987.08,11038327987.01
Apr 30 2033,POL,0,12073381747.87,12073381747.87,1036690873.97,11036690873.90
Apr 26 2033,POL,0,12070762366.90,12070762366.90,1035381183.49,11035381183.41
