Date,Symbol,Price,Available Supply,Unlocked Supply,Founder / Team,Private Investors,Reserved,Community & Other
Aug 24 2024,RBN,0,1000000000.00,1000000000.00,230000000.00,150000000.00,80000000.00,540000000.00
Aug 23 2024,RBN,0,1000000000.00,1000000000.00,230000000.00,150000000.00,80000000.00,540000000.00
Aug 21 2024,RBN,0,1000000000.00,1000000000.00,230000000.00,150000000.00,80000000.00,540000000.00
Aug 20 2024,RBN,0,1000000000.00,1000000000.00,230000000.00,150000000.00,80000000.00,540000000.00
Aug 18 2024,RBN,0,1000000000.00,1000000000.00,230000000.00,150000000.00,80000000.00,540000000.00
Aug 17 2024,RBN,0,1000000000.00,1000000000.00,230000000.00,150000000.00,80000000.00,540000000.00
Aug 16 2024,RBN,0,1000000000.00,1000000000.00,230000000.00,150000000.00,80000000.00,540000000.00
Aug 14 2024,RBN,0,1000000000.00,1000000000.00,230000000.00,150000000.00,80000000.00,540000000.00
Aug 13 2024,RBN,0,1000000000.00,1000000000.00,230000000.00,150000000.00,80000000.00,540000000.00
Aug 11 2024,RBN,0,1000000000.00,1000000000.00,230000000.00,150000000.00,80000000.00,540000000.00
Aug 10 2024,RBN,0,1000000000.00,1000000000.00,230000000.00,150000000.00,80000000.00,540000000.00
Aug 08 2024,RBN,0,1000000000.00,1000000000.00,230000000.00,150000000.00,80000000.00,540000000.00
Aug 07 2024,RBN,0,1000000000.00,1000000000.00,230000000.00,150000000.00,80000000.00,540000000.00
Aug 06 2024,RBN,0,1000000000.00,1000000000.00,230000000.00,150000000.00,80000000.00,540000000.00
Aug 04 2024,RBN,0,1000000000.00,1000000000.00,230000000.00,150000000.00,80000000.00,540000000.00
Aug 03 2024,RBN,0,1000000000.00,1000000000.00,230000000.00,150000000.00,80000000.00,540000000.00
Aug 01 2024,RBN,0,1000000000.00,1000000000.00,230000000.00,150000000.00,80000000.00,540000000.00
Jul 31 2024,RBN,0,1000000000.00,1000000000.00,230000000.00,150000000.00,80000000.00,540000000.00
Jul 30 2024,RBN,0,1000000000.00,1000000000.00,230000000.00,150000000.00,80000000.00,540000000.00
Jul 28 2024,RBN,0,1000000000.00,1000000000.00,230000000.00,150000000.00,80000000.00,540000000.00
Jul 27 2024,RBN,0,1000000000.00,1000000000.00,230000000.00,150000000.00,80000000.00,540000000.00
Jul 25 2024,RBN,0,1000000000.00,1000000000.00,230000000.00,150000000.00,80000000.00,540000000.00
Jul 24 2024,RBN,0,1000000000.00,1000000000.00,230000000.00,150000000.00,80000000.00,540000000.00
Jul 23 2024,RBN,0,1000000000.00,1000000000.00,230000000.00,150000000.00,80000000.00,540000000.00
Jul 21 2024,RBN,0,1000000000.00,1000000000.00,230000000.00,150000000.00,80000000.00,540000000.00
Jul 20 2024,RBN,0,1000000000.00,1000000000.00,230000000.00,150000000.00,80000000.00,540000000.00
Jul 18 2024,RBN,0,1000000000.00,1000000000.00,230000000.00,150000000.00,80000000.00,540000000.00
Jul 17 2024,RBN,0,1000000000.00,1000000000.00,230000000.00,150000000.00,80000000.00,540000000.00
Jul 16 2024,RBN,0,1000000000.00,1000000000.00,230000000.00,150000000.00,80000000.00,540000000.00
Jul 14 2024,RBN,0,1000000000.00,1000000000.00,230000000.00,150000000.00,80000000.00,540000000.00
Jul 13 2024,RBN,0,1000000000.00,1000000000.00,230000000.00,150000000.00,80000000.00,540000000.00
Jul 11 2024,RBN,0,1000000000.00,1000000000.00,230000000.00,150000000.00,80000000.00,540000000.00
Jul 10 2024,RBN,0,1000000000.00,1000000000.00,230000000.00,150000000.00,80000000.00,540000000.00
Jul 08 2024,RBN,0,1000000000.00,1000000000.00,230000000.00,150000000.00,80000000.00,540000000.00
Jul 07 2024,RBN,0,1000000000.00,1000000000.00,230000000.00,150000000.00,80000000.00,540000000.00
Jul 06 2024,RBN,0,1000000000.00,1000000000.00,230000000.00,150000000.00,80000000.00,540000000.00
Jul 04 2024,RBN,0,1000000000.00,1000000000.00,230000000.00,150000000.00,80000000.00,540000000.00
Jul 03 2024,RBN,0,1000000000.00,1000000000.00,230000000.00,150000000.00,80000000.00,540000000.00
Jul 01 2024,RBN,0,1000000000.00,1000000000.00,230000000.00,150000000.00,80000000.00,540000000.00
