Date,Symbol,Price,Available Supply,Unlocked Supply,Founder / Team,Reserved,Community & Other
Apr 27 2031,RON,0,1000000000.00,1000000000.00,300000000.00,150000000.00,550000000.00
Apr 23 2031,RON,0,1000000000.00,1000000000.00,300000000.00,150000000.00,550000000.00
Apr 19 2031,RON,0,1000000000.00,1000000000.00,300000000.00,150000000.00,550000000.00
Apr 15 2031,RON,0,1000000000.00,1000000000.00,300000000.00,150000000.00,550000000.00
Apr 11 2031,RON,0,1000000000.00,1000000000.00,300000000.00,150000000.00,550000000.00
Apr 07 2031,RON,0,1000000000.00,1000000000.00,300000000.00,150000000.00,550000000.00
Apr 03 2031,RON,0,1000000000.00,1000000000.00,300000000.00,150000000.00,550000000.00
Mar 30 2031,RON,0,1000000000.00,1000000000.00,300000000.00,150000000.00,550000000.00
Mar 26 2031,RON,0,1000000000.00,1000000000.00,300000000.00,150000000.00,550000000.00
Mar 22 2031,RON,0,1000000000.00,1000000000.00,300000000.00,150000000.00,550000000.00
Mar 18 2031,RON,0,1000000000.00,1000000000.00,300000000.00,150000000.00,550000000.00
Mar 14 2031,RON,0,1000000000.00,1000000000.00,300000000.00,150000000.00,550000000.00
Mar 10 2031,RON,0,1000000000.00,1000000000.00,300000000.00,150000000.00,550000000.00
Mar 06 2031,RON,0,1000000000.00,1000000000.00,300000000.00,150000000.00,550000000.00
Mar 02 2031,RON,0,1000000000.00,1000000000.00,300000000.00,150000000.00,550000000.00
Feb 26 2031,RON,0,1000000000.00,1000000000.00,300000000.00,150000000.00,550000000.00
Feb 22 2031,RON,0,1000000000.00,1000000000.00,300000000.00,150000000.00,550000000.00
Feb 18 2031,RON,0,1000000000.00,1000000000.00,300000000.00,150000000.00,550000000.00
Feb 14 2031,RON,0,1000000000.00,1000000000.00,300000000.00,150000000.00,550000000.00
Feb 10 2031,RON,0,1000000000.00,1000000000.00,300000000.00,150000000.00,550000000.00
Feb 06 2031,RON,0,1000000000.00,1000000000.00,300000000.00,150000000.00,550000000.00
Feb 02 2031,RON,0,1000000000.00,1000000000.00,300000000.00,150000000.00,550000000.00
Jan 29 2031,RON,0,1000000000.00,1000000000.00,300000000.00,150000000.00,550000000.00
Jan 25 2031,RON,0,999919332.97,999919332.97,300000000.00,150000000.00,549919332.97
Jan 21 2031,RON,0,999757998.90,999757998.90,300000000.00,150000000.00,549757998.90
Jan 17 2031,RON,0,999596664.83,999596664.83,300000000.00,150000000.00,549596664.83
Jan 13 2031,RON,0,999435330.76,999435330.76,300000000.00,150000000.00,549435330.76
Jan 09 2031,RON,0,999273996.69,999273996.69,300000000.00,150000000.00,549273996.69
Jan 05 2031,RON,0,999112662.62,999112662.62,300000000.00,150000000.00,549112662.62
Jan 01 2031,RON,0,998951328.55,998951328.55,300000000.00,150000000.00,548951328.55
Dec 28 2030,RON,0,998789994.48,998789994.48,300000000.00,150000000.00,548789994.48
Dec 24 2030,RON,0,998628660.41,998628660.41,300000000.00,150000000.00,548628660.41
Dec 20 2030,RON,0,998467326.34,998467326.34,300000000.00,150000000.00,548467326.34
Dec 16 2030,RON,0,998305992.27,998305992.27,300000000.00,150000000.00,548305992.27
Dec 12 2030,RON,0,998144658.20,998144658.20,300000000.00,150000000.00,548144658.20
Dec 08 2030,RON,0,997983324.13,997983324.13,300000000.00,150000000.00,547983324.13
Dec 04 2030,RON,0,997821990.06,997821990.06,300000000.00,150000000.00,547821990.06
Nov 30 2030,RON,0,997660655.99,997660655.99,300000000.00,150000000.00,547660655.99
Nov 26 2030,RON,0,997499321.92,997499321.92,300000000.00,150000000.00,547499321.92
Nov 22 2030,RON,0,997337987.85,997337987.85,300000000.00,150000000.00,547337987.85
Nov 18 2030,RON,0,997176653.78,997176653.78,300000000.00,150000000.00,547176653.78
Nov 14 2030,RON,0,997015319.71,997015319.71,300000000.00,150000000.00,547015319.71
Nov 10 2030,RON,0,996853985.64,996853985.64,300000000.00,150000000.00,546853985.64
Nov 06 2030,RON,0,996692651.57,996692651.57,300000000.00,150000000.00,546692651.57
Nov 02 2030,RON,0,996531317.50,996531317.50,300000000.00,150000000.00,546531317.50
Oct 29 2030,RON,0,996369983.43,996369983.43,300000000.00,150000000.00,546369983.43
Oct 25 2030,RON,0,996203760.30,996203760.30,300000000.00,150000000.00,546203760.30
Oct 21 2030,RON,0,996032648.11,996032648.11,300000000.00,150000000.00,546032648.11
Oct 17 2030,RON,0,995861535.91,995861535.91,300000000.00,150000000.00,545861535.91
Oct 13 2030,RON,0,995690423.72,995690423.72,300000000.00,150000000.00,545690423.72
Oct 09 2030,RON,0,995519311.52,995519311.52,300000000.00,150000000.00,545519311.52
Oct 05 2030,RON,0,995348199.32,995348199.32,300000000.00,150000000.00,545348199.32
Oct 01 2030,RON,0,995177087.13,995177087.13,300000000.00,150000000.00,545177087.13
Sep 27 2030,RON,0,995005974.93,995005974.93,300000000.00,150000000.00,545005974.93
Sep 23 2030,RON,0,994834862.74,994834862.74,300000000.00,150000000.00,544834862.74
Sep 19 2030,RON,0,994663750.54,994663750.54,300000000.00,150000000.00,544663750.54
Sep 15 2030,RON,0,994492638.35,994492638.35,300000000.00,150000000.00,544492638.35
Sep 11 2030,RON,0,994321526.15,994321526.15,300000000.00,150000000.00,544321526.15
Sep 07 2030,RON,0,994150413.95,994150413.95,300000000.00,150000000.00,544150413.95
Sep 03 2030,RON,0,993979301.76,993979301.76,300000000.00,150000000.00,543979301.76
Aug 30 2030,RON,0,993808189.56,993808189.56,300000000.00,150000000.00,543808189.56
Aug 26 2030,RON,0,993637077.37,993637077.37,300000000.00,150000000.00,543637077.37
Aug 22 2030,RON,0,993465965.17,993465965.17,300000000.00,150000000.00,543465965.17
Aug 18 2030,RON,0,993294852.98,993294852.98,300000000.00,150000000.00,543294852.98
Aug 14 2030,RON,0,993123740.78,993123740.78,300000000.00,150000000.00,543123740.78
Aug 10 2030,RON,0,992952628.58,992952628.58,300000000.00,150000000.00,542952628.58
Aug 06 2030,RON,0,992781516.39,992781516.39,300000000.00,150000000.00,542781516.39
Aug 02 2030,RON,0,992610404.19,992610404.19,300000000.00,150000000.00,542610404.19
Jul 29 2030,RON,0,992439292.00,992439292.00,300000000.00,150000000.00,542439292.00
Jul 25 2030,RON,0,992261997.27,992261997.27,300000000.00,150000000.00,542261997.27
Jul 21 2030,RON,0,992078520.01,992078520.01,300000000.00,150000000.00,542078520.01
Jul 17 2030,RON,0,991895042.75,991895042.75,300000000.00,150000000.00,541895042.75
Jul 13 2030,RON,0,991711565.48,991711565.48,300000000.00,150000000.00,541711565.48
Jul 09 2030,RON,0,991528088.22,991528088.22,300000000.00,150000000.00,541528088.22
Jul 05 2030,RON,0,991344610.96,991344610.96,300000000.00,150000000.00,541344610.96
Jul 01 2030,RON,0,991161133.70,991161133.70,300000000.00,150000000.00,541161133.70
Jun 27 2030,RON,0,990977656.44,990977656.44,300000000.00,150000000.00,540977656.44
Jun 23 2030,RON,0,990794179.18,990794179.18,300000000.00,150000000.00,540794179.18
Jun 19 2030,RON,0,990610701.92,990610701.92,300000000.00,150000000.00,540610701.92
Jun 15 2030,RON,0,990427224.65,990427224.65,300000000.00,150000000.00,540427224.65
Jun 11 2030,RON,0,990243747.39,990243747.39,300000000.00,150000000.00,540243747.39
Jun 07 2030,RON,0,990060270.13,990060270.13,300000000.00,150000000.00,540060270.13
Jun 03 2030,RON,0,989876792.87,989876792.87,300000000.00,150000000.00,539876792.87
