Date,Symbol,Price,Available Supply,Unlocked Supply,Founder / Team,Private Investors,Reserved,Community & Other
Nov 15 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4537000000.00
Nov 12 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4537000000.00
Nov 09 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4537000000.00
Nov 06 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4537000000.00
Nov 02 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4537000000.00
Oct 30 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4537000000.00
Oct 27 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4537000000.00
Oct 24 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4537000000.00
Oct 21 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4537000000.00
Oct 18 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4537000000.00
Oct 15 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4537000000.00
Oct 11 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4537000000.00
Oct 08 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4537000000.00
Oct 05 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4537000000.00
Oct 02 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4537000000.00
Sep 29 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4537000000.00
Sep 26 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4537000000.00
Sep 23 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4537000000.00
Sep 19 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4537000000.00
Sep 16 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4537000000.00
Sep 13 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4537000000.00
Sep 10 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4537000000.00
Sep 07 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4537000000.00
Sep 04 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4537000000.00
Sep 01 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4537000000.00
Aug 28 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4537000000.00
Aug 25 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4537000000.00
Aug 22 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4537000000.00
Aug 19 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4537000000.00
Aug 16 2030,SEI,0,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4537000000.00
Aug 13 2030,SEI,0,9434128470.86,9434128470.86,2000000000.00,2000000000.00,900000000.00,4534128470.86
Aug 10 2030,SEI,0,9430682635.90,9430682635.90,2000000000.00,2000000000.00,900000000.00,4530682635.90
Aug 06 2030,SEI,0,9426088189.28,9426088189.28,2000000000.00,2000000000.00,900000000.00,4526088189.28
Aug 03 2030,SEI,0,9422642354.32,9422642354.32,2000000000.00,2000000000.00,900000000.00,4522642354.32
Jul 31 2030,SEI,0,9419196519.36,9419196519.36,2000000000.00,2000000000.00,900000000.00,4519196519.36
Jul 28 2030,SEI,0,9415750684.40,9415750684.40,2000000000.00,2000000000.00,900000000.00,4515750684.40
Jul 25 2030,SEI,0,9412304849.43,9412304849.43,2000000000.00,2000000000.00,900000000.00,4512304849.43
Jul 22 2030,SEI,0,9408859014.47,9408859014.47,2000000000.00,2000000000.00,900000000.00,4508859014.47
Jul 19 2030,SEI,0,9405413179.51,9405413179.51,2000000000.00,2000000000.00,900000000.00,4505413179.51
Jul 15 2030,SEI,0,9400818732.89,9400818732.89,2000000000.00,2000000000.00,900000000.00,4500818732.89
Jul 12 2030,SEI,0,9397372897.93,9397372897.93,2000000000.00,2000000000.00,900000000.00,4497372897.93
Jul 09 2030,SEI,0,9393927062.96,9393927062.96,2000000000.00,2000000000.00,900000000.00,4493927062.96
Jul 06 2030,SEI,0,9390481228.00,9390481228.00,2000000000.00,2000000000.00,900000000.00,4490481228.00
Jul 03 2030,SEI,0,9387035393.04,9387035393.04,2000000000.00,2000000000.00,900000000.00,4487035393.04
Jun 30 2030,SEI,0,9383589558.08,9383589558.08,2000000000.00,2000000000.00,900000000.00,4483589558.08
Jun 27 2030,SEI,0,9380143723.11,9380143723.11,2000000000.00,2000000000.00,900000000.00,4480143723.11
Jun 23 2030,SEI,0,9375549276.50,9375549276.50,2000000000.00,2000000000.00,900000000.00,4475549276.50
Jun 20 2030,SEI,0,9372103441.53,9372103441.53,2000000000.00,2000000000.00,900000000.00,4472103441.53
Jun 17 2030,SEI,0,9368657606.57,9368657606.57,2000000000.00,2000000000.00,900000000.00,4468657606.57
Jun 14 2030,SEI,0,9365211771.61,9365211771.61,2000000000.00,2000000000.00,900000000.00,4465211771.61
Jun 11 2030,SEI,0,9361765936.64,9361765936.64,2000000000.00,2000000000.00,900000000.00,4461765936.64
Jun 08 2030,SEI,0,9358320101.68,9358320101.68,2000000000.00,2000000000.00,900000000.00,4458320101.68
Jun 05 2030,SEI,0,9354874266.72,9354874266.72,2000000000.00,2000000000.00,900000000.00,4454874266.72
Jun 01 2030,SEI,0,9350279820.10,9350279820.10,2000000000.00,2000000000.00,900000000.00,4450279820.10
May 29 2030,SEI,0,9346833985.14,9346833985.14,2000000000.00,2000000000.00,900000000.00,4446833985.14
May 26 2030,SEI,0,9343388150.18,9343388150.18,2000000000.00,2000000000.00,900000000.00,4443388150.18
May 23 2030,SEI,0,9339942315.21,9339942315.21,2000000000.00,2000000000.00,900000000.00,4439942315.21
May 20 2030,SEI,0,9336496480.25,9336496480.25,2000000000.00,2000000000.00,900000000.00,4436496480.25
May 17 2030,SEI,0,9333050645.29,9333050645.29,2000000000.00,2000000000.00,900000000.00,4433050645.29
