Date,Symbol,Price,Available Supply,Unlocked Supply,Founder / Team,Private Investors,Public Investors,Reserved,Community & Other
Dec 26 2031,SOL,0,740132869.00,740132869.00,62500000.00,177500000.00,8000000.00,82500000.00,409632869.00
Dec 21 2031,SOL,0,740089613.03,740089613.03,62500000.00,177500000.00,8000000.00,82500000.00,409589613.03
Dec 16 2031,SOL,0,740046357.05,740046357.05,62500000.00,177500000.00,8000000.00,82500000.00,409546357.05
Dec 11 2031,SOL,0,740003101.08,740003101.08,62500000.00,177500000.00,8000000.00,82500000.00,409503101.08
Dec 06 2031,SOL,0,739959845.11,739959845.11,62500000.00,177500000.00,8000000.00,82500000.00,409459845.11
Dec 01 2031,SOL,0,739916589.14,739916589.14,62500000.00,177500000.00,8000000.00,82500000.00,409416589.14
Nov 26 2031,SOL,0,739873333.16,739873333.16,62500000.00,177500000.00,8000000.00,82500000.00,409373333.16
Nov 20 2031,SOL,0,739821426.00,739821426.00,62500000.00,177500000.00,8000000.00,82500000.00,409321426.00
Nov 15 2031,SOL,0,739778170.02,739778170.02,62500000.00,177500000.00,8000000.00,82500000.00,409278170.02
Nov 10 2031,SOL,0,739734914.05,739734914.05,62500000.00,177500000.00,8000000.00,82500000.00,409234914.05
Nov 05 2031,SOL,0,739691658.08,739691658.08,62500000.00,177500000.00,8000000.00,82500000.00,409191658.08
Oct 31 2031,SOL,0,739648402.11,739648402.11,62500000.00,177500000.00,8000000.00,82500000.00,409148402.11
Oct 26 2031,SOL,0,739605146.13,739605146.13,62500000.00,177500000.00,8000000.00,82500000.00,409105146.13
Oct 21 2031,SOL,0,739561890.16,739561890.16,62500000.00,177500000.00,8000000.00,82500000.00,409061890.16
Oct 16 2031,SOL,0,739518634.19,739518634.19,62500000.00,177500000.00,8000000.00,82500000.00,409018634.19
Oct 11 2031,SOL,0,739475378.22,739475378.22,62500000.00,177500000.00,8000000.00,82500000.00,408975378.22
Oct 06 2031,SOL,0,739432122.24,739432122.24,62500000.00,177500000.00,8000000.00,82500000.00,408932122.24
Oct 01 2031,SOL,0,739388866.27,739388866.27,62500000.00,177500000.00,8000000.00,82500000.00,408888866.27
Sep 26 2031,SOL,0,739345610.30,739345610.30,62500000.00,177500000.00,8000000.00,82500000.00,408845610.30
Sep 21 2031,SOL,0,739302354.33,739302354.33,62500000.00,177500000.00,8000000.00,82500000.00,408802354.33
Sep 15 2031,SOL,0,739250447.16,739250447.16,62500000.00,177500000.00,8000000.00,82500000.00,408750447.16
Sep 10 2031,SOL,0,739207191.19,739207191.19,62500000.00,177500000.00,8000000.00,82500000.00,408707191.19
Sep 05 2031,SOL,0,739163935.21,739163935.21,62500000.00,177500000.00,8000000.00,82500000.00,408663935.21
Aug 31 2031,SOL,0,739120679.24,739120679.24,62500000.00,177500000.00,8000000.00,82500000.00,408620679.24
Aug 26 2031,SOL,0,739077423.27,739077423.27,62500000.00,177500000.00,8000000.00,82500000.00,408577423.27
Aug 21 2031,SOL,0,739034167.30,739034167.30,62500000.00,177500000.00,8000000.00,82500000.00,408534167.30
Aug 16 2031,SOL,0,738990911.32,738990911.32,62500000.00,177500000.00,8000000.00,82500000.00,408490911.32
Aug 11 2031,SOL,0,738947655.35,738947655.35,62500000.00,177500000.00,8000000.00,82500000.00,408447655.35
Aug 06 2031,SOL,0,738904399.38,738904399.38,62500000.00,177500000.00,8000000.00,82500000.00,408404399.38
Aug 01 2031,SOL,0,738861143.41,738861143.41,62500000.00,177500000.00,8000000.00,82500000.00,408361143.41
Jul 27 2031,SOL,0,738817887.43,738817887.43,62500000.00,177500000.00,8000000.00,82500000.00,408317887.43
Jul 22 2031,SOL,0,738774631.46,738774631.46,62500000.00,177500000.00,8000000.00,82500000.00,408274631.46
Jul 17 2031,SOL,0,738731375.49,738731375.49,62500000.00,177500000.00,8000000.00,82500000.00,408231375.49
Jul 11 2031,SOL,0,738679468.32,738679468.32,62500000.00,177500000.00,8000000.00,82500000.00,408179468.32
Jul 06 2031,SOL,0,738636212.35,738636212.35,62500000.00,177500000.00,8000000.00,82500000.00,408136212.35
Jul 01 2031,SOL,0,738592956.38,738592956.38,62500000.00,177500000.00,8000000.00,82500000.00,408092956.38
Jun 26 2031,SOL,0,738549700.40,738549700.40,62500000.00,177500000.00,8000000.00,82500000.00,408049700.40
Jun 21 2031,SOL,0,738506444.43,738506444.43,62500000.00,177500000.00,8000000.00,82500000.00,408006444.43
Jun 16 2031,SOL,0,738463188.46,738463188.46,62500000.00,177500000.00,8000000.00,82500000.00,407963188.46
Jun 11 2031,SOL,0,738419932.48,738419932.48,62500000.00,177500000.00,8000000.00,82500000.00,407919932.48
Jun 06 2031,SOL,0,738376676.51,738376676.51,62500000.00,177500000.00,8000000.00,82500000.00,407876676.51
Jun 01 2031,SOL,0,738333420.54,738333420.54,62500000.00,177500000.00,8000000.00,82500000.00,407833420.54
May 27 2031,SOL,0,738290164.57,738290164.57,62500000.00,177500000.00,8000000.00,82500000.00,407790164.57
May 22 2031,SOL,0,738246908.59,738246908.59,62500000.00,177500000.00,8000000.00,82500000.00,407746908.59
May 17 2031,SOL,0,738203652.62,738203652.62,62500000.00,177500000.00,8000000.00,82500000.00,407703652.62
May 12 2031,SOL,0,738160396.65,738160396.65,62500000.00,177500000.00,8000000.00,82500000.00,407660396.65
May 06 2031,SOL,0,738108489.48,738108489.48,62500000.00,177500000.00,8000000.00,82500000.00,407608489.48
May 01 2031,SOL,0,738065233.51,738065233.51,62500000.00,177500000.00,8000000.00,82500000.00,407565233.51
Apr 26 2031,SOL,0,738021977.54,738021977.54,62500000.00,177500000.00,8000000.00,82500000.00,407521977.54
Apr 21 2031,SOL,0,737978721.56,737978721.56,62500000.00,177500000.00,8000000.00,82500000.00,407478721.56
Apr 16 2031,SOL,0,737935465.59,737935465.59,62500000.00,177500000.00,8000000.00,82500000.00,407435465.59
Apr 11 2031,SOL,0,737892209.62,737892209.62,62500000.00,177500000.00,8000000.00,82500000.00,407392209.62
Apr 06 2031,SOL,0,737848953.65,737848953.65,62500000.00,177500000.00,8000000.00,82500000.00,407348953.65
Apr 01 2031,SOL,0,737805697.67,737805697.67,62500000.00,177500000.00,8000000.00,82500000.00,407305697.67
Mar 27 2031,SOL,0,737762441.70,737762441.70,62500000.00,177500000.00,8000000.00,82500000.00,407262441.70
Mar 22 2031,SOL,0,737719185.73,737719185.73,62500000.00,177500000.00,8000000.00,82500000.00,407219185.73
Mar 17 2031,SOL,0,737675929.76,737675929.76,62500000.00,177500000.00,8000000.00,82500000.00,407175929.76
Mar 12 2031,SOL,0,737632673.78,737632673.78,62500000.00,177500000.00,8000000.00,82500000.00,407132673.78
Mar 07 2031,SOL,0,737589417.81,737589417.81,62500000.00,177500000.00,8000000.00,82500000.00,407089417.81
Mar 01 2031,SOL,0,737537510.64,737537510.64,62500000.00,177500000.00,8000000.00,82500000.00,407037510.64
Feb 24 2031,SOL,0,737494254.67,737494254.67,62500000.00,177500000.00,8000000.00,82500000.00,406994254.67
Feb 19 2031,SOL,0,737450998.70,737450998.70,62500000.00,177500000.00,8000000.00,82500000.00,406950998.70
Feb 14 2031,SOL,0,737407742.73,737407742.73,62500000.00,177500000.00,8000000.00,82500000.00,406907742.73
Feb 09 2031,SOL,0,737364486.75,737364486.75,62500000.00,177500000.00,8000000.00,82500000.00,406864486.75
Feb 04 2031,SOL,0,737321230.78,737321230.78,62500000.00,177500000.00,8000000.00,82500000.00,406821230.78
Jan 30 2031,SOL,0,737277974.81,737277974.81,62500000.00,177500000.00,8000000.00,82500000.00,406777974.81
Jan 25 2031,SOL,0,737234718.84,737234718.84,62500000.00,177500000.00,8000000.00,82500000.00,406734718.84
Jan 20 2031,SOL,0,737191462.86,737191462.86,62500000.00,177500000.00,8000000.00,82500000.00,406691462.86
Jan 15 2031,SOL,0,737148206.89,737148206.89,62500000.00,177500000.00,8000000.00,82500000.00,406648206.89
Jan 10 2031,SOL,0,737104950.92,737104950.92,62500000.00,177500000.00,8000000.00,82500000.00,406604950.92
Jan 05 2031,SOL,0,737061694.95,737061694.95,62500000.00,177500000.00,8000000.00,82500000.00,406561694.95
Dec 31 2030,SOL,0,737018438.97,737018438.97,62500000.00,177500000.00,8000000.00,82500000.00,406518438.97
Dec 25 2030,SOL,0,736941487.73,736941487.73,62500000.00,177500000.00,8000000.00,82500000.00,406441487.73
Dec 20 2030,SOL,0,736773011.37,736773011.37,62500000.00,177500000.00,8000000.00,82500000.00,406273011.37
Dec 15 2030,SOL,0,736604535.02,736604535.02,62500000.00,177500000.00,8000000.00,82500000.00,406104535.02
Dec 10 2030,SOL,0,736436058.66,736436058.66,62500000.00,177500000.00,8000000.00,82500000.00,405936058.66
Dec 05 2030,SOL,0,736267582.30,736267582.30,62500000.00,177500000.00,8000000.00,82500000.00,405767582.30
Nov 30 2030,SOL,0,736099105.95,736099105.95,62500000.00,177500000.00,8000000.00,82500000.00,405599105.95
Nov 25 2030,SOL,0,735930629.59,735930629.59,62500000.00,177500000.00,8000000.00,82500000.00,405430629.59
Nov 20 2030,SOL,0,735762153.24,735762153.24,62500000.00,177500000.00,8000000.00,82500000.00,405262153.24
