Date,Symbol,Price,Available Supply,Unlocked Supply,Founder / Team (TBD),Reserved (TBD),Community & Other (TBD),Founder / Team,Private Investors,Community & Other
Jul 15 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
Jul 12 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
Jul 09 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
Jul 05 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
Jul 02 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
Jun 29 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
Jun 26 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
Jun 23 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
Jun 19 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
Jun 16 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
Jun 13 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
Jun 10 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
Jun 07 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
Jun 03 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
May 31 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
May 28 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
May 25 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
May 22 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
May 18 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
May 15 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
May 12 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
May 09 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
May 05 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
May 02 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
Apr 29 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
Apr 26 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
Apr 23 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
Apr 19 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
Apr 16 2031,STRK,0,10000000000.00,4540785318.20,1076000000.00,3103000000.00,1280214681.80,2004000000.00,1817000000.00,719785318.20
Apr 13 2031,STRK,0,9996711267.61,4540785318.20,1076000000.00,3100571987.48,1279353961.93,2004000000.00,1817000000.00,719785318.20
Apr 10 2031,STRK,0,9991778169.01,4540785318.20,1076000000.00,3096929968.70,1278062882.11,2004000000.00,1817000000.00,719785318.20
Apr 07 2031,STRK,0,9986845070.42,4540785318.20,1076000000.00,3093287949.92,1276771802.30,2004000000.00,1817000000.00,719785318.20
Apr 03 2031,STRK,0,9980267605.63,4540785318.20,1076000000.00,3088431924.88,1275050362.55,2004000000.00,1817000000.00,719785318.20
Mar 31 2031,STRK,0,9975334507.04,4540785318.20,1076000000.00,3084789906.10,1273759282.74,2004000000.00,1817000000.00,719785318.20
Mar 28 2031,STRK,0,9970401408.45,4540785318.20,1076000000.00,3081147887.32,1272468202.93,2004000000.00,1817000000.00,719785318.20
Mar 25 2031,STRK,0,9965468309.86,4540785318.20,1076000000.00,3077505868.54,1271177123.11,2004000000.00,1817000000.00,719785318.20
Mar 22 2031,STRK,0,9960535211.27,4540785318.20,1076000000.00,3073863849.77,1269886043.30,2004000000.00,1817000000.00,719785318.20
