Date,Symbol,Price,Available Supply,Unlocked Supply,Founder / Team,Reserved,Community & Other
May 19 2027,SUDO,0,60000000.00,60000000.00,18000000.00,15080000.00,26920000.00
May 17 2027,SUDO,0,60000000.00,60000000.00,18000000.00,15080000.00,26920000.00
May 15 2027,SUDO,0,60000000.00,60000000.00,18000000.00,15080000.00,26920000.00
May 13 2027,SUDO,0,60000000.00,60000000.00,18000000.00,15080000.00,26920000.00
May 12 2027,SUDO,0,60000000.00,60000000.00,18000000.00,15080000.00,26920000.00
May 10 2027,SUDO,0,60000000.00,60000000.00,18000000.00,15080000.00,26920000.00
May 08 2027,SUDO,0,60000000.00,60000000.00,18000000.00,15080000.00,26920000.00
May 06 2027,SUDO,0,60000000.00,60000000.00,18000000.00,15080000.00,26920000.00
May 04 2027,SUDO,0,60000000.00,60000000.00,18000000.00,15080000.00,26920000.00
May 02 2027,SUDO,0,60000000.00,60000000.00,18000000.00,15080000.00,26920000.00
May 01 2027,SUDO,0,60000000.00,60000000.00,18000000.00,15080000.00,26920000.00
Apr 29 2027,SUDO,0,60000000.00,60000000.00,18000000.00,15080000.00,26920000.00
Apr 27 2027,SUDO,0,60000000.00,60000000.00,18000000.00,15080000.00,26920000.00
Apr 25 2027,SUDO,0,60000000.00,60000000.00,18000000.00,15080000.00,26920000.00
Apr 23 2027,SUDO,0,60000000.00,60000000.00,18000000.00,15080000.00,26920000.00
Apr 21 2027,SUDO,0,60000000.00,60000000.00,18000000.00,15080000.00,26920000.00
Apr 20 2027,SUDO,0,60000000.00,60000000.00,18000000.00,15080000.00,26920000.00
Apr 18 2027,SUDO,0,60000000.00,60000000.00,18000000.00,15080000.00,26920000.00
Apr 16 2027,SUDO,0,60000000.00,60000000.00,18000000.00,15080000.00,26920000.00
Apr 14 2027,SUDO,0,60000000.00,60000000.00,18000000.00,15080000.00,26920000.00
Apr 12 2027,SUDO,0,60000000.00,60000000.00,18000000.00,15080000.00,26920000.00
Apr 10 2027,SUDO,0,60000000.00,60000000.00,18000000.00,15080000.00,26920000.00
Apr 09 2027,SUDO,0,60000000.00,60000000.00,18000000.00,15080000.00,26920000.00
Apr 07 2027,SUDO,0,60000000.00,60000000.00,18000000.00,15080000.00,26920000.00
Apr 05 2027,SUDO,0,60000000.00,60000000.00,18000000.00,15080000.00,26920000.00
Apr 03 2027,SUDO,0,60000000.00,60000000.00,18000000.00,15080000.00,26920000.00
Apr 01 2027,SUDO,0,60000000.00,60000000.00,18000000.00,15080000.00,26920000.00
Mar 30 2027,SUDO,0,60000000.00,60000000.00,18000000.00,15080000.00,26920000.00
Mar 29 2027,SUDO,0,60000000.00,60000000.00,18000000.00,15080000.00,26920000.00
Mar 27 2027,SUDO,0,60000000.00,60000000.00,18000000.00,15080000.00,26920000.00
Mar 25 2027,SUDO,0,60000000.00,60000000.00,18000000.00,15080000.00,26920000.00
Mar 23 2027,SUDO,0,60000000.00,60000000.00,18000000.00,15080000.00,26920000.00
Mar 21 2027,SUDO,0,60000000.00,60000000.00,18000000.00,15080000.00,26920000.00
Mar 19 2027,SUDO,0,60000000.00,60000000.00,18000000.00,15080000.00,26920000.00
Mar 17 2027,SUDO,0,60000000.00,60000000.00,18000000.00,15080000.00,26920000.00
Mar 16 2027,SUDO,0,60000000.00,60000000.00,18000000.00,15080000.00,26920000.00
Mar 14 2027,SUDO,0,60000000.00,60000000.00,18000000.00,15080000.00,26920000.00
Mar 12 2027,SUDO,0,60000000.00,60000000.00,18000000.00,15080000.00,26920000.00
Mar 10 2027,SUDO,0,60000000.00,60000000.00,18000000.00,15080000.00,26920000.00
Mar 08 2027,SUDO,0,60000000.00,60000000.00,18000000.00,15080000.00,26920000.00
Mar 06 2027,SUDO,0,60000000.00,60000000.00,18000000.00,15080000.00,26920000.00
Mar 05 2027,SUDO,0,60000000.00,60000000.00,18000000.00,15080000.00,26920000.00
Mar 03 2027,SUDO,0,60000000.00,60000000.00,18000000.00,15080000.00,26920000.00
Mar 01 2027,SUDO,0,60000000.00,60000000.00,18000000.00,15080000.00,26920000.00
Feb 27 2027,SUDO,0,60000000.00,60000000.00,18000000.00,15080000.00,26920000.00
Feb 25 2027,SUDO,0,60000000.00,60000000.00,18000000.00,15080000.00,26920000.00
Feb 23 2027,SUDO,0,60000000.00,60000000.00,18000000.00,15080000.00,26920000.00
Feb 22 2027,SUDO,0,60000000.00,60000000.00,18000000.00,15080000.00,26920000.00
Feb 20 2027,SUDO,0,60000000.00,60000000.00,18000000.00,15080000.00,26920000.00
Feb 18 2027,SUDO,0,59983414.88,59983414.88,17983414.88,15080000.00,26920000.00
Feb 16 2027,SUDO,0,59950568.16,59950568.16,17950568.16,15080000.00,26920000.00
Feb 14 2027,SUDO,0,59917721.45,59917721.45,17917721.45,15080000.00,26920000.00
Feb 12 2027,SUDO,0,59884874.73,59884874.73,17884874.73,15080000.00,26920000.00
Feb 11 2027,SUDO,0,59868451.38,59868451.38,17868451.38,15080000.00,26920000.00
Feb 09 2027,SUDO,0,59835604.66,59835604.66,17835604.66,15080000.00,26920000.00
