Date,Symbol,Price,Available Supply,Unlocked Supply,Community & Other (TBD),Founder / Team,Private Investors,Reserved,Community & Other
Aug 31 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Aug 28 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Aug 25 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Aug 21 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Aug 18 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Aug 15 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Aug 12 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Aug 09 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Aug 06 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Aug 02 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Jul 30 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Jul 27 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Jul 24 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Jul 21 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Jul 18 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Jul 14 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Jul 11 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Jul 08 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Jul 05 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Jul 02 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Jun 28 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Jun 25 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
Jun 22 2030,SUI,0,10000000000.00,4782793256.21,5217206743.79,613374653.01,1409732320.00,163479993.40,2596206289.81
