Date,Symbol,Price,Available Supply,Unlocked Supply,Community & Other
May 27 2024,LUNA,0,1000000000.00,1000000000.00,1000000000.00
May 26 2024,LUNA,0,999109090.91,999109090.91,999109090.91
May 25 2024,LUNA,0,998218181.82,998218181.82,998218181.82
May 24 2024,LUNA,0,997327272.73,997327272.73,997327272.73
May 24 2024,LUNA,0,997327272.73,997327272.73,997327272.73
May 23 2024,LUNA,0,996436363.64,996436363.64,996436363.64
May 22 2024,LUNA,0,995545454.55,995545454.55,995545454.55
May 21 2024,LUNA,0,994654545.45,994654545.45,994654545.45
May 20 2024,LUNA,0,993763636.36,993763636.36,993763636.36
May 19 2024,LUNA,0,992872727.27,992872727.27,992872727.27
May 18 2024,LUNA,0,991981818.18,991981818.18,991981818.18
May 17 2024,LUNA,0,991090909.09,991090909.09,991090909.09
May 17 2024,LUNA,0,991090909.09,991090909.09,991090909.09
May 16 2024,LUNA,0,990200000.00,990200000.00,990200000.00
May 15 2024,LUNA,0,989309090.91,989309090.91,989309090.91
May 14 2024,LUNA,0,988418181.82,988418181.82,988418181.82
May 13 2024,LUNA,0,987527272.73,987527272.73,987527272.73
May 12 2024,LUNA,0,986636363.64,986636363.64,986636363.64
May 11 2024,LUNA,0,985745454.55,985745454.55,985745454.55
May 11 2024,LUNA,0,985745454.55,985745454.55,985745454.55
May 10 2024,LUNA,0,984854545.45,984854545.45,984854545.45
May 09 2024,LUNA,0,983963636.36,983963636.36,983963636.36
May 08 2024,LUNA,0,983072727.27,983072727.27,983072727.27
May 07 2024,LUNA,0,982181818.18,982181818.18,982181818.18
May 06 2024,LUNA,0,981290909.09,981290909.09,981290909.09
May 05 2024,LUNA,0,980400000.00,980400000.00,980400000.00
May 04 2024,LUNA,0,979509090.91,979509090.91,979509090.91
May 04 2024,LUNA,0,979509090.91,979509090.91,979509090.91
May 03 2024,LUNA,0,978618181.82,978618181.82,978618181.82
May 02 2024,LUNA,0,977727272.73,977727272.73,977727272.73
May 01 2024,LUNA,0,976836363.64,976836363.64,976836363.64
Apr 30 2024,LUNA,0,975945454.55,975945454.55,975945454.55
Apr 29 2024,LUNA,0,975054545.45,975054545.45,975054545.45
Apr 28 2024,LUNA,0,974163636.36,974163636.36,974163636.36
Apr 28 2024,LUNA,0,974163636.36,974163636.36,974163636.36
Apr 27 2024,LUNA,0,973272727.27,973272727.27,973272727.27
Apr 26 2024,LUNA,0,972381818.18,972381818.18,972381818.18
Apr 25 2024,LUNA,0,971490909.09,971490909.09,971490909.09
Apr 24 2024,LUNA,0,970600000.00,970600000.00,970600000.00
Apr 23 2024,LUNA,0,969709090.91,969709090.91,969709090.91
Apr 22 2024,LUNA,0,968818181.82,968818181.82,968818181.82
Apr 21 2024,LUNA,0,967927272.73,967927272.73,967927272.73
Apr 21 2024,LUNA,0,967927272.73,967927272.73,967927272.73
Apr 20 2024,LUNA,0,967036363.64,967036363.64,967036363.64
Apr 19 2024,LUNA,0,966145454.55,966145454.55,966145454.55
Apr 18 2024,LUNA,0,965254545.45,965254545.45,965254545.45
Apr 17 2024,LUNA,0,964363636.36,964363636.36,964363636.36
Apr 16 2024,LUNA,0,963472727.27,963472727.27,963472727.27
Apr 15 2024,LUNA,0,962581818.18,962581818.18,962581818.18
Apr 15 2024,LUNA,0,962581818.18,962581818.18,962581818.18
Apr 14 2024,LUNA,0,961690909.09,961690909.09,961690909.09
Apr 13 2024,LUNA,0,960800000.00,960800000.00,960800000.00
Apr 12 2024,LUNA,0,959909090.91,959909090.91,959909090.91
Apr 11 2024,LUNA,0,959018181.82,959018181.82,959018181.82
Apr 10 2024,LUNA,0,958127272.73,958127272.73,958127272.73
Apr 09 2024,LUNA,0,957236363.64,957236363.64,957236363.64
Apr 09 2024,LUNA,0,957236363.64,957236363.64,957236363.64
Apr 08 2024,LUNA,0,956345454.55,956345454.55,956345454.55
Apr 07 2024,LUNA,0,955454545.45,955454545.45,955454545.45
Apr 06 2024,LUNA,0,954563636.36,954563636.36,954563636.36
Apr 05 2024,LUNA,0,953672727.27,953672727.27,953672727.27
Apr 04 2024,LUNA,0,952781818.18,952781818.18,952781818.18
Apr 03 2024,LUNA,0,951890909.09,951890909.09,951890909.09
Apr 02 2024,LUNA,0,951000000.00,951000000.00,951000000.00
Apr 02 2024,LUNA,0,951000000.00,951000000.00,951000000.00
Apr 01 2024,LUNA,0,950109090.91,950109090.91,950109090.91
Mar 31 2024,LUNA,$1.08,0,949218181.82,949218181.82
Mar 30 2024,LUNA,$1.09,0,948327272.73,948327272.73
Mar 29 2024,LUNA,$1.15,0,947436363.64,947436363.64
Mar 28 2024,LUNA,$1.10,0,946545454.55,946545454.55
Mar 27 2024,LUNA,$1.18,0,945654545.45,945654545.45
Mar 27 2024,LUNA,$1.18,0,945654545.45,945654545.45
Mar 26 2024,LUNA,$1.26,0,944763636.36,944763636.36
Mar 25 2024,LUNA,$1.28,0,943872727.27,943872727.27
Mar 24 2024,LUNA,$1.08,0,942981818.18,942981818.18
Mar 23 2024,LUNA,$0.96,0,942090909.09,942090909.09
Mar 22 2024,LUNA,$0.93,0,941200000.00,941200000.00
Mar 21 2024,LUNA,$0.89,0,940309090.91,940309090.91
Mar 20 2024,LUNA,$0.80,0,939418181.82,939418181.82
Mar 20 2024,LUNA,$0.80,0,939418181.82,939418181.82
Mar 19 2024,LUNA,$0.90,0,938527272.73,938527272.73
Mar 18 2024,LUNA,$0.91,0,937636363.64,937636363.64
Mar 17 2024,LUNA,$0.86,0,936745454.55,936745454.55
Mar 16 2024,LUNA,$0.96,0,935854545.45,935854545.45
Mar 15 2024,LUNA,$1.05,0,934963636.36,934963636.36
Mar 14 2024,LUNA,$1.07,0,934072727.27,934072727.27
Mar 14 2024,LUNA,$1.07,0,934072727.27,934072727.27
Mar 13 2024,LUNA,$1.09,0,933181818.18,933181818.18
Mar 12 2024,LUNA,$1.13,0,932290909.09,932290909.09
Mar 11 2024,LUNA,$1.06,0,931400000.00,931400000.00
Mar 10 2024,LUNA,$1.12,0,930509090.91,930509090.91
Mar 09 2024,LUNA,$1.14,0,929618181.82,929618181.82
Mar 08 2024,LUNA,$1.15,0,928727272.73,928727272.73
Mar 07 2024,LUNA,$1.13,0,927836363.64,927836363.64
Mar 07 2024,LUNA,$1.13,0,927836363.64,927836363.64
Mar 06 2024,LUNA,$1.14,0,926945454.55,926945454.55
Mar 05 2024,LUNA,$0.82,0,926054545.45,926054545.45
Mar 04 2024,LUNA,$0.82,0,925163636.36,925163636.36
Mar 03 2024,LUNA,$0.85,0,924272727.27,924272727.27
Mar 02 2024,LUNA,$0.76,0,923381818.18,923381818.18
Mar 01 2024,LUNA,$0.70,0,922490909.09,922490909.09
Mar 01 2024,LUNA,$0.70,0,922490909.09,922490909.09
Feb 29 2024,LUNA,$0.69,0,921600000.00,921600000.00
Feb 28 2024,LUNA,$0.70,0,920709090.91,920709090.91
Feb 27 2024,LUNA,$0.69,0,919818181.82,919818181.82
Feb 26 2024,LUNA,$0.69,0,918927272.73,918927272.73
Feb 25 2024,LUNA,$0.66,0,918036363.64,918036363.64
Feb 24 2024,LUNA,$0.65,0,917145454.55,917145454.55
