Date,Symbol,Price,Available Supply,Unlocked Supply,Founder / Team,Private Investors,Public Investors,Reserved,Community & Other
Oct 20 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Oct 19 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Oct 19 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Oct 18 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Oct 17 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Oct 17 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Oct 16 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Oct 15 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Oct 14 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Oct 14 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Oct 13 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Oct 12 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Oct 12 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Oct 11 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Oct 10 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Oct 10 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Oct 09 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Oct 08 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Oct 08 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Oct 07 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Oct 06 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Oct 05 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Oct 05 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Oct 04 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Oct 03 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Oct 03 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Oct 02 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Oct 01 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Oct 01 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Sep 30 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Sep 29 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Sep 29 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Sep 28 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Sep 27 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Sep 27 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Sep 26 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Sep 25 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Sep 24 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Sep 24 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Sep 23 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Sep 22 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Sep 22 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Sep 21 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Sep 20 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Sep 20 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Sep 19 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Sep 18 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Sep 18 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Sep 17 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Sep 16 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Sep 15 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Sep 15 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
Sep 14 2030,AVAX,0,720000000.00,720000000.00,72000000.00,43200000.00,71784000.00,102672000.00,430344000.00
