Date,Symbol,Price,Available Supply,Unlocked Supply,Founder / Team,Private Investors,Public Investors,Community & Other
Nov 06 2047,BAL,0,100588484.36,100588484.36,22500000.00,10000000.00,2500000.00,65588484.36
Nov 05 2047,BAL,0,100588212.93,100588212.93,22500000.00,10000000.00,2500000.00,65588212.93
Nov 04 2047,BAL,0,100587941.51,100587941.51,22500000.00,10000000.00,2500000.00,65587941.51
Nov 03 2047,BAL,0,100587670.09,100587670.09,22500000.00,10000000.00,2500000.00,65587670.09
Nov 02 2047,BAL,0,100587398.67,100587398.67,22500000.00,10000000.00,2500000.00,65587398.67
Nov 01 2047,BAL,0,100587127.25,100587127.25,22500000.00,10000000.00,2500000.00,65587127.25
Nov 01 2047,BAL,0,100587127.25,100587127.25,22500000.00,10000000.00,2500000.00,65587127.25
Oct 31 2047,BAL,0,100586855.83,100586855.83,22500000.00,10000000.00,2500000.00,65586855.83
Oct 30 2047,BAL,0,100586584.41,100586584.41,22500000.00,10000000.00,2500000.00,65586584.41
Oct 29 2047,BAL,0,100586312.99,100586312.99,22500000.00,10000000.00,2500000.00,65586312.99
Oct 28 2047,BAL,0,100586041.57,100586041.57,22500000.00,10000000.00,2500000.00,65586041.57
Oct 27 2047,BAL,0,100585770.15,100585770.15,22500000.00,10000000.00,2500000.00,65585770.15
Oct 26 2047,BAL,0,100585498.73,100585498.73,22500000.00,10000000.00,2500000.00,65585498.73
Oct 25 2047,BAL,0,100585227.31,100585227.31,22500000.00,10000000.00,2500000.00,65585227.31
Oct 24 2047,BAL,0,100584955.89,100584955.89,22500000.00,10000000.00,2500000.00,65584955.89
Oct 23 2047,BAL,0,100584684.46,100584684.46,22500000.00,10000000.00,2500000.00,65584684.46
Oct 22 2047,BAL,0,100584413.04,100584413.04,22500000.00,10000000.00,2500000.00,65584413.04
Oct 22 2047,BAL,0,100584413.04,100584413.04,22500000.00,10000000.00,2500000.00,65584413.04
Oct 21 2047,BAL,0,100584141.62,100584141.62,22500000.00,10000000.00,2500000.00,65584141.62
Oct 20 2047,BAL,0,100583870.20,100583870.20,22500000.00,10000000.00,2500000.00,65583870.20
Oct 19 2047,BAL,0,100583598.78,100583598.78,22500000.00,10000000.00,2500000.00,65583598.78
Oct 18 2047,BAL,0,100583327.36,100583327.36,22500000.00,10000000.00,2500000.00,65583327.36
Oct 17 2047,BAL,0,100583055.94,100583055.94,22500000.00,10000000.00,2500000.00,65583055.94
Oct 16 2047,BAL,0,100582784.52,100582784.52,22500000.00,10000000.00,2500000.00,65582784.52
Oct 15 2047,BAL,0,100582513.10,100582513.10,22500000.00,10000000.00,2500000.00,65582513.10
