Date,Symbol,Price,Available Supply,Unlocked Supply,Founder / Team,Private Investors,Public Investors,Reserved,Community & Other
Feb 27 2026,CTSI,0,1000000000.00,1000000000.00,171150000.00,76700000.00,100000000.00,402150000.00,250000000.00
Feb 27 2026,CTSI,0,1000000000.00,1000000000.00,171150000.00,76700000.00,100000000.00,402150000.00,250000000.00
Feb 26 2026,CTSI,0,1000000000.00,1000000000.00,171150000.00,76700000.00,100000000.00,402150000.00,250000000.00
Feb 26 2026,CTSI,0,1000000000.00,1000000000.00,171150000.00,76700000.00,100000000.00,402150000.00,250000000.00
Feb 25 2026,CTSI,0,1000000000.00,1000000000.00,171150000.00,76700000.00,100000000.00,402150000.00,250000000.00
Feb 25 2026,CTSI,0,1000000000.00,1000000000.00,171150000.00,76700000.00,100000000.00,402150000.00,250000000.00
Feb 25 2026,CTSI,0,1000000000.00,1000000000.00,171150000.00,76700000.00,100000000.00,402150000.00,250000000.00
Feb 24 2026,CTSI,0,1000000000.00,1000000000.00,171150000.00,76700000.00,100000000.00,402150000.00,250000000.00
Feb 24 2026,CTSI,0,1000000000.00,1000000000.00,171150000.00,76700000.00,100000000.00,402150000.00,250000000.00
Feb 23 2026,CTSI,0,1000000000.00,1000000000.00,171150000.00,76700000.00,100000000.00,402150000.00,250000000.00
Feb 23 2026,CTSI,0,1000000000.00,1000000000.00,171150000.00,76700000.00,100000000.00,402150000.00,250000000.00
Feb 23 2026,CTSI,0,1000000000.00,1000000000.00,171150000.00,76700000.00,100000000.00,402150000.00,250000000.00
Feb 22 2026,CTSI,0,1000000000.00,1000000000.00,171150000.00,76700000.00,100000000.00,402150000.00,250000000.00
Feb 22 2026,CTSI,0,1000000000.00,1000000000.00,171150000.00,76700000.00,100000000.00,402150000.00,250000000.00
Feb 21 2026,CTSI,0,1000000000.00,1000000000.00,171150000.00,76700000.00,100000000.00,402150000.00,250000000.00
Feb 21 2026,CTSI,0,1000000000.00,1000000000.00,171150000.00,76700000.00,100000000.00,402150000.00,250000000.00
Feb 21 2026,CTSI,0,1000000000.00,1000000000.00,171150000.00,76700000.00,100000000.00,402150000.00,250000000.00
Feb 20 2026,CTSI,0,1000000000.00,1000000000.00,171150000.00,76700000.00,100000000.00,402150000.00,250000000.00
Feb 20 2026,CTSI,0,1000000000.00,1000000000.00,171150000.00,76700000.00,100000000.00,402150000.00,250000000.00
Feb 19 2026,CTSI,0,1000000000.00,1000000000.00,171150000.00,76700000.00,100000000.00,402150000.00,250000000.00
Feb 19 2026,CTSI,0,1000000000.00,1000000000.00,171150000.00,76700000.00,100000000.00,402150000.00,250000000.00
Feb 19 2026,CTSI,0,1000000000.00,1000000000.00,171150000.00,76700000.00,100000000.00,402150000.00,250000000.00
Feb 18 2026,CTSI,0,1000000000.00,1000000000.00,171150000.00,76700000.00,100000000.00,402150000.00,250000000.00
Feb 18 2026,CTSI,0,1000000000.00,1000000000.00,171150000.00,76700000.00,100000000.00,402150000.00,250000000.00
Feb 17 2026,CTSI,0,1000000000.00,1000000000.00,171150000.00,76700000.00,100000000.00,402150000.00,250000000.00
Feb 17 2026,CTSI,0,1000000000.00,1000000000.00,171150000.00,76700000.00,100000000.00,402150000.00,250000000.00
Feb 17 2026,CTSI,0,1000000000.00,1000000000.00,171150000.00,76700000.00,100000000.00,402150000.00,250000000.00
Feb 16 2026,CTSI,0,1000000000.00,1000000000.00,171150000.00,76700000.00,100000000.00,402150000.00,250000000.00
Feb 16 2026,CTSI,0,1000000000.00,1000000000.00,171150000.00,76700000.00,100000000.00,402150000.00,250000000.00
Feb 15 2026,CTSI,0,1000000000.00,1000000000.00,171150000.00,76700000.00,100000000.00,402150000.00,250000000.00
Feb 15 2026,CTSI,0,1000000000.00,1000000000.00,171150000.00,76700000.00,100000000.00,402150000.00,250000000.00
Feb 15 2026,CTSI,0,1000000000.00,1000000000.00,171150000.00,76700000.00,100000000.00,402150000.00,250000000.00
Feb 14 2026,CTSI,0,1000000000.00,1000000000.00,171150000.00,76700000.00,100000000.00,402150000.00,250000000.00
Feb 14 2026,CTSI,0,1000000000.00,1000000000.00,171150000.00,76700000.00,100000000.00,402150000.00,250000000.00
Feb 13 2026,CTSI,0,1000000000.00,1000000000.00,171150000.00,76700000.00,100000000.00,402150000.00,250000000.00
Feb 13 2026,CTSI,0,1000000000.00,1000000000.00,171150000.00,76700000.00,100000000.00,402150000.00,250000000.00
Feb 13 2026,CTSI,0,1000000000.00,1000000000.00,171150000.00,76700000.00,100000000.00,402150000.00,250000000.00
Feb 12 2026,CTSI,0,1000000000.00,1000000000.00,171150000.00,76700000.00,100000000.00,402150000.00,250000000.00
Feb 12 2026,CTSI,0,1000000000.00,1000000000.00,171150000.00,76700000.00,100000000.00,402150000.00,250000000.00
Feb 11 2026,CTSI,0,1000000000.00,1000000000.00,171150000.00,76700000.00,100000000.00,402150000.00,250000000.00
Feb 11 2026,CTSI,0,1000000000.00,1000000000.00,171150000.00,76700000.00,100000000.00,402150000.00,250000000.00
Feb 11 2026,CTSI,0,1000000000.00,1000000000.00,171150000.00,76700000.00,100000000.00,402150000.00,250000000.00
Feb 10 2026,CTSI,0,1000000000.00,1000000000.00,171150000.00,76700000.00,100000000.00,402150000.00,250000000.00
Feb 10 2026,CTSI,0,1000000000.00,1000000000.00,171150000.00,76700000.00,100000000.00,402150000.00,250000000.00
Feb 09 2026,CTSI,0,1000000000.00,1000000000.00,171150000.00,76700000.00,100000000.00,402150000.00,250000000.00
Feb 09 2026,CTSI,0,1000000000.00,1000000000.00,171150000.00,76700000.00,100000000.00,402150000.00,250000000.00
Feb 09 2026,CTSI,0,1000000000.00,1000000000.00,171150000.00,76700000.00,100000000.00,402150000.00,250000000.00
Feb 08 2026,CTSI,0,1000000000.00,1000000000.00,171150000.00,76700000.00,100000000.00,402150000.00,250000000.00
Feb 08 2026,CTSI,0,1000000000.00,1000000000.00,171150000.00,76700000.00,100000000.00,402150000.00,250000000.00
Feb 07 2026,CTSI,0,1000000000.00,1000000000.00,171150000.00,76700000.00,100000000.00,402150000.00,250000000.00
Feb 07 2026,CTSI,0,1000000000.00,1000000000.00,171150000.00,76700000.00,100000000.00,402150000.00,250000000.00
Feb 07 2026,CTSI,0,1000000000.00,1000000000.00,171150000.00,76700000.00,100000000.00,402150000.00,250000000.00
Feb 06 2026,CTSI,0,1000000000.00,1000000000.00,171150000.00,76700000.00,100000000.00,402150000.00,250000000.00
