Date,Symbol,Price,Available Supply,Unlocked Supply,Community & Other (TBD),Founder / Team,Private Investors,Reserved,Community & Other
Mar 01 2048,FIL,0,1995190324.05,1695190324.05,300000000.00,300000000.00,200000000.00,100000000.00,1095190324.05
Feb 29 2048,FIL,0,1995185303.51,1695185303.51,300000000.00,300000000.00,200000000.00,100000000.00,1095185303.51
Feb 29 2048,FIL,0,1995185303.51,1695185303.51,300000000.00,300000000.00,200000000.00,100000000.00,1095185303.51
Feb 28 2048,FIL,0,1995180282.98,1695180282.98,300000000.00,300000000.00,200000000.00,100000000.00,1095180282.98
Feb 27 2048,FIL,0,1995175262.44,1695175262.44,300000000.00,300000000.00,200000000.00,100000000.00,1095175262.44
Feb 26 2048,FIL,0,1995170241.90,1695170241.90,300000000.00,300000000.00,200000000.00,100000000.00,1095170241.90
Feb 26 2048,FIL,0,1995170241.90,1695170241.90,300000000.00,300000000.00,200000000.00,100000000.00,1095170241.90
Feb 25 2048,FIL,0,1995165221.36,1695165221.36,300000000.00,300000000.00,200000000.00,100000000.00,1095165221.36
Feb 24 2048,FIL,0,1995160200.82,1695160200.82,300000000.00,300000000.00,200000000.00,100000000.00,1095160200.82
Feb 23 2048,FIL,0,1995155180.28,1695155180.28,300000000.00,300000000.00,200000000.00,100000000.00,1095155180.28
Feb 23 2048,FIL,0,1995155180.28,1695155180.28,300000000.00,300000000.00,200000000.00,100000000.00,1095155180.28
Feb 22 2048,FIL,0,1995150159.74,1695150159.74,300000000.00,300000000.00,200000000.00,100000000.00,1095150159.74
Feb 21 2048,FIL,0,1995145139.21,1695145139.21,300000000.00,300000000.00,200000000.00,100000000.00,1095145139.21
Feb 20 2048,FIL,0,1995140118.67,1695140118.67,300000000.00,300000000.00,200000000.00,100000000.00,1095140118.67
Feb 20 2048,FIL,0,1995140118.67,1695140118.67,300000000.00,300000000.00,200000000.00,100000000.00,1095140118.67
Feb 19 2048,FIL,0,1995135098.13,1695135098.13,300000000.00,300000000.00,200000000.00,100000000.00,1095135098.13
Feb 18 2048,FIL,0,1995130077.59,1695130077.59,300000000.00,300000000.00,200000000.00,100000000.00,1095130077.59
Feb 17 2048,FIL,0,1995125057.05,1695125057.05,300000000.00,300000000.00,200000000.00,100000000.00,1095125057.05
Feb 17 2048,FIL,0,1995125057.05,1695125057.05,300000000.00,300000000.00,200000000.00,100000000.00,1095125057.05
Feb 16 2048,FIL,0,1995120036.51,1695120036.51,300000000.00,300000000.00,200000000.00,100000000.00,1095120036.51
Feb 15 2048,FIL,0,1995115015.97,1695115015.97,300000000.00,300000000.00,200000000.00,100000000.00,1095115015.97
Feb 14 2048,FIL,0,1995109995.44,1695109995.44,300000000.00,300000000.00,200000000.00,100000000.00,1095109995.44
Feb 14 2048,FIL,0,1995109995.44,1695109995.44,300000000.00,300000000.00,200000000.00,100000000.00,1095109995.44
Feb 13 2048,FIL,0,1995104974.90,1695104974.90,300000000.00,300000000.00,200000000.00,100000000.00,1095104974.90
Feb 12 2048,FIL,0,1995099954.36,1695099954.36,300000000.00,300000000.00,200000000.00,100000000.00,1095099954.36
Feb 11 2048,FIL,0,1995094933.82,1695094933.82,300000000.00,300000000.00,200000000.00,100000000.00,1095094933.82
Feb 11 2048,FIL,0,1995094933.82,1695094933.82,300000000.00,300000000.00,200000000.00,100000000.00,1095094933.82
Feb 10 2048,FIL,0,1995089913.28,1695089913.28,300000000.00,300000000.00,200000000.00,100000000.00,1095089913.28
Feb 09 2048,FIL,0,1995084892.74,1695084892.74,300000000.00,300000000.00,200000000.00,100000000.00,1095084892.74
Feb 08 2048,FIL,0,1995079872.20,1695079872.20,300000000.00,300000000.00,200000000.00,100000000.00,1095079872.20
Feb 08 2048,FIL,0,1995079872.20,1695079872.20,300000000.00,300000000.00,200000000.00,100000000.00,1095079872.20
Feb 07 2048,FIL,0,1995074851.67,1695074851.67,300000000.00,300000000.00,200000000.00,100000000.00,1095074851.67
Feb 06 2048,FIL,0,1995069831.13,1695069831.13,300000000.00,300000000.00,200000000.00,100000000.00,1095069831.13
Feb 05 2048,FIL,0,1995064810.59,1695064810.59,300000000.00,300000000.00,200000000.00,100000000.00,1095064810.59
Feb 05 2048,FIL,0,1995064810.59,1695064810.59,300000000.00,300000000.00,200000000.00,100000000.00,1095064810.59
Feb 04 2048,FIL,0,1995059790.05,1695059790.05,300000000.00,300000000.00,200000000.00,100000000.00,1095059790.05
Feb 03 2048,FIL,0,1995054769.51,1695054769.51,300000000.00,300000000.00,200000000.00,100000000.00,1095054769.51
Feb 02 2048,FIL,0,1995049748.97,1695049748.97,300000000.00,300000000.00,200000000.00,100000000.00,1095049748.97
Feb 02 2048,FIL,0,1995049748.97,1695049748.97,300000000.00,300000000.00,200000000.00,100000000.00,1095049748.97
Feb 01 2048,FIL,0,1995044728.43,1695044728.43,300000000.00,300000000.00,200000000.00,100000000.00,1095044728.43
Jan 31 2048,FIL,0,1995039707.90,1695039707.90,300000000.00,300000000.00,200000000.00,100000000.00,1095039707.90
Jan 31 2048,FIL,0,1995039707.90,1695039707.90,300000000.00,300000000.00,200000000.00,100000000.00,1095039707.90
Jan 30 2048,FIL,0,1995034687.36,1695034687.36,300000000.00,300000000.00,200000000.00,100000000.00,1095034687.36
Jan 29 2048,FIL,0,1995029666.82,1695029666.82,300000000.00,300000000.00,200000000.00,100000000.00,1095029666.82
Jan 28 2048,FIL,0,1995024646.28,1695024646.28,300000000.00,300000000.00,200000000.00,100000000.00,1095024646.28
Jan 28 2048,FIL,0,1995024646.28,1695024646.28,300000000.00,300000000.00,200000000.00,100000000.00,1095024646.28
Jan 27 2048,FIL,0,1995019625.74,1695019625.74,300000000.00,300000000.00,200000000.00,100000000.00,1095019625.74
Jan 26 2048,FIL,0,1995014605.20,1695014605.20,300000000.00,300000000.00,200000000.00,100000000.00,1095014605.20
Jan 25 2048,FIL,0,1995009584.66,1695009584.66,300000000.00,300000000.00,200000000.00,100000000.00,1095009584.66
Jan 25 2048,FIL,0,1995009584.66,1695009584.66,300000000.00,300000000.00,200000000.00,100000000.00,1095009584.66
Jan 24 2048,FIL,0,1995004564.13,1695004564.13,300000000.00,300000000.00,200000000.00,100000000.00,1095004564.13
Jan 23 2048,FIL,0,1994999543.59,1694999543.59,300000000.00,300000000.00,200000000.00,100000000.00,1094999543.59
Jan 22 2048,FIL,0,1994994523.05,1694994523.05,300000000.00,300000000.00,200000000.00,100000000.00,1094994523.05
Jan 22 2048,FIL,0,1994994523.05,1694994523.05,300000000.00,300000000.00,200000000.00,100000000.00,1094994523.05
Jan 21 2048,FIL,0,1994989502.51,1694989502.51,300000000.00,300000000.00,200000000.00,100000000.00,1094989502.51
Jan 20 2048,FIL,0,1994984481.97,1694984481.97,300000000.00,300000000.00,200000000.00,100000000.00,1094984481.97
Jan 19 2048,FIL,0,1994979461.43,1694979461.43,300000000.00,300000000.00,200000000.00,100000000.00,1094979461.43
Jan 19 2048,FIL,0,1994979461.43,1694979461.43,300000000.00,300000000.00,200000000.00,100000000.00,1094979461.43
Jan 18 2048,FIL,0,1994974440.89,1694974440.89,300000000.00,300000000.00,200000000.00,100000000.00,1094974440.89
Jan 17 2048,FIL,0,1994969420.36,1694969420.36,300000000.00,300000000.00,200000000.00,100000000.00,1094969420.36
Jan 16 2048,FIL,0,1994964399.82,1694964399.82,300000000.00,300000000.00,200000000.00,100000000.00,1094964399.82
Jan 16 2048,FIL,0,1994964399.82,1694964399.82,300000000.00,300000000.00,200000000.00,100000000.00,1094964399.82
Jan 15 2048,FIL,0,1994959379.28,1694959379.28,300000000.00,300000000.00,200000000.00,100000000.00,1094959379.28
Jan 14 2048,FIL,0,1994954358.74,1694954358.74,300000000.00,300000000.00,200000000.00,100000000.00,1094954358.74
Jan 13 2048,FIL,0,1994949338.20,1694949338.20,300000000.00,300000000.00,200000000.00,100000000.00,1094949338.20
Jan 13 2048,FIL,0,1994949338.20,1694949338.20,300000000.00,300000000.00,200000000.00,100000000.00,1094949338.20
Jan 12 2048,FIL,0,1994944317.66,1694944317.66,300000000.00,300000000.00,200000000.00,100000000.00,1094944317.66
Jan 11 2048,FIL,0,1994939297.12,1694939297.12,300000000.00,300000000.00,200000000.00,100000000.00,1094939297.12
Jan 10 2048,FIL,0,1994934276.59,1694934276.59,300000000.00,300000000.00,200000000.00,100000000.00,1094934276.59
Jan 10 2048,FIL,0,1994934276.59,1694934276.59,300000000.00,300000000.00,200000000.00,100000000.00,1094934276.59
Jan 09 2048,FIL,0,1994929256.05,1694929256.05,300000000.00,300000000.00,200000000.00,100000000.00,1094929256.05
Jan 08 2048,FIL,0,1994924235.51,1694924235.51,300000000.00,300000000.00,200000000.00,100000000.00,1094924235.51
Jan 07 2048,FIL,0,1994919214.97,1694919214.97,300000000.00,300000000.00,200000000.00,100000000.00,1094919214.97
Jan 07 2048,FIL,0,1994919214.97,1694919214.97,300000000.00,300000000.00,200000000.00,100000000.00,1094919214.97
Jan 06 2048,FIL,0,1994914194.43,1694914194.43,300000000.00,300000000.00,200000000.00,100000000.00,1094914194.43
Jan 05 2048,FIL,0,1994909173.89,1694909173.89,300000000.00,300000000.00,200000000.00,100000000.00,1094909173.89
Jan 04 2048,FIL,0,1994904153.35,1694904153.35,300000000.00,300000000.00,200000000.00,100000000.00,1094904153.35
Jan 04 2048,FIL,0,1994904153.35,1694904153.35,300000000.00,300000000.00,200000000.00,100000000.00,1094904153.35
Jan 03 2048,FIL,0,1994899132.82,1694899132.82,300000000.00,300000000.00,200000000.00,100000000.00,1094899132.82
Jan 02 2048,FIL,0,1994894112.28,1694894112.28,300000000.00,300000000.00,200000000.00,100000000.00,1094894112.28
Jan 01 2048,FIL,0,1994889091.74,1694889091.74,300000000.00,300000000.00,200000000.00,100000000.00,1094889091.74
Jan 01 2048,FIL,0,1994889091.74,1694889091.74,300000000.00,300000000.00,200000000.00,100000000.00,1094889091.74
Dec 31 2047,FIL,0,1994884071.20,1694884071.20,300000000.00,300000000.00,200000000.00,100000000.00,1094884071.20
Dec 30 2047,FIL,0,1994879050.66,1694879050.66,300000000.00,300000000.00,200000000.00,100000000.00,1094879050.66
Dec 29 2047,FIL,0,1994874030.12,1694874030.12,300000000.00,300000000.00,200000000.00,100000000.00,1094874030.12
Dec 29 2047,FIL,0,1994874030.12,1694874030.12,300000000.00,300000000.00,200000000.00,100000000.00,1094874030.12
Dec 28 2047,FIL,0,1994869009.58,1694869009.58,300000000.00,300000000.00,200000000.00,100000000.00,1094869009.58
Dec 27 2047,FIL,0,1994863989.05,1694863989.05,300000000.00,300000000.00,200000000.00,100000000.00,1094863989.05
Dec 27 2047,FIL,0,1994863989.05,1694863989.05,300000000.00,300000000.00,200000000.00,100000000.00,1094863989.05
Dec 26 2047,FIL,0,1994858968.51,1694858968.51,300000000.00,300000000.00,200000000.00,100000000.00,1094858968.51
Dec 25 2047,FIL,0,1994853947.97,1694853947.97,300000000.00,300000000.00,200000000.00,100000000.00,1094853947.97
Dec 24 2047,FIL,0,1994848927.43,1694848927.43,300000000.00,300000000.00,200000000.00,100000000.00,1094848927.43
Dec 24 2047,FIL,0,1994848927.43,1694848927.43,300000000.00,300000000.00,200000000.00,100000000.00,1094848927.43
Dec 23 2047,FIL,0,1994843906.89,1694843906.89,300000000.00,300000000.00,200000000.00,100000000.00,1094843906.89
Dec 22 2047,FIL,0,1994838886.35,1694838886.35,300000000.00,300000000.00,200000000.00,100000000.00,1094838886.35
Dec 21 2047,FIL,0,1994833865.81,1694833865.81,300000000.00,300000000.00,200000000.00,100000000.00,1094833865.81
Dec 21 2047,FIL,0,1994833865.81,1694833865.81,300000000.00,300000000.00,200000000.00,100000000.00,1094833865.81
Dec 20 2047,FIL,0,1994828845.28,1694828845.28,300000000.00,300000000.00,200000000.00,100000000.00,1094828845.28
Dec 19 2047,FIL,0,1994823824.74,1694823824.74,300000000.00,300000000.00,200000000.00,100000000.00,1094823824.74
Dec 18 2047,FIL,0,1994818804.20,1694818804.20,300000000.00,300000000.00,200000000.00,100000000.00,1094818804.20
Dec 18 2047,FIL,0,1994818804.20,1694818804.20,300000000.00,300000000.00,200000000.00,100000000.00,1094818804.20
Dec 17 2047,FIL,0,1994813783.66,1694813783.66,300000000.00,300000000.00,200000000.00,100000000.00,1094813783.66
Dec 16 2047,FIL,0,1994808763.12,1694808763.12,300000000.00,300000000.00,200000000.00,100000000.00,1094808763.12
Dec 15 2047,FIL,0,1994803742.58,1694803742.58,300000000.00,300000000.00,200000000.00,100000000.00,1094803742.58
Dec 15 2047,FIL,0,1994803742.58,1694803742.58,300000000.00,300000000.00,200000000.00,100000000.00,1094803742.58
Dec 14 2047,FIL,0,1994798722.04,1694798722.04,300000000.00,300000000.00,200000000.00,100000000.00,1094798722.04
Dec 13 2047,FIL,0,1994793701.51,1694793701.51,300000000.00,300000000.00,200000000.00,100000000.00,1094793701.51
Dec 12 2047,FIL,0,1994788680.97,1694788680.97,300000000.00,300000000.00,200000000.00,100000000.00,1094788680.97
Dec 12 2047,FIL,0,1994788680.97,1694788680.97,300000000.00,300000000.00,200000000.00,100000000.00,1094788680.97
Dec 11 2047,FIL,0,1994783660.43,1694783660.43,300000000.00,300000000.00,200000000.00,100000000.00,1094783660.43
Dec 10 2047,FIL,0,1994778639.89,1694778639.89,300000000.00,300000000.00,200000000.00,100000000.00,1094778639.89
Dec 09 2047,FIL,0,1994773619.35,1694773619.35,300000000.00,300000000.00,200000000.00,100000000.00,1094773619.35
Dec 09 2047,FIL,0,1994773619.35,1694773619.35,300000000.00,300000000.00,200000000.00,100000000.00,1094773619.35
Dec 08 2047,FIL,0,1994768598.81,1694768598.81,300000000.00,300000000.00,200000000.00,100000000.00,1094768598.81
