Date,Symbol,Price,Available Supply,Unlocked Supply,Founder / Team,Private Investors,Public Investors,Reserved,Community & Other
Dec 25 2030,FLOW,0,1965038144.25,1965038144.25,225000000.00,259800000.00,115000000.00,650200000.00,715038144.25
Dec 24 2030,FLOW,0,1964843187.51,1964843187.51,225000000.00,259800000.00,115000000.00,650200000.00,714843187.51
Dec 24 2030,FLOW,0,1964843187.51,1964843187.51,225000000.00,259800000.00,115000000.00,650200000.00,714843187.51
Dec 23 2030,FLOW,0,1964648230.77,1964648230.77,225000000.00,259800000.00,115000000.00,650200000.00,714648230.77
Dec 22 2030,FLOW,0,1964453274.03,1964453274.03,225000000.00,259800000.00,115000000.00,650200000.00,714453274.03
Dec 22 2030,FLOW,0,1964453274.03,1964453274.03,225000000.00,259800000.00,115000000.00,650200000.00,714453274.03
Dec 21 2030,FLOW,0,1964258317.28,1964258317.28,225000000.00,259800000.00,115000000.00,650200000.00,714258317.28
Dec 20 2030,FLOW,0,1964063360.54,1964063360.54,225000000.00,259800000.00,115000000.00,650200000.00,714063360.54
Dec 20 2030,FLOW,0,1964063360.54,1964063360.54,225000000.00,259800000.00,115000000.00,650200000.00,714063360.54
Dec 19 2030,FLOW,0,1963868403.80,1963868403.80,225000000.00,259800000.00,115000000.00,650200000.00,713868403.80
Dec 18 2030,FLOW,0,1963673447.06,1963673447.06,225000000.00,259800000.00,115000000.00,650200000.00,713673447.06
Dec 18 2030,FLOW,0,1963673447.06,1963673447.06,225000000.00,259800000.00,115000000.00,650200000.00,713673447.06
Dec 17 2030,FLOW,0,1963478490.32,1963478490.32,225000000.00,259800000.00,115000000.00,650200000.00,713478490.32
Dec 16 2030,FLOW,0,1963283533.58,1963283533.58,225000000.00,259800000.00,115000000.00,650200000.00,713283533.58
Dec 16 2030,FLOW,0,1963283533.58,1963283533.58,225000000.00,259800000.00,115000000.00,650200000.00,713283533.58
Dec 15 2030,FLOW,0,1963088576.84,1963088576.84,225000000.00,259800000.00,115000000.00,650200000.00,713088576.84
Dec 14 2030,FLOW,0,1962893620.10,1962893620.10,225000000.00,259800000.00,115000000.00,650200000.00,712893620.10
Dec 14 2030,FLOW,0,1962893620.10,1962893620.10,225000000.00,259800000.00,115000000.00,650200000.00,712893620.10
Dec 13 2030,FLOW,0,1962698663.36,1962698663.36,225000000.00,259800000.00,115000000.00,650200000.00,712698663.36
Dec 12 2030,FLOW,0,1962503706.62,1962503706.62,225000000.00,259800000.00,115000000.00,650200000.00,712503706.62
Dec 12 2030,FLOW,0,1962503706.62,1962503706.62,225000000.00,259800000.00,115000000.00,650200000.00,712503706.62
Dec 11 2030,FLOW,0,1962308749.88,1962308749.88,225000000.00,259800000.00,115000000.00,650200000.00,712308749.88
Dec 10 2030,FLOW,0,1962113793.14,1962113793.14,225000000.00,259800000.00,115000000.00,650200000.00,712113793.14
Dec 10 2030,FLOW,0,1962113793.14,1962113793.14,225000000.00,259800000.00,115000000.00,650200000.00,712113793.14
Dec 09 2030,FLOW,0,1961918836.40,1961918836.40,225000000.00,259800000.00,115000000.00,650200000.00,711918836.40
Dec 08 2030,FLOW,0,1961723879.66,1961723879.66,225000000.00,259800000.00,115000000.00,650200000.00,711723879.66
Dec 08 2030,FLOW,0,1961723879.66,1961723879.66,225000000.00,259800000.00,115000000.00,650200000.00,711723879.66
Dec 07 2030,FLOW,0,1961528922.92,1961528922.92,225000000.00,259800000.00,115000000.00,650200000.00,711528922.92
Dec 07 2030,FLOW,0,1961528922.92,1961528922.92,225000000.00,259800000.00,115000000.00,650200000.00,711528922.92
Dec 06 2030,FLOW,0,1961333966.17,1961333966.17,225000000.00,259800000.00,115000000.00,650200000.00,711333966.17
Dec 05 2030,FLOW,0,1961139009.43,1961139009.43,225000000.00,259800000.00,115000000.00,650200000.00,711139009.43
Dec 05 2030,FLOW,0,1961139009.43,1961139009.43,225000000.00,259800000.00,115000000.00,650200000.00,711139009.43
Dec 04 2030,FLOW,0,1960944052.69,1960944052.69,225000000.00,259800000.00,115000000.00,650200000.00,710944052.69
Dec 03 2030,FLOW,0,1960749095.95,1960749095.95,225000000.00,259800000.00,115000000.00,650200000.00,710749095.95
Dec 03 2030,FLOW,0,1960749095.95,1960749095.95,225000000.00,259800000.00,115000000.00,650200000.00,710749095.95
Dec 02 2030,FLOW,0,1960554139.21,1960554139.21,225000000.00,259800000.00,115000000.00,650200000.00,710554139.21
Dec 01 2030,FLOW,0,1960359182.47,1960359182.47,225000000.00,259800000.00,115000000.00,650200000.00,710359182.47
Dec 01 2030,FLOW,0,1960359182.47,1960359182.47,225000000.00,259800000.00,115000000.00,650200000.00,710359182.47
Nov 30 2030,FLOW,0,1960164225.73,1960164225.73,225000000.00,259800000.00,115000000.00,650200000.00,710164225.73
Nov 29 2030,FLOW,0,1959969268.99,1959969268.99,225000000.00,259800000.00,115000000.00,650200000.00,709969268.99
Nov 29 2030,FLOW,0,1959969268.99,1959969268.99,225000000.00,259800000.00,115000000.00,650200000.00,709969268.99
Nov 28 2030,FLOW,0,1959774312.25,1959774312.25,225000000.00,259800000.00,115000000.00,650200000.00,709774312.25
Nov 27 2030,FLOW,0,1959579355.51,1959579355.51,225000000.00,259800000.00,115000000.00,650200000.00,709579355.51
Nov 27 2030,FLOW,0,1959579355.51,1959579355.51,225000000.00,259800000.00,115000000.00,650200000.00,709579355.51
Nov 26 2030,FLOW,0,1959384398.77,1959384398.77,225000000.00,259800000.00,115000000.00,650200000.00,709384398.77
Nov 25 2030,FLOW,0,1959189442.03,1959189442.03,225000000.00,259800000.00,115000000.00,650200000.00,709189442.03
Nov 25 2030,FLOW,0,1959189442.03,1959189442.03,225000000.00,259800000.00,115000000.00,650200000.00,709189442.03
Nov 24 2030,FLOW,0,1958994485.29,1958994485.29,225000000.00,259800000.00,115000000.00,650200000.00,708994485.29
Nov 23 2030,FLOW,0,1958799528.55,1958799528.55,225000000.00,259800000.00,115000000.00,650200000.00,708799528.55
Nov 23 2030,FLOW,0,1958799528.55,1958799528.55,225000000.00,259800000.00,115000000.00,650200000.00,708799528.55
Nov 22 2030,FLOW,0,1958604571.81,1958604571.81,225000000.00,259800000.00,115000000.00,650200000.00,708604571.81
Nov 21 2030,FLOW,0,1958409615.07,1958409615.07,225000000.00,259800000.00,115000000.00,650200000.00,708409615.07
Nov 21 2030,FLOW,0,1958409615.07,1958409615.07,225000000.00,259800000.00,115000000.00,650200000.00,708409615.07
Nov 20 2030,FLOW,0,1958214658.32,1958214658.32,225000000.00,259800000.00,115000000.00,650200000.00,708214658.32
Nov 19 2030,FLOW,0,1958019701.58,1958019701.58,225000000.00,259800000.00,115000000.00,650200000.00,708019701.58
