Date,Symbol,Price,Available Supply,Unlocked Supply,Founder / Team,Private Investors,Reserved,Community & Other
Nov 12 2050,MAV,0,1964644079.45,1964644079.45,463000000.00,360000000.00,200000000.00,941644079.45
Oct 31 2050,MAV,0,1964527443.53,1964527443.53,463000000.00,360000000.00,200000000.00,941527443.53
Oct 19 2050,MAV,0,1964410807.61,1964410807.61,463000000.00,360000000.00,200000000.00,941410807.61
Oct 07 2050,MAV,0,1964294171.68,1964294171.68,463000000.00,360000000.00,200000000.00,941294171.68
Sep 26 2050,MAV,0,1964187255.42,1964187255.42,463000000.00,360000000.00,200000000.00,941187255.42
Sep 14 2050,MAV,0,1964070619.50,1964070619.50,463000000.00,360000000.00,200000000.00,941070619.50
Sep 02 2050,MAV,0,1963953983.58,1963953983.58,463000000.00,360000000.00,200000000.00,940953983.58
Aug 21 2050,MAV,0,1963837347.65,1963837347.65,463000000.00,360000000.00,200000000.00,940837347.65
Aug 09 2050,MAV,0,1963720711.73,1963720711.73,463000000.00,360000000.00,200000000.00,940720711.73
Jul 28 2050,MAV,0,1963604075.81,1963604075.81,463000000.00,360000000.00,200000000.00,940604075.81
Jul 16 2050,MAV,0,1963487439.88,1963487439.88,463000000.00,360000000.00,200000000.00,940487439.88
Jul 05 2050,MAV,0,1963380523.62,1963380523.62,463000000.00,360000000.00,200000000.00,940380523.62
Jun 23 2050,MAV,0,1963263887.70,1963263887.70,463000000.00,360000000.00,200000000.00,940263887.70
Jun 11 2050,MAV,0,1963147251.77,1963147251.77,463000000.00,360000000.00,200000000.00,940147251.77
May 30 2050,MAV,0,1963030615.85,1963030615.85,463000000.00,360000000.00,200000000.00,940030615.85
May 18 2050,MAV,0,1962913979.93,1962913979.93,463000000.00,360000000.00,200000000.00,939913979.93
May 06 2050,MAV,0,1962797344.00,1962797344.00,463000000.00,360000000.00,200000000.00,939797344.00
Apr 24 2050,MAV,0,1962680708.08,1962680708.08,463000000.00,360000000.00,200000000.00,939680708.08
Apr 13 2050,MAV,0,1962573791.82,1962573791.82,463000000.00,360000000.00,200000000.00,939573791.82
Apr 01 2050,MAV,0,1962457155.89,1962457155.89,463000000.00,360000000.00,200000000.00,939457155.89
Mar 20 2050,MAV,0,1962340519.97,1962340519.97,463000000.00,360000000.00,200000000.00,939340519.97
Mar 08 2050,MAV,0,1962223884.05,1962223884.05,463000000.00,360000000.00,200000000.00,939223884.05
Feb 24 2050,MAV,0,1962107248.12,1962107248.12,463000000.00,360000000.00,200000000.00,939107248.12
Feb 12 2050,MAV,0,1961990612.20,1961990612.20,463000000.00,360000000.00,200000000.00,938990612.20
Jan 31 2050,MAV,0,1961873976.28,1961873976.28,463000000.00,360000000.00,200000000.00,938873976.28
Jan 20 2050,MAV,0,1961767060.01,1961767060.01,463000000.00,360000000.00,200000000.00,938767060.01
Jan 08 2050,MAV,0,1961650424.09,1961650424.09,463000000.00,360000000.00,200000000.00,938650424.09
Dec 27 2049,MAV,0,1961533788.17,1961533788.17,463000000.00,360000000.00,200000000.00,938533788.17
Dec 15 2049,MAV,0,1961417152.24,1961417152.24,463000000.00,360000000.00,200000000.00,938417152.24
Dec 03 2049,MAV,0,1961292155.65,1961292155.65,463000000.00,360000000.00,199991639.33,938300516.32
Nov 21 2049,MAV,0,1961132350.90,1961132350.90,463000000.00,360000000.00,199961100.59,938171250.32
Nov 09 2049,MAV,0,1960968928.79,1960968928.79,463000000.00,360000000.00,199929470.50,938039458.29
Oct 28 2049,MAV,0,1960805506.67,1960805506.67,463000000.00,360000000.00,199897840.40,937907666.27
Oct 17 2049,MAV,0,1960655703.07,1960655703.07,463000000.00,360000000.00,199868846.15,937786856.92
Oct 05 2049,MAV,0,1960492280.95,1960492280.95,463000000.00,360000000.00,199837216.06,937655064.90
Sep 23 2049,MAV,0,1960328858.84,1960328858.84,463000000.00,360000000.00,199805585.96,937523272.87
Sep 11 2049,MAV,0,1960165436.72,1960165436.72,463000000.00,360000000.00,199773955.87,937391480.85
Aug 30 2049,MAV,0,1960002014.61,1960002014.61,463000000.00,360000000.00,199742325.78,937259688.83
Aug 18 2049,MAV,0,1959838592.49,1959838592.49,463000000.00,360000000.00,199710695.68,937127896.81
Aug 06 2049,MAV,0,1959675170.38,1959675170.38,463000000.00,360000000.00,199679065.59,936996104.79
Jul 26 2049,MAV,0,1959525366.77,1959525366.77,463000000.00,360000000.00,199650071.34,936875295.43
Jul 14 2049,MAV,0,1959361944.66,1959361944.66,463000000.00,360000000.00,199618441.25,936743503.41
Jul 02 2049,MAV,0,1959198522.54,1959198522.54,463000000.00,360000000.00,199586811.15,936611711.39
Jun 20 2049,MAV,0,1959035100.43,1959035100.43,463000000.00,360000000.00,199555181.06,936479919.37
Jun 08 2049,MAV,0,1958871678.31,1958871678.31,463000000.00,360000000.00,199523550.97,936348127.35
May 27 2049,MAV,0,1958708256.20,1958708256.20,463000000.00,360000000.00,199491920.87,936216335.32
May 15 2049,MAV,0,1958544834.08,1958544834.08,463000000.00,360000000.00,199460290.78,936084543.30
May 04 2049,MAV,0,1958395030.48,1958395030.48,463000000.00,360000000.00,199431296.53,935963733.95
Apr 22 2049,MAV,0,1958231608.36,1958231608.36,463000000.00,360000000.00,199399666.44,935831941.93
Apr 10 2049,MAV,0,1958068186.25,1958068186.25,463000000.00,360000000.00,199368036.34,935700149.90
Mar 29 2049,MAV,0,1957904764.13,1957904764.13,463000000.00,360000000.00,199336406.25,935568357.88
Mar 17 2049,MAV,0,1957741342.02,1957741342.02,463000000.00,360000000.00,199304776.16,935436565.86
Mar 05 2049,MAV,0,1957577919.90,1957577919.90,463000000.00,360000000.00,199273146.06,935304773.84
Feb 21 2049,MAV,0,1957414497.79,1957414497.79,463000000.00,360000000.00,199241515.97,935172981.82
Feb 10 2049,MAV,0,1957264694.18,1957264694.18,463000000.00,360000000.00,199212521.72,935052172.46
Jan 29 2049,MAV,0,1957101272.07,1957101272.07,463000000.00,360000000.00,199180891.62,934920380.44
Jan 17 2049,MAV,0,1956937849.95,1956937849.95,463000000.00,360000000.00,199149261.53,934788588.42
Jan 05 2049,MAV,0,1956774427.84,1956774427.84,463000000.00,360000000.00,199117631.44,934656796.40
Dec 24 2048,MAV,0,1956611005.72,1956611005.72,463000000.00,360000000.00,199086001.35,934525004.38
Dec 12 2048,MAV,0,1956447583.61,1956447583.61,463000000.00,360000000.00,199054371.25,934393212.35
Nov 30 2048,MAV,0,1956282433.90,1956282433.90,463000000.00,360000000.00,199022406.79,934260027.11
Nov 19 2048,MAV,0,1956113626.82,1956113626.82,463000000.00,360000000.00,198989734.44,934123892.38
Nov 07 2048,MAV,0,1955929473.64,1955929473.64,463000000.00,360000000.00,198954091.89,933975381.75
Oct 26 2048,MAV,0,1955745320.46,1955745320.46,463000000.00,360000000.00,198918449.33,933826871.13
Oct 14 2048,MAV,0,1955561167.28,1955561167.28,463000000.00,360000000.00,198882806.77,933678360.51
Oct 02 2048,MAV,0,1955377014.10,1955377014.10,463000000.00,360000000.00,198847164.21,933529849.89
Sep 20 2048,MAV,0,1955192860.92,1955192860.92,463000000.00,360000000.00,198811521.66,933381339.26
Sep 08 2048,MAV,0,1955008707.74,1955008707.74,463000000.00,360000000.00,198775879.10,933232828.64
Aug 27 2048,MAV,0,1954824554.56,1954824554.56,463000000.00,360000000.00,198740236.54,933084318.02
Aug 16 2048,MAV,0,1954655747.48,1954655747.48,463000000.00,360000000.00,198707564.20,932948183.28
Aug 04 2048,MAV,0,1954471594.29,1954471594.29,463000000.00,360000000.00,198671921.64,932799672.66
Jul 23 2048,MAV,0,1954287441.11,1954287441.11,463000000.00,360000000.00,198636279.08,932651162.03
Jul 11 2048,MAV,0,1954103287.93,1954103287.93,463000000.00,360000000.00,198600636.52,932502651.41
Jun 29 2048,MAV,0,1953919134.75,1953919134.75,463000000.00,360000000.00,198564993.97,932354140.79
Jun 17 2048,MAV,0,1953734981.57,1953734981.57,463000000.00,360000000.00,198529351.41,932205630.16
Jun 05 2048,MAV,0,1953550828.39,1953550828.39,463000000.00,360000000.00,198493708.85,932057119.54
May 25 2048,MAV,0,1953382021.31,1953382021.31,463000000.00,360000000.00,198461036.51,931920984.80
May 13 2048,MAV,0,1953197868.13,1953197868.13,463000000.00,360000000.00,198425393.95,931772474.18
May 01 2048,MAV,0,1953013714.95,1953013714.95,463000000.00,360000000.00,198389751.39,931623963.56
Apr 19 2048,MAV,0,1952829561.77,1952829561.77,463000000.00,360000000.00,198354108.84,931475452.93
