Date,Symbol,Price,Available Supply,Unlocked Supply,Founder / Team,Private Investors,Reserved,Community & Other
May 30 2028,MINA,0,987200000.00,987200000.00,311000000.00,205200000.00,48000000.00,423000000.00
May 30 2028,MINA,0,987200000.00,987200000.00,311000000.00,205200000.00,48000000.00,423000000.00
May 29 2028,MINA,0,987139726.03,987139726.03,311000000.00,205200000.00,48000000.00,422939726.03
May 29 2028,MINA,0,987139726.03,987139726.03,311000000.00,205200000.00,48000000.00,422939726.03
May 28 2028,MINA,0,987079452.05,987079452.05,311000000.00,205200000.00,48000000.00,422879452.05
May 28 2028,MINA,0,987079452.05,987079452.05,311000000.00,205200000.00,48000000.00,422879452.05
May 27 2028,MINA,0,987019178.08,987019178.08,311000000.00,205200000.00,48000000.00,422819178.08
May 27 2028,MINA,0,987019178.08,987019178.08,311000000.00,205200000.00,48000000.00,422819178.08
May 26 2028,MINA,0,986958904.11,986958904.11,311000000.00,205200000.00,48000000.00,422758904.11
May 26 2028,MINA,0,986958904.11,986958904.11,311000000.00,205200000.00,48000000.00,422758904.11
May 25 2028,MINA,0,986898630.14,986898630.14,311000000.00,205200000.00,48000000.00,422698630.14
May 25 2028,MINA,0,986898630.14,986898630.14,311000000.00,205200000.00,48000000.00,422698630.14
May 24 2028,MINA,0,986838356.16,986838356.16,311000000.00,205200000.00,48000000.00,422638356.16
May 24 2028,MINA,0,986838356.16,986838356.16,311000000.00,205200000.00,48000000.00,422638356.16
May 23 2028,MINA,0,986778082.19,986778082.19,311000000.00,205200000.00,48000000.00,422578082.19
May 23 2028,MINA,0,986778082.19,986778082.19,311000000.00,205200000.00,48000000.00,422578082.19
May 22 2028,MINA,0,986717808.22,986717808.22,311000000.00,205200000.00,48000000.00,422517808.22
May 22 2028,MINA,0,986717808.22,986717808.22,311000000.00,205200000.00,48000000.00,422517808.22
May 21 2028,MINA,0,986657534.25,986657534.25,311000000.00,205200000.00,48000000.00,422457534.25
May 21 2028,MINA,0,986657534.25,986657534.25,311000000.00,205200000.00,48000000.00,422457534.25
May 21 2028,MINA,0,986657534.25,986657534.25,311000000.00,205200000.00,48000000.00,422457534.25
May 20 2028,MINA,0,986597260.27,986597260.27,311000000.00,205200000.00,48000000.00,422397260.27
