Date,Symbol,Price,Available Supply,Unlocked Supply,Private Investors (TBD),Community & Other (TBD),Reserved (TBD),Founder / Team,Private Investors,Community & Other
Aug 28 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 28 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 27 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 27 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 27 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 26 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 26 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 26 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 25 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 25 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 25 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 24 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 24 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 24 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 23 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 23 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 22 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 22 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 22 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 21 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 21 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 21 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 20 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 20 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 20 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 19 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 19 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 19 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 18 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 18 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 18 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 17 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 17 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 17 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 16 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 16 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 16 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 15 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 15 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 15 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 14 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 14 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 14 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 13 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 13 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 12 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 12 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 12 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 11 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 11 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 11 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 10 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 10 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 10 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 09 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 09 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 09 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 08 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 08 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 08 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 07 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 07 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 07 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 06 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 06 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 06 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 05 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 05 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 05 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 04 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 04 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 04 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 03 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 03 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 02 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 02 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 02 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 01 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 01 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Aug 01 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Jul 31 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Jul 31 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Jul 31 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Jul 30 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Jul 30 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Jul 30 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Jul 29 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Jul 29 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Jul 29 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Jul 28 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Jul 28 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
Jul 28 2027,OP,0,3955461473.99,1899862253.75,231928233.98,1213785630.23,609885356.03,816043786.24,730144440.32,353674027.19
