Date,Symbol,Price,Available Supply,Unlocked Supply,Founder / Team,Reserved,Community & Other
Nov 02 2048,OSMO,0,998175823.11,998175823.11,224543955.77,50000000.00,723631867.34
Nov 01 2048,OSMO,0,998174415.38,998174415.38,224543603.84,50000000.00,723630811.54
Oct 31 2048,OSMO,0,998173007.64,998173007.64,224543251.90,50000000.00,723629755.74
Oct 30 2048,OSMO,0,998171599.91,998171599.91,224542899.97,50000000.00,723628699.94
Oct 29 2048,OSMO,0,998170192.17,998170192.17,224542548.04,50000000.00,723627644.14
Oct 27 2048,OSMO,0,998167376.71,998167376.71,224541844.17,50000000.00,723625532.54
Oct 26 2048,OSMO,0,998165968.97,998165968.97,224541492.24,50000000.00,723624476.74
Oct 25 2048,OSMO,0,998164561.24,998164561.24,224541140.30,50000000.00,723623420.93
Oct 24 2048,OSMO,0,998163153.50,998163153.50,224540788.37,50000000.00,723622365.13
Oct 23 2048,OSMO,0,998161745.77,998161745.77,224540436.43,50000000.00,723621309.33
Oct 22 2048,OSMO,0,998160338.03,998160338.03,224540084.50,50000000.00,723620253.53
Oct 21 2048,OSMO,0,998158930.30,998158930.30,224539732.57,50000000.00,723619197.73
Oct 20 2048,OSMO,0,998157522.56,998157522.56,224539380.63,50000000.00,723618141.93
Oct 19 2048,OSMO,0,998156114.83,998156114.83,224539028.70,50000000.00,723617086.13
Oct 17 2048,OSMO,0,998153299.36,998153299.36,224538324.83,50000000.00,723614974.53
Oct 16 2048,OSMO,0,998151891.62,998151891.62,224537972.90,50000000.00,723613918.73
Oct 15 2048,OSMO,0,998150483.89,998150483.89,224537620.96,50000000.00,723612862.92
Oct 14 2048,OSMO,0,998149076.15,998149076.15,224537269.03,50000000.00,723611807.12
Oct 13 2048,OSMO,0,998147668.42,998147668.42,224536917.10,50000000.00,723610751.32
Oct 12 2048,OSMO,0,998146260.69,998146260.69,224536565.16,50000000.00,723609695.52
Oct 11 2048,OSMO,0,998144852.95,998144852.95,224536213.23,50000000.00,723608639.72
Oct 10 2048,OSMO,0,998143445.22,998143445.22,224535861.30,50000000.00,723607583.92
Oct 08 2048,OSMO,0,998140629.75,998140629.75,224535157.43,50000000.00,723605472.32
Oct 07 2048,OSMO,0,998139222.01,998139222.01,224534805.50,50000000.00,723604416.52
Oct 06 2048,OSMO,0,998137814.28,998137814.28,224534453.56,50000000.00,723603360.72
Oct 05 2048,OSMO,0,998136406.54,998136406.54,224534101.63,50000000.00,723602304.91
Oct 04 2048,OSMO,0,998134998.81,998134998.81,224533749.69,50000000.00,723601249.11
Oct 03 2048,OSMO,0,998133591.07,998133591.07,224533397.76,50000000.00,723600193.31
Oct 02 2048,OSMO,0,998132183.34,998132183.34,224533045.83,50000000.00,723599137.51
Oct 01 2048,OSMO,0,998130775.60,998130775.60,224532693.89,50000000.00,723598081.71
Sep 30 2048,OSMO,0,998129367.87,998129367.87,224532341.96,50000000.00,723597025.91
Sep 28 2048,OSMO,0,998126552.40,998126552.40,224531638.09,50000000.00,723594914.31
Sep 27 2048,OSMO,0,998125144.67,998125144.67,224531286.16,50000000.00,723593858.51
Sep 26 2048,OSMO,0,998123736.93,998123736.93,224530934.22,50000000.00,723592802.71
Sep 25 2048,OSMO,0,998122329.20,998122329.20,224530582.29,50000000.00,723591746.91
Sep 24 2048,OSMO,0,998120921.46,998120921.46,224530230.36,50000000.00,723590691.10
Sep 23 2048,OSMO,0,998119513.73,998119513.73,224529878.42,50000000.00,723589635.30
Sep 22 2048,OSMO,0,998118105.99,998118105.99,224529526.49,50000000.00,723588579.50
Sep 21 2048,OSMO,0,998116698.26,998116698.26,224529174.56,50000000.00,723587523.70
Sep 20 2048,OSMO,0,998115290.52,998115290.52,224528822.62,50000000.00,723586467.90
Sep 18 2048,OSMO,0,998112475.05,998112475.05,224528118.76,50000000.00,723584356.30
Sep 17 2048,OSMO,0,998111067.32,998111067.32,224527766.82,50000000.00,723583300.50
Sep 16 2048,OSMO,0,998109659.58,998109659.58,224527414.89,50000000.00,723582244.70
Sep 15 2048,OSMO,0,998108251.85,998108251.85,224527062.95,50000000.00,723581188.90
Sep 14 2048,OSMO,0,998106844.11,998106844.11,224526711.02,50000000.00,723580133.09
Sep 13 2048,OSMO,0,998105436.38,998105436.38,224526359.09,50000000.00,723579077.29
Sep 12 2048,OSMO,0,998104028.65,998104028.65,224526007.15,50000000.00,723578021.49
Sep 11 2048,OSMO,0,998102620.91,998102620.91,224525655.22,50000000.00,723576965.69
Sep 09 2048,OSMO,0,998099805.44,998099805.44,224524951.35,50000000.00,723574854.09
Sep 08 2048,OSMO,0,998098397.71,998098397.71,224524599.42,50000000.00,723573798.29
Sep 07 2048,OSMO,0,998096989.97,998096989.97,224524247.48,50000000.00,723572742.49
Sep 06 2048,OSMO,0,998095582.24,998095582.24,224523895.55,50000000.00,723571686.69
Sep 05 2048,OSMO,0,998094174.50,998094174.50,224523543.62,50000000.00,723570630.89
Sep 04 2048,OSMO,0,998092766.77,998092766.77,224523191.68,50000000.00,723569575.08
Sep 03 2048,OSMO,0,998091359.03,998091359.03,224522839.75,50000000.00,723568519.28
Sep 02 2048,OSMO,0,998089951.30,998089951.30,224522487.82,50000000.00,723567463.48
Sep 01 2048,OSMO,0,998088543.56,998088543.56,224522135.88,50000000.00,723566407.68
Aug 30 2048,OSMO,0,998085728.09,998085728.09,224521432.01,50000000.00,723564296.08
Aug 29 2048,OSMO,0,998084320.36,998084320.36,224521080.08,50000000.00,723563240.28
Aug 28 2048,OSMO,0,998082912.63,998082912.63,224520728.15,50000000.00,723562184.48
Aug 27 2048,OSMO,0,998081504.89,998081504.89,224520376.21,50000000.00,723561128.68
Aug 26 2048,OSMO,0,998080097.16,998080097.16,224520024.28,50000000.00,723560072.88
Aug 25 2048,OSMO,0,998078689.42,998078689.42,224519672.35,50000000.00,723559017.07
Aug 24 2048,OSMO,0,998077281.69,998077281.69,224519320.41,50000000.00,723557961.27
Aug 23 2048,OSMO,0,998075873.95,998075873.95,224518968.48,50000000.00,723556905.47
Aug 22 2048,OSMO,0,998074466.22,998074466.22,224518616.55,50000000.00,723555849.67
Aug 20 2048,OSMO,0,998071650.75,998071650.75,224517912.68,50000000.00,723553738.07
Aug 19 2048,OSMO,0,998070243.01,998070243.01,224517560.74,50000000.00,723552682.27
Aug 18 2048,OSMO,0,998068835.28,998068835.28,224517208.81,50000000.00,723551626.47
Aug 17 2048,OSMO,0,998067427.54,998067427.54,224516856.88,50000000.00,723550570.67
Aug 16 2048,OSMO,0,998066019.81,998066019.81,224516504.94,50000000.00,723549514.87
Aug 15 2048,OSMO,0,998064612.07,998064612.07,224516153.01,50000000.00,723548459.07
Aug 14 2048,OSMO,0,998063204.34,998063204.34,224515801.08,50000000.00,723547403.26
Aug 13 2048,OSMO,0,998061796.61,998061796.61,224515449.14,50000000.00,723546347.46
Aug 11 2048,OSMO,0,998058981.14,998058981.14,224514745.27,50000000.00,723544235.86
Aug 10 2048,OSMO,0,998057573.40,998057573.40,224514393.34,50000000.00,723543180.06
Aug 09 2048,OSMO,0,998056165.67,998056165.67,224514041.41,50000000.00,723542124.26
Aug 08 2048,OSMO,0,998054757.93,998054757.93,224513689.47,50000000.00,723541068.46
Aug 07 2048,OSMO,0,998053350.20,998053350.20,224513337.54,50000000.00,723540012.66
Aug 06 2048,OSMO,0,998051942.46,998051942.46,224512985.61,50000000.00,723538956.86
Aug 05 2048,OSMO,0,998050534.73,998050534.73,224512633.67,50000000.00,723537901.06
Aug 04 2048,OSMO,0,998049126.99,998049126.99,224512281.74,50000000.00,723536845.25
Aug 03 2048,OSMO,0,998047719.26,998047719.26,224511929.80,50000000.00,723535789.45
Aug 01 2048,OSMO,0,998044903.79,998044903.79,224511225.94,50000000.00,723533677.85
Jul 31 2048,OSMO,0,998043496.05,998043496.05,224510874.00,50000000.00,723532622.05
Jul 30 2048,OSMO,0,998042088.32,998042088.32,224510522.07,50000000.00,723531566.25
Jul 29 2048,OSMO,0,998040680.59,998040680.59,224510170.14,50000000.00,723530510.45
Jul 28 2048,OSMO,0,998039272.85,998039272.85,224509818.20,50000000.00,723529454.65
Jul 27 2048,OSMO,0,998037865.12,998037865.12,224509466.27,50000000.00,723528398.85
Jul 26 2048,OSMO,0,998036457.38,998036457.38,224509114.34,50000000.00,723527343.05
Jul 25 2048,OSMO,0,998035049.65,998035049.65,224508762.40,50000000.00,723526287.24
Jul 23 2048,OSMO,0,998032234.18,998032234.18,224508058.53,50000000.00,723524175.64
Jul 22 2048,OSMO,0,998030826.44,998030826.44,224507706.60,50000000.00,723523119.84
Jul 21 2048,OSMO,0,998029418.71,998029418.71,224507354.67,50000000.00,723522064.04
Jul 20 2048,OSMO,0,998028010.97,998028010.97,224507002.73,50000000.00,723521008.24
Jul 19 2048,OSMO,0,998026603.24,998026603.24,224506650.80,50000000.00,723519952.44
Jul 18 2048,OSMO,0,998025195.50,998025195.50,224506298.87,50000000.00,723518896.64
Jul 17 2048,OSMO,0,998023787.77,998023787.77,224505946.93,50000000.00,723517840.84
Jul 16 2048,OSMO,0,998022380.03,998022380.03,224505595.00,50000000.00,723516785.04
Jul 15 2048,OSMO,0,998020972.30,998020972.30,224505243.06,50000000.00,723515729.24
Jul 13 2048,OSMO,0,998018156.83,998018156.83,224504539.20,50000000.00,723513617.63
Jul 12 2048,OSMO,0,998016749.10,998016749.10,224504187.26,50000000.00,723512561.83
Jul 11 2048,OSMO,0,998015341.36,998015341.36,224503835.33,50000000.00,723511506.03
Jul 10 2048,OSMO,0,998013933.63,998013933.63,224503483.40,50000000.00,723510450.23
Jul 09 2048,OSMO,0,998012525.89,998012525.89,224503131.46,50000000.00,723509394.43
Jul 08 2048,OSMO,0,998011118.16,998011118.16,224502779.53,50000000.00,723508338.63
Jul 07 2048,OSMO,0,998009710.42,998009710.42,224502427.60,50000000.00,723507282.83
Jul 06 2048,OSMO,0,998008302.69,998008302.69,224502075.66,50000000.00,723506227.03
Jul 05 2048,OSMO,0,998006894.95,998006894.95,224501723.73,50000000.00,723505171.23
Jul 03 2048,OSMO,0,998004079.48,998004079.48,224501019.86,50000000.00,723503059.62
Jul 02 2048,OSMO,0,998002671.75,998002671.75,224500667.93,50000000.00,723502003.82
Jul 01 2048,OSMO,0,998001264.01,998001264.01,224500315.99,50000000.00,723500948.02
Jun 30 2048,OSMO,0,997999856.28,997999856.28,224499964.06,50000000.00,723499892.22
Jun 29 2048,OSMO,0,997998448.55,997998448.55,224499612.13,50000000.00,723498836.42
Jun 28 2048,OSMO,0,997997040.81,997997040.81,224499260.19,50000000.00,723497780.62
Jun 27 2048,OSMO,0,997995633.08,997995633.08,224498908.26,50000000.00,723496724.82
Jun 26 2048,OSMO,0,997994225.34,997994225.34,224498556.32,50000000.00,723495669.02
Jun 24 2048,OSMO,0,997991409.87,997991409.87,224497852.46,50000000.00,723493557.41
